Hybridization REF	TCGA-AR-A1AH-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.13325
CREB3L1	-0.1295
RPS11	0.94775
PNMA1	-0.778
MMP2	0.0151666666666666
C10orf90	-2.40625
ZHX3	0.258166666666667
ERCC5	-0.1055
GPR98	-1.826875
RXFP3	0.6785
APBB2	-1.63625
PRO0478	-1.127125
KLHL13	-1.288
PRSSL1	-0.513833333333333
PDCL3	0.399333333333333
DECR1	0.299875
SALL1	-3.0995
CADM4	2.116
RPS18	0.818285714285714
HNRPD	-0.757666666666667
CFHR5	0.77825
SLC10A7	0.297875
OR2K2	-1.7815
LMAN1	0.288125
SUHW1	-1.96425
CHD8	-0.283
SUMO1	1.157
GP1BA	0.07
DDB1	0.1565
MYO9B	0.2105
MMP7	8.573
CRNKL1	0.440125
C9orf45	-1.7355
XAB2	0.340625
RTN1	1.125125
KLHL14	-1.439625
TBX10	-0.971
CENPQ	-0.724
UTY	-0.718285714285714
ZBTB12	-0.3885
DTNBP1	0.9445
KBTBD8	-0.3355
ZEB1	-0.63
ZG16	-1.275
MIER1	1.0042
ADAM5P	0.72
CHD9	-0.882875
STK16	0.8635
KIAA1486	-0.224
TOB2	0.706
BANK1	0.669
OR2V2	0.43175
GRM2	0.397
PROSC	0.214125
SPIN2B	-0.7555
PIR	-1.81055555555556
IPO9	-0.1236
EVC	0.917833333333333
CXCL13	0.5715
KIAA1199	-0.7092
SORL1	0.39
NAT10	0.49525
CHD1	-0.577
SYN3	-0.738
SLC22A2	-0.0805
SERPINF1	-0.422333333333333
WDR34	-1.16475
OR7A17	-0.08
C9orf11	0.174
RNF216L	0.1491
LHB	-0.132
STK25	0.32325
TAOK3	0.304625
LOC152573	-2.92075
C3orf39	0.726
C14orf108	-0.2118
CDC25B	-1.64963636363636
BMP3	0.0745
TMEM180	0.0025
MAP1LC3C	-0.2825
CRYGC	-0.5505
POU3F1	-1.2258
C20orf32	-0.9065
CCDC95	0.141
HIGD1B	3.98025
USP6NL	1.895
ABCD4	-0.9995
DIMT1L	-0.558
TEK	0.62225
SLC25A46	-0.48375
LARP7	-1.9398
CD160	0.163166666666667
MT1JP	1.631
PHF20	0.1619375
CPNE4	-1.02325
GTPBP1	-0.959
RAB33B	0.0213333333333333
ALDOC	-3.24875
ZNF212	0.556
NUDT1	-0.159166666666667
RFPL2	-0.02375
ZNF83	0.383166666666667
GDPD5	-1.5585
PDCD4	0.2456
CEP350	0.56575
OR10A2	-0.1215
CST7	-0.458
CIAO1	0.039
SELL	0.736125
OR8J3	-0.222
LTBP4	-0.0428333333333333
SIRT6	0.0035
CCL19	3.286
PPIL1	-0.205
GBP7	0.2242
STK17A	-0.88
ABR	-1.23475
OR9G1	0.298
FOXE1	-0.487875
CNGA3	-1.6245
GML	0.313
CD38	-3.6025
ZDHHC6	-0.604
NEFH	-3.5075
CTDSP2	1.32108333333333
PGBD5	-2.20433333333333
CCNY	1.22828571428571
RMND5B	-0.63525
ZNF257	1.42825
FLJ22167	0.021875
EXOSC7	-0.959833333333333
ROR2	0.11375
MAOA	-2.021625
TNNT3	0.180166666666667
GYPC	-2.00975
C7orf33	0.5835
PLIN	1.16366666666667
LOC90826	-0.7775
RNF4	-0.0046
F8A1	0.419
PLEKHG4	-4.16975
GRB2	0.05615
HIST1H2AD	-0.0215
DUS3L	-0.0826666666666667
EIF1	-0.573833333333333
RP5-1077B9.4	-0.726166666666667
FPGT	2.52225
GDF10	0.2245
COQ9	-0.423
GCC2	0.649214285714286
RARRES3	-1.063875
PLXNA1	-0.2853
KIAA0100	-0.8982
PMF1	-0.3015
FNDC1	5.83875
HS2ST1	0.91125
CRELD2	0.869
C8G	-0.7055
CD82	1.663
LIM2	-0.7415
UNQ6490	-0.573
MMP16	-0.5375
DRD3	0.1805
C5orf26	-0.8495
C11orf73	0.2735
PTP4A2	-0.27825
OR4M2	0.715
HPCA	0.572166666666667
SEC14L1	-1.05016666666667
CHFR	0.0615
EMILIN1	-0.085
NDUFS4	-1.49575
COL18A1	0.05925
PDZD3	0.2247
C9orf16	-0.3545
ERBB2IP	-0.425833333333333
EMX2	2.508
FUS	-0.38425
TF	-4.3682
CLCN4	2.1135
CXorf56	1.416
C11orf72	0.037
ELAC2	-0.821083333333333
NPR1	-0.75275
ASS1	-0.104
USP42	0.9765
POLR2J	-0.0515
SEC23IP	0.446
UQCRC1	-0.18325
LOC729603	-0.42575
C1orf71	0.10425
POLG	-1.683
ADAM23	-3.85225
TFR2	-1.09025
RICTOR	-1.28722222222222
MGC39606	3.39325
C19orf55	-0.14225
SNAPC1	-0.854333333333333
GNA11	0.29625
CCDC52	0.032
FSIP1	-1.2975
UPF3A	-0.409
IGSF11	-1.42416666666667
LAGE3	0.404
CHST6	-1.862
UNC13B	0.13975
TTLL4	2.24975
ZNF687	0.733625
SDC2	-1.1365
COX7A2	0.03625
LAMB4	0.13375
FAM24A	0.7135
LRRTM3	-0.6925
GPHB5	0.5355
OR4C13	0.192
EIF3EIP	0.268857142857143
HABP4	-0.717
TMEM125	3.6865
CNTN2	0.587
ASNSD1	1.20475
FUT4	0.83625
ACF	-4.0925
LOC158381	-0.2975
CDH8	-0.11575
AGPS	-1.2505
C4orf18	0.13
PECI	-0.278416666666667
UNG	0.65625
GSTP1	0.327875
DCUN1D5	1.10533333333333
DKFZP564J0863	-0.42975
SLC9A3R1	-0.896875
BCDO2	-0.570375
CHMP7	0.46325
REM2	0.1835
