Hybridization REF	TCGA-BH-A18I-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.2245
CREB3L1	1.91225
RPS11	0.089625
PNMA1	0.581
MMP2	1.8225
C10orf90	-1.6815
ZHX3	-0.686166666666667
ERCC5	0.137
GPR98	0.700125
RXFP3	0.0585
APBB2	1.86625
PRO0478	-0.876625
KLHL13	-0.2375
PRSSL1	-0.576333333333333
PDCL3	0.106166666666667
DECR1	0.581625
SALL1	-2.34233333333333
CADM4	0.670833333333333
RPS18	-0.105428571428571
HNRPD	-0.4585
CFHR5	0.0691666666666667
SLC10A7	0.344125
OR2K2	0.4295
LMAN1	-0.4405
SUHW1	-3.377
CHD8	-0.0486
SUMO1	0.1358
GP1BA	0.807
DDB1	-0.1725
MYO9B	0.0141
MMP7	7.12375
CRNKL1	0.490625
C9orf45	-1.31016666666667
XAB2	0.24675
RTN1	2.85325
KLHL14	-0.89125
TBX10	-0.644
CENPQ	-1.4955
UTY	-0.7295
ZBTB12	-0.1565
DTNBP1	-0.0202499999999999
KBTBD8	-0.337
ZEB1	1.07283333333333
ZG16	-1.0575
MIER1	0.8798
ADAM5P	-0.083
CHD9	-0.1130625
STK16	0.012
KIAA1486	-0.232
TOB2	0.345583333333333
BANK1	3.2865
OR2V2	0.1055
GRM2	0.0531666666666667
PROSC	0.66875
SPIN2B	0.27575
PIR	-3.45711111111111
IPO9	-0.4498
EVC	1.4525
CXCL13	4.97266666666667
KIAA1199	-0.3586
SORL1	1.63925
NAT10	-0.35175
CHD1	0.45075
SYN3	-0.38975
SLC22A2	-0.4505
SERPINF1	1.36533333333333
WDR34	0.08275
OR7A17	0.169333333333333
C9orf11	-0.0925
RNF216L	-0.1993
LHB	-0.1105
STK25	-0.30925
TAOK3	0.50675
LOC152573	-1.9795
C3orf39	0.7075
C14orf108	0.1964
CDC25B	-1.96063636363636
BMP3	-0.231
TMEM180	0.2685
MAP1LC3C	0.97525
CRYGC	0.494
POU3F1	-1.1708
C20orf32	-0.9365
CCDC95	0.087
HIGD1B	3.667
USP6NL	-0.502
ABCD4	-0.232
