Hybridization REF	TCGA-E2-A14Q-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0695833333333333
CREB3L1	0.9895
RPS11	1.178
PNMA1	0.9785
MMP2	0.333
C10orf90	-1.3655
ZHX3	-0.451833333333333
ERCC5	0.276
GPR98	0.4635
RXFP3	0.2945
APBB2	2.0845
PRO0478	-0.964875
KLHL13	0.04425
PRSSL1	0.411333333333333
PDCL3	0.667833333333333
DECR1	-1.475625
SALL1	-3.424
CADM4	1.01333333333333
RPS18	-0.376357142857143
HNRPD	-0.847083333333333
CFHR5	-0.152333333333333
SLC10A7	-0.60975
OR2K2	-0.5035
LMAN1	-1.16
SUHW1	-2.622
CHD8	0.1349
SUMO1	0.5089
GP1BA	0.5992
DDB1	-0.2135
MYO9B	-0.3887
MMP7	7.1105
CRNKL1	0.4245
C9orf45	-0.881333333333333
XAB2	0.652125
RTN1	2.225
KLHL14	-0.84175
TBX10	-0.62
CENPQ	-1.399
UTY	-0.478571428571429
ZBTB12	-0.321
DTNBP1	-0.28375
KBTBD8	-1.73116666666667
ZEB1	0.321333333333333
ZG16	-1.22575
MIER1	0.8487
ADAM5P	0.2175
CHD9	0.4078125
STK16	-0.0085
KIAA1486	-0.188
TOB2	0.752833333333333
BANK1	1.51275
OR2V2	0.487
GRM2	0.0655
PROSC	0.805
SPIN2B	0.04
PIR	-2.81533333333333
IPO9	-0.3234
EVC	0.693
CXCL13	2.877
KIAA1199	-1.7914
SORL1	2.14175
NAT10	-0.7365
CHD1	-0.035
SYN3	-0.14625
SLC22A2	-0.21425
SERPINF1	0.3575
WDR34	0.18525
OR7A17	0.135
C9orf11	-0.0825
RNF216L	-0.3965
LHB	-0.165
STK25	-0.11425
TAOK3	1.173
LOC152573	-2.11575
C3orf39	0.1085
C14orf108	0.6743
CDC25B	-2.38372727272727
BMP3	0.377
TMEM180	-0.1665
MAP1LC3C	0.081
CRYGC	-0.0105
POU3F1	-1.0335
C20orf32	-0.4655
CCDC95	0.172
HIGD1B	3.088
USP6NL	-0.297
ABCD4	0.252
DIMT1L	-0.91625
TEK	1.27275
SLC25A46	-1.1125
LARP7	-1.7502
CD160	0.707166666666667
MT1JP	0.6125
PHF20	-0.069875
CPNE4	-0.7095
GTPBP1	-0.420785714285714
RAB33B	0.760666666666667
ALDOC	-2.86275
ZNF212	-0.4375
NUDT1	-0.762333333333333
RFPL2	-0.74575
ZNF83	0.239
GDPD5	-0.74675
PDCD4	1.60105
CEP350	0.33975
OR10A2	0.111
CST7	0.50675
CIAO1	-0.958
SELL	0.7175
OR8J3	0.2855
LTBP4	0.0461666666666667
SIRT6	0.1365
CCL19	4.5125
PPIL1	-1.16233333333333
GBP7	0.2145
STK17A	-0.9004
ABR	0.408
OR9G1	0.4605
FOXE1	-0.3405
CNGA3	0.61
GML	0.266
CD38	-2.648
ZDHHC6	-0.0241666666666667
NEFH	-1.595
CTDSP2	0.5425
PGBD5	-0.609166666666667
CCNY	0.2955
RMND5B	0.701083333333333
ZNF257	0.1105
FLJ22167	-0.613
EXOSC7	-0.506
ROR2	0.63775
MAOA	-0.256
TNNT3	0.991333333333333
GYPC	-1.15675
C7orf33	0.685
PLIN	2.49166666666667
LOC90826	-0.47975
RNF4	0.3315
F8A1	0.597666666666667
PLEKHG4	-2.02225
GRB2	0.6396
HIST1H2AD	0.66725
DUS3L	-0.7965
EIF1	-0.356333333333333
RP5-1077B9.4	-1.19366666666667
FPGT	0.48925
GDF10	0.646333333333333
COQ9	-0.215
GCC2	0.582714285714286
