Hybridization REF	TCGA-E2-A15L-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.80125
CREB3L1	1.48425
RPS11	0.05925
PNMA1	-0.00825
MMP2	1.256
C10orf90	-2.477
ZHX3	-0.0331666666666667
ERCC5	-0.07
GPR98	2.20228571428571
RXFP3	0.7535
APBB2	1.3235
PRO0478	-1.2845
KLHL13	-3.16275
PRSSL1	-0.913
PDCL3	0.530333333333333
DECR1	-0.25875
SALL1	-1.96783333333333
CADM4	1.1325
RPS18	0.052
HNRPD	-0.5525
CFHR5	1.218
SLC10A7	0.3965
OR2K2	-0.848
LMAN1	-0.248625
SUHW1	-3.47725
CHD8	-0.4356
SUMO1	0.508
GP1BA	-0.5306
DDB1	-0.213
MYO9B	-0.0294
MMP7	6.06625
CRNKL1	1.035625
C9orf45	-2.08883333333333
XAB2	0.425375
RTN1	2.8885
KLHL14	-1.02814285714286
TBX10	-1.254
CENPQ	-1.53525
UTY	-1.05892857142857
ZBTB12	0.6725
DTNBP1	-0.168625
KBTBD8	-1.52516666666667
ZEB1	0.967166666666667
ZG16	-1.3355
MIER1	0.2254
ADAM5P	0.853
CHD9	-0.725375
STK16	1.11675
KIAA1486	-1.171
TOB2	0.685666666666667
BANK1	1.1225
OR2V2	0.68325
GRM2	0.248666666666667
PROSC	0.422
SPIN2B	-0.3075
PIR	-2.44177777777778
IPO9	-0.3523
EVC	1.22333333333333
CXCL13	1.602
KIAA1199	1.126
SORL1	1.3515
NAT10	-0.515
CHD1	0.234
SYN3	-0.71675
SLC22A2	-0.506
SERPINF1	1.46183333333333
WDR34	-0.44625
OR7A17	-0.4845
C9orf11	0.014
RNF216L	-0.7166
LHB	-0.3465
STK25	0.048375
TAOK3	-0.254875
LOC152573	-2.71066666666667
C3orf39	0.228
C14orf108	0.1786
CDC25B	-2.03436363636364
BMP3	1.0245
TMEM180	-0.0025
MAP1LC3C	-0.5445
CRYGC	-1.6275
POU3F1	-1.7799
C20orf32	-1.564
CCDC95	-0.5795
HIGD1B	3.8
USP6NL	-0.88925
ABCD4	-0.498166666666667
DIMT1L	0.114333333333333
TEK	0.706125
SLC25A46	-0.33825
LARP7	-1.7743
CD160	-1.1815
MT1JP	-1.01
PHF20	-0.0713125
CPNE4	-0.89925
GTPBP1	-0.342857142857143
RAB33B	1.19633333333333
ALDOC	-3.196625
ZNF212	-0.48775
NUDT1	-1.1375
RFPL2	-0.52
ZNF83	-0.124
GDPD5	-0.41
PDCD4	1.3985
CEP350	0.1235
OR10A2	0.191
CST7	1.17775
CIAO1	-0.96025
SELL	-0.314428571428571
OR8J3	1.705
LTBP4	-0.0295
SIRT6	-0.04175
CCL19	1.3955
PPIL1	-0.950666666666667
GBP7	0.1316
STK17A	-0.9313
ABR	0.226
OR9G1	-0.0295
FOXE1	-0.321125
CNGA3	2.9085
GML	0.256
CD38	-2.38625
ZDHHC6	-0.00683333333333333
NEFH	-2.2745
CTDSP2	0.577666666666667
PGBD5	-0.955166666666667
CCNY	0.231214285714286
RMND5B	0.516166666666667
ZNF257	-1.8405
FLJ22167	-0.43875
EXOSC7	-0.2185
ROR2	2.499625
MAOA	1.46675
TNNT3	0.069
GYPC	-1.56825
C7orf33	0.806
PLIN	2.22683333333333
LOC90826	-0.112
RNF4	-0.1046
F8A1	-0.0613333333333333
PLEKHG4	0.08
GRB2	0.35775
HIST1H2AD	0.6815
DUS3L	-0.596
EIF1	-0.132166666666667
RP5-1077B9.4	-1.21033333333333
FPGT	1.60375
GDF10	-1.26516666666667
COQ9	-0.7015
GCC2	0.502928571428572
RARRES3	2.44675
PLXNA1	-0.4665
KIAA0100	-0.2378
PMF1	0.12375
FNDC1	6.252
HS2ST1	0.0108333333333333
CRELD2	0.55275
C8G	-1.644
CD82	0.5015
LIM2	-1.0235
UNQ6490	1.511
MMP16	0.1455
DRD3	-0.3445
C5orf26	-0.00250000000000001
C11orf73	-0.355125
PTP4A2	0.999
OR4M2	0.5225
HPCA	-1.3575
SEC14L1	-0.7015
CHFR	-0.165375
EMILIN1	1.29225
NDUFS4	0.30275
COL18A1	1.032875
PDZD3	-0.3433
C9orf16	-0.013
ERBB2IP	0.827
EMX2	3.23325
FUS	-1.025
TF	-4.56277777777778
CLCN4	-0.607166666666667
CXorf56	-0.07275
C11orf72	0.202
ELAC2	-0.474333333333333
NPR1	-0.602
ASS1	-3.28216666666667
USP42	-0.293
POLR2J	-0.7455
SEC23IP	1.2175
UQCRC1	0.001
LOC729603	-0.756
C1orf71	0.3355
POLG	-0.879
ADAM23	-3.4975
TFR2	-1.3615
RICTOR	-0.5449
MGC39606	-0.072
C19orf55	-0.337125
SNAPC1	-1.44416666666667
GNA11	0.988875
CCDC52	0.984
FSIP1	5.574
UPF3A	-0.30925
IGSF11	-2.31183333333333
LAGE3	0.56025
CHST6	-0.762
UNC13B	0.48975
TTLL4	-1.63125
ZNF687	0.25275
SDC2	0.012
