Hybridization REF	TCGA-BH-A18N-11A-43R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.155916666666667
CREB3L1	-0.29225
RPS11	0.638125
PNMA1	0.87375
MMP2	0.268
C10orf90	0.3205
ZHX3	0.0638333333333333
ERCC5	0.2325
GPR98	-0.583375
RXFP3	-0.0065
APBB2	1.604
PRO0478	-0.864875
KLHL13	1.4445
PRSSL1	0.127333333333333
PDCL3	0.740833333333333
DECR1	0.28
SALL1	-2.32766666666667
CADM4	-0.290666666666667
RPS18	0.0637142857142857
HNRPD	-0.223916666666667
CFHR5	-0.59425
SLC10A7	0.633125
OR2K2	1.943
LMAN1	-0.603
SUHW1	-3.67025
CHD8	-0.8317
SUMO1	0.5569
GP1BA	0.141
DDB1	-1.22216666666667
MYO9B	-0.8728
MMP7	6.86525
CRNKL1	0.42125
C9orf45	-1.15616666666667
XAB2	-0.0565
RTN1	2.02625
KLHL14	-0.1255
TBX10	-0.856
CENPQ	-0.802
UTY	-1.16923076923077
ZBTB12	2.1585
DTNBP1	0.657875
KBTBD8	-1.146
ZEB1	1.003
ZG16	-0.99375
MIER1	0.8921
ADAM5P	0.289
CHD9	0.5985
STK16	-0.53075
KIAA1486	0.1805
TOB2	0.253083333333333
BANK1	6.22725
OR2V2	0.31975
GRM2	-0.322666666666667
PROSC	0.10475
SPIN2B	0.74575
PIR	-0.494444444444445
IPO9	-1.5312
EVC	0.780666666666667
CXCL13	0.3366
KIAA1199	-2.4008
SORL1	1.39875
NAT10	-1.94575
CHD1	-0.0435
SYN3	0.06025
SLC22A2	0.338
SERPINF1	1.54616666666667
WDR34	-2.1125
OR7A17	0.52
C9orf11	-0.542
RNF216L	-0.4103
LHB	-0.7805
STK25	-1.296875
TAOK3	0.857125
LOC152573	0.211
C3orf39	0.24525
C14orf108	0.9534
CDC25B	-2.49727272727273
BMP3	0.6995
TMEM180	-0.4355
MAP1LC3C	3.51875
CRYGC	0.7275
POU3F1	-1.72777777777778
C20orf32	-1.266
CCDC95	-1.2465
HIGD1B	4.415
USP6NL	0.5405
ABCD4	0.684
DIMT1L	-0.0408333333333333
TEK	2.677
SLC25A46	0.0605
LARP7	-1.1526
CD160	0.6855
MT1JP	0.410166666666667
PHF20	-0.3590625
CPNE4	-0.611
GTPBP1	-0.367857142857143
RAB33B	2.44116666666667
ALDOC	-0.578125
ZNF212	-0.0975
NUDT1	-1.48766666666667
RFPL2	-1.56366666666667
ZNF83	0.744
GDPD5	0.188875
PDCD4	2.0977
CEP350	0.0365
OR10A2	0.01775
CST7	0.09
CIAO1	-1.72275
SELL	0.47625
OR8J3	-0.2445
LTBP4	0.015
SIRT6	-1.037
CCL19	4.79425
PPIL1	-1.288
GBP7	0.450333333333333
STK17A	-0.294
ABR	0.839
OR9G1	0.0605
FOXE1	-0.703875
CNGA3	1.719
GML	-0.4285
CD38	-0.73375
ZDHHC6	-0.0543333333333333
NEFH	-2.658
CTDSP2	0.874
PGBD5	-2.37583333333333
CCNY	-0.396071428571429
RMND5B	-0.182583333333333
ZNF257	-0.64825
FLJ22167	-0.35575
EXOSC7	-0.439666666666667
ROR2	-0.158625
MAOA	4.017125
TNNT3	3.13466666666667
GYPC	0.106
C7orf33	0.429
PLIN	4.90583333333333
LOC90826	0.83675
RNF4	-0.3292
F8A1	0.221
PLEKHG4	-0.62675
GRB2	-0.893
HIST1H2AD	-0.81675
DUS3L	-1.63283333333333
EIF1	0.3845
RP5-1077B9.4	-1.62183333333333
FPGT	1.49875
GDF10	4.39
COQ9	-0.91875
GCC2	0.931857142857143
RARRES3	2.487875
PLXNA1	-0.3616
KIAA0100	-0.4001
PMF1	-1.19425
FNDC1	2.811
HS2ST1	-0.7315
CRELD2	-0.65975
C8G	-2.3015
CD82	0.16775
LIM2	-0.713
UNQ6490	-1.967
MMP16	-0.42575
DRD3	-0.16525
C5orf26	0.73425
C11orf73	-0.03175
PTP4A2	0.208125
