Hybridization REF	TCGA-E2-A158-11A-22R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.2155
CREB3L1	0.40225
RPS11	0.263125
PNMA1	1.071
MMP2	1.50916666666667
C10orf90	-0.12125
ZHX3	0.337333333333333
ERCC5	0.6285
GPR98	-2.623375
RXFP3	0.493
APBB2	1.8515
PRO0478	-0.433
KLHL13	0.36025
PRSSL1	-0.185
PDCL3	0.326166666666667
DECR1	1.48375
SALL1	-3.39083333333333
CADM4	0.571833333333333
RPS18	-0.231571428571428
HNRPD	-0.404916666666667
CFHR5	-0.069
SLC10A7	0.312375
OR2K2	-0.8735
LMAN1	-1.132
SUHW1	-3.3965
CHD8	-0.4778
SUMO1	0.1421
GP1BA	1.1239
DDB1	-0.391833333333333
MYO9B	-0.0251
MMP7	0.591
CRNKL1	-0.198125
C9orf45	-1.46633333333333
XAB2	0.387875
RTN1	1.90575
KLHL14	-0.5435
TBX10	-1.164
CENPQ	-1.91125
UTY	-0.852538461538462
ZBTB12	-0.5415
DTNBP1	-0.151625
KBTBD8	-1.39633333333333
ZEB1	2.59283333333333
ZG16	-0.79
MIER1	0.7101
ADAM5P	-0.201
CHD9	0.469875
STK16	-0.82725
KIAA1486	0.0185
TOB2	1.1295
BANK1	5.0025
OR2V2	0.1385
GRM2	-0.115
PROSC	0.97525
SPIN2B	0.48275
PIR	-0.204555555555556
IPO9	-0.7173
EVC	1.16733333333333
CXCL13	0.375
KIAA1199	-3.75755555555556
SORL1	-0.05575
NAT10	-0.94875
CHD1	-1.064
SYN3	0.125
SLC22A2	1.1575
SERPINF1	2.9745
WDR34	-1.94575
OR7A17	0.30975
C9orf11	0.757
RNF216L	-0.2892
LHB	-0.1695
STK25	-0.1975
TAOK3	0.734125
LOC152573	0.53075
C3orf39	0.587125
C14orf108	0.0463
CDC25B	-2.10381818181818
BMP3	0.7085
TMEM180	0.1315
MAP1LC3C	4.1615
CRYGC	-1.062
POU3F1	-1.3181
C20orf32	-1.2215
CCDC95	-0.526
HIGD1B	4.4965
USP6NL	-0.02125
ABCD4	0.1635
DIMT1L	-0.476416666666667
TEK	3.46475
SLC25A46	-0.028
LARP7	-1.3678
CD160	1.1995
MT1JP	1.45283333333333
PHF20	-0.3364375
CPNE4	0.11425
GTPBP1	-0.295428571428571
RAB33B	1.63916666666667
ALDOC	-0.66825
ZNF212	-0.40775
NUDT1	-1.10816666666667
RFPL2	-1.88075
ZNF83	0.0571666666666667
GDPD5	1.332125
PDCD4	1.21855
CEP350	-0.06525
OR10A2	0.4715
CST7	1.08225
CIAO1	-0.927
SELL	1.544125
OR8J3	-0.0565
LTBP4	2.35266666666667
SIRT6	-0.6255
CCL19	3.86525
PPIL1	-2.41266666666667
GBP7	0.140333333333333
STK17A	-1.1383
ABR	0.7805
OR9G1	-0.2135
FOXE1	-0.882375
CNGA3	0.1605
GML	0.366
CD38	-1.9985
ZDHHC6	-0.161333333333333
NEFH	-3.16475
CTDSP2	1.40425
PGBD5	-1.57466666666667
CCNY	0.533
RMND5B	0.37575
ZNF257	-2.00325
FLJ22167	-0.088125
EXOSC7	-0.598666666666667
ROR2	-0.532125
MAOA	4.634625
TNNT3	4.6055
GYPC	1.82475
C7orf33	1.4685
PLIN	5.11733333333333
LOC90826	0.07675
RNF4	-0.3991
F8A1	0.611666666666667
PLEKHG4	-1.4815
GRB2	-0.01675
HIST1H2AD	-1.612
DUS3L	-0.62
EIF1	0.649
RP5-1077B9.4	-0.9315
FPGT	1.02625
GDF10	5.4115
COQ9	0.22525
GCC2	-0.101785714285714
RARRES3	1.205125
PLXNA1	-0.4249
KIAA0100	-0.2135
PMF1	-0.45525
FNDC1	5.4645
HS2ST1	-0.100916666666667
CRELD2	-0.05925
C8G	-1.468
CD82	0.58275
LIM2	-0.918
UNQ6490	1.2365
MMP16	-0.5545
DRD3	-0.407
C5orf26	-0.52875
C11orf73	0.276875
PTP4A2	0.360125
OR4M2	0.6095
HPCA	-0.9535
SEC14L1	-0.257666666666667
CHFR	-0.53525
EMILIN1	1.109625
NDUFS4	0.4615
COL18A1	0.88575
PDZD3	0.9728
C9orf16	-0.113
ERBB2IP	-0.3915
EMX2	5.7285
FUS	-1.502
TF	-1.009
CLCN4	1.674
CXorf56	0.66
C11orf72	0.076
ELAC2	-0.295333333333333
NPR1	3.8675
ASS1	0.565166666666667
USP42	-0.59475
POLR2J	-0.839
SEC23IP	-0.0666666666666667
UQCRC1	-0.11425
LOC729603	0.257
C1orf71	-0.228875
POLG	-3.2555
ADAM23	-3.26325
TFR2	-1.931
RICTOR	-0.6456
MGC39606	1.979
C19orf55	-0.580875
SNAPC1	-0.715833333333333
GNA11	0.9765
CCDC52	-1.004
FSIP1	-1.2355
UPF3A	-0.303875
IGSF11	-2.06433333333333
LAGE3	-0.94175
CHST6	-3.065
UNC13B	1.0355
TTLL4	-2.2585
ZNF687	-0.116375
SDC2	1.6291
COX7A2	0.00575
LAMB4	-0.42475
FAM24A	0.5135
LRRTM3	-0.804333333333333
GPHB5	-0.113
OR4C13	-0.306
EIF3EIP	0.185857142857143
HABP4	1.926
TMEM125	-0.11825
CNTN2	0.5565
ASNSD1	0.17325
FUT4	0.942625
ACF	-4.055
LOC158381	0.413
CDH8	-0.552333333333333
AGPS	-0.713666666666667
C4orf18	2.986625
PECI	0.16175
UNG	-0.516
GSTP1	0.049375
DCUN1D5	-1.53666666666667
DKFZP564J0863	-0.7555
SLC9A3R1	-1.781125
BCDO2	0.438625
CHMP7	0.117125
REM2	-0.0045
DNHD1	-0.819875
FKBP4	-1.979125
ZNF350	1.33625
MGC11102	-0.43375
BST1	3.4625
KISS1R	0.126
NCR2	-0.0625
DEFB125	0.147
UBE2W	0.995875
KRT15	-0.758125
C10orf99	0.204
SCN11A	1.21625
GFI1	-2.53225
RDHE2	-0.258
FHL1	4.43283333333333
OSGEP	-0.4125
GATA1	-3.41566666666667
SMC6	-1.254
TTTY14	-0.75775
LPIN3	-0.00125
RPL4	-0.2919
RBPMS	1.7214
PRPF3	-0.6845
EMR1	-2.926
SPATA19	-0.07325
XCR1	-0.2095
IRX3	0.3938
RBM6	-0.2175
KLF4	3.321
UNC5CL	-1.191
SEBOX	0.579
BTK	-0.41525
KRCC1	1.3895
C6orf27	0.0735
SYTL5	-1.6525
PRND	1.199625
LOC653319	-1.9035
PIGL	-1.72225
HUS1	-0.135666666666667
SFRS6	-0.996666666666667
C17orf77	0.482
UIMC1	-0.260333333333333
FXYD2	-1.4645
LOC283152	0.7295
ZNF667	0.627
ZCCHC12	-0.2775
TFEC	2.4485
ATP7B	-0.268
POLD2	-0.98
RG9MTD1	-0.609
ACOT2	2.56483333333333
HIST1H4I	-1.377
PPARGC1A	-0.2176
ETFA	0.2031
POLRMT	-0.76325
ZNF146	-0.383625
MIA2	-0.66
KLHL6	-1.384
HOXB5	0.324625
NENF	0.410166666666667
CUGBP1	-0.7115
PRSS22	-1.13166666666667
CASC4	1.456
CUL4B	0.1162
CENPJ	-1.4579
PITX1	-3.0075
FLJ31033	0.571
CELSR3	-3.03966666666667
ZNF568	0.58975
ITSN1	1.68983333333333
EHBP1L1	0.2695
C19orf2	-0.796
DCTN1	0.5575
LIN28B	-3.22466666666667
TNKS2	-0.978
C1QBP	-1.402125
CADPS2	0.72625
SRMS	-0.4605
GJA9	0.272833333333333
MGC24975	-2.05633333333333
TRIM45	-1.13066666666667
TSP50	-0.1395
TCP1	-1.066
TMED7	0.0541
CMA1	3.6745
CENPL	-2.1045
PTCRA	0.793
FST	-2.77025
VWCE	-2.4135
PAWR	-0.732
ABCC12	0.7014
LDLR	-1.8131
ASTN2	-0.2072
LOC441212	-0.39375
GPATCH8	-0.21275
TANC2	-1.04033333333333
KIF4A	-4.47625
C18orf18	0.0495
PGM1	1.18775
KIAA0258	0.03975
CPD	0.087125
SNCAIP	0.5475
DCT	-4.99616666666667
HLA-DOA	2.21877272727273
OR11L1	0.087
UPK1B	-0.7234
DNAJB4	2.316125
UGT1A8	-0.2545
HIST1H4L	-1.711
PECR	1.62966666666667
HSPA2	1.722
WFIKKN1	-2.901
SERP1	0.196875
SYDE2	1.131
TACR2	0.481
NUP85	-1.14275
CD177	-0.883333333333333
LGR5	-2.06783333333333
PIGG	-0.661333333333333
