Hybridization REF	TCGA-BH-A0BO-01A-23R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.189333333333333
CREB3L1	1.1205
RPS11	0.2495
PNMA1	0.368
MMP2	1.7775
C10orf90	-2.00125
ZHX3	-0.391166666666667
ERCC5	-0.1995
GPR98	0.2045
RXFP3	-0.188
APBB2	1.50775
PRO0478	-1.068875
KLHL13	-0.23775
PRSSL1	-0.538
PDCL3	0.539333333333333
DECR1	0.126125
SALL1	-3.2625
CADM4	0.8115
RPS18	-0.0642142857142857
HNRPD	-0.19175
CFHR5	0.501
SLC10A7	0.1885
OR2K2	1.165
LMAN1	-0.308
SUHW1	-3.256
CHD8	-0.3255
SUMO1	0.4055
GP1BA	-0.0296
DDB1	-0.4355
MYO9B	0.0241
MMP7	6.922
CRNKL1	0.1815
C9orf45	-1.9935
XAB2	0.18375
RTN1	2.544875
KLHL14	-0.82475
TBX10	-1.507
CENPQ	-2.18475
UTY	-0.861083333333333
ZBTB12	0.186
DTNBP1	0.0872499999999999
KBTBD8	0.324666666666667
ZEB1	1.4135
ZG16	-1.64025
MIER1	0.9462
ADAM5P	0.704
CHD9	-0.22225
STK16	-0.547
KIAA1486	-0.553
TOB2	0.894833333333333
BANK1	3.59825
OR2V2	0.2535
GRM2	0.1725
PROSC	0.156
SPIN2B	0.0115
PIR	-2.67466666666667
IPO9	-0.738222222222222
EVC	1.36333333333333
CXCL13	3.01783333333333
KIAA1199	-1.4071
SORL1	1.87875
NAT10	-0.815
CHD1	0.7475
SYN3	-0.8245
SLC22A2	-0.981
SERPINF1	1.607
WDR34	-1.002
OR7A17	-0.13675
C9orf11	0.4735
RNF216L	-0.3406
LHB	-0.2845
STK25	-0.356875
TAOK3	0.32675
LOC152573	-1.221
C3orf39	0.60925
C14orf108	0.1598
CDC25B	-2.71081818181818
BMP3	0.457
TMEM180	0.011
MAP1LC3C	2.1075
CRYGC	-0.752
POU3F1	-1.7521
C20orf32	-0.7015
CCDC95	-0.781
HIGD1B	3.887
USP6NL	-0.054375
ABCD4	-0.106333333333333
DIMT1L	-0.288416666666667
TEK	1.939
SLC25A46	-0.44
LARP7	-1.3962
CD160	0.0153333333333333
MT1JP	3.17066666666667
PHF20	0.329375
CPNE4	-1.12325
GTPBP1	0.100214285714286
RAB33B	0.683166666666667
ALDOC	-2.70425
ZNF212	-0.5925
NUDT1	-1.66933333333333
RFPL2	-0.12675
ZNF83	-0.0741666666666667
GDPD5	-0.621625
PDCD4	2.0785
CEP350	-0.10525
OR10A2	0.05775
CST7	1.21425
CIAO1	-1.4255
SELL	2.0525
OR8J3	-0.7845
