Hybridization REF	TCGA-E2-A14S-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.11841666666667
CREB3L1	-0.43575
RPS11	0.489
PNMA1	0.295
MMP2	-0.9625
C10orf90	-2.5135
ZHX3	1.163
ERCC5	0.17625
GPR98	-1.349
RXFP3	0.2715
APBB2	1.9665
PRO0478	-0.729
KLHL13	-2.789
PRSSL1	-0.705833333333333
PDCL3	0.785666666666667
DECR1	0.43425
SALL1	-3.19383333333333
CADM4	0.778166666666667
RPS18	0.153857142857143
HNRPD	-0.138166666666667
CFHR5	-0.0116666666666666
SLC10A7	0.71975
OR2K2	0.745
LMAN1	-0.938625
SUHW1	-3.368
CHD8	-0.1829
SUMO1	0.5226
GP1BA	0.0503
DDB1	-0.0996666666666667
MYO9B	-0.2281
MMP7	1.53825
CRNKL1	0.39175
C9orf45	0.5845
XAB2	0.1765
RTN1	1.71275
KLHL14	-0.795625
TBX10	-1.2305
CENPQ	-0.87825
UTY	-0.917769230769231
ZBTB12	0.339
DTNBP1	-0.431125
KBTBD8	-1.09833333333333
ZEB1	0.0343333333333333
ZG16	-1.67425
MIER1	0.5776
ADAM5P	0.453
CHD9	-0.6405
STK16	0.9885
KIAA1486	-0.768
TOB2	1.03258333333333
BANK1	0.895
OR2V2	-0.24725
GRM2	-0.00750000000000002
PROSC	-0.56575
SPIN2B	0.444
PIR	-2.77855555555556
IPO9	-0.5517
EVC	-0.229
CXCL13	0.640333333333333
KIAA1199	-2.7259
SORL1	0.78725
NAT10	-0.297
CHD1	1.58975
SYN3	-0.51275
SLC22A2	-0.20725
SERPINF1	-0.876166666666667
WDR34	-0.295
OR7A17	0.3975
C9orf11	-0.298
RNF216L	-0.64
LHB	-0.444
STK25	-0.017625
TAOK3	0.834625
LOC152573	-2.475
C3orf39	1.01875
C14orf108	0.1265
CDC25B	-1.05736363636364
BMP3	0.396
TMEM180	-0.1175
MAP1LC3C	-0.1385
CRYGC	-0.38
POU3F1	-1.4617
C20orf32	-1.6045
CCDC95	-0.02
HIGD1B	3.8415
USP6NL	-0.15175
ABCD4	-0.423833333333333
DIMT1L	-0.39525
TEK	1.704625
SLC25A46	-0.538
LARP7	-1.105
CD160	0.296166666666667
MT1JP	-1.29016666666667
PHF20	1.2794375
CPNE4	-1.15525
GTPBP1	-0.520785714285714
RAB33B	1.08033333333333
ALDOC	-1.43325
ZNF212	-0.26225
NUDT1	-0.904333333333333
RFPL2	-1.8395
ZNF83	0.315
GDPD5	-1.102875
PDCD4	2.72515
CEP350	0.07575
OR10A2	-0.191
CST7	0.2115
CIAO1	-0.837
SELL	0.367875
OR8J3	0.4565
LTBP4	-0.3005
SIRT6	0.202
CCL19	2.9745
PPIL1	-0.5085
GBP7	0.0305
STK17A	-1.5177
ABR	0.41275
OR9G1	-0.9255
FOXE1	-0.706875
CNGA3	2.3465
GML	0.384
CD38	-2.296
ZDHHC6	0.877166666666667
NEFH	-2.264
CTDSP2	0.8085
PGBD5	-0.928833333333333
CCNY	0.156
RMND5B	0.982333333333333
ZNF257	-0.48925
FLJ22167	-0.442875
EXOSC7	-0.581333333333333
ROR2	-0.558
MAOA	-1.481875
TNNT3	0.215166666666667
GYPC	-1.26275
C7orf33	1.1
PLIN	2.94966666666667
LOC90826	0.32025
RNF4	0.4795
F8A1	-0.0131666666666667
PLEKHG4	-2.94825
GRB2	1.1886
HIST1H2AD	-0.954
DUS3L	-0.65
EIF1	-0.309833333333333
RP5-1077B9.4	-0.627333333333333
FPGT	1.82675
GDF10	0.179166666666667
COQ9	-0.8105
GCC2	-0.109428571428571
RARRES3	2.516875
PLXNA1	-1.0068
KIAA0100	0.1037
PMF1	-0.388
FNDC1	4.4315
HS2ST1	0.0759166666666666
CRELD2	1.425
C8G	-2.1365
CD82	1.01675
LIM2	-1.102
UNQ6490	-0.2835
MMP16	0.18675
DRD3	0.1925
C5orf26	0.5905
C11orf73	-1.404875
PTP4A2	0.344875
OR4M2	0.483
HPCA	-1.63766666666667
SEC14L1	-1.2085
CHFR	-0.42325
EMILIN1	-0.198375
NDUFS4	0.1075
COL18A1	-0.537125
PDZD3	-0.2425
C9orf16	-0.2325
ERBB2IP	0.820833333333333
EMX2	1.57975
FUS	-0.78575
TF	-4.8576
CLCN4	-0.819333333333333
CXorf56	0.23225
C11orf72	0.25425
ELAC2	-1.02291666666667
NPR1	-0.596
ASS1	-3.1675
USP42	-0.051125
POLR2J	-0.4035
SEC23IP	0.477166666666667
UQCRC1	-0.10375
LOC729603	-0.6895
C1orf71	-0.442625
POLG	-1.3885
ADAM23	-3.1685
TFR2	-1.73425
RICTOR	-0.4873
MGC39606	0.35
C19orf55	-0.32825
SNAPC1	-1.45
GNA11	0.786375
CCDC52	0.4795
FSIP1	1.6655
UPF3A	-0.049
IGSF11	-2.52166666666667
LAGE3	0.19425
CHST6	-3.665
UNC13B	1.021875
TTLL4	-1.5165
ZNF687	-0.318375
SDC2	-1.4114
COX7A2	-1.0745
LAMB4	0.26375
FAM24A	0.278
LRRTM3	-0.862833333333333
GPHB5	0.04525
OR4C13	-0.8165
EIF3EIP	0.749285714285714
HABP4	-0.673
TMEM125	3.74875
CNTN2	-0.127625
ASNSD1	-0.244
FUT4	-0.84
ACF	-4.08825
