Hybridization REF	TCGA-E2-A15A-06A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.939833333333333
CREB3L1	-0.023
RPS11	-0.10025
PNMA1	0.50475
MMP2	-1.09033333333333
C10orf90	-2.17625
ZHX3	-0.324833333333333
ERCC5	-0.33075
GPR98	0.14975
RXFP3	0.0045
APBB2	1.43775
PRO0478	-0.949125
KLHL13	-3.533
PRSSL1	-0.334833333333333
PDCL3	0.875333333333333
DECR1	1.207875
SALL1	-3.4226
CADM4	-0.1655
RPS18	-0.0538571428571428
HNRPD	0.0134166666666667
CFHR5	0.258333333333333
SLC10A7	0.124375
OR2K2	-0.4825
LMAN1	-1.451375
SUHW1	-2.93225
CHD8	-0.4821
SUMO1	0.4056
GP1BA	2.7221
DDB1	0.254833333333333
MYO9B	0.2927
MMP7	1.74525
CRNKL1	1.475625
C9orf45	-0.896
XAB2	0.181875
RTN1	1.074875
KLHL14	-0.458125
TBX10	-0.454
CENPQ	-0.17775
UTY	-0.505571428571429
ZBTB12	-0.0985
DTNBP1	0.148
KBTBD8	-0.229
ZEB1	-0.170833333333333
ZG16	-0.38325
MIER1	-0.00460000000000001
ADAM5P	-0.034
CHD9	-0.25925
STK16	1.27
KIAA1486	-0.364
TOB2	0.7825
BANK1	5.05125
OR2V2	0.0765
GRM2	-0.0435
PROSC	1.6135
SPIN2B	0.65575
PIR	-0.800444444444444
IPO9	-0.134625
EVC	-0.272666666666667
CXCL13	4.665
KIAA1199	-1.59
SORL1	1.02025
NAT10	-0.44225
CHD1	-0.301
SYN3	-0.30975
SLC22A2	0.469
SERPINF1	0.35
WDR34	0.096
OR7A17	0.3155
C9orf11	-0.322
RNF216L	-0.256
LHB	-0.3685
STK25	-0.354375
TAOK3	0.480125
LOC152573	1.55325
C3orf39	0.199875
C14orf108	0.0864
CDC25B	-0.809909090909091
BMP3	0.107
TMEM180	0.311
MAP1LC3C	0.92725
CRYGC	0.096
POU3F1	-1.0924
C20orf32	-0.91
