Hybridization REF	TCGA-BH-A0C1-01B-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.7405
CREB3L1	1.99425
RPS11	0.300875
PNMA1	-0.306
MMP2	1.90883333333333
C10orf90	-2.394
ZHX3	-0.320333333333333
ERCC5	-0.32075
GPR98	-2.043375
RXFP3	0.5165
APBB2	1.53875
PRO0478	-1.13125
KLHL13	-2.07425
PRSSL1	-0.331833333333333
PDCL3	0.327833333333333
DECR1	0.54525
SALL1	-3.32933333333333
CADM4	1.3795
RPS18	0.389357142857143
HNRPD	-0.489833333333333
CFHR5	0.2995
SLC10A7	0.378875
OR2K2	null
LMAN1	-0.190375
SUHW1	-3.36925
CHD8	-0.1976
SUMO1	0.6178
GP1BA	0.7931
DDB1	-0.032
MYO9B	0.1403
MMP7	5.8635
CRNKL1	1.194625
C9orf45	-1.84033333333333
XAB2	0.969625
RTN1	1.889625
KLHL14	-0.713625
TBX10	-0.8635
CENPQ	-1.618
UTY	-2.36090909090909
ZBTB12	0.8255
DTNBP1	-0.189375
KBTBD8	-1.61533333333333
ZEB1	0.837666666666667
ZG16	-1.589
MIER1	-0.00799999999999999
ADAM5P	-1.784
CHD9	-0.4165625
STK16	-0.47875
KIAA1486	-0.9025
TOB2	0.7815
BANK1	2.862
OR2V2	0.181
GRM2	0.128166666666667
PROSC	-0.074
SPIN2B	0.39725
PIR	-2.69522222222222
IPO9	0.2643
EVC	1.281
CXCL13	4.48016666666667
KIAA1199	-0.7021
SORL1	1.49775
NAT10	-0.24425
CHD1	-0.016
SYN3	-0.474
SLC22A2	-0.657
SERPINF1	0.878333333333333
WDR34	-0.717
OR7A17	0.43325
C9orf11	-0.2375
RNF216L	-0.6816
LHB	-0.1285
STK25	-0.618125
TAOK3	0.12425
LOC152573	-0.43775
C3orf39	-0.144
C14orf108	0.6598
CDC25B	-1.643
BMP3	0.5255
TMEM180	0.1905
MAP1LC3C	0.4795
CRYGC	-1.341
POU3F1	-0.9165
C20orf32	-1.3565
CCDC95	-0.4885
HIGD1B	3.73625
USP6NL	0.41375
ABCD4	-0.512833333333333
DIMT1L	0.0430833333333333
TEK	1.294125
SLC25A46	-0.42425
LARP7	-1.4508
CD160	1.09466666666667
MT1JP	-0.375666666666667
PHF20	0.0464375
CPNE4	-2.316
GTPBP1	-0.150285714285714
RAB33B	2.0085
ALDOC	-3.035875
ZNF212	-0.07325
NUDT1	-0.9665
RFPL2	-0.20625
ZNF83	-0.0283333333333333
GDPD5	-0.979375
PDCD4	1.37745
CEP350	0.64225
OR10A2	0.13475
CST7	1.6615
CIAO1	-0.92275
SELL	1.678375
OR8J3	0.435
LTBP4	-0.0965
SIRT6	0.03225
CCL19	4.433
PPIL1	-0.979333333333333
GBP7	-0.54525
STK17A	-0.5044
ABR	-0.449
OR9G1	0.1445
FOXE1	-0.649375
CNGA3	0.9715
GML	0.475
CD38	-2.0545
ZDHHC6	-0.2965
NEFH	-0.7505
CTDSP2	1.15016666666667
PGBD5	-1.3505
CCNY	0.149071428571429
RMND5B	0.6065
ZNF257	-1.51025
FLJ22167	-0.018625
EXOSC7	-0.806833333333333
ROR2	2.032625
MAOA	-1.0325
TNNT3	0.2245
GYPC	-1.13
C7orf33	1.3315
PLIN	0.573333333333333
LOC90826	-0.14
RNF4	-0.0374
F8A1	0.244333333333333
PLEKHG4	-1.43625
GRB2	-0.353
HIST1H2AD	-0.185
DUS3L	-0.324
EIF1	-0.305666666666667
RP5-1077B9.4	-1.35983333333333
FPGT	1.1155
GDF10	-0.0938333333333333
COQ9	-0.886
GCC2	0.413785714285714
RARRES3	2.4835
PLXNA1	-0.6438
KIAA0100	-0.9834
PMF1	0.965
FNDC1	5.358
HS2ST1	0.06225
CRELD2	0.5025
C8G	-1.743
CD82	1.302
LIM2	-0.9745
UNQ6490	0.025
