Hybridization REF	TCGA-BH-A18T-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.259916666666667
CREB3L1	2.37775
RPS11	0.29875
PNMA1	-0.07
MMP2	0.973
C10orf90	-2.398
ZHX3	0.291166666666667
ERCC5	-0.009
GPR98	0.204571428571429
RXFP3	0.603
APBB2	2.1465
PRO0478	-0.73375
KLHL13	-0.41375
PRSSL1	-0.686833333333333
PDCL3	0.230833333333333
DECR1	-0.441625
SALL1	-2.64033333333333
CADM4	1.06383333333333
RPS18	0.0521428571428571
HNRPD	-1.0755
CFHR5	0.10625
SLC10A7	0.337875
OR2K2	0.676
LMAN1	-1.2215
SUHW1	-3.794
CHD8	0.4241
SUMO1	0.2249
GP1BA	0.2633
DDB1	-0.348333333333333
MYO9B	-0.5459
MMP7	6.3045
CRNKL1	1.029375
C9orf45	-1.54633333333333
XAB2	-0.425125
RTN1	1.1605
KLHL14	-1.46275
TBX10	3.2155
CENPQ	-1.07625
UTY	-1.77942857142857
ZBTB12	0.0365
DTNBP1	0.616875
KBTBD8	-2.0385
ZEB1	0.115666666666667
ZG16	-0.91125
MIER1	-0.0826
ADAM5P	-2.0625
CHD9	0.135375
STK16	-0.2305
KIAA1486	-0.0155
TOB2	0.493
BANK1	2.82075
OR2V2	0.07025
GRM2	0.395666666666667
PROSC	-1.320625
SPIN2B	1.416
PIR	-2.27466666666667
IPO9	-0.4499
EVC	1.56383333333333
CXCL13	7.46783333333333
KIAA1199	-1.3909
SORL1	1.27375
NAT10	-0.4815
CHD1	-0.241
SYN3	-0.576
SLC22A2	0.0355
SERPINF1	1.1015
WDR34	-0.3835
OR7A17	0.741
C9orf11	-0.3925
RNF216L	-0.2153
LHB	-0.0775
STK25	-0.970625
TAOK3	1.06025
LOC152573	-4.2025
C3orf39	0.09225
C14orf108	0.5814
CDC25B	-1.87081818181818
BMP3	0.1785
TMEM180	0.3235
MAP1LC3C	0.17075
CRYGC	-1.1885
POU3F1	-1.6579
C20orf32	-1.359
CCDC95	-0.1275
HIGD1B	4.53475
USP6NL	0.038375
ABCD4	0.6585
DIMT1L	-0.526666666666667
TEK	1.396625
SLC25A46	0.02375
LARP7	-1.1481
CD160	-0.6135
MT1JP	-1.40266666666667
PHF20	-0.0235625
CPNE4	-1.234
GTPBP1	-0.681714285714286
RAB33B	1.125
ALDOC	-2.488375
ZNF212	-0.145
NUDT1	-0.4725
RFPL2	0.171
ZNF83	1.5785
GDPD5	-0.45875
PDCD4	2.27775
CEP350	0.09575
OR10A2	0.20375
CST7	-0.89375
CIAO1	-0.3335
SELL	0.011375
OR8J3	1.652
LTBP4	-0.376666666666667
SIRT6	-0.315
CCL19	4.66825
PPIL1	0.105166666666667
GBP7	-0.6735
STK17A	-1.0816
ABR	0.7
OR9G1	-0.0015
FOXE1	-0.456
CNGA3	0.408
GML	0.0705
CD38	-3.45325
ZDHHC6	-0.0838333333333333
NEFH	1.4095
CTDSP2	0.552083333333333
PGBD5	-2.06383333333333
CCNY	0.281428571428571
RMND5B	0.768583333333333
ZNF257	-1.4495
FLJ22167	-0.697875
EXOSC7	-0.4725
ROR2	1.2755
MAOA	-0.024875
TNNT3	1.28533333333333
GYPC	-1.23725
C7orf33	-0.035
PLIN	3.28616666666667
LOC90826	-0.21325
RNF4	-0.3252
F8A1	0.278166666666667
PLEKHG4	-1.98275
GRB2	-0.4414
HIST1H2AD	0.85775
DUS3L	-1.41966666666667
EIF1	0.0646666666666667
RP5-1077B9.4	-1.39416666666667
FPGT	1.21525
GDF10	0.322
COQ9	-0.36525
GCC2	0.160357142857143
RARRES3	3.115
PLXNA1	-0.2674
KIAA0100	-0.2254
PMF1	-0.04525
FNDC1	6.1195
HS2ST1	-0.217583333333333
CRELD2	0.0985
C8G	-2.282
CD82	0.451
LIM2	-0.4145
UNQ6490	-0.544
MMP16	0.78325
DRD3	0.67825
C5orf26	0.102
C11orf73	0.038375
PTP4A2	0.768875
OR4M2	0.8755
HPCA	-1.62566666666667
SEC14L1	-0.456666666666667
CHFR	0.379625
EMILIN1	1.27575
NDUFS4	0.43925
COL18A1	0.4215
PDZD3	-0.3028
C9orf16	-0.2825
ERBB2IP	0.340166666666667
EMX2	5.2205
FUS	-1.168
TF	-3.6004
CLCN4	-0.754333333333333
CXorf56	0.3595
C11orf72	0.6935
ELAC2	-0.234083333333333
NPR1	-0.69625
