Hybridization REF	TCGA-E2-A14V-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.238916666666667
CREB3L1	2.0955
RPS11	0.50875
PNMA1	-0.08125
MMP2	0.720166666666667
C10orf90	-3.066
ZHX3	-0.129833333333333
ERCC5	-0.103
GPR98	0.738125
RXFP3	0.596
APBB2	1.38775
PRO0478	-0.941125
KLHL13	-1.4185
PRSSL1	-0.531666666666667
PDCL3	0.563833333333333
DECR1	-0.448125
SALL1	-3.61116666666667
CADM4	0.4675
RPS18	0.397357142857143
HNRPD	-0.1995
CFHR5	0.249166666666667
SLC10A7	-0.276125
OR2K2	0.5105
LMAN1	-0.158625
SUHW1	-3.62
CHD8	-0.2495
SUMO1	0.9353
GP1BA	-0.0813
DDB1	-0.685166666666667
MYO9B	-0.5697
MMP7	6.7765
CRNKL1	1.30075
C9orf45	-1.6175
XAB2	0.378125
RTN1	0.990375
KLHL14	-2.57025
TBX10	-1.1245
CENPQ	0.1255
UTY	-0.184083333333333
ZBTB12	0.252
DTNBP1	0.037125
KBTBD8	-2.895
ZEB1	-0.267
ZG16	1.93725
MIER1	0.1381
ADAM5P	2.786
CHD9	-0.3370625
STK16	0.37325
KIAA1486	-0.0405
TOB2	0.663666666666667
BANK1	2.04025
OR2V2	0.94025
GRM2	0.175166666666667
PROSC	-0.2995
SPIN2B	-0.60775
PIR	-2.59522222222222
IPO9	0.4134
EVC	0.4695
CXCL13	2.1884
KIAA1199	-1.0129
SORL1	0.23875
NAT10	0.01425
CHD1	-0.57125
SYN3	-1.39975
SLC22A2	-0.10275
SERPINF1	-0.294333333333333
WDR34	0.55325
OR7A17	-0.014
C9orf11	-0.414
RNF216L	-0.3892
LHB	-0.079
STK25	-0.380125
TAOK3	1.319625
LOC152573	-4.48075
C3orf39	0.12575
C14orf108	-0.1763
CDC25B	-0.287272727272727
BMP3	0.6175
TMEM180	0.1055
MAP1LC3C	-0.85425
CRYGC	-0.401
POU3F1	-1.8858
C20orf32	-1.794
CCDC95	0.122
HIGD1B	3.9065
USP6NL	0.42575
ABCD4	-0.933333333333333
DIMT1L	-0.548416666666667
TEK	0.285285714285714
SLC25A46	-0.666
LARP7	-1.2364
CD160	-0.14
MT1JP	-0.442333333333333
PHF20	0.3196875
CPNE4	-1.51125
GTPBP1	-0.746071428571429
RAB33B	1.48083333333333
ALDOC	-0.0885
ZNF212	0.00550000000000001
NUDT1	-0.161
RFPL2	0.946
ZNF83	0.102166666666667
GDPD5	-0.7695
PDCD4	2.52215
CEP350	0.084
OR10A2	-0.16875
CST7	0.358
CIAO1	-0.99325
SELL	0.810875
OR8J3	0.6805
LTBP4	-0.608833333333333
SIRT6	0.07125
CCL19	4.74775
PPIL1	-0.520666666666667
GBP7	-0.13425
STK17A	-0.85
ABR	-0.1595
OR9G1	-1.634
FOXE1	-0.663
CNGA3	0.053
GML	-0.636
CD38	-3.72675
ZDHHC6	0.688666666666667
NEFH	-0.49625
CTDSP2	0.42425
PGBD5	-1.96716666666667
CCNY	-0.201928571428571
RMND5B	0.67925
ZNF257	-1.7785
FLJ22167	-0.695
EXOSC7	-0.247666666666667
ROR2	1.00225
MAOA	-0.503
TNNT3	0.462166666666667
GYPC	-1.73625
C7orf33	-0.7325
PLIN	1.80116666666667
LOC90826	-0.3595
RNF4	-0.0899
F8A1	0.621833333333333
PLEKHG4	-2.44375
GRB2	-0.80285
HIST1H2AD	-0.49075
DUS3L	-1.00216666666667
EIF1	-0.6945
RP5-1077B9.4	-1.1805
FPGT	1.033
GDF10	-0.687333333333333
COQ9	0.13625
GCC2	-0.356785714285714
RARRES3	3.492
PLXNA1	-0.4423
KIAA0100	0.3895
PMF1	0.5125
FNDC1	5.84975
HS2ST1	0.15725
CRELD2	0.84975
C8G	-2.2055
CD82	0.76525
LIM2	-1.687
UNQ6490	-1.5245
MMP16	-1.34925
DRD3	0.24575
C5orf26	-0.2805
C11orf73	-0.33375
PTP4A2	0.778875
OR4M2	0.7995
HPCA	-1.31816666666667
SEC14L1	-1.25683333333333
CHFR	-0.04125
EMILIN1	1.1085
NDUFS4	-0.4025
COL18A1	-0.09475
PDZD3	-0.0862222222222222
C9orf16	0.0245
ERBB2IP	0.459166666666667
EMX2	3.3555
FUS	-0.564
TF	-3.8142
CLCN4	-1.40083333333333
CXorf56	0.98625
C11orf72	0.57575
ELAC2	-0.578666666666667
NPR1	-1.7335
ASS1	-1.219
USP42	0.275875
POLR2J	-0.3835
SEC23IP	1.3235
UQCRC1	-0.48225
LOC729603	-0.996
C1orf71	0.00525000000000001
POLG	-1.7395
ADAM23	-3.93125
TFR2	-1.15175
RICTOR	-1.5024
MGC39606	0.18275
C19orf55	-0.477875
SNAPC1	-1.19033333333333
GNA11	0.878
CCDC52	0.8495
FSIP1	4.8845
UPF3A	-0.60325
IGSF11	-3.113
LAGE3	0.577
CHST6	-1.379
UNC13B	-0.028125
TTLL4	-1.29
ZNF687	0.55075
SDC2	-1.1154
COX7A2	-0.91275
LAMB4	-0.92925
FAM24A	0.509
LRRTM3	-0.5708
GPHB5	0.00325
OR4C13	-0.1715
EIF3EIP	-0.136071428571429
HABP4	-0.9375
TMEM125	2.84375
CNTN2	0.88075
ASNSD1	-0.112
FUT4	-1.399625
ACF	-3.80975
LOC158381	1.1495
CDH8	-0.959
AGPS	-1.156
C4orf18	1.872
PECI	-0.590666666666667
UNG	0.335875
GSTP1	-2.14575
DCUN1D5	-1.16966666666667
DKFZP564J0863	0.4755
SLC9A3R1	1.598125
BCDO2	-0.687875
CHMP7	-0.1335
REM2	-0.373
DNHD1	-0.482375
FKBP4	-0.03
ZNF350	2.826
MGC11102	0.410375
BST1	0.245
KISS1R	1.143
NCR2	0.935
DEFB125	3.6725
UBE2W	0.923375
KRT15	1.479875
C10orf99	0.477
SCN11A	-0.0133333333333333
GFI1	-2.6005
RDHE2	3.95566666666667
FHL1	-1.97266666666667
OSGEP	-0.2255
GATA1	-3.27216666666667
SMC6	-0.73175
TTTY14	-1.156
LPIN3	-0.20725
RPL4	-0.5037
RBPMS	0.436
PRPF3	-0.924
EMR1	-2.367
SPATA19	1.5355
XCR1	0.3905
IRX3	2.1586
RBM6	-0.803
KLF4	-0.2602
UNC5CL	0.21225
SEBOX	0.849
BTK	-1.54275
KRCC1	-0.83025
C6orf27	0.4775
SYTL5	-0.0125
PRND	2.323375
LOC653319	-1.935
PIGL	-1.110125
HUS1	-0.358333333333333
SFRS6	0.876916666666667
C17orf77	0.3915
UIMC1	-0.411166666666667
FXYD2	-1.8204
LOC283152	1.86425
ZNF667	-2.18475
ZCCHC12	-1.335
TFEC	1.4961
ATP7B	2.062
POLD2	-0.888
RG9MTD1	0.229
ACOT2	-1.7675
HIST1H4I	-1.3955
PPARGC1A	-1.78
ETFA	-0.5441
POLRMT	-0.04425
ZNF146	0.218
MIA2	-2.672
KLHL6	-2.072
HOXB5	-0.19625
NENF	1.03033333333333
CUGBP1	1.19575
PRSS22	2.3465
CASC4	1.5908
CUL4B	0.3574
CENPJ	-1.1456
PITX1	1.07866666666667
FLJ31033	0.288666666666667
CELSR3	0.141166666666667
ZNF568	0.77025
ITSN1	0.43025
EHBP1L1	-1.17083333333333
C19orf2	-0.73375
DCTN1	-0.03575
LIN28B	-5.38616666666667
TNKS2	0.5995
C1QBP	-0.2595
CADPS2	2.2955
SRMS	0.4395
GJA9	-0.0316666666666666
MGC24975	-0.1835
TRIM45	-0.298
TSP50	-0.871
TCP1	-1.15625
TMED7	0.3
CMA1	-1.1845
CENPL	0.101333333333333
PTCRA	0.2045
FST	-3.19875
VWCE	-4.4155
PAWR	0.6665
ABCC12	1.53583333333333
LDLR	-0.5002
ASTN2	1.0621
LOC441212	-0.939375
GPATCH8	-0.14275
TANC2	-0.00941666666666667
KIF4A	-0.46625
C18orf18	-1.79925
PGM1	-1.6645
KIAA0258	1.464
CPD	0.6765
SNCAIP	-0.85825
DCT	-4.128
HLA-DOA	1.98840909090909
OR11L1	0.5385
UPK1B	0.0704
DNAJB4	-1.153625
UGT1A8	-0.0363333333333333
HIST1H4L	-0.5035
PECR	-0.977
HSPA2	1.74225
WFIKKN1	-1.5225
SERP1	0.45075
SYDE2	1.06825
TACR2	0.1735
NUP85	-0.738
CD177	-1.158
LGR5	-4.2498
PIGG	-0.572833333333333
PTHR1	-1.29283333333333
RAB5A	-0.0824
FLJ13224	-0.675
USP9Y	-1.82483333333333
C7orf53	0.5505
LRP1B	-0.8735
XAF1	0.6743
ABCG8	-0.3975
ANKDD1A	-0.570166666666667
DAND5	-2.44
SPAG6	1.1284
LINCR	0.3565
ZDHHC22	-1.404375
CCDC60	0.3
THOC7	-1.53216666666667
TCTA	0.4139
OR8K3	0.37025
NY-REN-7	-1.23475
B2M	1.139
C6orf141	-2.3985
LPPR4	1.503
SQLE	-0.0835
SEPHS1	0.63775
BTBD14B	0.717571428571429
PLRG1	-0.286
SPG7	-1.118625
ZNF614	0.427666666666667
PARD6G	1.0705
INPP5B	-0.5794
GRPEL2	0.355
PPID	-0.554
TRIM56	-0.758
UBE2J1	-0.71
IL20RA	2.63225
LOC387856	-0.3025
C1orf107	1.3515
UTS2R	1.21575
C19orf22	0.23725
SAFB2	0.1095
KIAA0652	0.123625
KLRG1	-0.907833333333333
MS4A8B	2.29433333333333
FRAG1	1.026
KIAA1546	0.5645
E2F4	-1.5068
CLEC4M	-0.0628333333333333
BTBD14A	-0.432
KIAA0999	0.0183
GYPA	-5.0674
TAC1	-0.1405
TRAIP	-1.00566666666667
KIAA0232	0.9915
ERCC8	-1.14075
GPX4	0.62025
KIAA0368	0.12175
GPR157	-0.392333333333333
CTAGE4	1.8215
C9orf30	-1.0405
OR52A1	0.5935
HSP90B3P	0.2775
ALG9	-0.4704
BTBD10	1.2075
SDK2	-0.46225
BAIAP3	0.33775
RABGGTB	-0.744125
ANKRD40	1.0985
KRT74	1.3665
CALCOCO2	-0.422214285714286
SNCA	-3.54125
TMSL8	-4.457625
C2orf53	0.941
ESRRB	-0.84075
ARHGAP26	-1.6345
TDRD9	-2.90475
HRAS	0.820166666666667
KLRC4	-1.6325
JAGN1	-1.12666666666667
BSDC1	-0.10625
RNF43	0.5246
NDUFAF1	0.3725
PHF12	0.853
OR1L3	0.3225
FOLR2	0.65375
LYZL6	0.7005
tcag7.1260	-1.175
WSB1	-1.69116666666667
PROS1	-1.7921
OSTN	0.5465
PSMB8	0.379
SOCS4	-0.341875
DDIT4L	0.5985
MAS1	-0.95
MGC34796	1.36175
CSHL1	-0.0695
TBCCD1	0.176
ZBTB7C	0.256
AP2S1	0.07275
P15RS	0.1483
VAT1	-0.821
SHANK3	0.203666666666667
TUFM	-0.4555
THEG	-0.732
KRT34	-1.90375
SGSM3	-0.386
TOMM22	-0.268875
SOCS3	1.0325
CPO	2.4415
POP4	0.49475
BHLHB3	0.65375
MALL	0.69675
OR1B1	-0.731
PARK2	-0.4376
GPR124	-0.18575
LCE1E	-0.464
RUVBL2	-0.695
CGRRF1	-0.2623
ACPL2	0.016
WNT10B	-2.238875
BAIAP2L2	-2.254125
ISCA1	0.5585
C1orf125	1.25975
RPAP1	-0.623
RAI16	0.134166666666667
RPL27	-0.437625
NLRP9	0.587
EPN1	0.758
LOC388610	-2.0495
SLC35A1	0.3136
GAL	-4
SLC14A2	0.271
RDH11	-0.9025
FAM138F	0.189
AUH	0.35225
FLJ40243	0.28275
C14orf129	0.7665
MBD2	-0.3485
ABHD14B	-0.8605
PIGT	0.35225
ALS2CR4	-0.0965
ALAS1	-0.431
FOXO1	0.542
CRLF3	-0.65425
C20orf107	0.8425
FARS2	0.92925
CCDC28A	0.2185
NPHP3	-1.3545
OR13F1	0.532
TSEN54	-0.5
DEFB106B	-0.224555555555556
OR8B4	0.696
STH	-0.85575
ZC3H14	-0.67575
CBX2	-0.686
TMEM49	1.00925
C6orf21	0.092
FLJ20920	1.965
CRTAP	-0.671571428571428
DDX50	-0.04175
STYXL1	0.2325
BLVRB	0.671833333333333
LOC147650	-0.541333333333333
MMP24	-0.1445
GRID1	1.811
BANF1	-0.390333333333333
CTAGEP	0.13925
HMBS	-1.774
SLC25A24	0.94
C14orf50	1.174
MRO	0.462333333333333
SLC25A15	-0.8045
FAM84B	1.4015
TDP1	-0.7905
C16orf78	0.225333333333333
C11orf57	-0.83
RFK	0.395125
ZFYVE9	-0.620125
STCH	-1.1449
WIBG	0.38575
LOC283871	-0.102833333333333
GBA2	-0.7241
NDUFB3	-0.53525
HSD17B13	0.49675
GRIN3A	0.3018
FMNL1	-1.7515
SEPT7	0.2885
GNLY	3.4015
GRAMD1C	1.0975
ZNF165	0.66
USP38	0.74875
FAM83A	-2.82516666666667
C14orf24	1.19241666666667
ARMCX3	0.9705
ARHGDIB	0.126833333333333
AK1	0.11325
KIAA1045	-0.0717499999999999
