Hybridization REF	TCGA-BH-A0DO-11A-22R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.270583333333333
CREB3L1	-0.35975
RPS11	1.42325
PNMA1	-0.16775
MMP2	0.167333333333333
C10orf90	1.37125
ZHX3	-0.448666666666667
ERCC5	0.476
GPR98	-0.0942857142857143
RXFP3	0.338
APBB2	0.25975
PRO0478	-0.6315
KLHL13	1.663
PRSSL1	-0.374333333333333
PDCL3	0.164
DECR1	-0.197875
SALL1	-2.79683333333333
CADM4	0.0643333333333333
RPS18	1.10885714285714
HNRPD	-0.0966666666666667
CFHR5	0.562166666666667
SLC10A7	0.1565
OR2K2	-1.436
LMAN1	-0.661875
SUHW1	-3.178
CHD8	-0.2499
SUMO1	0.0785
GP1BA	1.1339
DDB1	-0.4665
MYO9B	-0.514
MMP7	6.70125
CRNKL1	0.1095
C9orf45	-0.359333333333333
XAB2	0.8705
RTN1	1.896375
KLHL14	-0.38275
TBX10	-1.39
CENPQ	-1.17675
UTY	-1.56715384615385
ZBTB12	0.113
DTNBP1	-0.041875
KBTBD8	-1.30966666666667
ZEB1	0.380833333333333
ZG16	-1.278
MIER1	0.5895
ADAM5P	0.7345
CHD9	0.61525
STK16	-0.35375
KIAA1486	-0.568
TOB2	0.150083333333333
BANK1	3.44275
OR2V2	0.02175
GRM2	0.0318333333333333
PROSC	0.1185
SPIN2B	0.04975
PIR	-1.83677777777778
IPO9	-0.6556
EVC	0.995833333333333
CXCL13	2.82533333333333
KIAA1199	-3.7153
SORL1	1.51625
NAT10	-1.13425
CHD1	-0.2445
SYN3	-0.01375
SLC22A2	-0.40475
SERPINF1	0.677666666666667
WDR34	-1.08675
OR7A17	0.1665
C9orf11	0.0545
RNF216L	-0.533
LHB	-0.32
STK25	-0.700375
TAOK3	0.69425
LOC152573	-2.5365
C3orf39	0.446375
C14orf108	0.4123
CDC25B	-2.28718181818182
BMP3	-0.215
TMEM180	-0.1
MAP1LC3C	1.13975
CRYGC	-0.9795
POU3F1	-1.513
C20orf32	-1.2915
CCDC95	-0.396
HIGD1B	3.609
USP6NL	0.026875
ABCD4	0.0165
DIMT1L	0.0185833333333333
TEK	1.55225
SLC25A46	-0.386
LARP7	-0.9265
CD160	1.7005
MT1JP	0.739333333333333
PHF20	-0.4445625
CPNE4	-0.02425
GTPBP1	-0.175357142857143
RAB33B	1.46633333333333
ALDOC	-0.797625
ZNF212	0.093
NUDT1	-1.05616666666667
RFPL2	-0.84775
ZNF83	0.553333333333333
GDPD5	0.184625
PDCD4	2.42915
CEP350	-0.177
OR10A2	0.043
CST7	0.52725
CIAO1	-1.3705
SELL	0.532125
OR8J3	0.4285
LTBP4	0.859333333333333
