Hybridization REF	TCGA-BH-A18Q-11A-34R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.311333333333333
CREB3L1	-0.194
RPS11	1.1435
PNMA1	0.22925
MMP2	0.399166666666667
C10orf90	-0.441
ZHX3	-0.243333333333333
ERCC5	0.27175
GPR98	-0.620333333333333
RXFP3	0.102
APBB2	0.85475
PRO0478	-0.238875
KLHL13	2.31825
PRSSL1	-0.421166666666667
PDCL3	0.221
DECR1	-0.1175
SALL1	-4.24066666666667
CADM4	0.319166666666667
RPS18	0.707714285714286
HNRPD	-0.122333333333333
CFHR5	0.567166666666667
SLC10A7	0.221375
OR2K2	-0.384
LMAN1	-0.79325
SUHW1	-3.4265
CHD8	-0.5079
SUMO1	0.2966
GP1BA	0.9166
DDB1	-0.564
MYO9B	-0.617
MMP7	6.55825
CRNKL1	-0.052
C9orf45	-1.038
XAB2	0.376375
RTN1	1.97075
KLHL14	0.00562499999999996
TBX10	-0.85
CENPQ	-1.36625
UTY	-1.97508333333333
ZBTB12	0.0155
DTNBP1	0.11675
KBTBD8	-1.7315
ZEB1	0.413166666666667
ZG16	-1.352
MIER1	0.5346
ADAM5P	-0.6505
CHD9	0.4533125
STK16	-0.53425
KIAA1486	-0.4245
TOB2	0.654916666666667
BANK1	3.9865
OR2V2	0.28075
GRM2	-0.173333333333333
PROSC	0.32425
SPIN2B	0.2485
PIR	-1.38655555555556
IPO9	-0.734
EVC	1.0705
CXCL13	2.80916666666667
KIAA1199	-3.2953
SORL1	1.0935
NAT10	-0.8705
CHD1	-0.3295
SYN3	0.07975
SLC22A2	-0.6105
SERPINF1	1.39183333333333
WDR34	-1.03125
OR7A17	-0.0095
C9orf11	0.527
RNF216L	-0.5022
LHB	-0.122
STK25	-0.304875
TAOK3	0.667125
LOC152573	-1.88375
C3orf39	0.545
C14orf108	0.3091
CDC25B	-1.84781818181818
BMP3	0.3095
TMEM180	-0.211
MAP1LC3C	2.5755
CRYGC	-0.989
POU3F1	-1.2595
C20orf32	-1.4575
CCDC95	-0.282
HIGD1B	3.53075
USP6NL	-0.078875
ABCD4	0.253333333333333
DIMT1L	-0.243666666666667
TEK	1.89975
SLC25A46	-0.6215
LARP7	-0.9752
CD160	1.06483333333333
MT1JP	0.869
PHF20	-0.2728125
CPNE4	-0.581
GTPBP1	-0.280642857142857
RAB33B	1.8095
ALDOC	-0.774875
ZNF212	-0.089
NUDT1	-1.3665
RFPL2	-1.30325
ZNF83	0.636833333333333
GDPD5	0.178125
PDCD4	1.77025
CEP350	-0.4315
OR10A2	-0.244
CST7	0.37325
CIAO1	-1.392
SELL	0.66375
OR8J3	1.671
LTBP4	0.851
SIRT6	-0.653
CCL19	3.98875
PPIL1	-1.27733333333333
GBP7	0.061
STK17A	0.0262
ABR	0.48725
OR9G1	0.044
FOXE1	-0.795375
CNGA3	-0.242
GML	0.0785
CD38	-1.59325
ZDHHC6	-0.150333333333333
