Hybridization REF	TCGA-E2-A15E-06A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.125916666666667
CREB3L1	1.468
RPS11	0.88375
PNMA1	-0.70975
MMP2	-1.47133333333333
C10orf90	-2.4855
ZHX3	-0.124666666666667
ERCC5	0.56775
GPR98	0.933714285714286
RXFP3	0.7605
APBB2	2.507
PRO0478	-0.85875
KLHL13	-1.46425
PRSSL1	0.650333333333333
PDCL3	-0.537666666666667
DECR1	0.3795
SALL1	-6.5094
CADM4	0.6625
RPS18	-0.0593571428571428
HNRPD	-0.803583333333333
CFHR5	0.4352
SLC10A7	0.70625
OR2K2	0.487
LMAN1	-1.750875
SUHW1	-3.329
CHD8	-0.1424
SUMO1	-0.3848
GP1BA	2.5989
DDB1	-0.1705
MYO9B	-0.194
MMP7	0.614
CRNKL1	0.1765
C9orf45	0.288
XAB2	0.051
RTN1	1.993125
KLHL14	-0.652875
TBX10	-1.2145
CENPQ	-1.23525
UTY	-1.95084615384615
ZBTB12	0.1985
DTNBP1	0.095625
KBTBD8	-0.963333333333333
ZEB1	-2.6985
ZG16	-1.40675
MIER1	-0.2821
ADAM5P	0.472
CHD9	-1.1250625
STK16	-0.4855
KIAA1486	-0.414
TOB2	0.519083333333333
BANK1	5.17425
OR2V2	0.57325
GRM2	0.203833333333333
PROSC	0.025
SPIN2B	-0.08125
PIR	-3.382
IPO9	-0.7464
EVC	-1.04633333333333
CXCL13	5.75466666666667
KIAA1199	-3.1474
SORL1	1.19625
NAT10	-0.20375
CHD1	0.63425
SYN3	-0.82525
SLC22A2	-0.18875
SERPINF1	-0.556666666666667
WDR34	0.314
OR7A17	0.33675
C9orf11	-0.4625
RNF216L	-0.381
LHB	0.022
STK25	-0.226125
TAOK3	0.255375
LOC152573	0.384
C3orf39	0.249375
C14orf108	1.1169
CDC25B	-2.11236363636364
BMP3	0.6865
TMEM180	0.534
MAP1LC3C	1.00875
CRYGC	-0.441
POU3F1	-1.2452
C20orf32	-1.046
CCDC95	0.199
HIGD1B	2.15275
USP6NL	-0.18175
ABCD4	0.0236666666666666
DIMT1L	-0.62375
TEK	-0.105375
