Hybridization REF	TCGA-BH-A0DO-01B-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.230333333333333
CREB3L1	1.94775
RPS11	1.115
PNMA1	0.218
MMP2	0.223333333333333
C10orf90	-1.3315
ZHX3	-0.826833333333333
ERCC5	0.253
GPR98	0.983875
RXFP3	0.4635
APBB2	1.963
PRO0478	-0.752
KLHL13	0.29375
PRSSL1	-0.0606666666666667
PDCL3	0.0035
DECR1	-0.473125
SALL1	-3.75483333333333
CADM4	1.1785
RPS18	0.501428571428571
HNRPD	-0.414166666666667
CFHR5	0.4564
SLC10A7	0.501
OR2K2	0.6725
LMAN1	-0.717125
SUHW1	-3.12975
CHD8	-0.0977
SUMO1	0.1268
GP1BA	1.3599
DDB1	0.0308333333333333
MYO9B	-0.3211
MMP7	6.4315
CRNKL1	0.295
C9orf45	-0.934166666666667
XAB2	0.609
RTN1	1.577375
KLHL14	-0.56475
TBX10	-0.9875
CENPQ	-1.50175
UTY	-1.49642857142857
ZBTB12	0.2925
DTNBP1	0.329
KBTBD8	-1.87933333333333
ZEB1	-1.42833333333333
ZG16	-2.244
MIER1	-0.1977
ADAM5P	1.836
CHD9	-0.773625
STK16	-0.56075
KIAA1486	-0.105
TOB2	0.44675
BANK1	4.685
OR2V2	0.78375
GRM2	0.0386666666666667
PROSC	-0.132625
SPIN2B	0.11175
PIR	-2.41311111111111
IPO9	-0.6401
EVC	0.829166666666667
CXCL13	4.54516666666667
KIAA1199	-3.2233
SORL1	2.32175
NAT10	-0.42425
CHD1	-0.959
SYN3	-0.7485
SLC22A2	-0.61975
SERPINF1	0.365166666666667
WDR34	-1.0045
OR7A17	0.6925
C9orf11	-0.3625
RNF216L	-0.4532
LHB	-0.18
STK25	-0.02125
TAOK3	0.677
LOC152573	-3.1445
C3orf39	0.936625
C14orf108	0.5328
CDC25B	-2.66163636363636
BMP3	-0.0725
TMEM180	-0.0925
MAP1LC3C	1.4695
CRYGC	-1.3885
POU3F1	-1.6839
C20orf32	-1.502
CCDC95	0.121
HIGD1B	4.18475
USP6NL	0.020375
ABCD4	-0.195
DIMT1L	-0.538833333333333
TEK	1.597375
SLC25A46	-0.52725
LARP7	-1.3368
CD160	0.574833333333333
MT1JP	-0.0958333333333333
PHF20	-0.0784375
CPNE4	-1.634
GTPBP1	0.137285714285714
RAB33B	0.933666666666667
ALDOC	-2.12475
ZNF212	0.37225
NUDT1	-1.059
RFPL2	-0.696
ZNF83	0.604833333333333
GDPD5	-0.349375
PDCD4	1.90215
CEP350	0.035
OR10A2	0.14275
CST7	-0.12725
CIAO1	-1.36775
SELL	1.377
OR8J3	-0.245
LTBP4	0.264666666666667
SIRT6	0.22925
CCL19	4.34925
PPIL1	-1.76033333333333
GBP7	0.4908
STK17A	-1.1812
ABR	0.655
OR9G1	-0.7085
FOXE1	-0.71425
CNGA3	-0.3095
GML	0.4065
CD38	-1.88275
ZDHHC6	0.102166666666667
NEFH	-1.63725
CTDSP2	0.686916666666667
PGBD5	-1.82233333333333
CCNY	-0.0741428571428571
RMND5B	0.545666666666667
ZNF257	-3.48475
FLJ22167	-0.293125
EXOSC7	-0.401333333333333
ROR2	1.0415
MAOA	0.583625
TNNT3	1.64783333333333
GYPC	-0.8745
C7orf33	1.3635
PLIN	4.07783333333333
LOC90826	-0.4265
RNF4	-0.0349
F8A1	0.202
PLEKHG4	-0.725
GRB2	-0.30635
HIST1H2AD	-0.156
DUS3L	-0.1645
EIF1	-0.3765
RP5-1077B9.4	-0.9475
FPGT	1.477
GDF10	3.75133333333333
COQ9	-0.65875
GCC2	-0.0665714285714286
RARRES3	2.751125
PLXNA1	-0.6974
KIAA0100	-0.3412
PMF1	0.704
FNDC1	5.494
HS2ST1	-0.0551666666666666
CRELD2	1.00175
C8G	-1.739
CD82	1.1455
LIM2	-0.982
UNQ6490	-0.9505
MMP16	-0.35075
DRD3	0.1865
C5orf26	0.21375
C11orf73	-0.328
PTP4A2	0.5055
OR4M2	0.4865
HPCA	-1.37216666666667
SEC14L1	-1.29333333333333
CHFR	-0.493125
EMILIN1	0.909
NDUFS4	-0.57975
COL18A1	-0.21925
PDZD3	-0.00459999999999998
C9orf16	-0.0793333333333333
ERBB2IP	0.3895
EMX2	2.41425
FUS	-0.1855
TF	-2.5593
CLCN4	-0.283
CXorf56	0.15775
C11orf72	0.213
ELAC2	-0.25975
NPR1	0.12775
ASS1	-0.844666666666667
USP42	0.11925
POLR2J	-0.719
SEC23IP	0.926666666666667
UQCRC1	-0.2485
LOC729603	-0.71925
C1orf71	-0.549375
POLG	-2.436
ADAM23	-3.2975
TFR2	-1.332
RICTOR	-0.6009
MGC39606	1.1905
C19orf55	-0.20275
SNAPC1	-1.726
GNA11	1.200125
CCDC52	0.4265
FSIP1	3.0545
UPF3A	-0.505125
IGSF11	-2.5035
LAGE3	-0.885
CHST6	-2.5295
UNC13B	-0.08375
TTLL4	-0.683875
ZNF687	0.96675
SDC2	-0.8435
COX7A2	-0.817
LAMB4	-0.81725
FAM24A	1.752
LRRTM3	-1.0884
GPHB5	0.293
OR4C13	0.3795
EIF3EIP	0.376142857142857
HABP4	-0.5485
TMEM125	3.81375
CNTN2	0.634
ASNSD1	-0.0985
FUT4	0.36075
ACF	-3.91925
LOC158381	1.565
CDH8	-0.58125
AGPS	-1.152
C4orf18	4.51175
PECI	-0.56325
UNG	-0.620375
GSTP1	1.046375
DCUN1D5	-0.8285
DKFZP564J0863	-0.9695
SLC9A3R1	0.888125
BCDO2	-0.11775
CHMP7	-0.094375
REM2	0.479
DNHD1	-0.14575
FKBP4	-0.7415
ZNF350	2.06775
MGC11102	0.052125
BST1	1.33925
KISS1R	1.198
NCR2	0.2045
DEFB125	0.3425
UBE2W	0.260625
KRT15	3.11475
C10orf99	0.2425
SCN11A	0.194
GFI1	-2.67425
RDHE2	3.21166666666667
FHL1	0.2425
OSGEP	-0.178833333333333
GATA1	-3.70516666666667
SMC6	-1.57825
TTTY14	-1.12925
LPIN3	0.138
RPL4	-0.1444
RBPMS	0.6637
