Hybridization REF	TCGA-BH-A18L-01A-32R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.60175
CREB3L1	0.90825
RPS11	0.483875
PNMA1	0.28275
MMP2	-1.54866666666667
C10orf90	-2.491
ZHX3	0.056
ERCC5	-0.3295
GPR98	1.10475
RXFP3	0.2645
APBB2	2.066
PRO0478	-1.13625
KLHL13	-1.5905
PRSSL1	-0.848666666666667
PDCL3	0.522
DECR1	0.8965
SALL1	-5.353
CADM4	-0.914
RPS18	-0.574785714285714
HNRPD	0.195083333333333
CFHR5	0.9715
SLC10A7	1.10925
OR2K2	-1.943
LMAN1	0.1295
SUHW1	-3.4335
CHD8	-0.277
SUMO1	0.721
GP1BA	-0.0691
DDB1	-0.148833333333333
MYO9B	-0.9128
MMP7	3.9095
CRNKL1	0.95725
C9orf45	-1.84033333333333
XAB2	0.39425
RTN1	2.29175
KLHL14	-1.585875
TBX10	-0.7515
CENPQ	-1.605
UTY	-1.264
ZBTB12	0.8985
DTNBP1	0.261875
KBTBD8	-1.9915
ZEB1	-1.06
ZG16	1.914
MIER1	0.2532
ADAM5P	null
CHD9	-0.613375
STK16	0.458
KIAA1486	-0.3555
TOB2	0.199166666666667
BANK1	2.11475
OR2V2	0.2935
GRM2	0.339
PROSC	-0.134625
SPIN2B	0.1175
PIR	-0.00266666666666667
IPO9	0.1285
EVC	-1.7565
CXCL13	2.09966666666667
KIAA1199	-1.7323
SORL1	0.9125
NAT10	-0.66075
CHD1	0.314
SYN3	-0.17125
SLC22A2	-0.63575
SERPINF1	-1.67966666666667
WDR34	-0.132
OR7A17	0.46125
C9orf11	-1.4185
RNF216L	-0.7353
LHB	0.0455
STK25	-0.8405
TAOK3	0.560125
LOC152573	-3.87725
C3orf39	0.404875
C14orf108	1.3449
CDC25B	0.606181818181818
BMP3	1.0915
TMEM180	0.418
MAP1LC3C	0.55975
CRYGC	0.6755
POU3F1	-1.0307
C20orf32	-1.291
CCDC95	0.6675
HIGD1B	4.36225
USP6NL	0.57625
ABCD4	0.178166666666667
DIMT1L	-0.253583333333333
TEK	1.341125
SLC25A46	-0.31425
LARP7	-1.1042
CD160	0.602
MT1JP	-0.341833333333333
PHF20	0.6033125
CPNE4	3.06575
GTPBP1	-0.454214285714286
RAB33B	1.80566666666667
ALDOC	-0.912625
ZNF212	-0.773
NUDT1	-0.371833333333333
RFPL2	-2.24375
ZNF83	-0.523
GDPD5	-1.69175
PDCD4	1.7874
CEP350	0.65375
OR10A2	0.33075
CST7	-0.473
CIAO1	-0.5535
SELL	0.992625
OR8J3	1.2075
LTBP4	-0.627333333333333
SIRT6	-0.4625
CCL19	4.0165
PPIL1	-0.7015
GBP7	0.8182
STK17A	-1.3221
ABR	-0.76825
OR9G1	0.935
FOXE1	-0.573125
CNGA3	0.8955
GML	0.87
CD38	-2.343
ZDHHC6	0.499833333333333
NEFH	-3.4525
CTDSP2	0.913083333333333
PGBD5	1.40033333333333
CCNY	0.231714285714286
RMND5B	1.44966666666667
ZNF257	-0.653
FLJ22167	0.097625
EXOSC7	-0.660833333333333
ROR2	-0.778375
MAOA	-0.00750000000000002
TNNT3	0.5685
GYPC	-1.91025
C7orf33	1.0395
PLIN	3.82466666666667
LOC90826	-0.10125
RNF4	0.3775
F8A1	0.504666666666667
PLEKHG4	-2.351
GRB2	0.58235
HIST1H2AD	1.79825
DUS3L	-0.653
EIF1	0.7095
RP5-1077B9.4	-1.03883333333333
FPGT	1.84925
GDF10	-1.25616666666667
COQ9	-0.57125
GCC2	-0.167071428571429
RARRES3	2.299875
PLXNA1	-1.1339
KIAA0100	0.2763
PMF1	0.5345
FNDC1	3.65175
HS2ST1	-0.0228333333333333
CRELD2	0.1085
C8G	-2.18
CD82	0.01025
LIM2	-0.4105
UNQ6490	1.181
MMP16	-0.49925
DRD3	0.15925
C5orf26	0.773
C11orf73	1.158
PTP4A2	1.689125
OR4M2	-1.0625
HPCA	-1.202
SEC14L1	-0.575333333333333
CHFR	-0.177125
EMILIN1	-0.259375
NDUFS4	0.40725
COL18A1	-0.699625
PDZD3	0.2745
C9orf16	0.315
ERBB2IP	0.276166666666667
EMX2	1.21425
FUS	-0.884
TF	-3.6382
CLCN4	-0.478666666666667
CXorf56	1.42225
C11orf72	0.32
ELAC2	-0.961333333333333
NPR1	-0.72425
ASS1	-1.36316666666667
USP42	0.426625
POLR2J	-0.1405
SEC23IP	1.097
UQCRC1	-0.11875
LOC729603	-0.89625
C1orf71	0.9605
POLG	-1.005
ADAM23	-4.15825
TFR2	-0.838
RICTOR	-0.3969
MGC39606	-0.12275
C19orf55	0.14425
SNAPC1	-0.571833333333333
GNA11	-0.050875
CCDC52	0.445333333333333
FSIP1	3.254
UPF3A	-0.381875
IGSF11	-2.56633333333333
LAGE3	0.58525
CHST6	-3.5805
UNC13B	-0.85675
TTLL4	-1.243375
ZNF687	0.940875
SDC2	-1.9125
COX7A2	-0.3725
LAMB4	-0.184666666666667
FAM24A	0.7535
LRRTM3	-1.84133333333333
GPHB5	-0.3715
OR4C13	0.1995
EIF3EIP	-0.809857142857143
HABP4	-0.9885
TMEM125	3.3355
CNTN2	0.1095
ASNSD1	-0.2645
FUT4	-1.172875
ACF	-3.7415
LOC158381	1.27
CDH8	-0.46075
AGPS	0.163166666666667
C4orf18	3.856625
PECI	-0.419416666666667
UNG	-0.469
GSTP1	-2.76325
DCUN1D5	-1.622
DKFZP564J0863	-1.17
SLC9A3R1	2.42175
BCDO2	-2.504625
CHMP7	-0.263625
REM2	-0.1585
DNHD1	-0.3315
FKBP4	0.667625
ZNF350	2.16875
MGC11102	0.364
BST1	1.312
KISS1R	-0.1895
NCR2	0.0835
DEFB125	1.2475
UBE2W	2.174375
KRT15	0.668875
C10orf99	0.398
SCN11A	0.065
GFI1	-2.819
RDHE2	2.356
FHL1	-0.981666666666667
OSGEP	-0.320333333333333
GATA1	-3.43483333333333
SMC6	-1.24375
TTTY14	-1.28175
LPIN3	0.01875
RPL4	-0.5666
RBPMS	-0.5288
PRPF3	-0.508
EMR1	-2.39
SPATA19	-0.60975
XCR1	0.3375
IRX3	1.6605
RBM6	-0.9315
KLF4	-1.4639
UNC5CL	-2.51725
SEBOX	0.5305
BTK	-1.379
KRCC1	-1.547
C6orf27	0.306
SYTL5	-0.231
PRND	3.983
LOC653319	-1.261
PIGL	-1.40675
HUS1	-0.301166666666667
SFRS6	0.40075
C17orf77	0.5305
UIMC1	0.0825
FXYD2	-1.6872
LOC283152	0.4215
ZNF667	-2.20525
ZCCHC12	-1.323
TFEC	2.9561
ATP7B	-0.0796666666666667
POLD2	-0.592
RG9MTD1	-0.80325
ACOT2	-0.242833333333333
HIST1H4I	1.396625
PPARGC1A	-2.4145
ETFA	-1.5223
POLRMT	-0.94475
ZNF146	0.53075
MIA2	-2.934
KLHL6	-1.46233333333333
HOXB5	0.153875
NENF	0.745166666666667
CUGBP1	-0.07575
PRSS22	1.64983333333333
CASC4	1.9049
CUL4B	-0.2206
CENPJ	-0.3039
PITX1	-0.1815
FLJ31033	1.87433333333333
CELSR3	0.164333333333333
ZNF568	1.7005
ITSN1	-0.18975
EHBP1L1	-1.28666666666667
C19orf2	0.22475
DCTN1	0.35275
LIN28B	-4.61566666666667
TNKS2	0.67975
C1QBP	-1.000375
CADPS2	-1.29375
SRMS	0.46875
GJA9	0.392666666666667
MGC24975	-1.81083333333333
TRIM45	-0.741
TSP50	0.5645
TCP1	-1.409
TMED7	1.5546
CMA1	1.091
CENPL	0.149
PTCRA	0.031
FST	-4.60825
VWCE	-4.38175
PAWR	-0.5735
ABCC12	0.0692
LDLR	-0.5494
ASTN2	0.4932
LOC441212	-1.42475
GPATCH8	0.2655
TANC2	0.296416666666667
KIF4A	-1.41875
C18orf18	-1.8345
PGM1	-1.61425
KIAA0258	0.27875
CPD	1.940125
SNCAIP	-1.321
DCT	-4.2895
HLA-DOA	2.48313636363636
OR11L1	0.8495
UPK1B	-0.470666666666667
DNAJB4	0.732625
UGT1A8	-0.4985
HIST1H4L	-1.04
PECR	-0.6765
HSPA2	1.97
WFIKKN1	-2.094
SERP1	0.701625
SYDE2	2.7095
TACR2	0.2665
NUP85	0.05275
CD177	-0.626666666666667
LGR5	-2.3018
PIGG	0.209916666666667
PTHR1	-2.16983333333333
RAB5A	0.4828
FLJ13224	0.1235
USP9Y	-1.8216
C7orf53	-1.3855
LRP1B	1.7225
XAF1	2.3772
ABCG8	-1.0015
ANKDD1A	-0.6765
DAND5	-2.0515
SPAG6	-0.259833333333333
LINCR	-0.3145
ZDHHC22	-1.42725
CCDC60	0.1255
THOC7	-1.24016666666667
TCTA	1.1713
OR8K3	0.31025
NY-REN-7	-0.33125
B2M	1.83066666666667
C6orf141	1.25175
LPPR4	2.67325
SQLE	1.996875
SEPHS1	-0.6885
BTBD14B	0.0837142857142857
PLRG1	-0.506
SPG7	-1.3293125
ZNF614	0.3535
PARD6G	-0.0825
INPP5B	-1.2154
GRPEL2	0.693875
PPID	-0.0148
TRIM56	-0.40425
UBE2J1	-0.975375
IL20RA	1.78475
LOC387856	0.761
C1orf107	1.82358333333333
UTS2R	-0.32375
C19orf22	-0.77325
SAFB2	-0.2855
KIAA0652	-0.031125
KLRG1	0.300333333333333
MS4A8B	0.483666666666667
FRAG1	0.7745
KIAA1546	0.14975
E2F4	-1.4779
CLEC4M	0.2345
BTBD14A	-1.0395
KIAA0999	1.059
GYPA	-3.89433333333333
TAC1	0.0708888888888889
TRAIP	-0.6365
KIAA0232	1.8099
ERCC8	-0.388875
GPX4	0.244
KIAA0368	0.311125
GPR157	-0.417833333333333
CTAGE4	1.4375
C9orf30	-2.11016666666667
OR52A1	-0.1935
HSP90B3P	-0.035
ALG9	-0.734
BTBD10	0.765
SDK2	0.56925
BAIAP3	-0.47075
RABGGTB	-0.465875
ANKRD40	1.04633333333333
KRT74	0.86
CALCOCO2	0.993214285714286
SNCA	-3.69
TMSL8	-2.334
C2orf53	0.286
ESRRB	-0.34225
ARHGAP26	-1.61775
TDRD9	-1.93125
HRAS	0.7535
KLRC4	-1.992
JAGN1	-0.0813333333333333
BSDC1	0.21225
RNF43	-0.4017
NDUFAF1	0.67525
PHF12	0.518
OR1L3	0.1885
FOLR2	1.65433333333333
LYZL6	0.631
tcag7.1260	-2.2645
WSB1	-1.445
PROS1	-1.4127
OSTN	0.4675
PSMB8	1.819
SOCS4	0.635
DDIT4L	-0.14025
MAS1	0.161
MGC34796	2.4865
CSHL1	0.271666666666667
TBCCD1	-0.186833333333333
ZBTB7C	0.1935
AP2S1	-0.47875
P15RS	1.625
VAT1	-0.1499
SHANK3	0.699166666666667
TUFM	0.0746666666666667
THEG	-0.79475
KRT34	-1.8655
SGSM3	-0.506125
TOMM22	-0.597625
SOCS3	0.447333333333333
CPO	0.125
POP4	0.88525
BHLHB3	-1.4365
MALL	0.81025
OR1B1	0.6565
PARK2	0.1535
GPR124	-0.440625
LCE1E	1.443
RUVBL2	-0.15025
CGRRF1	1.4213
ACPL2	-1.44475
WNT10B	-2.91075
BAIAP2L2	-2.23225
ISCA1	0.7355
C1orf125	-0.550625
RPAP1	-0.36
RAI16	-0.742333333333333
RPL27	0.252625
NLRP9	-0.2285
EPN1	0.6455
LOC388610	-1.257875
SLC35A1	0.4649
GAL	-3.14775
SLC14A2	0.66725
RDH11	0.0465
FAM138F	-0.014
AUH	0.5195
FLJ40243	0.083
C14orf129	0.9355
MBD2	-0.385333333333333
ABHD14B	0.543375
PIGT	1.29525
ALS2CR4	-0.40525
ALAS1	-0.4004
FOXO1	-0.3455
CRLF3	0.8675
C20orf107	-1.4065
FARS2	1.42425
CCDC28A	0.217
NPHP3	-1.92025
OR13F1	0.3085
TSEN54	0.211
DEFB106B	0.152555555555556
OR8B4	0.872
STH	0.189
ZC3H14	-0.559375
CBX2	-0.276
TMEM49	-0.0915
C6orf21	0.2645
FLJ20920	0.308625
