Hybridization REF	TCGA-E2-A14W-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.37325
CREB3L1	0.0605
RPS11	0.68675
PNMA1	-0.61325
MMP2	-0.549
C10orf90	-2.6305
ZHX3	0.802
ERCC5	0.436
GPR98	0.174166666666667
RXFP3	0.6225
APBB2	0.85725
PRO0478	-1.02125
KLHL13	-3.349
PRSSL1	-1.10366666666667
PDCL3	0.882333333333333
DECR1	-0.341875
SALL1	-6.5485
CADM4	1.32333333333333
RPS18	0.339
HNRPD	-0.873916666666667
CFHR5	1.238
SLC10A7	0.862
OR2K2	-0.8525
LMAN1	0.00962499999999999
SUHW1	-2.4435
CHD8	0.7208
SUMO1	1.5546
GP1BA	-0.0902
DDB1	-0.0956666666666667
MYO9B	-0.5602
MMP7	2.61375
CRNKL1	0.55875
C9orf45	-2.29116666666667
XAB2	0.465
RTN1	1.44028571428571
KLHL14	-0.5005
TBX10	-1.1145
CENPQ	-1.32
UTY	1.99676923076923
ZBTB12	-0.615
DTNBP1	0.54
KBTBD8	-2.7285
ZEB1	-0.453333333333333
ZG16	-2.40475
MIER1	-0.0262
ADAM5P	0.4695
CHD9	-0.420875
STK16	-0.14825
KIAA1486	-0.1045
TOB2	0.470636363636364
BANK1	-0.1155
OR2V2	0.32325
GRM2	0.145833333333333
PROSC	0.07725
SPIN2B	-0.46875
PIR	-0.789888888888889
IPO9	0.2839
EVC	1.77516666666667
CXCL13	0.797333333333333
KIAA1199	0.42
SORL1	1.139
NAT10	0.212
CHD1	-0.2875
SYN3	-0.35775
SLC22A2	-1.05275
SERPINF1	-0.210166666666667
WDR34	-0.58525
OR7A17	0.52725
C9orf11	-0.213
RNF216L	0.108
LHB	-0.0295
STK25	-0.485625
TAOK3	0.832125
LOC152573	-4.65125
C3orf39	0.384875
C14orf108	-0.2698
CDC25B	-1.73627272727273
BMP3	-1.523
TMEM180	0.1535
MAP1LC3C	-0.74225
CRYGC	-0.5415
POU3F1	-1.58944444444444
C20orf32	-1.516
CCDC95	0.591
HIGD1B	2.81825
USP6NL	0.031875
ABCD4	-1.08483333333333
DIMT1L	-0.500833333333333
TEK	-0.495875
SLC25A46	-0.8615
LARP7	-0.8972
CD160	0.7035
MT1JP	-0.109166666666667
PHF20	0.0265625
CPNE4	-2.08966666666667
GTPBP1	-0.351857142857143
RAB33B	0.309166666666667
ALDOC	-1.743875
ZNF212	-0.8035
NUDT1	-0.661
