Hybridization REF	TCGA-BH-A18R-11A-42R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.724166666666667
CREB3L1	0.37625
RPS11	1.178
PNMA1	0.241
MMP2	1.51416666666667
C10orf90	1.3885
ZHX3	-0.418333333333333
ERCC5	0.0965
GPR98	-0.721125
RXFP3	3.133
APBB2	0.64
PRO0478	0.12325
KLHL13	1.008
PRSSL1	-0.123166666666667
PDCL3	0.2925
DECR1	0.455
SALL1	-3.57216666666667
CADM4	-1.1002
RPS18	0.827785714285714
HNRPD	-0.00841666666666669
CFHR5	-0.16325
SLC10A7	0.4705
OR2K2	1.0115
LMAN1	-0.403
SUHW1	-1.84675
CHD8	-0.768
SUMO1	0.3546
GP1BA	1.97588888888889
DDB1	-0.894166666666667
MYO9B	-1.805
MMP7	7.21575
CRNKL1	-0.18925
C9orf45	-1.6492
XAB2	0.087625
RTN1	2.111125
KLHL14	1.279125
TBX10	0.283
CENPQ	-0.8235
UTY	-1.13183333333333
ZBTB12	0.4335
DTNBP1	-0.332625
KBTBD8	-1.561
ZEB1	-0.940166666666666
ZG16	1.81775
MIER1	-0.0354999999999999
ADAM5P	1.243
CHD9	-0.736625
STK16	2.52
KIAA1486	0.881
TOB2	0.518083333333333
BANK1	3.72775
OR2V2	0.27375
GRM2	1.20483333333333
PROSC	-1.059
SPIN2B	0.8135
PIR	-1.289
IPO9	-1.2292
EVC	0.1865
CXCL13	3.08983333333333
KIAA1199	-3.96666666666667
SORL1	0.65175
NAT10	-1.40525
CHD1	-1.119
SYN3	0.1795
SLC22A2	-0.162
SERPINF1	1.18516666666667
WDR34	-2.48625
OR7A17	0.222
C9orf11	-0.467
RNF216L	-1.5488
LHB	0.96
STK25	-1.354375
TAOK3	0.68875
LOC152573	-1.5255
C3orf39	0.241875
C14orf108	0.1319
CDC25B	-2.37845454545455
BMP3	2.6595
TMEM180	0.072
MAP1LC3C	2.0965
CRYGC	-1.331
POU3F1	0.5955
C20orf32	0.5405
CCDC95	-1.694
HIGD1B	4.374
USP6NL	-0.35925
ABCD4	-0.131
DIMT1L	-0.04525
TEK	2.1735
SLC25A46	-0.0845
LARP7	-1.0394
CD160	1.573
MT1JP	-0.200333333333333
PHF20	-0.8569375
CPNE4	-1.2345
GTPBP1	-1.01435714285714
RAB33B	1.41066666666667
ALDOC	-0.653625
ZNF212	-0.7865
NUDT1	-1.4015
RFPL2	0.38475
ZNF83	0.786833333333333
GDPD5	-0.274625
PDCD4	2.71135
CEP350	-0.31175
OR10A2	0.527
CST7	-0.332
CIAO1	-2.23075
SELL	0.2685
OR8J3	4.8415
LTBP4	0.519666666666667
SIRT6	-0.726
CCL19	4.497
PPIL1	-0.964833333333333
GBP7	1.38125
STK17A	-0.6459
ABR	-0.24
OR9G1	1.524
FOXE1	-0.217125
CNGA3	-0.4175
GML	0.9855
CD38	-0.90875
ZDHHC6	0.037
NEFH	-2.63075
CTDSP2	0.35775
PGBD5	-1.26883333333333
CCNY	0.134785714285714
RMND5B	-0.782833333333333
ZNF257	-2.0565
FLJ22167	-0.33575
EXOSC7	-0.1075
ROR2	0.346125
MAOA	4.1255
TNNT3	2.60316666666667
GYPC	0.02325
C7orf33	0.38
PLIN	6.42566666666667
LOC90826	0.0425
RNF4	-0.8805
F8A1	-0.1165
PLEKHG4	-1.5555
GRB2	-1.9086
HIST1H2AD	-2.24
DUS3L	-2.131
EIF1	-0.043
RP5-1077B9.4	-1.79433333333333
FPGT	1.18025
GDF10	4.81783333333333
COQ9	-0.5125
GCC2	0.144642857142857
RARRES3	2.7235
PLXNA1	-0.6344
KIAA0100	-0.7766
PMF1	-0.766
FNDC1	2.256
HS2ST1	-0.419583333333333
CRELD2	-0.26875
C8G	-3.087
CD82	-0.145
LIM2	0.1055
UNQ6490	0.1025
MMP16	1.8635
DRD3	0.078
C5orf26	0.976
C11orf73	0.1415
PTP4A2	-0.8065
OR4M2	-0.441
HPCA	-2.7915
SEC14L1	-1.36416666666667
CHFR	-2.3105
EMILIN1	0.321625
NDUFS4	0.94975
COL18A1	-1.071875
PDZD3	-0.3262
C9orf16	-0.507666666666667
ERBB2IP	0.1765
EMX2	5.1225
FUS	-2.053
TF	-0.276
CLCN4	0.766333333333333
CXorf56	-0.42475
C11orf72	2.5675
ELAC2	-1.43183333333333
NPR1	1.0435
ASS1	-1.158
USP42	-0.7355
POLR2J	-1.449
SEC23IP	-0.2095
UQCRC1	-0.7735
LOC729603	-0.74725
C1orf71	-1.36825
POLG	-2.585
ADAM23	-3.43775
TFR2	-1.04225
RICTOR	-0.7767
MGC39606	0.78575
C19orf55	0.42025
SNAPC1	-0.878333333333333
GNA11	-1.06525
CCDC52	-0.625166666666667
FSIP1	1.7105
UPF3A	0.168875
IGSF11	-0.473
LAGE3	-1.84925
CHST6	-2.7315
UNC13B	-0.285
TTLL4	-1.837625
ZNF687	-0.9895
SDC2	0.4259
COX7A2	0.03775
LAMB4	-0.38475
FAM24A	0.9705
LRRTM3	0.12
GPHB5	1.1005
OR4C13	-0.804
EIF3EIP	2.73064285714286
HABP4	-0.9335
TMEM125	1.64775
CNTN2	0.37125
ASNSD1	0.43575
FUT4	-0.80275
ACF	0.0944999999999999
LOC158381	-0.3125
CDH8	0.245666666666667
AGPS	-0.8675
C4orf18	3.181625
PECI	0.277583333333333
UNG	-1.298625
GSTP1	-0.328875
DCUN1D5	-1.57383333333333
DKFZP564J0863	-2.12775
SLC9A3R1	-1.544
BCDO2	-0.100125
CHMP7	0.2425
REM2	1.3015
DNHD1	0.152
FKBP4	-0.649125
ZNF350	1.9985
MGC11102	-1.34225
BST1	1.422
KISS1R	3.419
NCR2	0.5255
DEFB125	-0.585
UBE2W	0.260625
KRT15	5.287125
C10orf99	2.948
SCN11A	0.048
GFI1	-0.67575
RDHE2	0.23
FHL1	2.6735
OSGEP	-0.109
GATA1	-1.772
SMC6	-1.6495
TTTY14	-0.2065
LPIN3	0.99975
RPL4	0.8748
RBPMS	0.3183
PRPF3	-0.574
EMR1	-1.0635
SPATA19	0.0345
XCR1	3.235
IRX3	1.9289
RBM6	-0.5475
KLF4	2.6165
UNC5CL	-1.79975
SEBOX	-0.4005
BTK	-1.19575
KRCC1	1.99
C6orf27	0.9495
SYTL5	1.485
PRND	2.14042857142857
LOC653319	-1.99
PIGL	-1.343125
HUS1	-0.802
SFRS6	-1.39641666666667
C17orf77	0.2705
UIMC1	-0.0483333333333333
FXYD2	0.0304
LOC283152	-0.376
ZNF667	-1.38375
ZCCHC12	-0.1725
TFEC	0.5111
ATP7B	-0.405666666666667
POLD2	-1.23016666666667
RG9MTD1	0.44425
ACOT2	0.576833333333333
HIST1H4I	-1.2265
PPARGC1A	0.0128999999999999
ETFA	-0.3091
POLRMT	-1.53375
ZNF146	0.30625
MIA2	-1.9905
KLHL6	-0.119666666666667
HOXB5	0.128875
NENF	-0.0318333333333333
CUGBP1	-2.30575
PRSS22	0.121833333333333
CASC4	-0.5077
CUL4B	-0.6181
CENPJ	-1.1461
PITX1	1.22283333333333
FLJ31033	0.00583333333333339
CELSR3	-1.82583333333333
ZNF568	1.38325
ITSN1	-0.366416666666667
EHBP1L1	-2.14866666666667
C19orf2	-0.1975
DCTN1	2.1105
LIN28B	-2.0874
TNKS2	0.75
C1QBP	0.16375
CADPS2	1.265
SRMS	1.024
GJA9	0.432666666666667
MGC24975	-2.30483333333333
TRIM45	-1.35816666666667
TSP50	2.209
TCP1	-0.91625
TMED7	-0.0058
CMA1	1.95
CENPL	-1.0375
PTCRA	0.863
FST	-2.68725
VWCE	-2.6715
PAWR	-1.70175
ABCC12	1.2974
LDLR	-2.5315
ASTN2	-0.3231
LOC441212	-0.55
GPATCH8	-0.17075
TANC2	-0.575333333333334
KIF4A	-3.65825
C18orf18	-0.159
PGM1	-0.2425
KIAA0258	-1.243
CPD	-0.077125
SNCAIP	0.21475
DCT	-3.37033333333333
HLA-DOA	1.91295454545455
OR11L1	1.732
UPK1B	0.180166666666667
DNAJB4	1.376375
UGT1A8	1.12525
HIST1H4L	-2.055
PECR	0.495166666666667
HSPA2	1.02075
WFIKKN1	-1.5775
SERP1	0.614125
SYDE2	-1.936
TACR2	4.6345
NUP85	-1.52425
CD177	1.84666666666667
LGR5	-1.637
PIGG	-1.38075
PTHR1	-0.277666666666667
RAB5A	0.4929
FLJ13224	0.0545
USP9Y	-0.86075
C7orf53	-0.5175
LRP1B	1.46525
XAF1	1.7393
ABCG8	0.502
ANKDD1A	2.1202
DAND5	-1.813
SPAG6	0.9305
LINCR	2.782
ZDHHC22	0.900125
CCDC60	1.4435
THOC7	-0.378833333333333
TCTA	-0.1469
OR8K3	1.268
NY-REN-7	2.3265
B2M	2.02966666666667
C6orf141	-1.915125
LPPR4	1.533
SQLE	-2.269
SEPHS1	-1.07175
BTBD14B	2.04685714285714
PLRG1	0.20375
SPG7	-2.2906875
ZNF614	-0.0573333333333333
PARD6G	1.0325
INPP5B	-1.3815
GRPEL2	-0.470875
PPID	2.0077
TRIM56	-0.86325
UBE2J1	-0.10725
IL20RA	6.11925
LOC387856	-0.42575
C1orf107	-0.033
UTS2R	0.62075
C19orf22	-1.20425
SAFB2	-0.939
KIAA0652	-1.022375
KLRG1	0.132166666666667
MS4A8B	0.5174
FRAG1	0.289
KIAA1546	-0.11625
E2F4	-1.2712
CLEC4M	2.74916666666667
BTBD14A	-2.55475
KIAA0999	0.5
GYPA	-2.78366666666667
TAC1	1.8388
TRAIP	-1.9625
KIAA0232	0.1704
ERCC8	-0.965875
GPX4	0.852375
KIAA0368	0.8235
GPR157	-1.022
CTAGE4	0.614
C9orf30	-1.27616666666667
OR52A1	0.1735
HSP90B3P	-0.568
ALG9	-0.3438
BTBD10	0.10775
SDK2	1.8695
BAIAP3	-1.0035
RABGGTB	-0.572625
ANKRD40	-0.213333333333333
KRT74	1.3755
CALCOCO2	0.721071428571429
SNCA	-1.7515
TMSL8	-2.915625
C2orf53	2.5205
ESRRB	0.3875
ARHGAP26	-0.743
TDRD9	-1.66825
HRAS	-1.38116666666667
KLRC4	0.3865
JAGN1	-0.395666666666667
BSDC1	-0.1445
RNF43	-0.8685
NDUFAF1	0.14675
PHF12	0.85
OR1L3	0.253666666666667
