Hybridization REF	TCGA-E2-A15M-11A-22R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.338583333333333
CREB3L1	0.47725
RPS11	0.969125
PNMA1	0.51175
MMP2	3.15866666666667
C10orf90	-0.30675
ZHX3	0.335166666666667
ERCC5	0.3305
GPR98	-0.333571428571429
RXFP3	0.3965
APBB2	1.33
PRO0478	-1.526
KLHL13	2.12375
PRSSL1	-0.342833333333333
PDCL3	0.439166666666667
DECR1	0.047125
SALL1	-2.699
CADM4	-0.101666666666667
RPS18	0.382571428571429
HNRPD	0.00433333333333332
CFHR5	1.0395
SLC10A7	0.376714285714286
OR2K2	-0.5905
LMAN1	-0.977125
SUHW1	-2.2225
CHD8	-0.2217
SUMO1	0.792
GP1BA	0.4219
DDB1	-0.752
MYO9B	-0.51
MMP7	7.84
CRNKL1	0.678625
C9orf45	-1.598
XAB2	0.26825
RTN1	2.050875
KLHL14	-0.111
TBX10	-0.32
CENPQ	-0.4315
UTY	-0.5957
ZBTB12	-1.3965
DTNBP1	-0.0412500000000001
KBTBD8	-0.749333333333333
ZEB1	0.275166666666667
ZG16	-1.71625
MIER1	0.4686
ADAM5P	0.8145
CHD9	-0.4905
STK16	-0.486
KIAA1486	-1.927
TOB2	0.274666666666667
BANK1	3.81375
OR2V2	0.1735
GRM2	0.086
PROSC	-0.04825
SPIN2B	0.968
PIR	-1.07022222222222
IPO9	-1.3641
EVC	-0.141833333333333
CXCL13	0.844
KIAA1199	-2.77311111111111
SORL1	0.82325
NAT10	-0.8405
CHD1	-0.311
SYN3	-0.0915
SLC22A2	0.346666666666667
SERPINF1	2.14066666666667
WDR34	-2.54625
OR7A17	-0.872
C9orf11	0.115
RNF216L	-1.3329
LHB	-0.284
STK25	-0.81375
TAOK3	1.308375
LOC152573	0.14975
C3orf39	0.389125
C14orf108	0.456
CDC25B	-2.33072727272727
BMP3	-0.00650000000000001
TMEM180	0.167
MAP1LC3C	5.00325
CRYGC	-0.6965
POU3F1	-1.357375
C20orf32	-0.884
CCDC95	-0.96
HIGD1B	3.62375
USP6NL	0.269
ABCD4	0.312
DIMT1L	-0.13525
TEK	2.715125
SLC25A46	-0.25025
LARP7	-1.1826
CD160	1.22633333333333
MT1JP	-0.204666666666667
PHF20	-0.5246875
CPNE4	-0.992333333333333
GTPBP1	-0.734642857142857
RAB33B	1.76033333333333
ALDOC	-0.981875
ZNF212	-0.47175
NUDT1	-1.147
RFPL2	-1.78233333333333
ZNF83	0.413333333333333
GDPD5	-0.333375
PDCD4	2.6936
CEP350	-0.09
OR10A2	-0.66975
CST7	0.3735
CIAO1	-1.6505
SELL	-0.0898571428571429
OR8J3	0.5385
LTBP4	0.891333333333333
SIRT6	-0.42725
CCL19	4.936
PPIL1	-1.82583333333333
GBP7	0.09325
STK17A	-0.0656
ABR	1.0205
OR9G1	0.422
FOXE1	-0.40725
CNGA3	0.8195
GML	-1.0185
CD38	-1.75475
ZDHHC6	0.326
NEFH	-2.52025
CTDSP2	1.5855
PGBD5	-1.9258
CCNY	-0.00964285714285718
RMND5B	-0.382416666666667
ZNF257	-2.2355
FLJ22167	-0.095
EXOSC7	0.157333333333333
ROR2	0.645875
MAOA	3.7375
TNNT3	4.1105
GYPC	0.45325
C7orf33	0.0795
PLIN	6.44383333333333
LOC90826	0.78675
RNF4	-0.4724
F8A1	-0.15
PLEKHG4	-1.9335
GRB2	-1.18085
HIST1H2AD	-1.61725
DUS3L	-1.38516666666667
EIF1	0.234166666666667
RP5-1077B9.4	-1.97966666666667
FPGT	1.3205
GDF10	5.45783333333333
COQ9	-0.21575
GCC2	0.0740714285714286
RARRES3	2.64
PLXNA1	-0.9086
KIAA0100	-0.202
PMF1	-0.19075
FNDC1	4.879
HS2ST1	-1.10225
CRELD2	-0.23675
C8G	null
CD82	-1.0685
LIM2	-1.4325
UNQ6490	-0.895
MMP16	-1.524
DRD3	0.33275
C5orf26	-0.11725
C11orf73	0.527875
PTP4A2	-0.611625
OR4M2	0.453
HPCA	-2.09633333333333
SEC14L1	0.137833333333333
CHFR	-0.9975
EMILIN1	1.21875
NDUFS4	0.32725
COL18A1	-0.411
PDZD3	0.836444444444445
C9orf16	-0.0266666666666667
ERBB2IP	-0.231833333333333
EMX2	5.9885
FUS	-1.6305
TF	-1.2496
CLCN4	0.466666666666667
CXorf56	0.75875
C11orf72	-0.779666666666667
ELAC2	-1.002
NPR1	2.2465
ASS1	-0.439833333333333
USP42	-0.381125
POLR2J	-0.8235
SEC23IP	0.3375
UQCRC1	-0.27375
LOC729603	-1.20525
C1orf71	-0.4665
POLG	-2.704
ADAM23	-2.09575
TFR2	-0.90875
RICTOR	-0.709888888888889
MGC39606	1.12225
C19orf55	-0.810875
SNAPC1	-0.9615
GNA11	-0.073125
CCDC52	0.169166666666667
FSIP1	2.4575
UPF3A	0.49275
IGSF11	-1.5076
LAGE3	-1.62825
CHST6	-2.9585
UNC13B	0.2065
TTLL4	-1.728625
ZNF687	-0.476125
SDC2	1.2139
COX7A2	-0.29125
LAMB4	0.056
FAM24A	0.3715
LRRTM3	-0.0548
GPHB5	0.2215
OR4C13	0.634
EIF3EIP	2.57371428571429
HABP4	0.131
TMEM125	1.95925
CNTN2	0.37925
ASNSD1	0.1625
FUT4	-0.642375
ACF	-3.1195
LOC158381	1.01
CDH8	0.548
AGPS	-0.3375
C4orf18	3.66425
PECI	0.364916666666667
UNG	-0.823625
GSTP1	0.090375
DCUN1D5	-1.13316666666667
DKFZP564J0863	-1.19725
SLC9A3R1	-0.884875
BCDO2	0.221142857142857
CHMP7	-0.00675000000000001
REM2	0.643
DNHD1	0.0567142857142858
FKBP4	-1.486875
ZNF350	1.251
MGC11102	-0.094625
BST1	2.881
KISS1R	-0.794
NCR2	0.676
DEFB125	1.9115
UBE2W	0.558625
KRT15	4.48125
C10orf99	0.297
SCN11A	0.701833333333333
GFI1	-2.67125
RDHE2	2.73816666666667
FHL1	3.62433333333333
OSGEP	-0.0485
GATA1	-3.78433333333333
SMC6	-1.08525
TTTY14	-1.23475
LPIN3	-0.47425
RPL4	0.8802
RBPMS	1.0397
PRPF3	-0.7565
EMR1	-1.4175
SPATA19	-0.301666666666667
XCR1	0.118
IRX3	1.0122
RBM6	-0.12625
KLF4	3.827
UNC5CL	-1.2275
SEBOX	0.035
BTK	-0.349
KRCC1	2.121
C6orf27	0.0015
SYTL5	0.052
PRND	3.77042857142857
LOC653319	-2.1885
PIGL	-2.324625
HUS1	-0.474333333333333
SFRS6	1.1565
C17orf77	0.535
UIMC1	0.232
FXYD2	-1.22
LOC283152	0.2645
ZNF667	-1.2005
ZCCHC12	0.0725
TFEC	1.4084
ATP7B	-0.9665
POLD2	-1.96033333333333
RG9MTD1	0.48175
ACOT2	0.390833333333333
HIST1H4I	-2.21228571428571
PPARGC1A	-0.352333333333333
ETFA	-0.4823
POLRMT	-1.552
ZNF146	0.52225
MIA2	-4.068
KLHL6	-1.34283333333333
HOXB5	-0.308
NENF	0.361333333333333
CUGBP1	-1.65725
PRSS22	0.253833333333333
CASC4	0.5997
CUL4B	0.0553
CENPJ	-0.9783
PITX1	-1.73766666666667
FLJ31033	-0.435
CELSR3	-2.7
ZNF568	1.8165
ITSN1	-0.0305833333333333
EHBP1L1	-0.7925
C19orf2	-0.18725
DCTN1	-0.002
LIN28B	-3.22166666666667
TNKS2	1.081
C1QBP	0.3865
CADPS2	2.3595
SRMS	-0.4565
GJA9	0.8132
MGC24975	-2.22333333333333
TRIM45	-1.35516666666667
TSP50	-0.166333333333333
TCP1	-1.03075
TMED7	-0.1076
CMA1	0.5235
CENPL	-1.2806
PTCRA	-0.584
FST	-2.418
VWCE	-1.373
PAWR	-1.245
ABCC12	0.673166666666667
LDLR	-1.7553
ASTN2	0.2961
LOC441212	-0.612125
GPATCH8	0.13675
TANC2	-1.20154545454545
KIF4A	-4.355
C18orf18	-0.78375
PGM1	-0.42475
KIAA0258	-0.1835
CPD	1.1135
SNCAIP	1.53825
DCT	-4.87283333333333
HLA-DOA	2.03209090909091
OR11L1	-0.0435
UPK1B	0.1125
DNAJB4	3.165125
