Hybridization REF	TCGA-BH-A0DT-01A-21R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.500166666666667
CREB3L1	0.4175
RPS11	1.01825
PNMA1	0.2005
MMP2	-0.0323333333333333
C10orf90	-2.01575
ZHX3	-0.447333333333333
ERCC5	0.16425
GPR98	0.074625
RXFP3	0.228
APBB2	1.01575
PRO0478	-1.398125
KLHL13	-0.77875
PRSSL1	-0.256833333333333
PDCL3	0.573666666666667
DECR1	0.385625
SALL1	-3.516
CADM4	0.853833333333333
RPS18	0.920857142857143
HNRPD	-0.824833333333333
CFHR5	0.8375
SLC10A7	0.347375
OR2K2	0.4905
LMAN1	-0.4595
SUHW1	-4.2375
CHD8	-0.5214
SUMO1	1.1177
GP1BA	1.0717
DDB1	-0.739666666666667
MYO9B	-0.6973
MMP7	6.197
CRNKL1	0.48425
C9orf45	-1.67716666666667
XAB2	-0.2625
RTN1	2.365875
KLHL14	-0.7595
TBX10	-1.782
CENPQ	-0.90675
UTY	-1.5445
ZBTB12	0.058
DTNBP1	0.312625
KBTBD8	-0.826666666666667
ZEB1	-0.2235
ZG16	-1.629
MIER1	0.6049
ADAM5P	0.484
CHD9	-0.68275
STK16	0.84175
KIAA1486	-1.282
TOB2	0.712583333333333
BANK1	4.326
OR2V2	-1.02066666666667
GRM2	0.141833333333333
PROSC	0.111625
SPIN2B	-0.33275
PIR	-2.40955555555556
IPO9	-0.8167
EVC	1.2435
CXCL13	6.292
KIAA1199	-1.9118
SORL1	1.328
NAT10	-0.81725
CHD1	-0.6395
SYN3	-0.989
SLC22A2	-0.81325
SERPINF1	0.348166666666667
WDR34	-0.76
OR7A17	0.06325
C9orf11	-0.439
RNF216L	-0.0499
LHB	-0.1635
STK25	-0.712625
TAOK3	0.99175
LOC152573	-2.6395
C3orf39	0.576
C14orf108	0.7891
CDC25B	-2.04654545454545
BMP3	0.3325
TMEM180	-0.7405
MAP1LC3C	1.98075
CRYGC	-3.357
POU3F1	-1.9289
C20orf32	-1.7525
CCDC95	-0.6965
HIGD1B	4.9625
USP6NL	0.567125
ABCD4	0.288333333333333
DIMT1L	-0.39025
TEK	1.752875
SLC25A46	-0.737
LARP7	-0.6413
CD160	1.0365
MT1JP	0.515333333333333
PHF20	-0.1109375
CPNE4	-1.337
GTPBP1	-0.292928571428571
RAB33B	0.9705
ALDOC	-2.595875
ZNF212	-0.0375
NUDT1	-0.913333333333333
RFPL2	-1.5865
ZNF83	-0.0675
GDPD5	-1.496
PDCD4	3.22225
CEP350	0.12075
OR10A2	-0.249
CST7	1.14975
CIAO1	-1.09425
SELL	1.884
OR8J3	-0.528
LTBP4	-0.293333333333333
SIRT6	-0.746
CCL19	4.30025
PPIL1	-0.603333333333333
GBP7	0.591333333333333
STK17A	-0.6941
ABR	0.7965
OR9G1	-0.849
FOXE1	-0.828625
CNGA3	3.073
GML	0.3915
CD38	-1.8345
ZDHHC6	0.0951666666666667
NEFH	-1.5375
CTDSP2	0.610583333333333
PGBD5	-2.756
CCNY	0.406714285714286
RMND5B	0.225916666666667
ZNF257	-0.32725
FLJ22167	-0.61975
EXOSC7	-0.212666666666667
ROR2	0.68475
MAOA	1.872375
TNNT3	2.52216666666667
GYPC	-1.2855
C7orf33	1.02
PLIN	3.94666666666667
LOC90826	0.59425
RNF4	-0.0798
F8A1	0.232833333333333
PLEKHG4	-1.577
GRB2	-0.65035
HIST1H2AD	-0.18575
DUS3L	-0.725166666666667
EIF1	-0.192333333333333
RP5-1077B9.4	-1.49383333333333
FPGT	1.297
GDF10	2.17416666666667
COQ9	-0.995
GCC2	0.2305
RARRES3	2.43525
PLXNA1	-0.2498
KIAA0100	-0.2244
PMF1	0.14975
FNDC1	5.3
HS2ST1	-0.301583333333333
CRELD2	0.521
C8G	-1.6685
CD82	-0.18575
LIM2	-1.456
UNQ6490	0.168
MMP16	0.24625
DRD3	-0.9085
C5orf26	0.09325
C11orf73	0.218875
PTP4A2	1.040625
OR4M2	0.421
HPCA	-1.51033333333333
SEC14L1	-0.413
CHFR	-0.45925
EMILIN1	1.143125
NDUFS4	-0.462
COL18A1	0.042375
PDZD3	-0.0137
C9orf16	-0.479166666666667
ERBB2IP	0.3695
EMX2	4.19025
FUS	-1.3045
TF	-3.3312
CLCN4	-0.7245
CXorf56	0.9075
C11orf72	0.17425
ELAC2	-0.427666666666667
NPR1	-0.6425
ASS1	-0.863166666666667
USP42	0.35575
POLR2J	-0.5545
SEC23IP	1.03716666666667
UQCRC1	-0.9675
LOC729603	-1.45325
C1orf71	-0.12225
POLG	-1.79
ADAM23	-3.04625
TFR2	-1.26875
RICTOR	-0.8362
MGC39606	0.64825
C19orf55	-0.288375
SNAPC1	-0.904833333333333
GNA11	0.237375
CCDC52	0.155833333333333
FSIP1	5.4285
UPF3A	0.31125
IGSF11	-2.708
LAGE3	-0.06625
CHST6	-2.2985
UNC13B	1.110625
TTLL4	-1.196875
ZNF687	0.385125
SDC2	1.0917
COX7A2	-0.614
LAMB4	-0.06875
FAM24A	-0.105
LRRTM3	-0.55075
GPHB5	0.30175
OR4C13	0.5965
EIF3EIP	0.692857142857143
HABP4	-0.829
TMEM125	3.93225
CNTN2	-0.1215
ASNSD1	-0.115
FUT4	-0.644375
ACF	-3.98975
LOC158381	1.4945
CDH8	0.278
AGPS	-0.3865
C4orf18	2.6185
PECI	0.250583333333333
UNG	-0.260125
GSTP1	-1.7005
DCUN1D5	-0.62
DKFZP564J0863	-0.85925
SLC9A3R1	0.381625
BCDO2	-0.384375
CHMP7	-0.019625
REM2	0.26
DNHD1	-0.985285714285714
FKBP4	-1.289
ZNF350	1.74025
MGC11102	-0.452375
BST1	2.6475
KISS1R	0.0385
NCR2	0.4935
DEFB125	0.34
UBE2W	1.060125
KRT15	1.809625
C10orf99	-0.2855
SCN11A	0.022
GFI1	-1.38725
RDHE2	4.98866666666667
FHL1	-0.6175
OSGEP	0.2
GATA1	-3.26783333333333
SMC6	-1.03975
TTTY14	-1.33325
LPIN3	-0.17275
RPL4	0.2439
RBPMS	0.3393
PRPF3	-1.12366666666667
EMR1	-1.7165
SPATA19	0.2975
XCR1	0.506
IRX3	1.6307
RBM6	-0.667
KLF4	0.1474
UNC5CL	1.393
SEBOX	0.2395
BTK	-1.00325
KRCC1	1.8185
C6orf27	0.518
SYTL5	-0.576
PRND	3.3725
LOC653319	-1.339
PIGL	-1.39975
HUS1	-0.235666666666667
SFRS6	0.377083333333333
C17orf77	0.2245
UIMC1	-0.125166666666667
FXYD2	-1.8324
LOC283152	0.62525
ZNF667	-0.7095
ZCCHC12	-0.888
TFEC	3.4028
ATP7B	1.03166666666667
POLD2	-1.596
RG9MTD1	0.037
ACOT2	-0.1005
HIST1H4I	-1.027625
PPARGC1A	-1.7771
ETFA	-1.074
POLRMT	-0.5465
ZNF146	-0.0465
MIA2	-2.3285
KLHL6	-0.370833333333333
HOXB5	2.041
NENF	1.377
CUGBP1	0.3795
PRSS22	1.347
CASC4	1.7181
CUL4B	0.3079
CENPJ	-1.4761
PITX1	-1.259
FLJ31033	0.8675
CELSR3	-1.669
ZNF568	1.79125
ITSN1	-0.294916666666667
EHBP1L1	-0.5545
C19orf2	-0.4895
DCTN1	-0.8915
LIN28B	-4.52933333333333
TNKS2	-0.79575
C1QBP	0.10925
CADPS2	1.985
SRMS	0.10025
GJA9	0.323
MGC24975	-0.448
TRIM45	-0.380166666666667
TSP50	-0.26225
TCP1	-1.54825
TMED7	0.4393
CMA1	0.1595
CENPL	-1.0805
PTCRA	0.355
FST	-2.88525
VWCE	-3.1115
PAWR	-0.21125
ABCC12	0.469666666666667
LDLR	-1.7297
ASTN2	0.3237
LOC441212	-0.603625
GPATCH8	-0.4285
TANC2	-1.36566666666667
KIF4A	-2.7535
C18orf18	-0.91825
PGM1	-1.1885
KIAA0258	0.81425
CPD	0.667625
SNCAIP	1.68025
DCT	-4.19183333333333
HLA-DOA	3.14586363636364
OR11L1	0.37
UPK1B	-0.676666666666667
DNAJB4	0.345125
UGT1A8	-0.5675
HIST1H4L	-1.3715
PECR	-1.30016666666667
HSPA2	1.54975
WFIKKN1	-2.004
SERP1	0.872875
SYDE2	0.8465
TACR2	-0.5125
NUP85	-0.83425
CD177	-0.654
LGR5	-1.80283333333333
PIGG	-0.0985833333333333
PTHR1	-0.969166666666667
RAB5A	0.305
FLJ13224	-0.5105
USP9Y	-2.04333333333333
C7orf53	-0.6055
LRP1B	-0.99825
XAF1	1.7012
ABCG8	-0.5835
ANKDD1A	-0.642666666666667
DAND5	-2.0965
SPAG6	1.4705
LINCR	0.9285
ZDHHC22	-1.362875
CCDC60	0.1415
THOC7	-1.3255
TCTA	0.6092
OR8K3	0.04025
NY-REN-7	-2.938
B2M	2.0895
C6orf141	-0.209
LPPR4	3.40875
SQLE	-1.5465
SEPHS1	-0.00874999999999999
BTBD14B	0.0547857142857143
PLRG1	-0.138
SPG7	-1.257
ZNF614	-0.0606666666666667
PARD6G	0.921333333333333
INPP5B	-0.895
GRPEL2	-0.00537499999999999
PPID	-0.7094
TRIM56	-0.12225
UBE2J1	0.00862500000000001
IL20RA	6.83525
LOC387856	-0.37325
C1orf107	0.984833333333333
UTS2R	0.025
C19orf22	-0.47625
SAFB2	-0.261
KIAA0652	-0.709
KLRG1	0.662333333333333
MS4A8B	0.8638
FRAG1	0.6135
KIAA1546	0.24475
E2F4	-1.5961
CLEC4M	-0.328666666666667
BTBD14A	-0.70175
KIAA0999	1.6373
GYPA	-3.472
TAC1	3.8753
TRAIP	-1.3075
KIAA0232	1.5296
ERCC8	-1.27975
GPX4	0.493
KIAA0368	0.203625
GPR157	-1.46933333333333
CTAGE4	1.711
C9orf30	-0.9875
OR52A1	0.58
HSP90B3P	-0.493
ALG9	-0.3771
BTBD10	0.43425
SDK2	-0.2905
BAIAP3	0.837
RABGGTB	-0.5635
ANKRD40	-0.6425
KRT74	0.2645
CALCOCO2	0.394357142857143
SNCA	-2.828
TMSL8	-3.223875
C2orf53	-0.5595
ESRRB	-0.81475
ARHGAP26	-0.427
TDRD9	-2.3555
HRAS	-0.421833333333333
KLRC4	-1.478
JAGN1	-0.123833333333333
BSDC1	0.727
RNF43	-0.3969
NDUFAF1	0.4445
PHF12	0.5235
OR1L3	-0.10225
FOLR2	2.23616666666667
LYZL6	0.814
tcag7.1260	-1.846
WSB1	-1.15733333333333
PROS1	0.1759
OSTN	0.7685
PSMB8	1.187
SOCS4	-0.111
DDIT4L	1.31875
MAS1	0.048
MGC34796	1.8805
CSHL1	0.545666666666667
TBCCD1	-0.171833333333333
ZBTB7C	0.247
AP2S1	-0.892625
P15RS	0.4611
VAT1	-0.8858
SHANK3	0.843166666666667
TUFM	-0.572
THEG	0.25825
KRT34	-2.4615
SGSM3	-0.12975
TOMM22	-0.329625
SOCS3	0.720833333333333
CPO	0.9025
POP4	0.08125
BHLHB3	1.2145
MALL	1.417
OR1B1	-0.7575
PARK2	-0.356166666666667
GPR124	0.875875
LCE1E	-1.552
RUVBL2	-1.0325
CGRRF1	0.7004
ACPL2	0.9775
WNT10B	-2.2415
BAIAP2L2	-1.9215
ISCA1	0.604
C1orf125	0.856125
RPAP1	-0.431
RAI16	0.294166666666667
RPL27	0.181375
NLRP9	-0.619
EPN1	-0.6165
LOC388610	-0.6505
SLC35A1	0.8346
GAL	-3.35225
SLC14A2	0.9925
RDH11	-0.706333333333333
FAM138F	0.321
AUH	0.737
FLJ40243	0.37675
C14orf129	0.4115
MBD2	-0.342833333333333
ABHD14B	-0.450375
PIGT	0.521625
ALS2CR4	-0.052625
ALAS1	-0.5995
FOXO1	1.50983333333333
CRLF3	0.10875
C20orf107	-0.957
FARS2	0.7405
CCDC28A	1.65025
NPHP3	-0.42275
OR13F1	0.1265
TSEN54	-0.7655
DEFB106B	0.127777777777778
OR8B4	-0.1685
STH	1.44425
ZC3H14	-0.299625
CBX2	-1.1535
TMEM49	-0.76375
C6orf21	0.7835
FLJ20920	1.01025
CRTAP	-0.0123571428571429
DDX50	0.486
STYXL1	0.571
BLVRB	-0.654333333333333
LOC147650	0.0055
MMP24	0.49575
GRID1	2.52266666666667
BANF1	-1.14933333333333
CTAGEP	0.20825
HMBS	-1.777
SLC25A24	1.71166666666667
C14orf50	2.9795
MRO	-0.0581666666666667
SLC25A15	-0.16375
FAM84B	1.7006
TDP1	-0.652
C16orf78	0.1694
C11orf57	0.587875
RFK	-0.659375
ZFYVE9	-0.736125
STCH	-0.7905
WIBG	0.38725
LOC283871	-0.644833333333333
GBA2	-1.011
NDUFB3	-0.25725
HSD17B13	-0.99075
GRIN3A	0.987
FMNL1	-1.2975
SEPT7	0.1131
GNLY	3.666
GRAMD1C	1.44433333333333
ZNF165	0.343
USP38	0.5755
FAM83A	-3.688
C14orf24	0.963583333333333
ARMCX3	1.1355
ARHGDIB	0.530333333333333
AK1	-0.21375
KIAA1045	0.02625
DNAJB13	-0.845333333333333
NEU2	0.226
HIST1H4B	-1.572
FAM20B	0.1958
HES2	0.926214285714286
FAM73B	-0.8126
LOC388381	0.08575
INTS7	0.0533636363636364
AMPH	1.45975
ZNF775	-0.199375
UCKL1	-1.11366666666667
C10orf97	0.7275
C1orf161	-0.4445
ALDH1L1	-0.50425
FLJ39378	-0.185
SLC23A1	-2.757
RBM4B	0.05925
THAP4	0.373166666666667
OGFRL1	0.551
KIAA0831	0.147875
PPP1R15A	-0.336666666666667
C1orf96	-0.299142857142857
C12orf11	-2.03225
BMF	0.584375
MAN1A1	1.427375
KIAA1600	1.26983333333333
NLGN4X	-0.3615
ALOX12	-2.43016666666667
RB1CC1	0.8443
NEIL2	1.3659
EIF4E	0.153136363636364
ABHD5	0.38475
EXOC4	0.00633333333333333
CIP29	0.411166666666667
BATF2	0.7665
SLC29A4	-1.21475
HTR4	-0.1025
EMB	-0.43825
TRAF6	0.6645
LMNB1	-3.6215
FAM19A5	-0.9185
SHE	2.019
PIK3C2B	1.58675
C15orf15	-0.1382
USP15	-0.138
TCEAL2	1.687
C5orf39	-0.276666666666667
PTGER2	-1.40475
SLC31A1	-0.5304375
IFT172	1.02475
ADAM29	0.756
GFOD1	0.515
ST7L	0.612166666666667
C15orf26	-2.58125
PKN3	-1.40675
CNTD1	3.11666666666667
COMMD1	0.471125
NTRK2	4.49391666666667
FOXN3	-0.03025
MFGE8	-0.6207
PFKFB2	0.6535
TAS2R4	-0.68
ENTHD1	1.146
PRMT5	-1.2405
MGC16384	-1.865875
LOC442229	-0.431
TSKU	-0.56225
KRTCAP3	3.422625
PDLIM1	1.6852
KCNS2	0.365
RNF126	-0.447
CEP63	-0.059625
CLIC4	-0.31
hCG_1990170	-0.1015
ACR	1.1234
KLK7	3.90625
ALOX5AP	3.536
RIPK3	4.25325
TAS2R9	0.803
C19orf18	1.0925
BIRC6	-0.184142857142857
ZNF16	0.8985
RFT1	-0.06225
SLC8A2	-0.98525
TACC1	-0.416875
ITGAD	2.25875
SAMHD1	1.10425
SH3PXD2B	0.9906
EPC2	1.31
C20orf85	4.807875
ATP13A2	-0.149
KRT4	0.317
CAPNS1	-0.76275
MDM2	-0.341916666666667
PCDH20	3.18125
KCNK9	0.9955
OR2C1	-0.4605
KLHDC3	-1.2595
IPPK	0.825
EFHD2	-0.1595
GALR3	-0.00975
NBEA	1.10933333333333
ABCA6	4.2612
CLDN3	1.3295
AKT2	-0.723357142857143
EGFR	-1.0255
RBM16	0.556
ZDHHC3	0.3054
SLC25A4	-0.354166666666667
CYB5B	-0.686166666666667
CPXM1	0.2895
NDRG1	-1.511
FLJ43826	0.30425
OR5L2	-0.8495
FARP2	0.1927
MRPL46	-0.429916666666667
LDHAL6B	-0.2454
MAPKAPK3	-0.569833333333333
NCAM2	-0.21225
PRKD2	0.0433333333333333
ZFP36L1	2.0685
CYSLTR1	0.709
OR4C3	0.05
HIST1H2AJ	0.8875
CCNB2	-2.60888888888889
ZNF10	-0.114875
TMEM175	-0.0775
FAM134A	0.633666666666667
TIGD4	0.218
PCNP	0.05475
MGC39715	-0.197
LQK1	-0.54525
CREB1	0.4259
TMPRSS3	2.257
C4orf32	1.8765
LAT	-1.21616666666667
KCNA3	-0.647
SKIV2L2	-0.57125
ROPN1B	-0.24625
tcag7.23	0.2155
CDT1	-3.159125
ZHX2	1.2695
CD28	-2.42075
ZNF624	1.77325
SEPT2	0.52125
SOHLH2	0.754125
MCOLN3	-0.579375
UNQ1945	-0.2015
MASP2	-1.299
ZNRF3	-0.4563
GPATCH3	-0.40875
AGL	0.391375
QRICH2	-0.137
PSD4	1.12166666666667
CCNB1IP1	-1.42175
ENPP7	-0.03225
OBFC1	0.6995
KCNG3	-2.79075
C14orf79	0.686916666666667
ENPEP	2.29983333333333
SCT	1.824
SKI	0.376875
SEC61G	-1.37175
CAPN11	0.707666666666667
ATXN7L3	-0.90975
DBNDD1	-1.0345
FAIM	0.30375
ANKRD36	-0.9155
GABRP	3.21116666666667
TACSTD2	1.90016666666667
EIF3J	-0.2005
PPP2R2A	-0.3525
TEKT4	-0.3145
PVALB	-3.50066666666667
F10	-2.14683333333333
FAM134C	0.7962
COMP	4.327625
EFCBP1	-2.0754
SCLT1	0.45125
TAL1	-1.0883
ACSL1	0.2915
ABCC5	-0.474833333333333
ABL1	-1.00333333333333
RBBP7	0.371666666666667
PTPRG	-1.062375
NCOR1	0.1663
SPINK4	1.59966666666667
TXNRD1	-1.5239
TNRC15	0.454625
C9orf138	2.1135
UBE2H	1.372
BRDT	0.8782
C8orf31	-0.359
CCNE2	-1.66227272727273
SLC6A8	-2.029875
CALCR	-3.8245
PPP1CB	1.214
ABHD8	-0.693
ARF5	0.2768
SLC24A4	0.983
CCT3	-0.306
ZNF121	0.500125
SLC3A2	-1.6896
OR13A1	0.00700000000000001
SLC5A10	0.949
RAD50	-0.317625
IER5	0.24
MTHFD1L	-2.3675
MBTPS2	-0.1505
MVK	-0.87575
NCL	0.271
PSMD10	-0.1915
MOBP	0.072875
FLJ32894	-0.1385
HRH1	-0.456833333333333
C5orf30	1.4335
NUDT16L1	0.8392
RASGRP3	3.69933333333333
PRKRIP1	-0.1963
CCDC75	-0.61075
LOC253970	0.7495
KIAA1239	0.279
MED21	0.27425
SYT11	0.429083333333333
NTSR2	-0.3755
