Hybridization REF	TCGA-BH-A18V-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0235833333333333
CREB3L1	0.14875
RPS11	-0.28925
PNMA1	-0.11675
MMP2	-0.018
C10orf90	-2.03175
ZHX3	-1.48816666666667
ERCC5	0.52325
GPR98	-1.9775
RXFP3	0.587
APBB2	0.05075
PRO0478	-0.830625
KLHL13	-2.423
PRSSL1	-0.836
PDCL3	0.329
DECR1	-0.18175
SALL1	-4.60533333333333
CADM4	0.977666666666667
RPS18	0.266071428571429
HNRPD	-0.201666666666667
CFHR5	0.76875
SLC10A7	1.626375
OR2K2	-0.268
LMAN1	0.530625
SUHW1	-2.96525
CHD8	-1.3253
SUMO1	1.0845
GP1BA	0.1318
DDB1	0.0185
MYO9B	0.2239
MMP7	6.47475
CRNKL1	-0.56375
C9orf45	-0.736166666666667
XAB2	-0.461125
RTN1	1.4075
KLHL14	-2.051625
TBX10	-0.4325
CENPQ	-0.58875
UTY	-1.57354545454545
ZBTB12	0.5775
DTNBP1	-1.20025
KBTBD8	-0.695
ZEB1	-0.798833333333333
ZG16	-1.07625
MIER1	-0.1818
ADAM5P	null
CHD9	0.411625
STK16	1.245
KIAA1486	-0.2145
TOB2	0.71975
BANK1	3.04325
OR2V2	0.59725
GRM2	0.1585
PROSC	0.148125
SPIN2B	0.1715
PIR	0.018
IPO9	-0.4771
EVC	0.481833333333333
CXCL13	6.02066666666667
KIAA1199	0.2966
SORL1	-0.645
NAT10	-0.2805
CHD1	-0.933
SYN3	-0.5955
SLC22A2	-0.63675
SERPINF1	0.509666666666667
WDR34	0.1875
OR7A17	0.34325
C9orf11	-0.0765
RNF216L	-0.7498
LHB	0.3605
STK25	-0.599125
TAOK3	0.478
LOC152573	-2.67575
C3orf39	-0.2825
C14orf108	0.4477
CDC25B	-1.152
BMP3	0.094
TMEM180	0.518
MAP1LC3C	0.13125
CRYGC	-1.0615
POU3F1	-1.2695
C20orf32	-0.909
CCDC95	-0.4985
HIGD1B	2.67025
USP6NL	1.487875
ABCD4	-1.00366666666667
DIMT1L	-0.552916666666667
TEK	0.974125
SLC25A46	-0.3115
LARP7	-1.7948
CD160	0.0808333333333334
MT1JP	0.5215
PHF20	-1.24275
CPNE4	0.646
GTPBP1	0.569642857142857
RAB33B	0.499666666666667
ALDOC	-2.36475
ZNF212	-1.17825
NUDT1	-0.648
RFPL2	-1.5145
ZNF83	-0.575833333333333
GDPD5	-0.0845
PDCD4	0.18375
CEP350	-0.47525
OR10A2	0.2885
CST7	0.41025
CIAO1	0.00925
SELL	1.530625
OR8J3	0.4485
LTBP4	-0.4305
SIRT6	-0.435
CCL19	4.1825
PPIL1	0.161666666666667
GBP7	0.163166666666667
STK17A	-0.6385
ABR	0.01875
OR9G1	0.0785
FOXE1	-0.532
CNGA3	0.0905
GML	0.3955
CD38	0.01625
ZDHHC6	-0.0115
NEFH	-2.58075
CTDSP2	0.125666666666667
PGBD5	2.17066666666667
CCNY	0.700785714285714
RMND5B	-0.0934166666666667
ZNF257	-0.20125
FLJ22167	0.071625
EXOSC7	0.139333333333333
ROR2	0.2755
MAOA	-0.806
TNNT3	0.208833333333333
GYPC	-0.309
C7orf33	1.1495
PLIN	2.0755
LOC90826	0.56725
RNF4	-0.5581
F8A1	0.907
PLEKHG4	0.828
GRB2	0.30735
HIST1H2AD	-0.07125
DUS3L	-0.96
EIF1	0.065
RP5-1077B9.4	-0.705833333333333
FPGT	0.618
GDF10	-1.2945
COQ9	0.122
GCC2	-0.1235
RARRES3	2.67025
PLXNA1	0.8806
KIAA0100	-0.6341
PMF1	0.39425
FNDC1	4.9105
HS2ST1	-0.630916666666667
CRELD2	0.36675
C8G	-0.4195
CD82	2.49825
LIM2	-1.1705
UNQ6490	-0.1605
MMP16	-0.30875
DRD3	-0.00600000000000001
C5orf26	-1.829
C11orf73	0.551375
PTP4A2	0.1475
OR4M2	0.225
HPCA	-1.375
SEC14L1	-0.682666666666667
CHFR	-0.07425
EMILIN1	1.3205
NDUFS4	-0.91925
COL18A1	-0.014875
PDZD3	-0.0779
C9orf16	0.318333333333333
ERBB2IP	-0.584666666666667
EMX2	3.4685
FUS	-0.6595
TF	-2.2432
CLCN4	1.545
CXorf56	0.974
C11orf72	0.3905
ELAC2	-0.373083333333333
NPR1	0.00600000000000001
ASS1	1.35433333333333
USP42	-0.562
POLR2J	-0.0885
SEC23IP	0.0241666666666667
UQCRC1	-0.4455
LOC729603	-0.452
C1orf71	-0.448
POLG	-0.227
ADAM23	-3.64025
TFR2	-1.05075
RICTOR	-1.3358
MGC39606	0.272
C19orf55	-0.164375
SNAPC1	-1.2155
GNA11	0.308375
CCDC52	-0.224666666666667
FSIP1	-1.414
UPF3A	-0.113625
IGSF11	-1.05516666666667
LAGE3	-0.29525
CHST6	1.2335
UNC13B	-0.18575
TTLL4	0.7925
ZNF687	0.718625
SDC2	1.7975
COX7A2	-0.53825
LAMB4	-0.2735
FAM24A	0.3495
LRRTM3	-2.14483333333333
GPHB5	-0.093
OR4C13	0.6095
EIF3EIP	-0.374357142857143
HABP4	-0.8985
TMEM125	3.47525
CNTN2	0.21525
ASNSD1	-0.14575
FUT4	-0.013
ACF	-3.479
LOC158381	0.8055
CDH8	-0.333
AGPS	-0.154333333333333
C4orf18	1.302375
PECI	-1.99341666666667
UNG	-0.429375
GSTP1	1.169625
DCUN1D5	0.149166666666667
DKFZP564J0863	0.2965
SLC9A3R1	-0.44125
BCDO2	-0.756375
CHMP7	-0.56475
REM2	0.149
DNHD1	1.01775
FKBP4	-0.765375
ZNF350	0.3365
MGC11102	0.60925
BST1	1.832
KISS1R	0.293
NCR2	0.2195
DEFB125	-0.4095
UBE2W	1.419875
KRT15	-0.24975
C10orf99	0.4275
SCN11A	-0.069125
GFI1	-0.7325
RDHE2	3.33183333333333
FHL1	-1.37666666666667
OSGEP	-1.18983333333333
GATA1	-3.31883333333333
SMC6	-0.6405
TTTY14	-1.144
LPIN3	-0.1155
RPL4	0.0237
RBPMS	-0.7363
PRPF3	0.330666666666667
EMR1	-1.799
SPATA19	1.4325
XCR1	0.1585
IRX3	1.1497
RBM6	-0.87475
KLF4	-0.317
UNC5CL	-1.73425
SEBOX	0.1735
BTK	-0.494
KRCC1	1.78075
C6orf27	0.164
SYTL5	-0.731
PRND	1.32985714285714
LOC653319	-1.6225
PIGL	-1.0045
HUS1	0.648166666666667
SFRS6	0.358666666666667
C17orf77	0.5555
UIMC1	-0.4995
FXYD2	-1.3934
LOC283152	-0.072
ZNF667	-2.24275
ZCCHC12	-0.91475
TFEC	4.4209
ATP7B	-1.72383333333333
POLD2	0.393
RG9MTD1	-1.05175
ACOT2	-0.8975
HIST1H4I	-0.56725
PPARGC1A	-2.107
ETFA	-0.3669
POLRMT	-0.6615
ZNF146	1.025875
MIA2	-2.627
KLHL6	-0.3195
HOXB5	0.052375
NENF	0.499
CUGBP1	0.65675
PRSS22	0.925833333333333
CASC4	1.3467
CUL4B	-0.5646
CENPJ	-0.113
PITX1	0.550333333333333
FLJ31033	0.928
CELSR3	-1.56933333333333
ZNF568	0.4045
ITSN1	-1.38916666666667
EHBP1L1	1.34166666666667
C19orf2	0.70225
DCTN1	-0.26625
LIN28B	-4.49016666666667
TNKS2	-0.5585
C1QBP	-0.50125
CADPS2	0.841
SRMS	0.609
GJA9	0.229166666666667
MGC24975	-1.58916666666667
TRIM45	-0.8525
TSP50	0.294
TCP1	-0.8925
TMED7	0.5179
CMA1	0.4955
CENPL	0.6595
PTCRA	0.226
FST	-3.9585
VWCE	-4.0835
PAWR	-0.0415
ABCC12	-0.131333333333333
LDLR	0.0553
ASTN2	-0.5318
LOC441212	-0.314
GPATCH8	-0.21125
TANC2	-1.89525
KIF4A	-0.48425
C18orf18	-1.0165
PGM1	-0.075
KIAA0258	1.31225
CPD	-0.321875
SNCAIP	-2.2015
DCT	-3.88183333333333
HLA-DOA	3.31427272727273
OR11L1	0.3875
UPK1B	0.956333333333333
DNAJB4	0.644875
UGT1A8	-0.31825
HIST1H4L	-0.398
PECR	-0.617333333333333
HSPA2	0.71325
WFIKKN1	-2.324
SERP1	2.208125
SYDE2	0.03925
TACR2	0.3295
NUP85	0.06575
CD177	-0.0285
LGR5	-1.8616
PIGG	-0.847666666666667
PTHR1	-1.9695
RAB5A	0.5993
FLJ13224	0.294
USP9Y	-2.37166666666667
C7orf53	-1.3875
LRP1B	-1.20475
XAF1	2.3548
ABCG8	-0.6295
ANKDD1A	-0.7985
DAND5	-0.761
SPAG6	0.287666666666667
LINCR	3.0945
ZDHHC22	-1.423125
CCDC60	0.122
THOC7	-0.934333333333333
TCTA	1.8983
OR8K3	-0.0085
NY-REN-7	-0.8575
B2M	3.32433333333333
C6orf141	-3.16475
LPPR4	2.64825
SQLE	1.321
SEPHS1	0.972
BTBD14B	0.591285714285714
PLRG1	1.05975
SPG7	-0.05375
ZNF614	-0.377166666666667
PARD6G	-0.412666666666667
INPP5B	0.6153
GRPEL2	0.509375
PPID	0.2845
TRIM56	-0.28675
UBE2J1	1.23775
IL20RA	1.93575
LOC387856	1.595
C1orf107	0.429166666666667
UTS2R	0.25225
C19orf22	-0.2645
SAFB2	-0.071125
KIAA0652	0.2945
KLRG1	-1.15466666666667
MS4A8B	0.0511666666666667
FRAG1	-0.17075
KIAA1546	1.11675
E2F4	-0.083
CLEC4M	0.140333333333333
BTBD14A	1.5755
KIAA0999	0.3807
GYPA	-4.26416666666667
TAC1	-0.5836
TRAIP	0.131833333333333
KIAA0232	-0.7479
ERCC8	-0.98675
GPX4	-1.006625
KIAA0368	-0.285375
GPR157	-0.448166666666667
CTAGE4	0.259
C9orf30	-0.181
OR52A1	0.625
HSP90B3P	-0.644
ALG9	-1.2256
BTBD10	0.307
SDK2	-0.1465
BAIAP3	-1.728
RABGGTB	-1.261625
ANKRD40	0.01
KRT74	0.8835
CALCOCO2	0.480642857142857
SNCA	-3.072
TMSL8	-2.468625
C2orf53	0.423
ESRRB	-0.23475
ARHGAP26	-0.23575
TDRD9	-0.4725
HRAS	-0.351
KLRC4	-1.3835
JAGN1	-0.827166666666667
BSDC1	-0.06125
RNF43	-1.5293
NDUFAF1	-0.7625
PHF12	0.0735
OR1L3	0.26
FOLR2	1.63566666666667
LYZL6	-0.0361666666666666
tcag7.1260	-1.057
WSB1	-1.82033333333333
PROS1	-1.3459
OSTN	0.59
PSMB8	2.12875
SOCS4	0.15875
DDIT4L	1.63925
MAS1	-0.7155
MGC34796	1.35525
CSHL1	0.112166666666667
TBCCD1	0.5375
ZBTB7C	-0.1635
AP2S1	-0.18725
P15RS	0.1578
VAT1	-1.6532
SHANK3	1.139
TUFM	-0.6155
THEG	-0.74275
KRT34	-1.4695
SGSM3	0.80525
TOMM22	0.34425
SOCS3	1.448
CPO	-0.098
POP4	0.328
BHLHB3	0.534
MALL	3.54975
OR1B1	0.343
PARK2	0.089
GPR124	0.425375
LCE1E	0.4895
RUVBL2	-0.85975
CGRRF1	-0.8412
ACPL2	0.1775
WNT10B	1.211125
BAIAP2L2	-0.9765
ISCA1	-0.562
C1orf125	-0.479125
RPAP1	0.18125
RAI16	-0.3395
RPL27	-0.606
NLRP9	-0.2315
EPN1	0.28
LOC388610	-0.152125
SLC35A1	0.5715
GAL	0.3165
SLC14A2	0.467
RDH11	-1.84533333333333
FAM138F	-0.182
AUH	-0.58375
FLJ40243	0.22675
C14orf129	0.937333333333333
MBD2	-0.822333333333333
ABHD14B	0.03025
PIGT	-0.06825
ALS2CR4	-0.494375
ALAS1	0.5569
FOXO1	0.122833333333333
CRLF3	0.20775
C20orf107	-0.4715
FARS2	0.02325
CCDC28A	-0.093
NPHP3	-1.29825
OR13F1	0.382
TSEN54	-0.1135
DEFB106B	0.0323
OR8B4	0.889
STH	-0.88075
ZC3H14	0.215125
CBX2	-0.264
TMEM49	-0.95225
C6orf21	0.471
FLJ20920	-0.885
CRTAP	-1.12257142857143
DDX50	-0.0335
STYXL1	0.82025
BLVRB	-0.946
LOC147650	-0.256333333333333
MMP24	-0.14875
GRID1	1.77816666666667
BANF1	-0.1865
CTAGEP	0.1905
HMBS	-1.92525
SLC25A24	0.6665
C14orf50	1.33125
MRO	2.241
SLC25A15	-0.127
FAM84B	2.4566
TDP1	0.1035
C16orf78	0.207333333333333
C11orf57	-1.11225
RFK	-1.4075
ZFYVE9	-0.071375
STCH	-0.6346
WIBG	-0.76175
LOC283871	-0.266666666666667
GBA2	-0.837
NDUFB3	0.335
HSD17B13	-0.50025
GRIN3A	2.01283333333333
FMNL1	-0.015
SEPT7	0.501
GNLY	3.699
GRAMD1C	0.0179999999999999
ZNF165	0.21125
USP38	0.3445
FAM83A	-3.0845
C14orf24	0.562083333333333
ARMCX3	0.672625
ARHGDIB	-0.203
AK1	0.323
KIAA1045	-0.3685
DNAJB13	-0.206
NEU2	0.6625
HIST1H4B	-0.0208333333333333
FAM20B	-0.0923
HES2	2.59014285714286
FAM73B	-0.1891
LOC388381	0.00224999999999999
INTS7	-0.0209090909090909
AMPH	0.401
ZNF775	-0.457375
UCKL1	-0.7605
C10orf97	-0.79575
C1orf161	-0.10975
ALDH1L1	-0.97825
FLJ39378	-0.962875
SLC23A1	-2.146
RBM4B	0.2
THAP4	-0.239333333333333
OGFRL1	1.795
KIAA0831	-0.8315
PPP1R15A	-0.467833333333333
C1orf96	0.0705714285714286
C12orf11	-1.2485
BMF	0.33525
MAN1A1	-0.307875
KIAA1600	0.00449999999999998
NLGN4X	-0.68475
ALOX12	-0.208666666666667
RB1CC1	-0.5265
NEIL2	-0.122
EIF4E	0.898136363636364
ABHD5	0.9585
EXOC4	0.177166666666667
CIP29	0.142833333333333
BATF2	1.06075
SLC29A4	-0.8875
HTR4	-0.045
EMB	-0.80975
TRAF6	1.0325
LMNB1	-1.3135
FAM19A5	-1.135125
SHE	0.9065
PIK3C2B	0.2345
C15orf15	-0.7318
USP15	-0.1328
TCEAL2	2.0805
C5orf39	-0.0748333333333333
PTGER2	-1.226
SLC31A1	0.9586875
IFT172	0.418
ADAM29	0.14925
GFOD1	1.50225
ST7L	-0.492666666666667
C15orf26	-2.60825
PKN3	-0.81225
CNTD1	-0.485166666666667
COMMD1	0.36
NTRK2	1.55983333333333
FOXN3	-0.01275
MFGE8	2.3303
PFKFB2	-0.1895
TAS2R4	-0.469
ENTHD1	1.36
PRMT5	-1.10825
MGC16384	-1.831
LOC442229	0.6205
TSKU	-0.51275
KRTCAP3	3.202875
PDLIM1	-0.0832
KCNS2	0.0315
RNF126	-0.439666666666667
CEP63	0.65775
CLIC4	0.1105
hCG_1990170	4.72175
ACR	0.8147
KLK7	3.4965
ALOX5AP	3.446625
RIPK3	3.06775
TAS2R9	0.687
C19orf18	0.657
BIRC6	0.204714285714286
ZNF16	1.284
RFT1	-0.03425
SLC8A2	-0.5585
TACC1	-0.620625
ITGAD	1.066
SAMHD1	1.99575
SH3PXD2B	1.3463
EPC2	0.80925
C20orf85	0.21675
ATP13A2	0.272
KRT4	4.564125
CAPNS1	0.0035
MDM2	-0.9925
PCDH20	1.78675
KCNK9	0.7175
OR2C1	-0.2495
KLHDC3	-0.0835
IPPK	-0.448
EFHD2	0.22675
GALR3	0.3095
NBEA	-1.41333333333333
ABCA6	2.273
CLDN3	2.23983333333333
AKT2	0.163714285714286
EGFR	2.4834
RBM16	-0.256375
ZDHHC3	0.00809999999999999
SLC25A4	-0.927833333333333
CYB5B	0.357666666666667
CPXM1	0.034
NDRG1	-0.192230769230769
FLJ43826	0.54475
OR5L2	0.328333333333333
FARP2	0.2529
MRPL46	-0.128
LDHAL6B	-0.0406666666666667
MAPKAPK3	-0.488333333333333
NCAM2	-3.34525
PRKD2	0.283333333333333
ZFP36L1	1.3678
CYSLTR1	-0.848
OR4C3	0.04875
HIST1H2AJ	1.2405
CCNB2	0.477222222222222
ZNF10	-1.817125
TMEM175	0.2995
FAM134A	0.173833333333333
TIGD4	-1.241
PCNP	-0.34175
MGC39715	0.1135
LQK1	0.59725
CREB1	1.0789
TMPRSS3	2.3995
C4orf32	1.40425
LAT	-1.29075
KCNA3	-0.349
SKIV2L2	-1.141
ROPN1B	1.0165
tcag7.23	-1.1995
CDT1	-0.6735
ZHX2	2.065875
CD28	-2.7645
ZNF624	0.12
SEPT2	0.6645
SOHLH2	-1.97
MCOLN3	0.687
UNQ1945	0.208
MASP2	-0.8445
ZNRF3	-0.85
GPATCH3	-0.56975
AGL	-1.036125
QRICH2	-0.1275
PSD4	0.4195
CCNB1IP1	-1.25275
ENPP7	0.18975
OBFC1	-0.2485
KCNG3	-1.501
C14orf79	-0.41025
ENPEP	2.77833333333333
SCT	0.594
SKI	1.36875
SEC61G	-0.31175
CAPN11	0.164
ATXN7L3	-0.1915
DBNDD1	0.542666666666667
FAIM	0.68
ANKRD36	-0.06
GABRP	5.10766666666667
TACSTD2	3.12316666666667
EIF3J	1.511
PPP2R2A	-0.32325
TEKT4	0.395166666666667
PVALB	-3.4435
F10	-3.129
FAM134C	0.585
COMP	3.923375
EFCBP1	-2.9695625
SCLT1	0.003
TAL1	-1.6152
ACSL1	2.09725
ABCC5	0.148666666666667
ABL1	-0.534888888888889
RBBP7	-2.39433333333333
PTPRG	-1.843
NCOR1	-0.2199
SPINK4	-0.996833333333333
TXNRD1	-1.0523
TNRC15	0.43925
C9orf138	0.266
UBE2H	1.099
BRDT	0.635833333333333
C8orf31	-0.08225
CCNE2	0.364
SLC6A8	-1.64225
CALCR	-4.13725
PPP1CB	1.43958333333333
ABHD8	0.103
ARF5	0.2253
SLC24A4	0.9495
CCT3	0.9675
ZNF121	0.685375
SLC3A2	0.8125
OR13A1	0.4045
SLC5A10	-0.000749999999999994
RAD50	-0.3045
IER5	0.542375
MTHFD1L	-1.51325
MBTPS2	0.415
MVK	-0.318625
NCL	1.1092
PSMD10	0.4665
MOBP	0.30525
FLJ32894	0.7815
HRH1	-0.492333333333333
C5orf30	-0.8755
NUDT16L1	-0.198
RASGRP3	3.565
PRKRIP1	-0.5998
CCDC75	-0.58325
LOC253970	-0.1075
KIAA1239	0.3365
MED21	1.204
SYT11	1.20058333333333
NTSR2	0.1555
EGFL11	-0.869
CXorf59	0.8675
OR2A25	0.105666666666667
SPTBN2	0.8045
LRMP	-1.126
RNF111	0.16725
PTH	0.354
LOC619208	-0.138166666666667
KIAA0895	-0.93825
RANBP5	-0.29525
P2RY10	1.44233333333333
NME5	-1.39933333333333
DDX21	-0.5405
LRSAM1	-0.0745
HDAC11	0.0326666666666667
VMO1	2.92675
NOLA2	-0.359
ADAR	1.6575
MTO1	-1.11483333333333
SF4	-0.0341666666666667
P2RX1	0.0551666666666667
HBM	0.19225
EN2	0.4395
C14orf172	1.185
TM9SF2	1.1794
INHBE	-1.11383333333333
TCTE3	0.225833333333333
TOX2	-2.913
CTAGE3	0.244125
HBB	3.6016
MED15	-1.013
CASR	0.635
C6orf66	-0.437833333333333
MTPN	0.234
