Hybridization REF	TCGA-E2-A14Y-01A-21R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0866666666666667
CREB3L1	0.5315
RPS11	0.92225
PNMA1	-0.527
MMP2	-0.728166666666667
C10orf90	-1.78725
ZHX3	-0.5065
ERCC5	-0.2995
GPR98	-1.3965
RXFP3	1.267
APBB2	0.44475
PRO0478	-1.388
KLHL13	-3.081
PRSSL1	-0.188166666666667
PDCL3	0.419166666666667
DECR1	1.298875
SALL1	-4.592
CADM4	1.87183333333333
RPS18	0.691
HNRPD	-0.868083333333333
CFHR5	0.016
SLC10A7	0.16875
OR2K2	0.4
LMAN1	-0.551875
SUHW1	-3.08675
CHD8	-0.2808
SUMO1	0.5779
GP1BA	-0.1514
DDB1	-0.769
MYO9B	-0.1956
MMP7	6.98375
CRNKL1	-0.6535
C9orf45	-1.01433333333333
XAB2	0.011625
RTN1	0.872
KLHL14	-1.389875
TBX10	-0.2505
CENPQ	-2.28125
UTY	-1.56621428571429
ZBTB12	-0.084
DTNBP1	-0.623125
KBTBD8	-1.60916666666667
ZEB1	-1.93333333333333
ZG16	-0.88825
MIER1	0.1253
ADAM5P	0.734
CHD9	-1.02825
STK16	1.3095
KIAA1486	0.252
TOB2	1.00916666666667
BANK1	1.472
OR2V2	0.5075
GRM2	0.411166666666667
PROSC	-0.991
SPIN2B	-0.41825
PIR	-0.537777777777778
IPO9	-0.2598
EVC	-0.848
CXCL13	4.36866666666667
KIAA1199	-0.8966
SORL1	-0.22975
NAT10	-0.0005
CHD1	-0.6425
SYN3	-0.2835
SLC22A2	-0.436
SERPINF1	-0.930333333333333
WDR34	0.56425
OR7A17	0.5985
C9orf11	0.017
RNF216L	-0.212
LHB	0.5755
STK25	0.1405
TAOK3	0.04025
LOC152573	-3.64525
C3orf39	-0.159
C14orf108	0.7154
CDC25B	0.0852727272727273
BMP3	0.4295
TMEM180	0.265
MAP1LC3C	-0.117
CRYGC	-0.356
POU3F1	-0.9439
C20orf32	-1.525
CCDC95	-0.1785
HIGD1B	2.67625
USP6NL	1.35825
ABCD4	-0.970666666666667
DIMT1L	-0.23925
TEK	0.455
SLC25A46	-0.61
LARP7	-1.1126
CD160	0.411166666666667
MT1JP	-1.0595
PHF20	-0.7053125
CPNE4	-1.513
GTPBP1	0.426142857142857
RAB33B	-0.143
ALDOC	-0.481875
ZNF212	-0.5295
NUDT1	0.671666666666667
RFPL2	-1.1725
ZNF83	-1.01333333333333
GDPD5	0.10675
PDCD4	2.03035
CEP350	-0.322
OR10A2	0.38775
CST7	-0.4015
CIAO1	-0.1755
SELL	0.185375
OR8J3	0.8995
LTBP4	0.154333333333333
SIRT6	-0.31725
CCL19	3.821
PPIL1	0.2335
GBP7	-0.155333333333333
STK17A	-0.6415
ABR	-2.26475
OR9G1	0.4675
FOXE1	-0.14525
CNGA3	0.339
GML	0.8735
CD38	-1.2545
ZDHHC6	-0.163666666666667
NEFH	-2.8305
CTDSP2	-0.34325
PGBD5	1.551
CCNY	0.139071428571429
RMND5B	0.01975
ZNF257	-4.27425
FLJ22167	-1.43825
EXOSC7	0.1385
ROR2	0.291625
MAOA	2.79575
TNNT3	-0.012
GYPC	-1.55275
C7orf33	0.918
PLIN	0.188333333333333
LOC90826	-0.183
RNF4	-0.4292
F8A1	0.252
PLEKHG4	-2.21325
GRB2	-0.4552
HIST1H2AD	0.138
DUS3L	-0.412833333333333
EIF1	-0.808
RP5-1077B9.4	0.136666666666667
FPGT	0.05975
GDF10	-1.408
COQ9	0.3235
GCC2	-0.966071428571429
RARRES3	1.511375
PLXNA1	0.126
KIAA0100	0.6508
PMF1	0.35375
FNDC1	5.32125
HS2ST1	0.0971666666666666
CRELD2	0.64775
C8G	-0.387
CD82	1.828
LIM2	-1.2175
UNQ6490	-0.2285
MMP16	-0.611
DRD3	0.41175
C5orf26	-0.16875
C11orf73	0.255
PTP4A2	-0.384875
OR4M2	0.909
HPCA	-1.103
SEC14L1	-0.4135
CHFR	0.11175
EMILIN1	0.871
NDUFS4	-0.36325
COL18A1	0.34825
PDZD3	0.2935
C9orf16	0.905333333333333
ERBB2IP	0.1705
EMX2	0.87175
FUS	-0.87625
TF	-3.0723
CLCN4	-0.902166666666667
CXorf56	0.08725
C11orf72	0.371
ELAC2	-0.350666666666667
NPR1	0.21525
ASS1	0.282833333333333
USP42	-0.21
POLR2J	-0.3925
SEC23IP	-0.054
UQCRC1	0.9695
LOC729603	-0.52975
C1orf71	-0.614625
POLG	-1.124
ADAM23	-2.87425
TFR2	0.13075
RICTOR	-1.1674
MGC39606	-0.2535
C19orf55	-0.10575
SNAPC1	-0.723833333333333
GNA11	-0.077
CCDC52	-0.2335
FSIP1	-0.4285
UPF3A	-0.5195
IGSF11	-2.06383333333333
LAGE3	0.987
CHST6	-1.5475
UNC13B	0.702125
TTLL4	0.227
ZNF687	-0.103
SDC2	0.8471
COX7A2	0.7495
LAMB4	-0.35375
FAM24A	0.3885
LRRTM3	-0.8945
GPHB5	1.13425
OR4C13	0.3915
EIF3EIP	0.896857142857143
HABP4	-1.7685
TMEM125	2.72525
CNTN2	-0.033375
ASNSD1	-0.7775
FUT4	-0.7885
ACF	-3.23425
LOC158381	0.4025
CDH8	-0.45975
AGPS	-0.551333333333333
C4orf18	-0.061625
PECI	-1.36608333333333
UNG	-0.055
GSTP1	1.71125
DCUN1D5	0.0566666666666667
DKFZP564J0863	0.7095
SLC9A3R1	0.7215
BCDO2	-0.499625
CHMP7	-0.9765
REM2	0.245
DNHD1	-0.262
FKBP4	-0.2635
ZNF350	0.30925
MGC11102	1.066
BST1	0.1515
KISS1R	1.7975
NCR2	0.1845
DEFB125	-1.0765
UBE2W	1.4655
KRT15	2.146875
C10orf99	1.208
SCN11A	0.062
GFI1	-2.40975
RDHE2	5.59183333333333
FHL1	-2.70283333333333
OSGEP	-0.414166666666667
GATA1	-2.91283333333333
SMC6	-0.57
TTTY14	-1.01325
LPIN3	0.269
RPL4	0.2084
RBPMS	-1.5103
PRPF3	-0.616166666666667
EMR1	-1.72
SPATA19	1.98525
XCR1	0.699
IRX3	2.3244
RBM6	-0.873
KLF4	0.1987
