Hybridization REF	TCGA-E2-A15C-01A-31R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.211583333333333
CREB3L1	0.511
RPS11	0.90125
PNMA1	0.73225
MMP2	0.494
C10orf90	-2.38525
ZHX3	0.103
ERCC5	0.16225
GPR98	0.00649999999999998
RXFP3	0.309
APBB2	0.91725
PRO0478	-0.620625
KLHL13	-1.05375
PRSSL1	0.183833333333333
PDCL3	0.252833333333333
DECR1	0.495875
SALL1	-3.49416666666667
CADM4	0.912666666666667
RPS18	0.557
HNRPD	-0.6855
CFHR5	-0.0131666666666667
SLC10A7	0.0515
OR2K2	-0.186
LMAN1	-0.34875
SUHW1	-3.5425
CHD8	-0.1726
SUMO1	1.0204
GP1BA	1.5628
DDB1	-0.296166666666667
MYO9B	-0.6656
MMP7	6.5265
CRNKL1	1.1345
C9orf45	-0.327
XAB2	0.103375
RTN1	2.071
KLHL14	-0.707125
TBX10	-1.1355
CENPQ	-1.3465
UTY	-1.40542857142857
ZBTB12	0.4685
DTNBP1	0.135375
KBTBD8	-1.1645
ZEB1	-0.696833333333333
ZG16	-1.18575
MIER1	0.1009
ADAM5P	-0.1595
CHD9	-0.828375
STK16	0.164
KIAA1486	-0.526
TOB2	0.587416666666667
BANK1	4.5355
OR2V2	0.21375
GRM2	-0.0468333333333333
PROSC	0.80325
SPIN2B	0.285
PIR	-3.26677777777778
IPO9	-1.1954
EVC	0.879
CXCL13	5.97066666666667
KIAA1199	0.7424
SORL1	2.31625
NAT10	-0.58125
CHD1	0.13025
SYN3	0.19025
SLC22A2	0.01075
SERPINF1	1.49633333333333
WDR34	0.19875
OR7A17	0.336
C9orf11	0.4515
RNF216L	-0.3044
LHB	-0.046
STK25	-0.469125
TAOK3	1.2625
LOC152573	-3.2625
C3orf39	0.69025
C14orf108	0.5595
CDC25B	-2.00645454545455
BMP3	0.4075
TMEM180	-0.252
MAP1LC3C	0.1475
CRYGC	-0.82
POU3F1	-1.0115
C20orf32	-2.3485
CCDC95	0.037
HIGD1B	4.433
USP6NL	-0.063375
ABCD4	-0.118333333333333
DIMT1L	-0.886166666666667
TEK	1.01575
SLC25A46	-0.95375
LARP7	-0.8795
CD160	0.543166666666667
MT1JP	0.149666666666667
PHF20	0.3763125
CPNE4	-1.90225
GTPBP1	-0.274428571428571
RAB33B	1.20233333333333
ALDOC	-2.566125
ZNF212	0.01575
NUDT1	-0.8605
RFPL2	-1.238
ZNF83	0.1575
GDPD5	-0.962625
PDCD4	2.8363
CEP350	-0.47775
OR10A2	-0.012
CST7	0.7765
CIAO1	-0.9985
SELL	1.32225
OR8J3	0.2895
LTBP4	-0.419166666666667
SIRT6	-0.51275
CCL19	4.58775
PPIL1	-0.418833333333333
GBP7	0.553833333333333
STK17A	-1.0397
ABR	0.392
OR9G1	-0.8825
FOXE1	-0.425625
CNGA3	0.223
GML	0.635
CD38	-0.89325
ZDHHC6	0.102333333333333
NEFH	-1.49175
CTDSP2	0.682666666666667
PGBD5	-1.92266666666667
CCNY	-0.00221428571428571
RMND5B	0.839
ZNF257	-1.63125
FLJ22167	-0.665625
EXOSC7	0.093
ROR2	0.706625
MAOA	-1.637625
TNNT3	1.27933333333333
GYPC	-1.12125
C7orf33	1.0025
PLIN	1.88466666666667
LOC90826	0.07225
RNF4	-0.2804
F8A1	0.3355
PLEKHG4	0.76725
GRB2	-0.1543
HIST1H2AD	0.743
DUS3L	-0.8845
EIF1	-0.100666666666667
RP5-1077B9.4	-0.884
FPGT	1.472
GDF10	0.876166666666667
COQ9	-0.94175
GCC2	-0.0933571428571428
RARRES3	3.003125
PLXNA1	-0.5325
KIAA0100	0.1242
PMF1	-0.17225
FNDC1	5.58875
HS2ST1	0.321
CRELD2	-0.1665
C8G	-2.14
CD82	1.4825
LIM2	-2.7405
UNQ6490	0.3625
MMP16	-0.487
DRD3	-0.33025
C5orf26	-0.057
C11orf73	-0.265125
PTP4A2	0.6445
OR4M2	0.6725
HPCA	-1.46883333333333
SEC14L1	-0.556833333333333
CHFR	-0.9205
EMILIN1	1.4505
NDUFS4	-0.3775
COL18A1	0.36025
PDZD3	0.0134
C9orf16	-0.435833333333333
ERBB2IP	0.732166666666667
EMX2	3.3945
FUS	-0.60475
TF	-3.3696
CLCN4	-0.8595
CXorf56	0.3435
C11orf72	0.19275
ELAC2	-0.22925
NPR1	-1.44075
ASS1	-1.52916666666667
USP42	-0.13625
POLR2J	-0.503
SEC23IP	0.402333333333333
UQCRC1	-0.25925
LOC729603	-1.1725
C1orf71	-0.811875
POLG	-1.943
ADAM23	-3.2465
TFR2	-1.157
RICTOR	-1.0774
MGC39606	0.94425
C19orf55	-0.2435
SNAPC1	-1.03316666666667
GNA11	0.662375
CCDC52	0.957833333333333
FSIP1	4.869
UPF3A	-0.326625
IGSF11	-1.71966666666667
LAGE3	0.4865
CHST6	-0.1775
UNC13B	0.5405
TTLL4	-1.33225
ZNF687	0.34525
SDC2	0.2758
COX7A2	-0.54975
LAMB4	-0.63275
FAM24A	0.326
LRRTM3	-0.675666666666667
GPHB5	0.21125
OR4C13	-0.506
EIF3EIP	-0.0797142857142857
HABP4	-0.5915
TMEM125	3.6995
CNTN2	0.085125
ASNSD1	-0.46925
FUT4	-0.844
ACF	-3.68575
LOC158381	1.608
CDH8	0.3595
AGPS	-1.01866666666667
C4orf18	3.171625
PECI	0.126916666666667
UNG	-0.49425
GSTP1	-1.867125
DCUN1D5	-1.4215
DKFZP564J0863	-1.15525
SLC9A3R1	1.02825
BCDO2	0.420875
CHMP7	-0.944625
REM2	-0.178
DNHD1	0.081625
FKBP4	-0.08775
ZNF350	2.77825
MGC11102	0.0675
BST1	0.895
KISS1R	0.5885
NCR2	0.1525
DEFB125	0.1415
UBE2W	1.57775
KRT15	4.73225
C10orf99	0.1985
SCN11A	-0.180125
GFI1	-2.2615
RDHE2	0.255666666666667
FHL1	-1.487
OSGEP	-0.014
GATA1	-3.389
SMC6	-1.2
TTTY14	-0.9805
LPIN3	-0.381
RPL4	-0.0691
RBPMS	-0.0506
PRPF3	-1.01016666666667
EMR1	-1.0515
SPATA19	0.00125
