Hybridization REF	TCGA-BH-A18J-11A-31R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.884166666666667
CREB3L1	-0.17525
RPS11	1.210625
PNMA1	0.6215
MMP2	-0.1595
C10orf90	-0.4515
ZHX3	0.0973333333333333
ERCC5	0.102
GPR98	-0.964125
RXFP3	0.708
APBB2	1.04725
PRO0478	-0.7185
KLHL13	1.27825
PRSSL1	-0.475
PDCL3	0.579666666666667
DECR1	0.305
SALL1	-2.90416666666667
CADM4	-0.145666666666667
RPS18	0.9515
HNRPD	-0.351083333333333
CFHR5	1.1975
SLC10A7	0.234625
OR2K2	-0.045
LMAN1	-1.151375
SUHW1	-4.29575
CHD8	-0.7593
SUMO1	0.8347
GP1BA	0.4634
DDB1	-1.1315
MYO9B	-1.1854
MMP7	7.75875
CRNKL1	0.1985
C9orf45	-1.24283333333333
XAB2	-0.79675
RTN1	2.285875
KLHL14	-0.29675
TBX10	-1.616
CENPQ	-1.019
UTY	-1.651
ZBTB12	0.5035
DTNBP1	0.716875
KBTBD8	-0.989833333333333
ZEB1	-0.0575
ZG16	-1.10166666666667
MIER1	0.4133
ADAM5P	-0.54
CHD9	0.0448125
STK16	0.24225
KIAA1486	-1.885
TOB2	0.899583333333334
BANK1	4.323
OR2V2	-0.37925
GRM2	0.0606666666666666
PROSC	-0.321125
SPIN2B	0.66375
PIR	-1.11611111111111
IPO9	-1.5376
EVC	0.812
CXCL13	1.0705
KIAA1199	-3.6892
SORL1	1.5205
NAT10	-1.35325
CHD1	-0.1655
SYN3	-0.488
SLC22A2	-1.386
SERPINF1	1.1845
WDR34	-1.48025
OR7A17	0.09225
C9orf11	0.618
RNF216L	-0.405
LHB	-0.2475
STK25	-0.991375
TAOK3	0.763875
LOC152573	-0.491
C3orf39	0.349625
C14orf108	0.8124
CDC25B	-2.38436363636364
BMP3	1.504
TMEM180	-0.933
MAP1LC3C	4.30725
CRYGC	-0.47
POU3F1	-1.618
C20orf32	-1.6685
CCDC95	-0.9845
HIGD1B	5.48
USP6NL	0.08275
ABCD4	0.715166666666667
DIMT1L	0.1105
TEK	2.814875
SLC25A46	-0.16975
LARP7	-0.6308
CD160	1.9624
MT1JP	0.984666666666667
PHF20	-0.53325
CPNE4	-1.65875
GTPBP1	-0.442714285714286
RAB33B	1.25933333333333
ALDOC	-1.587
ZNF212	-0.3795
NUDT1	-1.13033333333333
RFPL2	-1.512
ZNF83	0.317666666666667
GDPD5	0.478625
PDCD4	2.4517
CEP350	-0.54025
OR10A2	-0.455
CST7	-0.801
CIAO1	-1.36325
SELL	0.22725
OR8J3	1.806
LTBP4	-0.130666666666667
SIRT6	-1.30475
CCL19	5.0275
PPIL1	-0.626666666666667
GBP7	0.4194
STK17A	-0.2866
ABR	0.5965
OR9G1	0.0545
FOXE1	-1.1155
CNGA3	1.6375
GML	-0.033
CD38	-1.63475
ZDHHC6	0.0035
NEFH	-2.281
CTDSP2	0.786583333333333
PGBD5	-2.33633333333333
CCNY	-0.00942857142857143
RMND5B	-0.08075
ZNF257	-2.031
FLJ22167	-1.10725
EXOSC7	-0.0401666666666667
ROR2	0.068
MAOA	4.109375
TNNT3	3.52183333333333
GYPC	0.098
C7orf33	1.471
PLIN	5.284
LOC90826	0.5125
RNF4	-0.4794
F8A1	-0.0943333333333333
PLEKHG4	-0.448
GRB2	-1.14255
HIST1H2AD	-0.994
DUS3L	-1.33916666666667
EIF1	0.316666666666667
RP5-1077B9.4	-1.47833333333333
FPGT	1.28075
GDF10	4.32816666666667
COQ9	-0.55275
GCC2	0.515142857142857
RARRES3	2.44475
PLXNA1	-0.3374
KIAA0100	-0.3772
PMF1	-1.154
FNDC1	4.22475
HS2ST1	-0.755166666666667
CRELD2	-0.14575
C8G	-2.5805
CD82	0.34575
LIM2	-1.022
UNQ6490	0.439
MMP16	-0.0675
DRD3	-1.261
C5orf26	0.831
C11orf73	0.3855
PTP4A2	-0.22325
OR4M2	-0.019
HPCA	-1.64783333333333
SEC14L1	-0.141833333333333
CHFR	-0.929125
EMILIN1	0.353
NDUFS4	0.274
COL18A1	-0.711125
PDZD3	0.1455
C9orf16	-1.1885
ERBB2IP	-0.0128333333333333
EMX2	5.62375
FUS	-1.78675
TF	-1.7459
CLCN4	0.067
CXorf56	1.10075
C11orf72	0.4575
ELAC2	-0.867583333333333
NPR1	1.439
ASS1	-1.25433333333333
USP42	0.016375
POLR2J	-2.501
SEC23IP	-0.022
UQCRC1	-1.1205
LOC729603	-1.27025
C1orf71	-0.593
POLG	-2.938
ADAM23	-4.30325
TFR2	-1.59325
RICTOR	0.00420000000000001
MGC39606	1.6305
C19orf55	-0.478875
SNAPC1	-0.253166666666667
GNA11	0.1425
CCDC52	-0.399166666666667
FSIP1	0.682
UPF3A	-0.217125
IGSF11	-2.71316666666667
LAGE3	-1.224
CHST6	-2.636
UNC13B	0.5125
TTLL4	-1.518625
ZNF687	-0.464375
SDC2	0.2661
COX7A2	-0.52325
LAMB4	0.91025
FAM24A	0.278
LRRTM3	-1.502
GPHB5	1.03225
OR4C13	-1.4255
EIF3EIP	1.44192857142857
HABP4	-0.002
TMEM125	3.3715
CNTN2	-0.1685
ASNSD1	0.28125
FUT4	-0.804125
ACF	-3.69475
LOC158381	1.352
CDH8	0.927
AGPS	-0.574166666666667
C4orf18	3.19
PECI	0.256
UNG	-0.717125
GSTP1	-0.00900000000000001
DCUN1D5	-0.861
DKFZP564J0863	-1.36525
SLC9A3R1	-0.157625
BCDO2	0.774625
CHMP7	-0.879375
REM2	-0.1185
DNHD1	-0.34125
FKBP4	-1.3885
ZNF350	1.75125
MGC11102	-0.392
BST1	1.771
KISS1R	0.76
NCR2	-0.924
DEFB125	-0.981
UBE2W	0.695125
KRT15	4.48975
C10orf99	0.2545
SCN11A	0.339875
GFI1	-1.97225
RDHE2	3.29133333333333
FHL1	3.0615
OSGEP	0.182
GATA1	-3.44316666666667
SMC6	-1.39725
TTTY14	-0.8565
LPIN3	-1.1385
RPL4	0.4008
RBPMS	0.5156
PRPF3	-1.27516666666667
EMR1	-2.0535
SPATA19	-0.398
XCR1	1.251
IRX3	1.5229
RBM6	-0.1275
KLF4	2.1464
UNC5CL	-0.41375
SEBOX	0.4935
BTK	-1.1675
KRCC1	1.89775
C6orf27	0.583
SYTL5	-1.591
PRND	1.774
LOC653319	-1.2395
PIGL	-1.346
HUS1	-0.64
SFRS6	0.497583333333333
C17orf77	0.213
UIMC1	0.4005
FXYD2	-1.645
LOC283152	0.52225
ZNF667	-0.14675
ZCCHC12	-1.09275
TFEC	2.6594
ATP7B	-0.695666666666667
POLD2	-2.123
RG9MTD1	0.426
ACOT2	0.7495
HIST1H4I	-1.80285714285714
PPARGC1A	-0.334444444444444
ETFA	-0.3064
POLRMT	-0.94275
ZNF146	-0.32725
MIA2	-2.651
KLHL6	-0.329833333333333
HOXB5	-0.431
NENF	0.5805
CUGBP1	-0.52825
PRSS22	0.835
CASC4	0.8658
CUL4B	-0.1009
CENPJ	-1.6046
PITX1	-1.78283333333333
FLJ31033	0.160666666666667
CELSR3	-2.43866666666667
ZNF568	1.80775
ITSN1	0.0695
EHBP1L1	-1.28
C19orf2	-0.5425
DCTN1	-0.96575
LIN28B	-4.2872
TNKS2	-0.5465
C1QBP	0.04575
CADPS2	1.47575
SRMS	-0.17975
GJA9	-0.2564
MGC24975	-0.795666666666667
TRIM45	-1.088
TSP50	0.629
TCP1	-1.09175
TMED7	0.4089
CMA1	1.7805
CENPL	-2.662
PTCRA	-0.162
FST	-2.0765
VWCE	-1.688
PAWR	-0.7495
ABCC12	1.06333333333333
LDLR	-1.0783
ASTN2	0.4141
LOC441212	-0.555875
GPATCH8	-0.653
TANC2	-1.6075
KIF4A	-3.76325
C18orf18	-0.00524999999999998
PGM1	-0.073
KIAA0258	1.02725
CPD	0.488375
SNCAIP	0.091
DCT	-5.5695
HLA-DOA	2.59436363636364
OR11L1	0.817
UPK1B	-0.278666666666667
DNAJB4	2.475125
UGT1A8	-0.0425
HIST1H4L	-1.4395
PECR	0.0111666666666667
HSPA2	1.199
WFIKKN1	-1.6875
SERP1	1.099
SYDE2	0.03675
TACR2	1.7075
NUP85	-1.011
CD177	-1.164
LGR5	-2.9895
PIGG	-0.468583333333333
PTHR1	0.6565
RAB5A	0.3898
FLJ13224	-0.5985
USP9Y	-1.6072
C7orf53	0.4405
LRP1B	3.249
XAF1	1.8313
ABCG8	-0.6475
ANKDD1A	0.364333333333333
DAND5	-2.416
SPAG6	0.291333333333333
LINCR	3.31225
ZDHHC22	-1.16125
CCDC60	-0.9895
THOC7	-0.9655
TCTA	0.1205
OR8K3	0.11975
NY-REN-7	-0.94
