Hybridization REF	TCGA-BH-A18S-11A-43R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.475083333333333
CREB3L1	-0.05475
RPS11	1.0235
PNMA1	0.44675
MMP2	-0.6265
C10orf90	-0.375
ZHX3	-0.138333333333333
ERCC5	0.36525
GPR98	-1.355375
RXFP3	0.2105
APBB2	1.3025
PRO0478	-0.40875
KLHL13	1.78475
PRSSL1	0.0126666666666667
PDCL3	0.290833333333333
DECR1	0.378125
SALL1	-4.246
CADM4	0.087
RPS18	0.567214285714286
HNRPD	-0.530333333333333
CFHR5	-0.4294
SLC10A7	0.201125
OR2K2	0.2655
LMAN1	-1.019875
SUHW1	-3.4585
CHD8	-0.6651
SUMO1	0.6356
GP1BA	1.2469
DDB1	-0.867666666666667
MYO9B	-0.5722
MMP7	7.1785
CRNKL1	-0.0715
C9orf45	-1.24466666666667
XAB2	-0.849
RTN1	2.098625
KLHL14	-0.282375
TBX10	-0.82
CENPQ	-1.12775
UTY	-1.94038461538462
ZBTB12	0
DTNBP1	0.64025
KBTBD8	-0.889666666666667
ZEB1	-0.221833333333333
ZG16	-0.81975
MIER1	0.1133
ADAM5P	-0.147
CHD9	0.2050625
STK16	0.81175
KIAA1486	-0.367
TOB2	0.7435
BANK1	4.80975
OR2V2	0.49825
GRM2	0.2345
PROSC	0.13625
SPIN2B	0.2765
PIR	-1.11311111111111
IPO9	-1.4415
EVC	0.873
CXCL13	2.25166666666667
KIAA1199	-3.3242
SORL1	1.399
NAT10	-1.28325
CHD1	-0.16
SYN3	-0.855
SLC22A2	-0.72375
SERPINF1	1.58733333333333
WDR34	-1.5455
OR7A17	0.2685
C9orf11	-1.272
RNF216L	-0.2401
LHB	-0.1895
STK25	-0.608875
TAOK3	0.63475
LOC152573	-0.339
C3orf39	0.1815
C14orf108	0.5454
CDC25B	-2.22636363636364
BMP3	0.042
TMEM180	-0.209
MAP1LC3C	3.1285
CRYGC	-0.349
POU3F1	-1.6691
C20orf32	-1.851
CCDC95	-0.9765
HIGD1B	4.39925
USP6NL	0.114375
ABCD4	0.4135
DIMT1L	-0.199416666666667
TEK	2.6745
SLC25A46	-0.16925
LARP7	-0.7346
CD160	1.50783333333333
MT1JP	1.24616666666667
PHF20	-0.4383125
CPNE4	-0.508
GTPBP1	-0.250642857142857
RAB33B	0.9605
ALDOC	-0.28825
ZNF212	-0.36875
NUDT1	-1.12533333333333
RFPL2	-0.19125
ZNF83	0.0153333333333333
GDPD5	0.692375
PDCD4	1.84055
CEP350	-0.6005
OR10A2	0.4415
CST7	0.3655
CIAO1	-1.326
SELL	0.41325
OR8J3	1.4245
