Hybridization REF	TCGA-BH-A18F-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.7285
CREB3L1	1.495
RPS11	0.225875
PNMA1	0.309
MMP2	0.618833333333333
C10orf90	-1.82175
ZHX3	0.0601666666666667
ERCC5	0.27975
GPR98	-0.4255
RXFP3	0.2735
APBB2	1.5945
PRO0478	-1.116625
KLHL13	0.06875
PRSSL1	-0.515
PDCL3	0.835166666666667
DECR1	0.945625
SALL1	-3.1605
CADM4	0.828333333333333
RPS18	0.455285714285714
HNRPD	-0.54675
CFHR5	0.216166666666667
SLC10A7	0.598375
OR2K2	-0.371
LMAN1	-0.589875
SUHW1	-3.2285
CHD8	-0.5405
SUMO1	0.8118
GP1BA	2.0381
DDB1	-0.128666666666667
MYO9B	-0.4112
MMP7	5.9495
CRNKL1	1.314875
C9orf45	-0.903833333333333
XAB2	-0.420875
RTN1	1.241625
KLHL14	-0.789625
TBX10	-1.1375
CENPQ	-1.1035
UTY	-1.08292857142857
ZBTB12	0.0485
DTNBP1	-0.003125
KBTBD8	-1.02133333333333
ZEB1	0.274166666666667
ZG16	-0.84
MIER1	0.1471
ADAM5P	0.5145
CHD9	-0.5333125
STK16	0.18175
KIAA1486	-0.353
TOB2	0.227
BANK1	3.82575
OR2V2	0.1595
GRM2	0.1205
PROSC	-0.220875
SPIN2B	0.15275
PIR	-2.15822222222222
IPO9	-0.3847
EVC	0.871666666666667
CXCL13	4.111
KIAA1199	-2.1071
SORL1	2.458
NAT10	-0.000500000000000004
CHD1	-0.42325
SYN3	-0.93
SLC22A2	-0.46125
SERPINF1	1.2115
WDR34	0.143
OR7A17	0.26875
C9orf11	0.1225
RNF216L	-0.7664
LHB	-0.319
STK25	-0.45375
TAOK3	0.727625
LOC152573	-1.62875
C3orf39	0.025625
C14orf108	0.8075
CDC25B	-1.35936363636364
BMP3	0.1715
TMEM180	0.037
MAP1LC3C	1.76525
CRYGC	-0.098
POU3F1	-1.1065
C20orf32	-1.5195
CCDC95	-0.278
HIGD1B	3.7315
USP6NL	0.158
ABCD4	-0.1625
DIMT1L	-0.384666666666667
TEK	1.74725
SLC25A46	-0.185
LARP7	-1.0641
CD160	0.661
MT1JP	0.783666666666667
PHF20	-0.0103125
CPNE4	-1.41675
GTPBP1	-0.506857142857143
RAB33B	0.607666666666667
ALDOC	-2.260125
ZNF212	-0.584
NUDT1	-0.731
RFPL2	-0.263
ZNF83	-0.413833333333333
GDPD5	0.001625
PDCD4	2.33875
CEP350	0.1855
OR10A2	0.04
CST7	1.16
CIAO1	-0.91575
SELL	1.974125
OR8J3	0.3
LTBP4	-0.01
SIRT6	-0.50975
CCL19	4.04475
PPIL1	-0.7415
GBP7	0.275333333333333
STK17A	-0.8693
ABR	0.0495
OR9G1	-0.2305
FOXE1	-0.508625
CNGA3	0.094
GML	0.1075
CD38	-0.99225
ZDHHC6	-0.121333333333333
NEFH	-0.97725
CTDSP2	0.444
PGBD5	-1.44233333333333
CCNY	0.100928571428571
RMND5B	0.54525
ZNF257	-0.6455
FLJ22167	-0.384875
EXOSC7	-0.417
ROR2	1.818375
MAOA	1.82125
TNNT3	2.086
GYPC	-0.38825
C7orf33	0.463
PLIN	3.89333333333333
LOC90826	-0.3
RNF4	-0.1142
F8A1	0.589166666666667
PLEKHG4	-0.3085
GRB2	0.0466
HIST1H2AD	1.66875
DUS3L	-0.740833333333333
EIF1	-0.269333333333333
RP5-1077B9.4	-1.11033333333333
FPGT	1.20775
GDF10	2.65
COQ9	-0.61575
GCC2	0.324642857142857
RARRES3	2.533875
PLXNA1	-0.5467
KIAA0100	-0.3515
PMF1	0.14825
FNDC1	4.862
HS2ST1	-0.2285
CRELD2	0.037
C8G	-0.9375
CD82	1.60575
LIM2	-1.172
UNQ6490	0.1715
MMP16	-0.00675000000000001
DRD3	-0.09125
C5orf26	-0.29575
C11orf73	0.507125
PTP4A2	1.167375
OR4M2	0.1855
HPCA	-1.17333333333333
SEC14L1	-0.1775
CHFR	-0.217625
EMILIN1	0.927875
NDUFS4	0.11025
COL18A1	0.20175
PDZD3	-0.056
C9orf16	-0.269833333333333
ERBB2IP	0.305833333333333
EMX2	3.9135
FUS	-0.40975
TF	-2.7867
CLCN4	-0.029
CXorf56	0.83425
C11orf72	0.20625
ELAC2	-0.952416666666667
NPR1	0.8135
ASS1	-1.86183333333333
USP42	-0.432625
POLR2J	-0.7565
SEC23IP	1.11466666666667
UQCRC1	-0.572
LOC729603	-0.908
C1orf71	-0.12925
POLG	-1.0765
ADAM23	-2.83525
TFR2	-1.21475
RICTOR	-0.633
MGC39606	0.681
C19orf55	-0.388
SNAPC1	-1.15383333333333
GNA11	0.68825
CCDC52	0.703833333333333
FSIP1	2.934
UPF3A	-0.039875
IGSF11	-2.106
LAGE3	1.517
CHST6	-0.9015
UNC13B	1.12
TTLL4	-0.6655
ZNF687	0.73375
SDC2	-0.2955
COX7A2	-0.792
LAMB4	0.02725
FAM24A	0.373
LRRTM3	-0.577666666666667
GPHB5	0.037
OR4C13	0.228
EIF3EIP	-0.1945
HABP4	-0.1595
TMEM125	3.09375
CNTN2	0.6285
ASNSD1	-0.13475
FUT4	-0.460125
ACF	-3.16625
