Hybridization REF	TCGA-C8-A12Y-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.620333333333333
CREB3L1	1.04875
RPS11	0.2465
PNMA1	0.15675
MMP2	0.139333333333333
C10orf90	-2.23225
ZHX3	0.291666666666667
ERCC5	-0.66225
GPR98	0.252875
RXFP3	0.507
APBB2	2.637
PRO0478	-0.757375
KLHL13	-1.82125
PRSSL1	0.1515
PDCL3	0.920833333333333
DECR1	-0.98425
SALL1	-4.49283333333333
CADM4	0.8145
RPS18	0.198785714285714
HNRPD	-0.664166666666667
CFHR5	0.385333333333333
SLC10A7	0.671
OR2K2	-1.483
LMAN1	-0.873
SUHW1	-2.894
CHD8	0.003
SUMO1	1.0622
GP1BA	0.3883
DDB1	-0.5165
MYO9B	-0.5761
MMP7	4.2085
CRNKL1	1.4915
C9orf45	-1.36516666666667
XAB2	-0.33275
RTN1	1.370375
KLHL14	-1.16575
TBX10	-1.3135
CENPQ	-0.7425
UTY	-1.804
ZBTB12	0.1545
DTNBP1	0.171125
KBTBD8	-2.77766666666667
ZEB1	-0.207166666666667
ZG16	-0.3975
MIER1	0.5011
ADAM5P	0.023
CHD9	0.8139375
STK16	0.89975
KIAA1486	-0.641
TOB2	0.271166666666667
BANK1	2.7545
OR2V2	-0.1545
GRM2	0.184333333333333
PROSC	0.544625
SPIN2B	0.5815
PIR	-1.22977777777778
IPO9	-0.2077
EVC	1.7075
CXCL13	3.4735
KIAA1199	-1.9516
SORL1	0.00375
NAT10	-0.824
CHD1	-0.39925
SYN3	-1.12475
SLC22A2	-0.1125
SERPINF1	-0.504666666666667
WDR34	-0.28475
OR7A17	0.22525
C9orf11	-0.7325
RNF216L	0.3194
LHB	-0.2685
STK25	-0.683375
TAOK3	1.0635
LOC152573	-3.472
C3orf39	0.163125
C14orf108	0.689
CDC25B	-1.688
BMP3	1.438
TMEM180	-0.14
MAP1LC3C	-0.0885
CRYGC	-0.1645
POU3F1	-1.3491
C20orf32	-1.7
CCDC95	0.3595
HIGD1B	3.96075
USP6NL	0.463125
ABCD4	0.0761666666666667
DIMT1L	-0.843333333333333
TEK	0.793875
SLC25A46	-0.68625
LARP7	-0.6162
CD160	0.67
MT1JP	-0.4925
PHF20	0.316625
CPNE4	1.7355
GTPBP1	-0.612857142857143
RAB33B	0.664333333333333
ALDOC	-2.6975
ZNF212	-0.426
NUDT1	-0.536333333333333
RFPL2	-0.39925
ZNF83	-0.0855
GDPD5	-0.88375
PDCD4	3.1752
CEP350	0.12675
OR10A2	-0.095
CST7	-0.83975
CIAO1	-0.646
SELL	0.7965
OR8J3	0.6385
LTBP4	-0.489833333333333
SIRT6	-0.0305
CCL19	4.347
PPIL1	-0.491666666666667
GBP7	0.0766
STK17A	-0.6616
ABR	0.26925
OR9G1	1.0265
FOXE1	-0.485625
CNGA3	-0.135
GML	0.4805
CD38	-1.4895
ZDHHC6	0.325666666666667
NEFH	-0.98975
CTDSP2	0.389333333333333
PGBD5	-2.60516666666667
CCNY	0.301285714285714
RMND5B	0.556333333333333
ZNF257	-1.71475
FLJ22167	-1.380625
EXOSC7	-1.051
ROR2	0.6645
MAOA	2.50125
TNNT3	0.635
GYPC	-1.60775
C7orf33	0.2405
PLIN	0.744333333333333
LOC90826	0.43825
RNF4	0.1571
F8A1	0.444166666666667
PLEKHG4	-0.625
GRB2	-0.0921499999999999
HIST1H2AD	0.14875
DUS3L	-1.3015
EIF1	-0.2135
RP5-1077B9.4	-0.969166666666667
FPGT	1.7245
GDF10	0.223166666666667
COQ9	-0.679
GCC2	0.0359285714285714
RARRES3	2.8915
PLXNA1	-0.1069
KIAA0100	0.1027
PMF1	-0.49375
FNDC1	5.22075
HS2ST1	-0.524166666666667
CRELD2	0.11975
C8G	-1.5425
CD82	0.023
LIM2	-1.312
UNQ6490	-0.021
MMP16	-0.2755
DRD3	-0.015
C5orf26	-1.21825
C11orf73	-0.135625
PTP4A2	2.081875
OR4M2	-0.1445
HPCA	-1.0835
SEC14L1	0.295333333333333
CHFR	0.021875
EMILIN1	0.92425
NDUFS4	-0.00625
COL18A1	0.2515
PDZD3	0.3515
C9orf16	-0.307666666666667
ERBB2IP	0.910166666666667
EMX2	4.449
FUS	-0.37825
TF	-3.965
CLCN4	-0.942333333333333
CXorf56	0.31475
C11orf72	0.47275
ELAC2	-0.932083333333333
NPR1	-1.21275
ASS1	-1.16116666666667
USP42	0.1875
POLR2J	-0.375
SEC23IP	0.676166666666667
UQCRC1	-0.95925
LOC729603	-1.0405
C1orf71	0.47075
POLG	-1.656
ADAM23	-3.52075
TFR2	-0.8645
RICTOR	-0.5555
MGC39606	0.99125
C19orf55	-0.27125
SNAPC1	-0.823
GNA11	0.566125
CCDC52	-0.111
FSIP1	5.804
UPF3A	-0.867375
IGSF11	-3.00433333333333
LAGE3	0.3145
CHST6	-2.8515
UNC13B	0.156
TTLL4	-1.481375
ZNF687	0.47425
SDC2	-0.0908
COX7A2	0.02625
LAMB4	-1.35175
FAM24A	0.3895
LRRTM3	-2.53333333333333
GPHB5	0.33975
OR4C13	-0.4795
EIF3EIP	-0.906785714285714
HABP4	-0.8675
TMEM125	3.93125
CNTN2	1.161625
ASNSD1	-0.38575
FUT4	-0.620375
ACF	-3.746
LOC158381	1.1855
CDH8	0.20125
AGPS	-0.262833333333333
C4orf18	3.935625
PECI	-0.0705833333333333
UNG	-0.4195
GSTP1	-1.958
DCUN1D5	-0.962
DKFZP564J0863	0.196
SLC9A3R1	1.65675
BCDO2	1.55625
CHMP7	-0.708625
REM2	0.317
DNHD1	-0.683875
