Hybridization REF	TCGA-BH-A18G-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0446666666666667
CREB3L1	1.58625
RPS11	1.173625
PNMA1	-1.0355
MMP2	0.916833333333333
C10orf90	1.41375
ZHX3	0.212833333333333
ERCC5	0.58575
GPR98	-1.68425
RXFP3	1.7145
APBB2	1.29325
PRO0478	-1.042875
KLHL13	-0.61175
PRSSL1	-0.303
PDCL3	0.472166666666667
DECR1	-0.281625
SALL1	-4.355
CADM4	1.06233333333333
RPS18	0.923285714285714
HNRPD	-1.65
CFHR5	0.608
SLC10A7	-0.243125
OR2K2	0.7665
LMAN1	0.141375
SUHW1	-3.12925
CHD8	-1.1281
SUMO1	1.099
GP1BA	-0.417
DDB1	-0.670833333333333
MYO9B	0.082
MMP7	7.979
CRNKL1	-0.68125
C9orf45	-2.66133333333333
XAB2	-0.111375
RTN1	1.251125
KLHL14	-1.586875
TBX10	-0.797
CENPQ	-1.5495
UTY	-1.50707692307692
ZBTB12	0.2935
DTNBP1	-0.3405
KBTBD8	-1.69366666666667
ZEB1	0.436166666666667
ZG16	-1.18475
MIER1	1.0421
ADAM5P	0.2325
CHD9	0.75225
STK16	-0.42875
KIAA1486	-0.1925
TOB2	1.2925
BANK1	0.118
OR2V2	-0.09725
GRM2	0.498
PROSC	-0.551875
SPIN2B	-0.167
PIR	-0.250888888888889
IPO9	0.3238
EVC	1.05716666666667
CXCL13	1.86083333333333
KIAA1199	-0.3582
SORL1	0.0025
NAT10	-0.6085
CHD1	-0.35575
SYN3	-0.887
SLC22A2	-0.538
SERPINF1	0.11
WDR34	0.1695
OR7A17	-0.40525
C9orf11	0.3265
RNF216L	-0.1302
LHB	0.5815
STK25	0.02075
TAOK3	0.507125
LOC152573	-2.61525
C3orf39	-0.6075
C14orf108	-0.9435
CDC25B	-1.25772727272727
BMP3	0.0735
TMEM180	0.242
MAP1LC3C	0.087
CRYGC	-0.819
POU3F1	-0.6415
C20orf32	-0.673
CCDC95	0.1205
HIGD1B	3.54025
USP6NL	0.264875
ABCD4	0.388833333333333
DIMT1L	-0.420416666666667
TEK	-0.295625
SLC25A46	-0.849
LARP7	-0.6905
CD160	0.378833333333333
MT1JP	-1.0445
PHF20	-0.51475
CPNE4	-1.23033333333333
GTPBP1	-0.174071428571429
RAB33B	0.899666666666667
ALDOC	-0.45125
ZNF212	-1.09325
NUDT1	-1.30433333333333
RFPL2	-0.90525
ZNF83	-0.9985
GDPD5	0.4455
PDCD4	2.56025
CEP350	0.05275
OR10A2	0.56525
CST7	-0.52675
CIAO1	-0.36825
SELL	0.157125
OR8J3	0.279
LTBP4	0.1135
SIRT6	0.518
CCL19	1.834
PPIL1	-1.11333333333333
GBP7	0.0296
STK17A	-0.7855
ABR	-0.4895
OR9G1	0.667
FOXE1	0.014625
CNGA3	-0.2845
GML	-0.4185
CD38	-2.93875
ZDHHC6	-0.393333333333333
NEFH	-2.9335
CTDSP2	0.332833333333333
PGBD5	3.20366666666667
CCNY	0.411214285714286
RMND5B	0.330166666666667
ZNF257	-3.05375
FLJ22167	-0.464125
EXOSC7	-1.31633333333333
ROR2	0.905875
MAOA	-2.624875
TNNT3	-0.407166666666667
GYPC	-0.98925
C7orf33	0.667
PLIN	0.405333333333333
LOC90826	-0.4545
RNF4	-0.4242
F8A1	0.581
PLEKHG4	-2.30975
GRB2	0.8895
HIST1H2AD	1.74775
DUS3L	-0.670833333333333
EIF1	-0.843333333333333
RP5-1077B9.4	-0.1765
FPGT	1.1745
GDF10	-2.15766666666667
COQ9	-0.13925
GCC2	-0.0101428571428571
RARRES3	2.891625
PLXNA1	-0.3007
KIAA0100	-0.0561
PMF1	0.888
FNDC1	4.96175
