Hybridization REF	TCGA-BH-A18P-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.620083333333333
CREB3L1	2.21275
RPS11	0.47975
PNMA1	0.29425
MMP2	0.411666666666667
C10orf90	-2.1015
ZHX3	0.507666666666667
ERCC5	0.23725
GPR98	-1.834375
RXFP3	0.504
APBB2	0.948
PRO0478	-0.838875
KLHL13	-2.40125
PRSSL1	-0.862166666666667
PDCL3	0.599333333333333
DECR1	0.6995
SALL1	-3.45366666666667
CADM4	1.60616666666667
RPS18	0.267571428571429
HNRPD	-0.250416666666667
CFHR5	0.347666666666667
SLC10A7	0.053375
OR2K2	-0.3855
LMAN1	-0.33725
SUHW1	-3.611
CHD8	0.0776
SUMO1	0.7397
GP1BA	0.0306
DDB1	-1.651
MYO9B	0.0687
MMP7	6.34425
CRNKL1	0.908875
C9orf45	-0.210333333333333
XAB2	0.00787500000000001
RTN1	1.057375
KLHL14	-1.1965
TBX10	2.317
CENPQ	-1.747
UTY	-1.55942857142857
ZBTB12	0.352
DTNBP1	0.0475
KBTBD8	-1.1865
ZEB1	1.5675
ZG16	-2.26225
MIER1	0.8598
ADAM5P	-0.389
CHD9	-0.3824375
STK16	-0.61575
KIAA1486	-0.139
TOB2	1.52908333333333
BANK1	2.73775
OR2V2	0.13475
GRM2	0.2775
PROSC	0.511875
SPIN2B	-0.1975
PIR	-1.50177777777778
IPO9	0.1728
EVC	1.22616666666667
CXCL13	5.2065
KIAA1199	-0.4264
SORL1	0.9415
NAT10	-0.54275
CHD1	-0.44525
SYN3	-0.567
SLC22A2	-0.45875
SERPINF1	0.561333333333333
WDR34	0.889
OR7A17	0.48675
C9orf11	-0.1045
RNF216L	-0.6207
LHB	-0.2625
STK25	-0.179875
TAOK3	0.318625
LOC152573	-3.938
C3orf39	0.388125
C14orf108	0.6831
CDC25B	-1.56427272727273
BMP3	0.496
TMEM180	0.083
MAP1LC3C	-0.31925
CRYGC	-1.2625
POU3F1	-1.3766
C20orf32	-1.884
CCDC95	-0.426
HIGD1B	3.4635
USP6NL	0.559875
ABCD4	-0.3785
DIMT1L	-0.450333333333333
TEK	0.842625
SLC25A46	-0.51875
LARP7	-0.4514
CD160	0.217833333333333
MT1JP	-0.7595
PHF20	-0.381875
CPNE4	-1.95875
GTPBP1	-0.0377857142857143
RAB33B	1.621
ALDOC	-2.383125
ZNF212	-0.13725
NUDT1	-1.47816666666667
RFPL2	-1.414
ZNF83	0.345833333333333
GDPD5	1.469625
PDCD4	0.4913
CEP350	0.185
OR10A2	-0.000999999999999997
CST7	0.6645
CIAO1	-0.719
SELL	0.68975
OR8J3	0.3325
LTBP4	-0.626666666666667
SIRT6	0.04225
CCL19	4.39025
PPIL1	-0.144666666666667
GBP7	1.279
STK17A	-1.252
ABR	-0.226
OR9G1	0.709
FOXE1	-0.369375
CNGA3	0.8335
GML	0.5785
CD38	-2.17525
ZDHHC6	0.344333333333333
NEFH	-2.7275
CTDSP2	0.579
PGBD5	-1.46116666666667
CCNY	-0.00228571428571427
RMND5B	0.865
ZNF257	-0.63475
FLJ22167	-0.44175
EXOSC7	-0.5375
ROR2	0.664875
MAOA	-0.981625
TNNT3	0.532166666666667
GYPC	-1.44925
C7orf33	0.555
PLIN	3.5945
LOC90826	0.31025
RNF4	-0.0101
F8A1	0.2035
PLEKHG4	-1.121
GRB2	1.02225
HIST1H2AD	-0.16
DUS3L	-0.5755
EIF1	0.362666666666667
RP5-1077B9.4	-0.9905
FPGT	1.64225
GDF10	-1.37616666666667
COQ9	-0.796
GCC2	0.832928571428571
RARRES3	2.159375
PLXNA1	-0.3263
KIAA0100	-0.2109
PMF1	0.3705
FNDC1	5.20275
HS2ST1	-0.498916666666667
CRELD2	0.777
C8G	-1.484
CD82	1.22075
LIM2	-1.3205
UNQ6490	-0.0875
MMP16	-0.2385
DRD3	-0.118
C5orf26	0.0015
C11orf73	-0.914625
PTP4A2	0.53875
OR4M2	0.5255
HPCA	-1.09366666666667
SEC14L1	-0.769333333333333
CHFR	-0.203875
EMILIN1	0.67425
NDUFS4	-0.02475
COL18A1	0.009125
PDZD3	0.00229999999999999
C9orf16	0.363833333333333
ERBB2IP	0.3985
EMX2	2.49725
FUS	-0.28425
TF	-3.5322
CLCN4	-1.2465
CXorf56	0.306
C11orf72	0.4095
ELAC2	-0.295166666666667
NPR1	-0.60875
ASS1	-2.148
USP42	1.281875
POLR2J	-1.55
SEC23IP	1.08783333333333
UQCRC1	-1.07
LOC729603	-0.2105
C1orf71	0.467375
POLG	-2.058
ADAM23	-3.568
TFR2	-1.2255
RICTOR	-0.8918
MGC39606	-0.3955
C19orf55	0.00450000000000002
SNAPC1	-0.879833333333333
GNA11	1.0275
CCDC52	-0.294166666666667
FSIP1	0.6275
UPF3A	0.419375
IGSF11	-2.42616666666667
LAGE3	0.66925
CHST6	-1.3725
UNC13B	0.51025
TTLL4	0.205625
ZNF687	0.102875
SDC2	-1.241
COX7A2	0.461
LAMB4	-0.38525
FAM24A	0.335
LRRTM3	-1.57866666666667
GPHB5	-0.201
OR4C13	0.117
EIF3EIP	0.234357142857143
HABP4	-0.957
TMEM125	3.2915
CNTN2	0.159375
ASNSD1	-0.11425
FUT4	-0.967875
ACF	-3.4175
LOC158381	0.878
CDH8	0.899
AGPS	-0.678666666666667
C4orf18	2.155875
PECI	0.20275
UNG	-0.811125
GSTP1	0.447375
DCUN1D5	-1.52883333333333
DKFZP564J0863	-1.16625
SLC9A3R1	0.4075
BCDO2	-0.949125
CHMP7	0.453125
REM2	1.7855
DNHD1	-0.921375
FKBP4	-0.240875
ZNF350	1.96025
MGC11102	-1.083375
BST1	0.56175
KISS1R	0.623
NCR2	-0.103
DEFB125	1.112
UBE2W	1.309625
KRT15	0.706125
C10orf99	0.0065
SCN11A	0.03125
GFI1	-2.33975
RDHE2	3.24333333333333
FHL1	-1.66416666666667
OSGEP	-0.194333333333333
GATA1	-3.286
SMC6	-0.686
TTTY14	-1.546
LPIN3	-0.11325
RPL4	0.0236
RBPMS	1.139
PRPF3	-0.307333333333333
EMR1	-2.284
SPATA19	0.0525
XCR1	-0.0265
IRX3	0.515
RBM6	-1.04025
KLF4	-0.7256
UNC5CL	2.35225
SEBOX	-0.0965
BTK	-1.733
KRCC1	1.01575
C6orf27	0.2465
SYTL5	-0.988
PRND	0.429625
LOC653319	-1.7835
PIGL	-1.365875
