Hybridization REF	TCGA-C8-A133-01A-32R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.4285
CREB3L1	2.4265
RPS11	0.695375
PNMA1	-0.567
MMP2	-1.27983333333333
C10orf90	-2.68125
ZHX3	0.176
ERCC5	0.48325
GPR98	-0.4635
RXFP3	1.0405
APBB2	2.16875
PRO0478	-1.363
KLHL13	-2.3775
PRSSL1	-0.839333333333333
PDCL3	0.133
DECR1	-0.035375
SALL1	-4.48075
CADM4	2.26066666666667
RPS18	0.950928571428571
HNRPD	-1.17658333333333
CFHR5	0.644
SLC10A7	0.056125
OR2K2	0.481
LMAN1	-0.33875
SUHW1	-2.59525
CHD8	-0.5478
SUMO1	0.7491
GP1BA	-0.335555555555556
DDB1	0.533833333333333
MYO9B	-0.6157
MMP7	2.79125
CRNKL1	0.663375
C9orf45	-1.79933333333333
XAB2	0.202875
RTN1	1.18275
KLHL14	-1.06225
TBX10	-1.4765
CENPQ	-2.6725
UTY	-1.15790909090909
ZBTB12	-0.1945
DTNBP1	-1.05975
KBTBD8	-0.619
ZEB1	-0.945833333333333
ZG16	-1.63075
MIER1	0.9699
ADAM5P	0.613
CHD9	-0.0040625
STK16	-0.1365
KIAA1486	-1.584
TOB2	0.597583333333333
BANK1	-0.8755
OR2V2	0.038
GRM2	0.432333333333333
PROSC	0.498625
SPIN2B	0.262
PIR	-1.448
IPO9	-0.5614
EVC	0.424666666666667
CXCL13	1.429
KIAA1199	-3.5852
SORL1	-1.277
NAT10	-0.4215
CHD1	-0.5255
SYN3	-0.88325
SLC22A2	-0.132
SERPINF1	-2.18316666666667
WDR34	0.0645
OR7A17	0.35725
C9orf11	0.2965
RNF216L	-0.3579
LHB	0.7405
STK25	0.033375
TAOK3	-0.352
LOC152573	-2.78525
C3orf39	1.22625
C14orf108	-0.0197
CDC25B	-1.28627272727273
BMP3	-0.00549999999999998
TMEM180	0.9965
MAP1LC3C	-1.73775
CRYGC	-1.145
POU3F1	-1.02111111111111
C20orf32	-0.746
CCDC95	-0.308
HIGD1B	3.9175
USP6NL	-0.796
ABCD4	-0.984166666666667
DIMT1L	-0.449833333333333
TEK	0.260625
SLC25A46	-0.61325
LARP7	-1.2322
CD160	0.3558
MT1JP	-0.636
PHF20	-0.5616875
CPNE4	-2.45175
GTPBP1	0.149285714285714
RAB33B	0.638
ALDOC	-3.28475
ZNF212	-0.816
NUDT1	-2.2035
RFPL2	-0.977
ZNF83	-0.534833333333333
GDPD5	-0.16775
PDCD4	2.41125
CEP350	-0.89175
OR10A2	0.10075
CST7	-0.4955
CIAO1	-1.0905
SELL	0.196333333333333
OR8J3	2.844
LTBP4	-0.413666666666667
SIRT6	-0.15725
CCL19	1.06875
PPIL1	-0.7135
GBP7	0.159333333333333
STK17A	-0.3668
ABR	0.378
OR9G1	0.882
FOXE1	-0.712875
CNGA3	0.3715
GML	0.4435
CD38	-3.58175
ZDHHC6	-0.417666666666667
NEFH	-2.40875
CTDSP2	0.0401666666666667
PGBD5	-0.159666666666667
CCNY	0.502285714285714
RMND5B	0.647416666666667
ZNF257	-4.302
FLJ22167	0.309125
EXOSC7	-0.691
ROR2	1.50625
MAOA	0.856875
TNNT3	-0.152666666666667
GYPC	-1.519
C7orf33	1.219
PLIN	-0.327666666666667
LOC90826	-0.098
RNF4	-0.2846
F8A1	0.463833333333333
PLEKHG4	-1.94425
GRB2	0.24075
HIST1H2AD	1.78275
DUS3L	-1.0335
EIF1	-0.692166666666667
RP5-1077B9.4	-0.8215
FPGT	1.645
GDF10	-2.2895
COQ9	0.512
GCC2	0.710142857142857
RARRES3	3.433
PLXNA1	-0.9788
KIAA0100	0.0498
PMF1	-0.06525
FNDC1	1.54575
HS2ST1	0.0180000000000001
CRELD2	0.88375
C8G	-1.963
CD82	-0.34225
LIM2	-0.7875
UNQ6490	0.081
MMP16	-0.17175
DRD3	0.547
C5orf26	0.292
C11orf73	-0.06175
PTP4A2	1.070875
OR4M2	0.8925
HPCA	0.0185
SEC14L1	-0.904833333333333
CHFR	-0.613625
EMILIN1	0.188375
NDUFS4	0.07575
COL18A1	-1.347625
PDZD3	-0.1113
C9orf16	0.0536666666666667
ERBB2IP	0.312
EMX2	0.87025
FUS	-1.7375
TF	-3.446
CLCN4	-0.6745
CXorf56	0.2045
C11orf72	1
ELAC2	-0.237833333333333
NPR1	-0.9345
ASS1	0.234
USP42	-0.2305
POLR2J	-1.38
SEC23IP	0.997833333333333
UQCRC1	0.2535
LOC729603	-0.053
C1orf71	-0.194125
POLG	-3.028
ADAM23	-4.4335
TFR2	-0.73
RICTOR	-0.8029
MGC39606	-0.678
C19orf55	-0.310625
SNAPC1	-1.43533333333333
GNA11	1.482375
CCDC52	-0.492333333333333
FSIP1	5.6805
UPF3A	0.369625
IGSF11	-2.31266666666667
LAGE3	-0.71725
CHST6	-3.321
UNC13B	0.9075
TTLL4	-1.45725
ZNF687	0.426625
SDC2	-2.2696
COX7A2	0.8225
LAMB4	0.1365
FAM24A	0.326
LRRTM3	0.435
GPHB5	0.43275
OR4C13	-0.555
EIF3EIP	0.675571428571429
HABP4	-0.9765
TMEM125	4.8735
CNTN2	0.206
ASNSD1	0.04675
FUT4	-0.903
ACF	-3.477
LOC158381	0.162
CDH8	-0.00625000000000001
AGPS	0.129833333333333
C4orf18	4.662875
PECI	2.0895
UNG	-0.70075
GSTP1	-3.60775
DCUN1D5	-1.386
DKFZP564J0863	-0.965
SLC9A3R1	1.362625
BCDO2	0.180125
CHMP7	0.092125
REM2	0.0145
DNHD1	-0.764625
FKBP4	0.074
ZNF350	1.66025
MGC11102	-0.767
BST1	-1.407
KISS1R	1.867
NCR2	0.9685
DEFB125	1.494
UBE2W	1.101625
KRT15	-1.997625
C10orf99	0.6
SCN11A	0.178714285714286
GFI1	-2.42325
RDHE2	-0.0688333333333333
FHL1	-2.97283333333333
OSGEP	-0.0595
GATA1	-2.23766666666667
SMC6	-1.2555
TTTY14	-1.11225
LPIN3	-0.402
RPL4	-0.0298
RBPMS	-1.9736
PRPF3	-1.287
EMR1	-2.1505
SPATA19	-0.36925
XCR1	-0.0065
IRX3	2.5306
RBM6	-1.23475
KLF4	-1.41677777777778
UNC5CL	-2.0235
SEBOX	-0.4015
BTK	-1.7165
KRCC1	0.75475
C6orf27	1.1755
SYTL5	-0.336
PRND	0.633285714285714
LOC653319	-0.5935
PIGL	-1.535125
HUS1	-0.344833333333333
SFRS6	-1.79775
C17orf77	0.103
UIMC1	-0.879833333333333
FXYD2	-2.1875
LOC283152	1.61575
ZNF667	0.752
ZCCHC12	-1.222
TFEC	1.7232
ATP7B	-0.00883333333333334
POLD2	-0.237666666666667
RG9MTD1	-0.27275
ACOT2	1.11116666666667
HIST1H4I	-0.013625
PPARGC1A	-2.5316
ETFA	-1.0516
POLRMT	-0.178
ZNF146	-0.59625
MIA2	-1.8005
KLHL6	-2.3095
HOXB5	2.712125
NENF	0.910833333333333
CUGBP1	0.593
PRSS22	1.26683333333333
CASC4	1.9193
CUL4B	0.5479
CENPJ	-1.832
PITX1	1.18416666666667
FLJ31033	1.3255
CELSR3	-1.23216666666667
ZNF568	0.87075
ITSN1	-0.594083333333333
EHBP1L1	-1.33716666666667
C19orf2	-0.3755
DCTN1	0.77
LIN28B	-3.37366666666667
TNKS2	0.1275
C1QBP	-0.669125
CADPS2	-0.48825
SRMS	-0.08575
GJA9	0.393333333333333
MGC24975	-0.855833333333333
TRIM45	-1.37
TSP50	-0.0865
TCP1	-1.15075
TMED7	1.0859
CMA1	0.217
CENPL	-1.64233333333333
PTCRA	1.3765
FST	-2.05475
VWCE	-3.8555
PAWR	1.76
ABCC12	0.9215
LDLR	-0.179
ASTN2	2.2169
LOC441212	-0.49925
GPATCH8	-0.31125
TANC2	-1.9925
KIF4A	-2.9435
C18orf18	-1.05625
PGM1	-0.412
KIAA0258	0.93975
CPD	1.019625
SNCAIP	-2.13966666666667
DCT	-4.14416666666667
HLA-DOA	2.07795454545455
OR11L1	0.7945
UPK1B	-0.618833333333333
DNAJB4	-0.02025
UGT1A8	-0.0415
HIST1H4L	-0.029
PECR	-0.9185
HSPA2	0.71925
WFIKKN1	-1.707
SERP1	1.834
SYDE2	0.616
TACR2	0.989
NUP85	-1.65
CD177	-0.605333333333333
LGR5	-2.6676
PIGG	-0.0315833333333333
PTHR1	-2.40766666666667
RAB5A	-0.2471
FLJ13224	0.209
USP9Y	-1.65216666666667
C7orf53	-2.031
LRP1B	-0.474333333333333
XAF1	1.8312
ABCG8	-0.603
ANKDD1A	-0.906
DAND5	-0.072
SPAG6	-0.41375
LINCR	-0.24375
ZDHHC22	-1.2535
CCDC60	0.644
THOC7	-1.3525
TCTA	2.225
OR8K3	0.453333333333333
NY-REN-7	-0.94875
B2M	2.888
C6orf141	-0.24375
LPPR4	0.368
SQLE	-1.882375
SEPHS1	-0.03875
BTBD14B	0.873785714285714
PLRG1	-0.6655
SPG7	0.059125
ZNF614	-0.167833333333333
PARD6G	0.694
INPP5B	-1.1985
GRPEL2	-0.285875
PPID	-1.0992
TRIM56	-0.38125
UBE2J1	-0.1305
IL20RA	6.59
LOC387856	-0.00250000000000003
C1orf107	-0.287583333333333
UTS2R	2.18975
C19orf22	0.28625
SAFB2	0.349
KIAA0652	0.661375
KLRG1	-1.92483333333333
MS4A8B	0.667666666666667
FRAG1	0.12975
KIAA1546	0.045
E2F4	-1.0974
CLEC4M	0.499833333333333
BTBD14A	-0.41475
KIAA0999	1.7506
GYPA	-4.256
TAC1	-0.6975
TRAIP	-1.6855
KIAA0232	0.5396
ERCC8	-2.085375
GPX4	0.983125
KIAA0368	0.36375
GPR157	-1.38133333333333
CTAGE4	1.3705
C9orf30	-0.6385
OR52A1	0.671
HSP90B3P	0.4265
ALG9	-0.3376
BTBD10	0.1885
SDK2	0.22575
BAIAP3	2.466
RABGGTB	-0.385
ANKRD40	-0.15
KRT74	-0.595
CALCOCO2	1.00857142857143
SNCA	-4.0335
TMSL8	-4.429875
C2orf53	0.8825
ESRRB	-0.91575
ARHGAP26	-1.010375
TDRD9	-3.3175
HRAS	1.40733333333333
KLRC4	-1.412
JAGN1	-0.0158333333333333
BSDC1	0.90975
RNF43	0.2957
NDUFAF1	1.1405
PHF12	0.2755
OR1L3	-0.38525
FOLR2	1.96191666666667
LYZL6	-0.0331666666666668
tcag7.1260	-2.334
WSB1	-2.0655
PROS1	-2.3463
OSTN	0.494
PSMB8	2.04975
SOCS4	-0.794625
DDIT4L	-1.49825
MAS1	-0.85
MGC34796	2.6585
CSHL1	0.1415
TBCCD1	-0.0813333333333333
ZBTB7C	0.0935
AP2S1	0.561375
P15RS	-0.056
VAT1	-0.1271
SHANK3	0.619833333333333
TUFM	0.282
THEG	-0.3065
KRT34	-0.934
SGSM3	0.260375
TOMM22	0.24325
SOCS3	0.888833333333333
CPO	0.7935
POP4	0.04575
BHLHB3	-0.8295
MALL	0.25375
OR1B1	0.581
PARK2	0.749666666666667
GPR124	-1.499125
LCE1E	0.2515
RUVBL2	-0.46925
CGRRF1	0.1082
ACPL2	0.46375
WNT10B	-1.507625
BAIAP2L2	-2.0745
ISCA1	0.4735
C1orf125	0.254571428571429
RPAP1	-1.2725
RAI16	-0.531833333333333
RPL27	-0.12425
NLRP9	-0.2095
EPN1	0.436
LOC388610	0.841875
SLC35A1	1.0895
GAL	-3.6965
SLC14A2	0.3165
RDH11	-0.2915
FAM138F	-0.0925
AUH	1.0845
FLJ40243	0.222
C14orf129	0.276666666666667
MBD2	-0.616
ABHD14B	0.68025
PIGT	2.581375
ALS2CR4	-0.795625
ALAS1	0.3352
FOXO1	-0.1415
CRLF3	-1.18525
C20orf107	-0.4375
FARS2	0.68675
CCDC28A	1.36475
NPHP3	-2.15675
OR13F1	-0.8205
TSEN54	-0.48675
DEFB106B	0.0624444444444444
OR8B4	1.9005
STH	0.224
ZC3H14	-0.469375
CBX2	1.098
TMEM49	-2.2105
C6orf21	0.5615
FLJ20920	-0.651
CRTAP	-0.177785714285714
DDX50	-0.256
STYXL1	-0.1695
BLVRB	0.862833333333333
LOC147650	1.14533333333333
MMP24	0.64375
GRID1	-0.371833333333333
BANF1	-0.557833333333333
CTAGEP	1.26275
HMBS	-1.60475
SLC25A24	-0.725333333333333
C14orf50	3.424
MRO	0.0193333333333333
SLC25A15	0.5615
FAM84B	1.5391
TDP1	-1.1595
C16orf78	0.802333333333333
C11orf57	0.3945
RFK	1.059875
ZFYVE9	0.0527142857142857
STCH	-0.6063
WIBG	0.9095
LOC283871	-0.654166666666667
GBA2	-0.02
NDUFB3	0.21525
HSD17B13	-0.528
GRIN3A	0.159
FMNL1	-2.208
SEPT7	-0.677
GNLY	1.474
GRAMD1C	1.8925
ZNF165	1.14025
USP38	0.64375
FAM83A	-3.74583333333333
C14orf24	0.912666666666667
ARMCX3	0.660625
ARHGDIB	-1.3945
AK1	1.488125
KIAA1045	0.387
DNAJB13	-0.032
NEU2	1.1495
HIST1H4B	0.04
FAM20B	0.4529
HES2	0.0565
FAM73B	-0.2519
LOC388381	-0.057
INTS7	-1.03990909090909
AMPH	0.16175
ZNF775	0.269125
UCKL1	-0.392166666666667
C10orf97	0.533
C1orf161	0.31775
ALDH1L1	-1.0575
FLJ39378	0.442375
SLC23A1	-1.0635
RBM4B	-0.16575
THAP4	1.30433333333333
OGFRL1	-0.27875
KIAA0831	-0.089875
PPP1R15A	-1.433
C1orf96	-0.0105714285714285
C12orf11	-1.756
BMF	0.312
MAN1A1	-2.568125
KIAA1600	0.653
NLGN4X	-1.84525
ALOX12	-0.8858
RB1CC1	0.4652
NEIL2	1.6263
EIF4E	0.0668636363636364
ABHD5	0.15325
EXOC4	0.362666666666667
CIP29	-0.498833333333333
BATF2	2.13525
