Hybridization REF	TCGA-E2-A15G-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.174833333333333
CREB3L1	0.73175
RPS11	-0.22075
PNMA1	0.1975
MMP2	-0.4585
C10orf90	-3.723
ZHX3	0.0783333333333333
ERCC5	0.4595
GPR98	0.81875
RXFP3	0.2445
APBB2	1.51475
PRO0478	0.137875
KLHL13	-3.80075
PRSSL1	-1.41783333333333
PDCL3	0.548833333333333
DECR1	0.101375
SALL1	-3.88
CADM4	1.12233333333333
RPS18	-0.153428571428571
HNRPD	-0.607166666666667
CFHR5	0.619166666666667
SLC10A7	-0.074
OR2K2	-0.122
LMAN1	-0.98875
SUHW1	-3.98175
CHD8	0.2505
SUMO1	0.1811
GP1BA	-0.1629
DDB1	-0.445333333333333
MYO9B	-0.091
MMP7	1.84775
CRNKL1	0.521375
C9orf45	-0.746333333333333
XAB2	-0.40125
RTN1	3.153625
KLHL14	-1.583
TBX10	-2.163
CENPQ	-1.72175
UTY	-1.57514285714286
ZBTB12	-0.195
DTNBP1	-0.045125
KBTBD8	-1.96883333333333
ZEB1	1.71933333333333
ZG16	-2.245
MIER1	0.541
ADAM5P	-0.293
CHD9	-0.0930625
STK16	-0.356
KIAA1486	-0.2705
TOB2	0.6025
BANK1	1.8365
OR2V2	0.23425
GRM2	-0.0685
PROSC	0.636125
SPIN2B	-0.10575
PIR	-2.65722222222222
IPO9	-0.1126
EVC	0.316166666666667
CXCL13	2.88416666666667
KIAA1199	-1.4907
SORL1	1.4915
NAT10	-0.266
CHD1	-0.37375
SYN3	-1.61625
SLC22A2	-1.43775
SERPINF1	-0.421833333333333
WDR34	-0.09525
OR7A17	-0.09975
C9orf11	-1.0645
RNF216L	-0.5434
LHB	-0.534
STK25	-0.06875
TAOK3	1.101625
LOC152573	-4.20775
C3orf39	0.774
C14orf108	0.2692
CDC25B	-2.61245454545455
BMP3	0.8015
TMEM180	0.091
MAP1LC3C	-0.00099999999999999
CRYGC	-1.796
POU3F1	-1.5605
C20orf32	-1.803
CCDC95	0.1825
HIGD1B	4.0855
USP6NL	-0.511125
ABCD4	0.285166666666667
DIMT1L	-0.825166666666667
TEK	1.1555
SLC25A46	-0.9875
LARP7	-0.8761
CD160	0.2048
MT1JP	-1.64116666666667
PHF20	-0.0428125
CPNE4	-0.02125
GTPBP1	-0.542
RAB33B	1.13466666666667
ALDOC	-2.969875
ZNF212	-0.009
NUDT1	-1.5415
RFPL2	-1.41075
ZNF83	0.41
GDPD5	-1.6305
PDCD4	2.49715
CEP350	0.2395
OR10A2	-0.80725
CST7	-0.40725
CIAO1	-1.4575
SELL	0.09
OR8J3	-0.304
LTBP4	-0.732666666666667
SIRT6	0.072
CCL19	3.44725
PPIL1	-1.5285
GBP7	0.303
STK17A	-1.1472
ABR	0.4765
OR9G1	-0.384
FOXE1	-1.149375
CNGA3	-0.0405
GML	0.4255
CD38	-4.7675
ZDHHC6	0.00983333333333334
NEFH	-3.348
CTDSP2	1.24816666666667
PGBD5	-1.71866666666667
CCNY	0.173857142857143
RMND5B	0.55825
ZNF257	0.91825
FLJ22167	0.05525
EXOSC7	-0.328833333333333
ROR2	2.280875
MAOA	0.47975
TNNT3	0.813833333333334
GYPC	-1.7365
C7orf33	0.53
PLIN	2.4995
LOC90826	-0.22575
RNF4	-0.3404
F8A1	0.969166666666667
PLEKHG4	-0.50775
GRB2	0.5779
HIST1H2AD	0.74375
DUS3L	-0.894833333333333
EIF1	-0.106166666666667
RP5-1077B9.4	-0.8365
FPGT	2.04075
GDF10	0.569166666666667
COQ9	-0.3475
GCC2	0.400214285714286
RARRES3	3.10725
PLXNA1	-1.0728
KIAA0100	-0.3081
PMF1	0.376
FNDC1	4.644
HS2ST1	-0.74975
CRELD2	-0.558
C8G	-2.1125
CD82	1.264
LIM2	-2.011
UNQ6490	0.089
MMP16	0.163
DRD3	-0.60375
C5orf26	-0.4415
C11orf73	-1.009125
PTP4A2	2.09825
OR4M2	0.09
HPCA	-1.18266666666667
SEC14L1	-1.19366666666667
CHFR	-0.074375
EMILIN1	-0.06875
NDUFS4	-0.2625
COL18A1	-0.438375
PDZD3	0.00829999999999999
C9orf16	-0.653166666666667
ERBB2IP	-0.152
EMX2	2.0665
FUS	0.28725
TF	-3.6721
CLCN4	-0.888333333333333
CXorf56	1.00375
C11orf72	-0.2055
ELAC2	-0.470083333333333
NPR1	-0.68425
ASS1	-2.8195
USP42	0.624375
POLR2J	-0.62
SEC23IP	0.888833333333333
UQCRC1	-0.10625
LOC729603	0.286
C1orf71	0.1965
POLG	-2.719
ADAM23	-4.0085
TFR2	-1.67425
RICTOR	-0.3783
MGC39606	-0.673
C19orf55	-0.029
SNAPC1	-1.25416666666667
GNA11	1.1575
CCDC52	0.7765
FSIP1	4.563
UPF3A	0.398625
IGSF11	-3.01583333333333
LAGE3	0.69175
CHST6	-3.0335
UNC13B	0.63725
TTLL4	-1.614
ZNF687	0.622
SDC2	-0.4192
COX7A2	-0.317
LAMB4	-0.6035
FAM24A	1.0605
LRRTM3	-1.90083333333333
GPHB5	-0.65975
OR4C13	-0.781
EIF3EIP	-0.614857142857143
HABP4	-0.5295
TMEM125	3.40375
CNTN2	0.50375
ASNSD1	-0.45775
FUT4	-0.95175
ACF	-4.073
LOC158381	0.24
CDH8	0.68975
AGPS	-0.049
C4orf18	2.54025
PECI	0.273583333333333
UNG	-0.29625
GSTP1	-0.544125
DCUN1D5	-1.66266666666667
DKFZP564J0863	-1.04025
SLC9A3R1	1.269375
BCDO2	-0.209375
CHMP7	0.481875
REM2	1.875
DNHD1	-0.577625
FKBP4	0.662875
ZNF350	2.20675
MGC11102	-0.707625
BST1	1.3585
KISS1R	-0.0805
NCR2	-0.2045
DEFB125	-0.7255
UBE2W	0.820125
KRT15	0.938125
C10orf99	0.1305
SCN11A	-0.289
GFI1	-3.53975
RDHE2	3.00433333333333
FHL1	-1.76516666666667
OSGEP	-0.295333333333333
GATA1	-3.71166666666667
SMC6	-0.94225
TTTY14	-1.2085
LPIN3	0.15525
RPL4	-0.5322
RBPMS	0.3246
PRPF3	0.1955
EMR1	-2.535
SPATA19	-0.2865
XCR1	0.403
IRX3	1.1219
RBM6	0.38
KLF4	0.6503
UNC5CL	-0.93675
SEBOX	-0.087
BTK	-1.3055
KRCC1	1.2475
C6orf27	0.2655
SYTL5	0.562
PRND	3.104
LOC653319	-1.133
PIGL	-1.21675
HUS1	-0.592666666666667
SFRS6	-0.110583333333333
C17orf77	-0.2625
UIMC1	-0.596166666666667
FXYD2	-2.1155
LOC283152	1.02025
ZNF667	1.57925
ZCCHC12	-1.67425
TFEC	2.2555
ATP7B	1.55183333333333
POLD2	-0.906666666666667
RG9MTD1	-0.06175
ACOT2	1.32266666666667
HIST1H4I	-1.142875
PPARGC1A	-3.4699
ETFA	-2.1952
POLRMT	-0.46725
ZNF146	0.000249999999999998
MIA2	-0.225
KLHL6	-2.3205
HOXB5	1.543625
NENF	0.1885
CUGBP1	0.256
PRSS22	1.67216666666667
CASC4	0.883
CUL4B	0.5082
CENPJ	-1.6902
PITX1	0.142666666666667
FLJ31033	0.207333333333333
CELSR3	-2.40533333333333
ZNF568	0.8945
ITSN1	-0.342416666666667
EHBP1L1	-0.824666666666667
C19orf2	-0.92525
DCTN1	0.53325
LIN28B	-5.0125
TNKS2	-0.054
C1QBP	-0.41825
CADPS2	1.4385
SRMS	0.1105
GJA9	0.1995
MGC24975	-0.771666666666667
TRIM45	0.984166666666667
TSP50	1.87975
TCP1	-1.07975
TMED7	0.0134
CMA1	-0.5555
CENPL	-0.910833333333333
PTCRA	-0.7765
FST	-3.742
VWCE	-4.24375
PAWR	-0.189
ABCC12	1.74616666666667
LDLR	-1.6435
ASTN2	1.4016
LOC441212	-1.0135
GPATCH8	-0.30025
TANC2	-0.0595833333333333
KIF4A	-2.41925
C18orf18	-0.89725
PGM1	-1.0385
KIAA0258	0.036
CPD	0.1495
SNCAIP	-2.293
DCT	-4.79833333333333
HLA-DOA	2.37786363636364
OR11L1	0.236
UPK1B	-1.0372
DNAJB4	-1.294625
UGT1A8	-1.252
HIST1H4L	-0.462
PECR	-1.25283333333333
HSPA2	1.69475
WFIKKN1	-0.8105
SERP1	1.15925
SYDE2	1.83875
TACR2	0.1725
NUP85	-0.86875
CD177	1.81316666666667
LGR5	-3.008
PIGG	0.0298333333333333
PTHR1	-2.26333333333333
RAB5A	-0.0424
FLJ13224	0.269
USP9Y	-3.00833333333333
C7orf53	-1.0985
LRP1B	0.668
XAF1	1.4741
ABCG8	0.098
ANKDD1A	-0.873666666666667
DAND5	-1.324
SPAG6	0.256
LINCR	0.84825
ZDHHC22	0.81125
CCDC60	-0.075
THOC7	-1.0515
TCTA	1.3349
OR8K3	-0.0535
NY-REN-7	-0.50075
B2M	0.4325
C6orf141	-0.907125
LPPR4	1.53375
SQLE	-2.007875
SEPHS1	-0.3305
BTBD14B	0.2385
PLRG1	-0.38675
SPG7	-0.1508125
ZNF614	-0.402
PARD6G	-0.134333333333333
INPP5B	0.2196
GRPEL2	-0.59575
PPID	-0.6065
TRIM56	0.7335
UBE2J1	-0.754375
IL20RA	4.176
LOC387856	0.463
C1orf107	0.195333333333333
UTS2R	0.489
C19orf22	0.4965
SAFB2	0.88925
KIAA0652	0.274
KLRG1	-0.7335
MS4A8B	2.6405
FRAG1	-0.30175
KIAA1546	0.603
E2F4	-0.6935
CLEC4M	0.254
BTBD14A	-2.0365
KIAA0999	0.7117
GYPA	-4.4194
TAC1	0.1252
TRAIP	-1.201
KIAA0232	0.7895
ERCC8	-1.056875
GPX4	-0.07175
KIAA0368	0.05625
GPR157	-0.7705
CTAGE4	1.369
C9orf30	-2.02733333333333
OR52A1	-0.302
HSP90B3P	-0.235
ALG9	-0.9385
BTBD10	0.12925
SDK2	-0.118
BAIAP3	0.41075
RABGGTB	-0.43025
ANKRD40	0.157166666666667
KRT74	0.4725
CALCOCO2	0.170857142857143
SNCA	-3.80425
TMSL8	-3.4475
C2orf53	-0.056
ESRRB	-0.49625
ARHGAP26	-1.455
TDRD9	0.358
HRAS	-0.246
KLRC4	-2.614
JAGN1	-0.428666666666667
