Hybridization REF	TCGA-BH-A18H-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.36925
CREB3L1	0.8205
RPS11	2.4975
PNMA1	-0.73025
MMP2	-0.103666666666667
C10orf90	-2.45875
ZHX3	-1.266
ERCC5	0.09325
GPR98	0.643125
RXFP3	0.837
APBB2	1.62525
PRO0478	-0.31875
KLHL13	-2.972
PRSSL1	-0.443833333333333
PDCL3	0.443333333333333
DECR1	0.00949999999999999
SALL1	-5.0068
CADM4	1.05133333333333
RPS18	0.132642857142857
HNRPD	-0.999083333333333
CFHR5	0.1305
SLC10A7	0.08225
OR2K2	-0.42
LMAN1	-0.656375
SUHW1	-4.047
CHD8	-0.6465
SUMO1	0.5916
GP1BA	2.6446
DDB1	-0.393666666666667
MYO9B	0.2982
MMP7	6.65675
CRNKL1	-0.587875
C9orf45	-0.989833333333333
XAB2	-0.167
RTN1	2.09825
KLHL14	-1.385625
TBX10	-1.8255
CENPQ	-2.63725
UTY	-0.652545454545455
ZBTB12	-1.143
DTNBP1	0.120125
KBTBD8	-0.603
ZEB1	1.00933333333333
ZG16	-1.74
MIER1	0.8302
ADAM5P	1.4555
CHD9	0.2089375
STK16	-0.043
KIAA1486	-0.909
TOB2	1.30633333333333
BANK1	4.07325
OR2V2	0.36775
GRM2	0.675333333333333
PROSC	-0.241875
SPIN2B	-0.10875
PIR	-2.60688888888889
IPO9	-0.2986
EVC	-0.1815
CXCL13	6.39116666666667
KIAA1199	-2.2457
SORL1	0.43725
NAT10	0.27975
CHD1	-0.07325
SYN3	-0.76475
SLC22A2	-0.07025
SERPINF1	-0.169333333333333
WDR34	0.549
OR7A17	0.28775
C9orf11	0.202
RNF216L	-0.6081
LHB	0.3785
STK25	0.114
TAOK3	-0.1315
LOC152573	-2.96
C3orf39	0.20425
C14orf108	-0.4192
CDC25B	-1.63790909090909
BMP3	0.2295
TMEM180	0.1365
MAP1LC3C	-0.37475
CRYGC	-1.3565
POU3F1	-0.5401
C20orf32	-3.264
CCDC95	-0.168
HIGD1B	4.0305
USP6NL	-0.633375
ABCD4	-1.21516666666667
DIMT1L	-0.844333333333333
TEK	1.293
SLC25A46	-0.745
LARP7	-1.4757
CD160	1.54666666666667
MT1JP	-0.6955
PHF20	0.115375
CPNE4	-2.38525
GTPBP1	0.513428571428571
RAB33B	0.525166666666667
ALDOC	-2.756375
ZNF212	-0.5445
NUDT1	-1.22583333333333
RFPL2	-1.6265
ZNF83	1.79866666666667
GDPD5	-0.216875
PDCD4	0.78795
CEP350	-0.45575
OR10A2	-0.075
CST7	3.25075
CIAO1	-1.2325
SELL	2.15825
OR8J3	0.784
LTBP4	-0.211833333333333
SIRT6	0.37025
CCL19	5.4605
PPIL1	-0.813833333333333
GBP7	0.570833333333333
STK17A	-0.8421
ABR	-0.24225
OR9G1	0.052
FOXE1	-0.344
CNGA3	1.7365
GML	0.458
CD38	0.45975
ZDHHC6	-0.298333333333333
NEFH	-2.63625
CTDSP2	0.456833333333333
PGBD5	-1.59716666666667
CCNY	0.197428571428571
RMND5B	1.04958333333333
ZNF257	-1.65625
FLJ22167	-1.60925
EXOSC7	0.123833333333333
ROR2	1.098375
MAOA	0.249625
TNNT3	0.515166666666667
GYPC	-0.395
C7orf33	-1.583
PLIN	2.09316666666667
LOC90826	-0.69825
RNF4	-0.00509999999999999
