Hybridization REF	TCGA-E2-A14P-01A-31R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.20216666666667
CREB3L1	-0.42475
RPS11	0.466125
PNMA1	0.536
MMP2	-0.4385
C10orf90	-2.066
ZHX3	-0.850333333333333
ERCC5	-0.17475
GPR98	0.9125
RXFP3	1.118
APBB2	-0.5025
PRO0478	-0.791625
KLHL13	-2.19925
PRSSL1	-0.556166666666667
PDCL3	1.03033333333333
DECR1	-0.656375
SALL1	-5.09816666666667
CADM4	1.197
RPS18	-0.0867857142857143
HNRPD	-1.781
CFHR5	-0.1306
SLC10A7	-0.349
OR2K2	-0.685
LMAN1	-0.3905
SUHW1	-2.873
CHD8	0.7904
SUMO1	0.5416
GP1BA	2.4419
DDB1	0.888666666666667
MYO9B	0.8575
MMP7	5.882
CRNKL1	-0.05075
C9orf45	-1.41833333333333
XAB2	-0.283625
RTN1	2.319375
KLHL14	-1.060125
TBX10	-0.1225
CENPQ	-1.86875
UTY	-0.671583333333333
ZBTB12	0.324
DTNBP1	-0.55475
KBTBD8	-1.931
ZEB1	0.3375
ZG16	0.4485
MIER1	0.2082
ADAM5P	0.111
CHD9	-1.2809375
STK16	-0.04475
KIAA1486	-1.41
TOB2	0.842083333333333
BANK1	3.918
OR2V2	-0.0915
GRM2	0.417
PROSC	1.512375
SPIN2B	-2.14475
PIR	-1.36422222222222
IPO9	-0.4795
EVC	0.025
CXCL13	5.59483333333333
KIAA1199	-3.4
SORL1	1.304
NAT10	0.4165
CHD1	-1.10775
SYN3	-0.24275
SLC22A2	0.1535
SERPINF1	-0.403333333333333
WDR34	2.6165
OR7A17	0.32375
C9orf11	0.244
RNF216L	-0.5546
LHB	0.131
STK25	1.40275
TAOK3	0.387625
LOC152573	-3.02525
C3orf39	0.434625
C14orf108	0.6486
CDC25B	0.781636363636363
BMP3	-0.5135
TMEM180	0.2185
MAP1LC3C	0.93525
CRYGC	-0.7815
POU3F1	0.3115
C20orf32	-1.601
CCDC95	0.007
HIGD1B	2.43175
USP6NL	-0.696375
ABCD4	-0.0221666666666667
DIMT1L	-1.21691666666667
TEK	0.365125
SLC25A46	-1.46025
LARP7	-0.9002
CD160	0.5405
MT1JP	0.943
PHF20	-0.252875
CPNE4	-2.57025
GTPBP1	-0.0585714285714286
RAB33B	0.332166666666667
ALDOC	-2.890875
ZNF212	-0.4365
NUDT1	-0.320166666666667
RFPL2	-1.71025
ZNF83	-1.1075
GDPD5	-0.4985
PDCD4	0.7754
CEP350	-0.42925
OR10A2	-0.07
CST7	0.9835
CIAO1	-0.33875
SELL	1.288
OR8J3	0.781
LTBP4	-0.415666666666667
SIRT6	0.454
CCL19	4.928
PPIL1	-0.687666666666667
GBP7	-0.0333333333333333
STK17A	-0.4878
ABR	0.24275
OR9G1	-0.6245
FOXE1	-0.499125
CNGA3	-0.781
