Hybridization REF	TCGA-E2-A15H-01A-11R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.437583333333333
CREB3L1	0.7875
RPS11	0.067375
PNMA1	0.223
MMP2	1.0045
C10orf90	-1.8985
ZHX3	-0.510666666666667
ERCC5	0.65675
GPR98	0.65375
RXFP3	0.372
APBB2	1.501
PRO0478	-0.4335
KLHL13	-1.1245
PRSSL1	-0.7295
PDCL3	0.566
DECR1	0.20175
SALL1	-3.1635
CADM4	0.421666666666667
RPS18	0.105642857142857
HNRPD	-1.38716666666667
CFHR5	0.4394
SLC10A7	0.166625
OR2K2	0.105
LMAN1	-0.584125
SUHW1	-2.83675
CHD8	0.375
SUMO1	0.3121
GP1BA	-0.1255
DDB1	0.0346666666666667
MYO9B	-0.1078
MMP7	6.74475
CRNKL1	0.374875
C9orf45	-1.22866666666667
XAB2	-0.01175
RTN1	0.70375
KLHL14	-1.57425
TBX10	-1.983
CENPQ	-1.7915
UTY	-0.967642857142857
ZBTB12	0.774
DTNBP1	-0.30275
KBTBD8	-2.2055
ZEB1	1.27866666666667
ZG16	-0.60525
MIER1	0.9037
ADAM5P	-0.4115
CHD9	-0.463375
STK16	-0.03875
KIAA1486	-0.868
TOB2	1.22958333333333
BANK1	1.2905
OR2V2	-0.00375
GRM2	0.146333333333333
PROSC	0.01375
SPIN2B	0.20575
PIR	-1.28166666666667
IPO9	0.2697
EVC	1.0555
CXCL13	3.895
KIAA1199	-1.0048
SORL1	0.371
NAT10	0.587
CHD1	-0.31625
SYN3	-0.686
SLC22A2	-0.33525
SERPINF1	0.702833333333333
WDR34	0.67625
OR7A17	-0.14525
C9orf11	-0.558
RNF216L	-0.6736
LHB	-0.0645
STK25	0.53525
TAOK3	0.466875
LOC152573	-3.308
C3orf39	-0.512125
C14orf108	0.0749
CDC25B	-0.948909090909091
BMP3	0.4645
TMEM180	0.3545
MAP1LC3C	-0.0225
CRYGC	-1.41
POU3F1	-1.0603
C20orf32	-1.8715
CCDC95	0.1775
HIGD1B	3.3445
USP6NL	-0.62725
ABCD4	-0.443833333333333
DIMT1L	-0.872833333333333
TEK	0.428125
SLC25A46	-0.874
LARP7	-1.3285
CD160	-0.00733333333333334
MT1JP	-1.022
PHF20	-0.1489375
CPNE4	-2.04825
GTPBP1	-0.434142857142857
RAB33B	0.312333333333333
ALDOC	-2.572125
ZNF212	-0.5125
NUDT1	-1.05083333333333
RFPL2	-0.6395
ZNF83	-0.972833333333333
GDPD5	-0.774625
PDCD4	1.02935
CEP350	-0.382
OR10A2	0.51075
CST7	-0.09275
CIAO1	-0.9095
SELL	-0.318
OR8J3	0.736
LTBP4	-0.183
SIRT6	0.171
CCL19	4.6475
PPIL1	-0.74
GBP7	0.00866666666666666
STK17A	-1.5765
ABR	-0.13775
OR9G1	0.9295
FOXE1	-0.6125
CNGA3	-0.769
GML	0.4485
CD38	-3.08575
ZDHHC6	0.1365
NEFH	-1.89675
CTDSP2	0.675083333333333
PGBD5	-0.827666666666667
CCNY	0.5195
RMND5B	1.63883333333333
ZNF257	-0.25625
FLJ22167	-0.3005
EXOSC7	0.0248333333333333
ROR2	1.108375
MAOA	0.522875
TNNT3	0.535166666666667
GYPC	-1.15275
C7orf33	-0.967
PLIN	0.889
LOC90826	-1.1605
RNF4	-0.561
F8A1	0.45
PLEKHG4	-2.74
GRB2	0.73355
HIST1H2AD	2.40575
DUS3L	-0.5255
EIF1	-0.636666666666667
RP5-1077B9.4	0.177166666666667
FPGT	1.658
GDF10	-0.8835
COQ9	0.2335
GCC2	-0.386785714285714
RARRES3	3.3325
PLXNA1	-0.4556
KIAA0100	-0.8818
PMF1	0.8375
FNDC1	5.38975
HS2ST1	0.0841666666666667
CRELD2	0.35125
C8G	-1.6485
CD82	1.354
LIM2	-1.3475
UNQ6490	0.431
MMP16	0.832
DRD3	0.12875
C5orf26	-0.4885
C11orf73	-0.104375
PTP4A2	0.713625
OR4M2	-0.3385
HPCA	-0.684333333333333
SEC14L1	-0.221666666666667
CHFR	0.272125
EMILIN1	1.263375
NDUFS4	-0.40675
COL18A1	1.094625
PDZD3	-0.3114
C9orf16	0.1575
ERBB2IP	0.357166666666667
EMX2	3.43075
FUS	-0.0945
TF	-4.49588888888889
CLCN4	-0.9025
CXorf56	0.101
C11orf72	0.17225
ELAC2	-0.255916666666667
NPR1	-1.007
ASS1	-3.24733333333333
USP42	-0.16675
POLR2J	-0.434
SEC23IP	0.738
UQCRC1	0.701
LOC729603	-0.359
C1orf71	-0.70875
POLG	-1.945
ADAM23	-3.51625
TFR2	-0.6235
RICTOR	-0.4096
MGC39606	-0.148
C19orf55	-0.1765
SNAPC1	-1.398
GNA11	1.122
CCDC52	0.199666666666667
FSIP1	5.6505
UPF3A	-0.313
IGSF11	-2.7975
LAGE3	0.4035
CHST6	-1.589
UNC13B	0.72775
TTLL4	-1.32725
ZNF687	0.71175
SDC2	-0.0879
COX7A2	-0.6445
LAMB4	0.16175
FAM24A	1.0525
LRRTM3	-1.311
GPHB5	-0.1025
OR4C13	0.2265
EIF3EIP	-0.573142857142857
HABP4	-0.7415
TMEM125	3.81175
CNTN2	0.145375
ASNSD1	-0.69175
FUT4	-0.236625
ACF	-4.16125
LOC158381	-0.004
CDH8	-0.30525
AGPS	-0.526
C4orf18	2.830875
PECI	-0.0995
UNG	-0.551125
GSTP1	-2.1755
DCUN1D5	-1.18016666666667
DKFZP564J0863	-0.4355
SLC9A3R1	2.50025
BCDO2	0.8235
CHMP7	-0.3435
REM2	1.231
DNHD1	-0.422125
FKBP4	1.277375
ZNF350	1.53225
MGC11102	-0.077
BST1	0.4605
KISS1R	0.5795
NCR2	0.295
DEFB125	-0.4365
UBE2W	0.85375
KRT15	1.33875
C10orf99	0.244
SCN11A	0.374285714285714
GFI1	-3.327
RDHE2	4.41916666666667
FHL1	-2.14783333333333
OSGEP	-0.665
GATA1	-3.62883333333333
SMC6	-0.939
TTTY14	-1.25775
LPIN3	0.39975
RPL4	0.0345
RBPMS	0.3584
PRPF3	0.4465
EMR1	-2.592
SPATA19	-0.199
XCR1	0.1475
IRX3	2.1459
RBM6	0.24225
KLF4	-0.7512
UNC5CL	-0.8895
SEBOX	0.0645
BTK	-1.65375
KRCC1	0.0975
C6orf27	0.5115
SYTL5	-0.2415
PRND	2.362625
LOC653319	-1.2375
PIGL	-2.289
HUS1	-0.202666666666667
SFRS6	0.91125
C17orf77	0.7455
