Hybridization REF	TCGA-BH-A18M-11A-33R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.05675
CREB3L1	0.1575
RPS11	0.85925
PNMA1	0.3775
MMP2	2.0575
C10orf90	-0.49325
ZHX3	0.249833333333333
ERCC5	0.322
GPR98	-0.426625
RXFP3	0.246
APBB2	1.5825
PRO0478	-0.458375
KLHL13	1.332
PRSSL1	-0.253333333333333
PDCL3	0.516833333333333
DECR1	0.829875
SALL1	-3.06466666666667
CADM4	-0.107166666666667
RPS18	0.00914285714285717
HNRPD	-0.3765
CFHR5	0.612
SLC10A7	-0.403375
OR2K2	-0.6085
LMAN1	-1.48025
SUHW1	-3.66275
CHD8	-0.306
SUMO1	-0.0407
GP1BA	0.9639
DDB1	-0.714666666666667
MYO9B	-0.4484
MMP7	7.15875
CRNKL1	-0.10975
C9orf45	-0.9885
XAB2	0.08225
RTN1	1.837375
KLHL14	-0.625125
TBX10	-1.46
CENPQ	-1.30225
UTY	-1.06681818181818
ZBTB12	0.39
DTNBP1	0.119125
KBTBD8	-1.6905
ZEB1	1.07083333333333
ZG16	-0.70175
MIER1	0.6223
ADAM5P	0.699
CHD9	0.23425
STK16	-0.7105
KIAA1486	-0.944
TOB2	0.638583333333333
BANK1	3.711
OR2V2	0.239666666666667
GRM2	0.526166666666667
PROSC	0.49425
SPIN2B	0.5235
PIR	-1.13866666666667
IPO9	-1.02522222222222
EVC	0.991333333333333
CXCL13	1.4445
KIAA1199	-3.85888888888889
SORL1	0.387
NAT10	-1.15925
CHD1	-0.6125
SYN3	-0.3115
SLC22A2	-0.277666666666667
SERPINF1	2.1625
WDR34	-1.69375
OR7A17	0.24425
C9orf11	-0.748
RNF216L	-0.8691
LHB	-0.5155
STK25	-0.113875
TAOK3	0.802625
LOC152573	-0.84025
C3orf39	0.434625
C14orf108	0.494
CDC25B	-2.12854545454545
BMP3	0.7175
TMEM180	0.759
MAP1LC3C	3.591
CRYGC	-1.534
POU3F1	-0.778222222222222
C20orf32	-1.9585
CCDC95	-0.943
HIGD1B	4.38275
USP6NL	-0.45725
ABCD4	-0.120666666666667
DIMT1L	-0.47825
TEK	2.598
SLC25A46	-0.2095
LARP7	-1.2059
CD160	0.799166666666667
MT1JP	0.772666666666667
PHF20	-0.391125
CPNE4	-1.642
GTPBP1	-0.3625
RAB33B	0.8825
ALDOC	-0.043125
ZNF212	-0.472
NUDT1	-1.2335
