Hybridization REF	TCGA-A7-A13D-01A-13R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.453083333333333
CREB3L1	0.273
RPS11	1.377875
PNMA1	-0.401
MMP2	0.680333333333333
C10orf90	0.481
ZHX3	0.202666666666667
ERCC5	-0.61925
GPR98	-1.663125
RXFP3	0.535
APBB2	0.43825
PRO0478	-0.808285714285714
KLHL13	-1.3025
PRSSL1	-0.691166666666667
PDCL3	1.05816666666667
DECR1	0.345375
SALL1	-3.1492
CADM4	1.50666666666667
RPS18	-0.606785714285714
HNRPD	-0.8645
CFHR5	-0.1378
SLC10A7	-0.179375
OR2K2	null
LMAN1	0.10225
SUHW1	-1.317
CHD8	-0.8662
SUMO1	1.0716
GP1BA	0.0731
DDB1	-0.867
MYO9B	-0.059875
MMP7	8.14675
CRNKL1	-0.24725
C9orf45	-0.6885
XAB2	-0.634375
RTN1	-0.09775
KLHL14	-1.3742
TBX10	-1.6365
CENPQ	-1.8985
UTY	-1.18269230769231
ZBTB12	0.4935
DTNBP1	0.29875
KBTBD8	-1.27533333333333
ZEB1	-0.218666666666667
ZG16	-1.5145
MIER1	0.4508
ADAM5P	0.8365
CHD9	-0.8003125
STK16	-0.70025
KIAA1486	-0.7625
TOB2	0.492166666666667
BANK1	0.405
OR2V2	0.793
GRM2	0.295333333333333
PROSC	-1.0985
SPIN2B	-0.841
PIR	-1.61411111111111
IPO9	-0.3622
EVC	0.628166666666667
CXCL13	1.0836
KIAA1199	0.0272
SORL1	-0.4675
NAT10	-0.5895
CHD1	-1.476
SYN3	0.0955
SLC22A2	0.98475
SERPINF1	-0.982833333333333
WDR34	-0.79625
OR7A17	-1.06875
C9orf11	0.162
RNF216L	0.1294
LHB	0.525
STK25	0.57175
TAOK3	0.32475
LOC152573	-3.09933333333333
C3orf39	0.3105
C14orf108	-0.7646
CDC25B	-0.689909090909091
BMP3	-0.098
TMEM180	0.0335
MAP1LC3C	-0.3475
CRYGC	-0.579
POU3F1	-1.0635
C20orf32	-1.7875
CCDC95	-0.7305
HIGD1B	3.58675
USP6NL	1.261875
ABCD4	-1.02283333333333
DIMT1L	-1.37541666666667
TEK	-0.128
SLC25A46	-0.831
LARP7	-1.7581
CD160	0.0165
MT1JP	0.562666666666667
PHF20	-0.1335
CPNE4	0.4705
GTPBP1	-0.126857142857143
RAB33B	0.402333333333333
ALDOC	-1.134375
ZNF212	0.12675
NUDT1	0.291833333333333
RFPL2	-0.03975
ZNF83	-0.429
GDPD5	-0.2745
PDCD4	1.15155
CEP350	-0.978
OR10A2	1.72175
CST7	0.551
CIAO1	0.33675
SELL	-0.588125
OR8J3	0.2135
LTBP4	0.291833333333333
SIRT6	0.081
CCL19	1.16175
PPIL1	-1.47016666666667
GBP7	-0.788833333333333
STK17A	-1.2239
ABR	0.09075
OR9G1	0.567
FOXE1	-0.548
CNGA3	0.326
GML	0.151
CD38	-4.45875
ZDHHC6	-0.307166666666667
NEFH	-0.035
CTDSP2	-0.350083333333333
PGBD5	1.7265
CCNY	1.24007142857143
RMND5B	-0.03125
ZNF257	-1.724
FLJ22167	-0.628
EXOSC7	-0.230333333333333
ROR2	0.670875
MAOA	-2.197625
TNNT3	0.0196666666666666
GYPC	-1.3475
C7orf33	1.7325
PLIN	0.671333333333333
LOC90826	-0.914
RNF4	-0.8845
F8A1	0.0536666666666667
PLEKHG4	-0.7405
GRB2	0.2555
HIST1H2AD	0.113
DUS3L	-0.991333333333333
EIF1	0.701
RP5-1077B9.4	-0.674166666666667
FPGT	1.26475
GDF10	-2.4374
COQ9	-0.5255
GCC2	-0.279928571428571
RARRES3	0.20075
PLXNA1	0.6872
KIAA0100	0.3259
PMF1	1.205
FNDC1	6.13675
HS2ST1	0.481083333333333
CRELD2	0.67625
C8G	-0.2355
CD82	1.36725
LIM2	-2.488
UNQ6490	-0.633
MMP16	-0.0365
DRD3	-0.04375
C5orf26	-1.2955
C11orf73	-0.598
PTP4A2	0.51925
OR4M2	-1.16
HPCA	-0.805
SEC14L1	-0.264666666666667
CHFR	-0.47175
EMILIN1	1.086
NDUFS4	-1.3145
COL18A1	1.454
PDZD3	0.164444444444444
C9orf16	0.0358333333333333
ERBB2IP	-0.467
EMX2	2.85675
FUS	-0.69825
TF	-1.2358
CLCN4	2.12216666666667
CXorf56	0.95625
C11orf72	0.353
ELAC2	-0.288083333333333
NPR1	-0.34575
ASS1	-0.615833333333333
USP42	0.553
POLR2J	-0.672
SEC23IP	0.319833333333333
UQCRC1	0.47425
LOC729603	-0.858
C1orf71	-0.554125
POLG	-2.0705
ADAM23	-4.984
TFR2	-0.1225
RICTOR	-0.7726
MGC39606	0.07375
