Hybridization REF	TCGA-AR-A1AO-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0706666666666667
CREB3L1	1.1225
RPS11	1.217125
PNMA1	-0.14425
MMP2	1.31983333333333
C10orf90	-1.0715
ZHX3	-0.127166666666667
ERCC5	0.03275
GPR98	-0.861142857142857
RXFP3	0.5225
APBB2	-0.122
PRO0478	-1.69675
KLHL13	0.091
PRSSL1	-0.313666666666667
PDCL3	0.3525
DECR1	0.081
SALL1	-4.6825
CADM4	0.6915
RPS18	0.161357142857143
HNRPD	-0.468416666666667
CFHR5	1.48366666666667
SLC10A7	-0.06675
OR2K2	0.492
LMAN1	-0.3805
SUHW1	-2.85475
CHD8	-1.0413
SUMO1	1.0769
GP1BA	2.4085
DDB1	-0.629333333333333
MYO9B	0.4017
MMP7	7.675
CRNKL1	-0.094125
C9orf45	-2.23516666666667
XAB2	-0.3335
RTN1	3.06671428571429
KLHL14	-1.079125
TBX10	-1.525
CENPQ	-1.35375
UTY	-1.41992307692308
ZBTB12	0.467
DTNBP1	0.11
KBTBD8	-0.016
ZEB1	-0.144166666666667
ZG16	-1.20175
MIER1	0.2065
ADAM5P	-0.013
CHD9	-0.4533125
STK16	-0.2195
KIAA1486	0.216
TOB2	0.43025
BANK1	4.07375
OR2V2	0.31575
GRM2	-0.1355
PROSC	0.023625
SPIN2B	0.20725
PIR	-0.560111111111111
IPO9	-1.4406
EVC	1.21883333333333
CXCL13	6.965
KIAA1199	-1.27488888888889
SORL1	0.64575
NAT10	-0.46475
CHD1	-0.9805
SYN3	-0.7395
SLC22A2	-1.1185
SERPINF1	1.591
WDR34	-0.41175
OR7A17	-0.164
C9orf11	-0.27
RNF216L	-0.4353
LHB	0.009
STK25	-0.182625
TAOK3	1.007625
LOC152573	-2.676
C3orf39	0.214625
C14orf108	0.4517
CDC25B	-1.03218181818182
BMP3	0.7115
TMEM180	-1.306
MAP1LC3C	1.8445
CRYGC	-1.336
POU3F1	-1.49577777777778
C20orf32	-1.655
CCDC95	-0.7165
HIGD1B	4.73125
USP6NL	0.362125
ABCD4	0.197
DIMT1L	-0.497666666666667
TEK	2.405875
SLC25A46	-0.125
LARP7	-0.9131
CD160	2.42916666666667
MT1JP	0.237166666666667
PHF20	-0.593625
CPNE4	-0.4165
GTPBP1	-0.3015
RAB33B	0.929666666666667
ALDOC	-2.64425
ZNF212	-0.458
NUDT1	-0.453166666666667
RFPL2	1.8265
ZNF83	-0.723833333333333
GDPD5	-0.474
PDCD4	1.75645
CEP350	-1.114
OR10A2	0.463
CST7	2.74325
CIAO1	-0.79125
SELL	2.626375
OR8J3	0.4985
LTBP4	0.0296666666666667
SIRT6	-0.15475
CCL19	4.832
PPIL1	-0.852333333333333
GBP7	0.8386
STK17A	-0.6132
ABR	1.397
OR9G1	-0.178
FOXE1	-0.8595
CNGA3	-0.0855
GML	0.225
CD38	-0.46525
ZDHHC6	-0.0235
NEFH	-1.28175
CTDSP2	0.329833333333333
PGBD5	-0.117166666666667
CCNY	0.387214285714286
RMND5B	0.187916666666667
ZNF257	-1.28175
FLJ22167	-0.940125
EXOSC7	0.173
ROR2	1.4465
MAOA	0.8395
TNNT3	2.31283333333333
GYPC	0.3615
C7orf33	1.212
PLIN	4.03466666666667
LOC90826	-0.0845
RNF4	-0.4316
F8A1	0.375666666666667
PLEKHG4	-0.96675
GRB2	0.49705
HIST1H2AD	0.0055
DUS3L	-0.7175
EIF1	0.0271666666666667
RP5-1077B9.4	-0.693833333333333
FPGT	0.84425
GDF10	0.838333333333333
COQ9	0.047
GCC2	-0.296928571428571
RARRES3	2.719625
PLXNA1	0.028
KIAA0100	-0.6096
PMF1	-0.231
FNDC1	5.37225
HS2ST1	0.616666666666667
CRELD2	1.0375
C8G	-1.4905
CD82	1.687
LIM2	-1.118
UNQ6490	-0.4615
MMP16	-1.626
DRD3	0.0456666666666667
C5orf26	-0.18475
C11orf73	0.235125
PTP4A2	0.72625
OR4M2	-0.2105
HPCA	-0.2845
SEC14L1	-0.468
CHFR	0.06075
EMILIN1	1.82525
NDUFS4	-0.404
COL18A1	0.23875
PDZD3	-0.0594444444444444
C9orf16	0.371833333333333
ERBB2IP	0.339
EMX2	3.89575
FUS	-0.8705
TF	-3.4509
CLCN4	0.341
CXorf56	0.71025
C11orf72	-0.11975
ELAC2	-0.53175
NPR1	0.3875
ASS1	0.4095
USP42	-0.86525
POLR2J	-0.483
SEC23IP	0.400666666666667
UQCRC1	-0.40825
LOC729603	-0.996
C1orf71	-0.5975
POLG	-2.3545
ADAM23	-3.03
TFR2	-1.0795
RICTOR	-1.0984
MGC39606	0.95525
C19orf55	-0.6875
SNAPC1	-1.04683333333333
GNA11	0.219625
CCDC52	-0.231666666666667
FSIP1	1.3085
UPF3A	-0.54775
IGSF11	-2.71133333333333
LAGE3	0.28025
CHST6	-1.0775
UNC13B	-0.04075
TTLL4	-0.84825
ZNF687	-0.136375
SDC2	0.2162
COX7A2	-0.61575
LAMB4	-0.9905
FAM24A	1.549
LRRTM3	-2.1418
GPHB5	0.6345
OR4C13	-1.55
EIF3EIP	0.405928571428571
HABP4	0.2035
TMEM125	2.7345
CNTN2	1.175125
ASNSD1	-0.23525
FUT4	0.71925
ACF	-4.07875
LOC158381	1.2015
CDH8	1.15075
AGPS	-0.1035
C4orf18	3.226125
PECI	-0.36625
UNG	-0.482875
GSTP1	0.912125
DCUN1D5	-0.227666666666667
DKFZP564J0863	0.04675
SLC9A3R1	-0.038875
BCDO2	-0.7805
CHMP7	-0.32225
REM2	-2.4685
DNHD1	-0.82475
FKBP4	-1.17125
ZNF350	1.5255
MGC11102	0.317
BST1	2.65975
KISS1R	1.087
NCR2	0.1445
DEFB125	1.204
UBE2W	0.865125
KRT15	3.627125
C10orf99	0.178
SCN11A	-0.0905000000000001
GFI1	-1.142
RDHE2	4.42766666666667
FHL1	-0.496333333333333
OSGEP	0.238333333333333
GATA1	-3.779
SMC6	-0.715
TTTY14	-1.36525
LPIN3	-0.79675
RPL4	0.1556
RBPMS	-0.492
PRPF3	-1.05783333333333
EMR1	-1.33
SPATA19	0.395
XCR1	0.7215
IRX3	1.8012
RBM6	-0.867
KLF4	-0.0259
UNC5CL	-1.2645
SEBOX	-1.363
BTK	1.7735
KRCC1	1.633
C6orf27	0.5245
SYTL5	-1.1595
PRND	3.26575
LOC653319	-1.7365
PIGL	-1.70675
HUS1	0.0856666666666667
SFRS6	0.59275
C17orf77	-1.0375
UIMC1	-0.3885
FXYD2	-0.5087
LOC283152	0.328
ZNF667	-0.04475
ZCCHC12	-0.584
TFEC	5.9049
ATP7B	-1.29116666666667
POLD2	-1.323
RG9MTD1	-0.08475
ACOT2	0.0705
HIST1H4I	-1.21728571428571
PPARGC1A	-1.1757
ETFA	0.2405
POLRMT	-0.36675
ZNF146	-0.286625
MIA2	-2.821
KLHL6	2.15433333333333
HOXB5	-1.126125
NENF	0.549166666666667
CUGBP1	-0.012
PRSS22	1.64266666666667
CASC4	0.8842
CUL4B	-0.0585
CENPJ	-1.2356
PITX1	-1.34333333333333
FLJ31033	1.61533333333333
CELSR3	-1.89366666666667
ZNF568	0.50425
ITSN1	0.277
EHBP1L1	0.319
C19orf2	-0.44475
DCTN1	-0.443
LIN28B	-4.6382
TNKS2	-0.3535
C1QBP	-0.4145
CADPS2	1.54575
SRMS	-1.145
GJA9	0.349166666666667
MGC24975	-1.37516666666667
TRIM45	-2.08433333333333
TSP50	-0.918
TCP1	-0.95275
TMED7	0.0869
CMA1	2.78
CENPL	-1.49066666666667
PTCRA	1.761
FST	-3.9425
VWCE	-1.2565
PAWR	-1.1555
ABCC12	0.211166666666667
LDLR	-1.5749
ASTN2	0.4694
LOC441212	-0.534375
GPATCH8	-0.48075
TANC2	-1.16983333333333
KIF4A	-2.3075
C18orf18	-0.44425
PGM1	-0.74275
KIAA0258	0.40225
CPD	0.091375
SNCAIP	-0.3565
DCT	-4.95216666666667
HLA-DOA	3.46154545454546
OR11L1	0.2395
UPK1B	-0.48
DNAJB4	0.459875
UGT1A8	-0.0786666666666667
HIST1H4L	-1.7435
PECR	-1.46383333333333
HSPA2	0.891
WFIKKN1	-3.142
SERP1	0.94525
SYDE2	0.521
TACR2	0.443
NUP85	-0.54725
CD177	-0.740666666666667
LGR5	-2.3985
PIGG	-0.662833333333333
PTHR1	-0.612
RAB5A	0.6217
FLJ13224	0.4115
USP9Y	-1.91116666666667
C7orf53	-0.822
LRP1B	-0.24225
XAF1	2.624
ABCG8	0.327
ANKDD1A	-0.1545
DAND5	-2.1095
SPAG6	0.609166666666667
LINCR	2.91225
ZDHHC22	-1.570625
CCDC60	0.537
THOC7	-1.32066666666667
TCTA	0.9622
OR8K3	0.0575
NY-REN-7	-1.615
B2M	3.33466666666667
C6orf141	-2.46025
LPPR4	3.0625
SQLE	-1.0815
SEPHS1	-0.08925
BTBD14B	0.772714285714286
PLRG1	-0.072
SPG7	-0.4901875
ZNF614	-0.385
PARD6G	1.343
INPP5B	-0.6275
GRPEL2	0.342
PPID	-0.746
TRIM56	-0.26925
UBE2J1	0.433375
IL20RA	4.43425
LOC387856	-1.14933333333333
C1orf107	-0.2665
UTS2R	1.8415
C19orf22	-0.43425
SAFB2	-0.49475
KIAA0652	-0.191625
KLRG1	1.46766666666667
MS4A8B	-0.6405
FRAG1	-0.23525
KIAA1546	0.56075
E2F4	-0.7856
CLEC4M	0.338333333333333
BTBD14A	0.363
KIAA0999	0.7213
GYPA	-3.5692
TAC1	1.7061
TRAIP	-1.83233333333333
KIAA0232	-0.0106
ERCC8	-1.144125
GPX4	0.49325
KIAA0368	-0.231125
GPR157	-0.544166666666667
CTAGE4	-0.03
C9orf30	-0.428333333333333
OR52A1	-0.3635
HSP90B3P	-0.257
ALG9	-0.4767
BTBD10	0.55575
SDK2	0.23675
BAIAP3	-1.28325
RABGGTB	-0.61075
ANKRD40	0.212166666666667
KRT74	0.363
CALCOCO2	-0.0746428571428571
SNCA	-1.0725
TMSL8	-2.442875
C2orf53	1.779
ESRRB	-0.415
ARHGAP26	-0.31325
TDRD9	0.639
HRAS	0.204666666666667
KLRC4	-1.145
JAGN1	0.122
BSDC1	0.23
RNF43	-0.3273
NDUFAF1	0.5255
PHF12	-0.2915
OR1L3	-0.4195
FOLR2	3.947
LYZL6	-0.141166666666667
tcag7.1260	0.224
WSB1	-1.045
PROS1	0.4989
OSTN	0.504
PSMB8	1.40525
SOCS4	-0.6365
DDIT4L	3.40775
MAS1	-0.6835
MGC34796	0.762
CSHL1	0.693666666666667
TBCCD1	0.782833333333333
ZBTB7C	-0.0145
AP2S1	0.39
P15RS	-0.8587
VAT1	0.0773000000000001
SHANK3	1.033
TUFM	-0.4605
THEG	-0.5715
KRT34	-1.6655
SGSM3	0.494875
TOMM22	-0.530125
SOCS3	2.15233333333333
CPO	-0.551
POP4	0.41975
BHLHB3	2.2045
MALL	2.2125
OR1B1	-0.152
PARK2	-0.508666666666667
GPR124	0.5985
LCE1E	-0.071
RUVBL2	-0.733
CGRRF1	0.1038
ACPL2	-0.14575
WNT10B	-2.215375
BAIAP2L2	-1.664375
ISCA1	0.073
C1orf125	-0.313625
RPAP1	-0.82375
RAI16	0.1935
RPL27	-0.177125
NLRP9	0.00999999999999995
EPN1	0.1235
LOC388610	-1.313375
SLC35A1	0.5939
GAL	1.404
SLC14A2	0.34
RDH11	-0.4615
FAM138F	-0.321
AUH	0.222
FLJ40243	0.00866666666666667
C14orf129	0.4
MBD2	-0.611833333333333
ABHD14B	-0.00675000000000001
PIGT	-0.602
ALS2CR4	0.01175
ALAS1	0.5972
FOXO1	1.43116666666667
CRLF3	0.264
C20orf107	-0.4245
FARS2	0.683
CCDC28A	1.05025
NPHP3	-1.148
OR13F1	-0.8775
TSEN54	-0.69325
DEFB106B	0.0924444444444445
OR8B4	0.386
STH	-0.42175
ZC3H14	-0.2015
CBX2	0.3515
TMEM49	-0.8705
C6orf21	0.274
FLJ20920	-0.25125
CRTAP	-0.0243571428571429
DDX50	-0.1715
STYXL1	0.5595
BLVRB	0.7735
LOC147650	-0.132833333333333
MMP24	-0.2865
GRID1	2.7056
BANF1	-0.712
CTAGEP	-0.39775
HMBS	-1.6685
SLC25A24	0.249166666666667
C14orf50	-0.01575
MRO	2.40733333333333
SLC25A15	-0.53875
FAM84B	0.3591
TDP1	-0.4975
C16orf78	-0.359166666666667
C11orf57	-0.30575
RFK	-0.5215
ZFYVE9	-1.28825
STCH	-0.7087
WIBG	0.13625
LOC283871	-0.577166666666667
GBA2	-0.4172
NDUFB3	0.3165
HSD17B13	0.807333333333333
GRIN3A	2.2665
FMNL1	0.363
SEPT7	-0.4146
GNLY	4.7025
GRAMD1C	1.52783333333333
ZNF165	-0.6955
USP38	0.142
FAM83A	-1.92233333333333
C14orf24	0.588666666666667
ARMCX3	0.920125
ARHGDIB	1.036
AK1	0.307375
KIAA1045	0.91975
DNAJB13	-0.9542
NEU2	1.9925
HIST1H4B	-1.09933333333333
FAM20B	-0.6645
HES2	2.44664285714286
FAM73B	-0.5945
LOC388381	0.07825
INTS7	-1.04809090909091
AMPH	1.613
ZNF775	0.364125
UCKL1	-0.3485
C10orf97	0.024
C1orf161	0.10475
ALDH1L1	0.237
FLJ39378	-0.37825
SLC23A1	-1.5965
RBM4B	0.202
THAP4	-0.168166666666667
OGFRL1	1.84325
KIAA0831	-0.152625
PPP1R15A	0.5795
C1orf96	0.472928571428571
C12orf11	-1.982
BMF	1.42375
MAN1A1	0.2685
KIAA1600	0.459833333333333
NLGN4X	2.57025
ALOX12	-1.7525
RB1CC1	-0.1184
NEIL2	0.3549
EIF4E	0.680318181818182
ABHD5	0.73325
EXOC4	-0.395833333333333
CIP29	-0.187833333333333
BATF2	1.91775
SLC29A4	-0.71875
HTR4	0.84525
EMB	-0.16125
TRAF6	0.64225
LMNB1	-3.19475
FAM19A5	-0.856875
SHE	2.706
PIK3C2B	0.5775
C15orf15	0.2975
USP15	0.154
TCEAL2	1.667
C5orf39	0.502166666666667
PTGER2	-0.44025
SLC31A1	0.963625
IFT172	-0.25175
ADAM29	0.3665
GFOD1	0.768
ST7L	0.36
C15orf26	-2.84925
PKN3	-0.91175
CNTD1	0.139166666666667
COMMD1	0.929125
NTRK2	4.39575
FOXN3	0.9725
MFGE8	-0.0848
PFKFB2	0.481333333333333
TAS2R4	1.645
ENTHD1	1.88033333333333
PRMT5	-1.22825
MGC16384	-2.098
LOC442229	0.20725
TSKU	-0.00612500000000001
KRTCAP3	1.047125
PDLIM1	0.9555
KCNS2	-0.6885
RNF126	-0.403333333333333
CEP63	-0.02375
CLIC4	-0.1695
hCG_1990170	4.20925
ACR	0.5237
KLK7	4.925
ALOX5AP	4.077875
RIPK3	4.17475
TAS2R9	0.301
C19orf18	0.6325
BIRC6	-0.342142857142857
ZNF16	0.8225
RFT1	-0.435
SLC8A2	-0.84225
TACC1	-0.05225
ITGAD	2.40566666666667
SAMHD1	3.14175
SH3PXD2B	1.5193
EPC2	0.7305
C20orf85	0.391428571428571
ATP13A2	0.194833333333333
KRT4	2.436
CAPNS1	-0.08525
MDM2	0.322333333333333
PCDH20	3.75925
KCNK9	0.786
OR2C1	-0.139
KLHDC3	-0.8975
IPPK	0.6065
EFHD2	1.4105
GALR3	1.6975
NBEA	-0.213166666666667
ABCA6	3.769
CLDN3	0.2385
AKT2	-1.07835714285714
EGFR	-0.4847
RBM16	0.112625
ZDHHC3	0.4973
SLC25A4	-1.37466666666667
CYB5B	-0.284166666666667
CPXM1	2.69575
NDRG1	-0.264
FLJ43826	-0.543
OR5L2	0.0512
FARP2	-0.0913
MRPL46	-0.19825
LDHAL6B	-0.291666666666667
MAPKAPK3	0.209333333333333
NCAM2	-1.43725
PRKD2	0.529333333333333
ZFP36L1	1.3622
CYSLTR1	0.3525
OR4C3	0.325
HIST1H2AJ	1.276
CCNB2	-1.70022222222222
ZNF10	-0.451
TMEM175	0.485
FAM134A	0.627
TIGD4	-1.305
PCNP	-0.151
MGC39715	0.6845
LQK1	-0.5395
CREB1	0.7138
TMPRSS3	-0.118
C4orf32	1.794375
LAT	0.441416666666667
KCNA3	-0.6355
SKIV2L2	-1.065
ROPN1B	2.328
tcag7.23	-0.262
CDT1	-2.642875
ZHX2	0.459
CD28	-1.1555
ZNF624	0.89525
SEPT2	0.580166666666667
SOHLH2	-0.894142857142857
MCOLN3	0.799857142857143
UNQ1945	1.3875
MASP2	-2.1085
ZNRF3	-0.8702
GPATCH3	0.0825
AGL	-0.265375
QRICH2	0.232
PSD4	0.361333333333333
