Hybridization REF	TCGA-AR-A1AX-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.21875
CREB3L1	1.70525
RPS11	1.101
PNMA1	-0.44875
MMP2	1.31716666666667
C10orf90	-2.2595
ZHX3	-0.735166666666667
ERCC5	-0.000499999999999997
GPR98	0.855285714285714
RXFP3	-0.088
APBB2	0.66475
PRO0478	-0.937
KLHL13	-0.7775
PRSSL1	-0.101333333333333
PDCL3	0.8765
DECR1	1.296875
SALL1	-3.935
CADM4	0.6205
RPS18	0.251071428571429
HNRPD	-0.203
CFHR5	1.9902
SLC10A7	0.492
OR2K2	0.4825
LMAN1	-0.3765
SUHW1	-3.75375
CHD8	-0.8099
SUMO1	0.5923
GP1BA	2.7151
DDB1	-0.782333333333333
MYO9B	0.2349
MMP7	7.557
CRNKL1	0.383375
C9orf45	-1.68283333333333
XAB2	0.28025
RTN1	2.213375
KLHL14	0.198375
TBX10	-1.1075
CENPQ	-1.39
UTY	-0.586692307692308
ZBTB12	0.331
DTNBP1	0.319375
KBTBD8	-0.1335
ZEB1	0.2415
ZG16	-1.5255
MIER1	0.7251
ADAM5P	-0.405
CHD9	-0.872625
STK16	0.99975
KIAA1486	0.734
TOB2	0.486583333333333
BANK1	6.02375
OR2V2	0.08425
GRM2	-0.368333333333333
PROSC	-0.054875
SPIN2B	0.08
PIR	-1.65444444444444
IPO9	-1.22775
EVC	0.0274
CXCL13	7.688
KIAA1199	-1.4316
SORL1	1.10325
NAT10	-0.36975
CHD1	-1.00075
SYN3	-0.99275
SLC22A2	-0.59425
SERPINF1	0.937666666666667
WDR34	-0.6575
OR7A17	-0.12625
C9orf11	0.258
RNF216L	-0.8975
LHB	-0.0775
STK25	-0.571625
TAOK3	0.75875
LOC152573	-3.729
C3orf39	-0.449875
C14orf108	0.5048
CDC25B	-1.44363636363636
BMP3	0.4355
TMEM180	-0.6045
MAP1LC3C	1.341
CRYGC	-2.4025
POU3F1	-0.9529
C20orf32	-1.4605
CCDC95	-0.355
HIGD1B	5.00825
USP6NL	0.10975
ABCD4	-0.723666666666667
DIMT1L	-0.1975
TEK	1.69
SLC25A46	-0.35375
LARP7	-1.3154
CD160	0.653166666666667
MT1JP	0.42
PHF20	-0.0149375
CPNE4	-2.454
GTPBP1	0.0905714285714286
RAB33B	0.648333333333333
ALDOC	-2.766
ZNF212	-0.54
NUDT1	-0.786
RFPL2	0.83575
ZNF83	0.8715
GDPD5	-0.9515
PDCD4	2.7146
CEP350	-0.542
OR10A2	-0.4615
CST7	2.3685
CIAO1	-1.4555
SELL	3.466
OR8J3	0.0985
LTBP4	-0.0335
SIRT6	-0.835
CCL19	5.371
PPIL1	-0.691666666666667
GBP7	0.754
STK17A	-0.2744
ABR	-0.19075
OR9G1	0.247
FOXE1	-0.58525
CNGA3	-1.339
GML	0.203
CD38	0.89575
ZDHHC6	-0.246666666666667
NEFH	-1.251
CTDSP2	0.38675
