Hybridization REF	TCGA-E2-A15J-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.53
CREB3L1	1.37825
RPS11	1.042125
PNMA1	-1.2515
MMP2	-0.104166666666667
C10orf90	-1.84625
ZHX3	-0.272833333333333
ERCC5	-0.124
GPR98	0.72825
RXFP3	0.9105
APBB2	0.889
PRO0478	-1.302625
KLHL13	-3.779
PRSSL1	-0.408
PDCL3	0.1765
DECR1	0.191125
SALL1	-4.187
CADM4	0.878333333333333
RPS18	1.12064285714286
HNRPD	-1.10366666666667
CFHR5	2.133
SLC10A7	0.115375
OR2K2	0.542
LMAN1	-0.764375
SUHW1	-3.725
CHD8	-0.0864
SUMO1	0.2431
GP1BA	-0.1167
DDB1	-0.0618333333333333
MYO9B	-0.5142
MMP7	4.245
CRNKL1	0.850375
C9orf45	-0.6575
XAB2	0.69525
RTN1	1.43575
KLHL14	-1.700625
TBX10	-1.556
CENPQ	-2.21825
UTY	-2.214
ZBTB12	0.5255
DTNBP1	-0.20225
KBTBD8	-2.30016666666667
ZEB1	-1.75266666666667
ZG16	-2.177
MIER1	-0.4586
ADAM5P	-0.536
CHD9	-1.0786875
STK16	1.57175
KIAA1486	-0.8095
TOB2	0.8275
BANK1	1.32
OR2V2	-0.75225
GRM2	0.134833333333333
PROSC	-0.153375
SPIN2B	-0.38025
PIR	-2.37588888888889
IPO9	-0.4641
EVC	0.947166666666667
CXCL13	7.76266666666667
KIAA1199	0.3351
SORL1	-0.25
NAT10	-0.17375
CHD1	-0.63225
SYN3	-0.55075
SLC22A2	-0.87525
SERPINF1	-0.145666666666667
WDR34	-0.40875
OR7A17	-0.022
C9orf11	-1.508
RNF216L	-1.2795
LHB	0.1025
STK25	0.020375
TAOK3	0.12825
LOC152573	-4.56725
C3orf39	-0.093375
C14orf108	0.3077
CDC25B	-1.90272727272727
BMP3	0.475
TMEM180	-0.0975
MAP1LC3C	-0.16625
CRYGC	-0.7355
POU3F1	-1.3492
C20orf32	-1.278
CCDC95	0.2635
HIGD1B	4.45625
USP6NL	-0.0555
ABCD4	-0.7305
DIMT1L	-0.673916666666667
TEK	0.5045
SLC25A46	-0.92325
LARP7	-1.4057
CD160	-0.336666666666667
MT1JP	-1.7045
PHF20	0.072
CPNE4	-2.83175
GTPBP1	-0.0112857142857143
RAB33B	0.886
ALDOC	-3.223875
ZNF212	-0.61475
NUDT1	-1.60116666666667
RFPL2	-0.82975
ZNF83	0.1125
GDPD5	-0.442125
PDCD4	2.32495
CEP350	0.30275
OR10A2	0.67025
CST7	-0.88525
CIAO1	-0.98225
SELL	0.082875
OR8J3	1.4155
LTBP4	-0.455
SIRT6	0.36625
CCL19	3.49525
PPIL1	-1.37716666666667
GBP7	1.9264
STK17A	-1.8934
ABR	0.301
OR9G1	-0.101
FOXE1	-0.731875
CNGA3	2.7795
GML	0.6745
CD38	-4.268
ZDHHC6	0.3595
NEFH	-3.03375
CTDSP2	0.722166666666667
PGBD5	-2.46533333333333
CCNY	0.176428571428571
RMND5B	0.591666666666667
ZNF257	-2.31625
FLJ22167	-0.587125
EXOSC7	-0.575666666666667
ROR2	1.390125
MAOA	2.711125
TNNT3	0.0496666666666667
GYPC	-1.50875
C7orf33	0.0505
PLIN	1.06783333333333
LOC90826	0.013
RNF4	-0.1626
F8A1	-0.152166666666667
PLEKHG4	-0.73375
GRB2	-0.3118
HIST1H2AD	0.14125
DUS3L	-0.0361666666666667
EIF1	-0.362
RP5-1077B9.4	-0.401666666666667
FPGT	1.533
GDF10	-1.70216666666667
COQ9	-0.47025
GCC2	0.00492857142857143
RARRES3	2.7925
PLXNA1	-0.3538
KIAA0100	-0.166
PMF1	0.7805
FNDC1	4.953
HS2ST1	-0.218083333333333
CRELD2	0.47
C8G	-1.573
CD82	1.16375
LIM2	-1.3115
UNQ6490	-0.261
MMP16	-0.74725
DRD3	-0.39925
C5orf26	0.2605
C11orf73	-0.762
PTP4A2	0.639875
OR4M2	0.1705
HPCA	-1.08116666666667
SEC14L1	-1.30783333333333
CHFR	0.0735
EMILIN1	0.380125
NDUFS4	-0.493
COL18A1	-0.1035
PDZD3	-0.24
C9orf16	0.832833333333333
ERBB2IP	0.347
EMX2	1.34925
FUS	-0.83825
TF	-4.0116
CLCN4	-1.648
CXorf56	-0.032
C11orf72	0.57875
ELAC2	-0.157583333333333
NPR1	-1.92925
ASS1	-0.508833333333333
USP42	-0.460875
POLR2J	-0.407
SEC23IP	1.20433333333333
UQCRC1	0.0485
LOC729603	-0.2495
C1orf71	0.3185
POLG	-2.148
ADAM23	-3.23875
TFR2	-0.47525
RICTOR	-0.596
MGC39606	-0.41325
C19orf55	0.0395
SNAPC1	-1.30716666666667
GNA11	0.53325
CCDC52	0.2475
FSIP1	6.0845
UPF3A	-0.271375
IGSF11	-2.57433333333333
LAGE3	-0.65
CHST6	-1.6445
UNC13B	0.670125
TTLL4	-1.128
ZNF687	0.272125
SDC2	-1.3832
COX7A2	-0.5695
LAMB4	-1.928
FAM24A	1.4005
LRRTM3	-0.9734
GPHB5	0.855
OR4C13	0.291
EIF3EIP	1.02507142857143
HABP4	-1.1355
TMEM125	4.022
CNTN2	-0.40575
ASNSD1	0.186
FUT4	-0.888625
ACF	-3.669
LOC158381	1.038
CDH8	-0.3785
AGPS	0.367333333333333
C4orf18	4.13875
PECI	0.40325
UNG	-0.40175
GSTP1	-3.31342857142857
DCUN1D5	-0.592666666666667
DKFZP564J0863	-0.806
SLC9A3R1	1.09325
BCDO2	0.33725
CHMP7	-0.2115
REM2	1.369
DNHD1	-1.021375
FKBP4	0.0695
ZNF350	0.97975
MGC11102	0.003375
BST1	0.16475
KISS1R	1.779
NCR2	0.4545
DEFB125	1.23
UBE2W	0.90475
KRT15	1.22525
C10orf99	0.4275
SCN11A	-0.649625
GFI1	-3.75525
RDHE2	4.941
FHL1	-2.41433333333333
OSGEP	-0.283
GATA1	-3.37116666666667
SMC6	-1.1955
TTTY14	-1.429
LPIN3	0.08475
RPL4	0.7402
RBPMS	-0.5726
PRPF3	0.128833333333333
EMR1	-2.829
SPATA19	0.41425
XCR1	0.8975
IRX3	2.4473
RBM6	-0.454
KLF4	-0.8647
UNC5CL	2.33175
SEBOX	0.2095
BTK	-1.2325
KRCC1	1.1275
C6orf27	0.5105
SYTL5	0.1475
PRND	0.32875
LOC653319	-1.173
PIGL	-1.11475
HUS1	-0.116
SFRS6	1.4535
C17orf77	1.0645
UIMC1	-0.7765
FXYD2	-2.0021
LOC283152	2.04875
ZNF667	-0.2515
ZCCHC12	-0.69125
TFEC	2.3233
ATP7B	0.150166666666667
POLD2	-0.413
RG9MTD1	-0.0465
ACOT2	0.162666666666667
HIST1H4I	-1.020875
PPARGC1A	-2.8782
ETFA	-2.3017
POLRMT	0.33625
ZNF146	0.084875
MIA2	-3.141
KLHL6	-2.2785
HOXB5	1.01925
NENF	0.8465
CUGBP1	0.4575
PRSS22	1.9305
CASC4	0.9843
CUL4B	0.3498
CENPJ	-1.722
PITX1	-1.23533333333333
FLJ31033	0.444666666666667
CELSR3	-1.3125
ZNF568	0.72725
ITSN1	-0.918583333333333
EHBP1L1	-0.5125
C19orf2	-0.301
DCTN1	0.737
LIN28B	-4.80333333333333
TNKS2	0.778
C1QBP	0.068125
CADPS2	1.4335
SRMS	-0.06475
GJA9	0.402333333333333
MGC24975	0.243
TRIM45	-0.362333333333333
TSP50	2.059
TCP1	-1.25225
TMED7	-0.003
CMA1	0.5955
CENPL	-1.35733333333333
PTCRA	-0.1585
FST	-4.4545
VWCE	-4.1785
PAWR	-1.04
ABCC12	1.18316666666667
LDLR	-1.0136
ASTN2	1.2018
LOC441212	-1.110125
GPATCH8	0.2415
TANC2	-0.298916666666667
KIF4A	-1.9255
C18orf18	-2.56575
PGM1	-1.84175
KIAA0258	0.813
CPD	0.9025
SNCAIP	2.146
DCT	-4.59883333333333
HLA-DOA	2.42172727272727
OR11L1	0.5965
UPK1B	-0.645666666666667
DNAJB4	0.22525
UGT1A8	-0.269
HIST1H4L	-2.665
PECR	-1.38116666666667
HSPA2	1.263
WFIKKN1	-2.8655
SERP1	1.293
