Hybridization REF	TCGA-E2-A1BC-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.0988333333333333
CREB3L1	1.63025
RPS11	0.64975
PNMA1	-0.44975
MMP2	1.63716666666667
C10orf90	-2.23875
ZHX3	-0.101833333333333
ERCC5	0.4055
GPR98	1.533
RXFP3	-0.5785
APBB2	2.27475
PRO0478	-0.918
KLHL13	-2.736
PRSSL1	-0.609
PDCL3	0.455166666666667
DECR1	0.602125
SALL1	-2.60616666666667
CADM4	1.15916666666667
RPS18	-0.00664285714285714
HNRPD	-0.76975
CFHR5	1.07666666666667
SLC10A7	0.558
OR2K2	-2.034
LMAN1	-0.51125
SUHW1	-4.0335
CHD8	-0.1531
SUMO1	0.608
GP1BA	0.075
DDB1	0.299666666666667
MYO9B	-0.0253
MMP7	5.38475
CRNKL1	0.55425
C9orf45	-1.64366666666667
XAB2	0.646125
RTN1	2.015125
KLHL14	-1.358
TBX10	-1.961
CENPQ	-2.30475
UTY	-1.263
ZBTB12	-0.384
DTNBP1	-0.19
KBTBD8	-1.48533333333333
ZEB1	1.5875
ZG16	-1.37625
MIER1	0.8711
ADAM5P	0.5125
CHD9	-0.1874375
STK16	0.88875
KIAA1486	-0.5505
TOB2	1.17675
BANK1	3.36225
OR2V2	0.61575
GRM2	-0.155833333333333
PROSC	-0.098625
SPIN2B	-0.113
PIR	-2.77733333333333
IPO9	-1.0087
EVC	1.10133333333333
CXCL13	3.693
KIAA1199	-1.15944444444444
SORL1	1.693
NAT10	-0.06225
CHD1	-0.67075
SYN3	-0.47225
SLC22A2	-1.025
SERPINF1	1.77883333333333
WDR34	-0.43475
OR7A17	0.21225
C9orf11	0.246
RNF216L	-0.6713
LHB	-0.189
STK25	-0.015625
TAOK3	0.407625
LOC152573	-3.07125
C3orf39	0.902375
C14orf108	0.5752
CDC25B	-2.73554545454545
BMP3	2.63
TMEM180	0.198
MAP1LC3C	2.43075
CRYGC	-0.6575
POU3F1	-1.2647
C20orf32	-1.5665
CCDC95	-0.1855
HIGD1B	4.748
USP6NL	-0.548
ABCD4	-0.495166666666667
DIMT1L	-1.10125
TEK	1.809
SLC25A46	-0.2785
LARP7	-1.3012
CD160	0.167833333333333
MT1JP	0.137833333333333
PHF20	0.1425625
CPNE4	-3.289
GTPBP1	-0.291285714285714
RAB33B	1.12066666666667
ALDOC	-2.4335
ZNF212	-0.91125
NUDT1	-1.53633333333333
RFPL2	-1.346
ZNF83	-0.134
GDPD5	0.85975
PDCD4	1.6997
CEP350	-0.66125
OR10A2	-0.25025
CST7	0.5865
CIAO1	-1.105
SELL	0.33525
OR8J3	-0.6495
LTBP4	0.0258333333333333
SIRT6	0.283
CCL19	4.4065
PPIL1	-0.851333333333333
GBP7	0.5755
STK17A	-0.8014
ABR	-0.229
OR9G1	-0.3575
FOXE1	-0.66025
CNGA3	-0.212
GML	-0.3195
CD38	-3.6875
ZDHHC6	0.1075
NEFH	-1.758
CTDSP2	0.783
PGBD5	-1.6585
CCNY	0.330714285714286
RMND5B	1.20575
ZNF257	-0.24075
FLJ22167	-0.540625
EXOSC7	-0.272833333333333
ROR2	0.82275
MAOA	3.168625
TNNT3	3.26066666666667
GYPC	0.24375
C7orf33	0.525
PLIN	4.546
LOC90826	0.0475
RNF4	-0.4659
F8A1	0.640166666666667
PLEKHG4	-2.00975
GRB2	0.4125
HIST1H2AD	1.81
DUS3L	-0.917
EIF1	0.171833333333333
RP5-1077B9.4	-0.539833333333333
FPGT	1.7985
GDF10	2.56083333333333
COQ9	-0.68975
GCC2	0.534928571428572
RARRES3	2.463125
PLXNA1	-0.6098
KIAA0100	-0.5885
PMF1	0.2495
FNDC1	5.368
HS2ST1	0.440666666666667
CRELD2	0.5275
C8G	-2.25
CD82	2.32675
LIM2	-1.467
UNQ6490	0.96
MMP16	0.5455
DRD3	-0.706
C5orf26	-0.419
C11orf73	-0.468625
PTP4A2	1.08775
OR4M2	0.047
HPCA	-0.752666666666667
SEC14L1	-0.6545
CHFR	-0.392375
EMILIN1	1.214625
NDUFS4	-0.2905
COL18A1	0.66425
PDZD3	0.2255
C9orf16	-0.0316666666666667
ERBB2IP	0.433
EMX2	4.77625
FUS	-0.055
TF	-2.7468
CLCN4	0.00833333333333333
CXorf56	0.92675
C11orf72	-0.04775
ELAC2	-0.686333333333333
NPR1	1.5765
ASS1	-0.725833333333333
USP42	-0.304625
POLR2J	-1.3745
SEC23IP	0.675
UQCRC1	0.54175
LOC729603	-0.23225
C1orf71	-0.186375
POLG	-3.227
ADAM23	-4.25125
TFR2	-1.494
RICTOR	-0.5234
MGC39606	1.0345
C19orf55	-0.427125
SNAPC1	-1.4325
GNA11	1.34325
CCDC52	0.0281666666666667
FSIP1	4.55
UPF3A	-0.305625
IGSF11	-2.3792
LAGE3	-1.022
CHST6	-0.424
UNC13B	0.409875
TTLL4	-1.345
ZNF687	-0.00825
SDC2	-0.3496
COX7A2	-0.94725
LAMB4	-0.319
FAM24A	-0.058
LRRTM3	-1.48833333333333
GPHB5	-0.3655
OR4C13	-0.093
EIF3EIP	-0.0381428571428571
HABP4	0.1345
TMEM125	3.2365
CNTN2	-0.084375
ASNSD1	-0.45175
FUT4	-0.867375
ACF	-4.2995
LOC158381	1.477
CDH8	-0.56825
AGPS	-2.20583333333333
C4orf18	3.821625
PECI	1.0755
UNG	-0.846875
GSTP1	-0.673
DCUN1D5	0.07
DKFZP564J0863	-1.56975
SLC9A3R1	0.56225
BCDO2	-0.3545
CHMP7	-0.4205
REM2	-0.4065
DNHD1	-0.7805
FKBP4	-1.0745
ZNF350	3.40375
MGC11102	-0.24475
BST1	1.4535
KISS1R	0.939
NCR2	0.1475
DEFB125	0.3245
UBE2W	0.843875
KRT15	4.496875
C10orf99	0.34
SCN11A	0.120125
GFI1	-3.3085
RDHE2	3.68133333333333
FHL1	0.358333333333333
OSGEP	-0.434166666666667
GATA1	-3.8515
SMC6	-1.11175
TTTY14	-1.08675
LPIN3	0.5065
RPL4	-0.1103
RBPMS	0.8274
PRPF3	-0.446666666666667
EMR1	-2.813
SPATA19	0.05525
XCR1	0.0385
IRX3	1.4908
RBM6	-0.13225
KLF4	0.7211
UNC5CL	-1.6765
SEBOX	0.377
BTK	-1.1895
KRCC1	0.92675
C6orf27	1.119
SYTL5	-0.6745
PRND	1.02325
LOC653319	-1.412
PIGL	-1.902375
HUS1	-0.532333333333333
SFRS6	0.63825
C17orf77	0.195
UIMC1	-0.554
FXYD2	-2.3573
LOC283152	2.31625
ZNF667	-1.06925
ZCCHC12	-1.21725
TFEC	1.1959
ATP7B	1.21816666666667
POLD2	-1.20283333333333
RG9MTD1	-0.29725
ACOT2	1.81233333333333
HIST1H4I	-1.202625
PPARGC1A	-1.4156
ETFA	0.3118
POLRMT	0.02625
ZNF146	0.106375
MIA2	-2.758
KLHL6	-2.10666666666667
HOXB5	-0.49375
NENF	-0.141
CUGBP1	0.57225
PRSS22	1.86816666666667
CASC4	1.4476
CUL4B	0.1636
CENPJ	-1.8411
PITX1	0.100166666666667
FLJ31033	0.108666666666667
CELSR3	-0.0611666666666667
ZNF568	0.699
ITSN1	0.366416666666667
EHBP1L1	-0.53
C19orf2	-0.9825
DCTN1	1.07575
LIN28B	-5.09866666666667
TNKS2	1.0185
C1QBP	-1.615625
CADPS2	0.95075
SRMS	0.0775
GJA9	-0.0661666666666666
MGC24975	-0.952833333333333
TRIM45	0.488333333333333
TSP50	-0.7665
TCP1	-1.76975
TMED7	0.7967
CMA1	-0.325
CENPL	-2.06966666666667
PTCRA	-0.205
FST	-1.9195
VWCE	-3.5565
PAWR	0.06125
ABCC12	2.82266666666667
LDLR	-1.3349
ASTN2	1.9427
LOC441212	-1.4395
GPATCH8	-0.21
TANC2	-1.49291666666667
KIF4A	-4.31975
C18orf18	-1.22575
PGM1	-0.24575
KIAA0258	0.15475
CPD	-0.17125
SNCAIP	-1.081
DCT	-4.979
HLA-DOA	2.15695454545455
OR11L1	0.071
UPK1B	-0.683333333333333
DNAJB4	0.16575
UGT1A8	-0.546666666666667
HIST1H4L	-2.2875
PECR	-0.243
HSPA2	0.63625
WFIKKN1	-2.766
SERP1	1.190875
SYDE2	1.81775
TACR2	0.504
NUP85	-0.97875
CD177	3.1025
LGR5	-2.16516666666667
PIGG	-0.24275
PTHR1	0.600666666666667
RAB5A	0.3747
FLJ13224	-0.3115
USP9Y	-2.99375
C7orf53	-1.9675
LRP1B	5.08225
XAF1	0.8023
ABCG8	0.6535
ANKDD1A	-0.7885
DAND5	-2.8095
SPAG6	-0.459333333333333
LINCR	-1.59025
ZDHHC22	-1.247
CCDC60	0.541
THOC7	-1.546
TCTA	1.6392
OR8K3	-0.122
NY-REN-7	-0.752
B2M	0.987166666666667
C6orf141	-3.199
LPPR4	1.87475
SQLE	-1.6705
SEPHS1	-0.897
BTBD14B	0.766142857142857
PLRG1	-0.242
SPG7	-0.53775
ZNF614	0.501333333333333
PARD6G	1.0575
INPP5B	-0.3403
GRPEL2	-0.26875
PPID	-1.2332
TRIM56	-0.64175
UBE2J1	-0.816
IL20RA	1.47375
LOC387856	0.16825
C1orf107	-0.547416666666667
UTS2R	1.784
C19orf22	0.33775
SAFB2	0.26725
KIAA0652	0.77825
KLRG1	-0.824166666666667
MS4A8B	0.00516666666666667
FRAG1	0.65225
KIAA1546	0.3755
E2F4	-1.2513
CLEC4M	0.106833333333333
BTBD14A	-0.47975
KIAA0999	0.9729
GYPA	-3.3475
TAC1	0.1688
TRAIP	-2.011
KIAA0232	0.8327
ERCC8	-1.465375
GPX4	0.960875
KIAA0368	-0.558125
GPR157	-0.433333333333333
CTAGE4	0.742
C9orf30	-1.59833333333333
OR52A1	-0.0715
HSP90B3P	-0.583
ALG9	-0.6759
BTBD10	0.55475
SDK2	0.2365
BAIAP3	-0.81025
RABGGTB	-1.0725
ANKRD40	0.110666666666667
KRT74	0.0185
CALCOCO2	0.6395
SNCA	-4.084
TMSL8	-5.5365
C2orf53	0.4865
ESRRB	-0.43875
ARHGAP26	-1.12225
TDRD9	-2.89325
HRAS	1.1415
KLRC4	-1.9505
JAGN1	-0.2545
BSDC1	0.514
RNF43	-0.4224
NDUFAF1	0.999
PHF12	-0.228
OR1L3	0.653333333333333
FOLR2	1.20491666666667
LYZL6	-0.3435
tcag7.1260	-1.874
WSB1	-1.1215
PROS1	-0.5046
OSTN	0.476
PSMB8	0.6965
SOCS4	-0.05875
DDIT4L	1.973
MAS1	-0.221
MGC34796	0.9905
CSHL1	-0.355
TBCCD1	0.282666666666667
ZBTB7C	0.193
AP2S1	0.5065
P15RS	-0.4585
VAT1	-0.8111
SHANK3	1.2305
TUFM	1.03333333333333
THEG	-0.956
KRT34	-1.95525
SGSM3	0.754375
TOMM22	-0.096
SOCS3	2.08116666666667
CPO	1.274
POP4	0.33475
BHLHB3	1.5685
MALL	1.04725
OR1B1	-0.5645
PARK2	0.600333333333333
GPR124	1.427875
LCE1E	-1.8
RUVBL2	-0.173
CGRRF1	0.2656
ACPL2	0.65775
WNT10B	-3.095375
BAIAP2L2	-2.514625
ISCA1	0.362
