Hybridization REF	TCGA-BH-A0BS-11A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.555333333333333
CREB3L1	-1.02675
RPS11	1.628
PNMA1	-0.2905
MMP2	-1.17783333333333
C10orf90	0.5535
ZHX3	-0.591833333333333
ERCC5	0.251
GPR98	-0.560857142857143
RXFP3	1.0405
APBB2	0.42925
PRO0478	-1.0435
KLHL13	1.84025
PRSSL1	-1.20433333333333
PDCL3	-0.0758333333333333
DECR1	0.14875
SALL1	-3.922
CADM4	0.357666666666667
RPS18	1.43542857142857
HNRPD	-0.552333333333333
CFHR5	1.85
SLC10A7	0.0935
OR2K2	1.422
LMAN1	-1.455125
SUHW1	-3.79933333333333
CHD8	-0.4193
SUMO1	0.5879
GP1BA	0.9978
DDB1	-0.565833333333333
MYO9B	-0.6591
MMP7	8.092
CRNKL1	0.143625
C9orf45	-0.991333333333333
XAB2	0.09475
RTN1	2.677125
KLHL14	-0.890625
TBX10	-1.685
CENPQ	-1.32425
UTY	-0.7618
ZBTB12	-0.0239999999999999
DTNBP1	-0.039375
KBTBD8	-1.40133333333333
ZEB1	-0.502333333333333
ZG16	-1.131
MIER1	0.4948
ADAM5P	1.876
CHD9	0.1700625
STK16	-0.239
KIAA1486	-0.444
TOB2	0.56425
BANK1	3.62975
OR2V2	0.381
GRM2	-0.0284
PROSC	-0.123875
SPIN2B	0.43825
PIR	-1.72711111111111
IPO9	-1.413
EVC	0.571
CXCL13	3.3595
KIAA1199	-3.4522
SORL1	1.7415
NAT10	-0.53225
CHD1	-0.6455
SYN3	-1.53225
SLC22A2	-0.02925
SERPINF1	0.3875
WDR34	-0.748
OR7A17	-0.93825
C9orf11	null
RNF216L	-0.2264
LHB	-0.1915
STK25	-0.0155
TAOK3	0.2895
LOC152573	-3.03525
C3orf39	0.605125
C14orf108	0.2942
CDC25B	-2.62990909090909
BMP3	1.0855
TMEM180	0.371
MAP1LC3C	1.8095
CRYGC	-1.1155
POU3F1	-0.969666666666667
C20orf32	-0.263
CCDC95	-0.632
HIGD1B	4.20275
USP6NL	-0.249
ABCD4	-0.216666666666667
DIMT1L	-0.160083333333333
TEK	1.8685
SLC25A46	-0.4395
LARP7	-1.2007
CD160	1.44783333333333
MT1JP	1.54316666666667
PHF20	-0.3074375
CPNE4	-0.906
GTPBP1	-0.156642857142857
RAB33B	0.6405
ALDOC	-0.7865
ZNF212	-0.035
NUDT1	-1.25216666666667
RFPL2	-2.54533333333333
ZNF83	-0.251
GDPD5	0.321875
PDCD4	2.48665
CEP350	-1.04225
OR10A2	0.0736666666666667
CST7	0.239
CIAO1	-1.199
SELL	-0.132375
OR8J3	0.599
LTBP4	0.259333333333333
SIRT6	-0.26675
CCL19	5.0275
PPIL1	-0.804
GBP7	-0.1826
STK17A	-0.2642
ABR	-0.035
OR9G1	0.35
FOXE1	-0.41475
CNGA3	0.6
GML	-1.231
CD38	-1.096
ZDHHC6	-0.120833333333333
NEFH	-2.5615
CTDSP2	0.550916666666667
PGBD5	-0.4935
CCNY	0.0187857142857143
RMND5B	0.500333333333333
ZNF257	-0.697
FLJ22167	-0.544625
EXOSC7	0.00183333333333334
ROR2	0.711
MAOA	2.941125
TNNT3	1.2775
GYPC	0.25725
C7orf33	0.567
PLIN	5.00366666666667
LOC90826	0.048
RNF4	-0.6153
F8A1	-0.392833333333333
PLEKHG4	-0.27175
GRB2	-0.72485
HIST1H2AD	-1.013
DUS3L	-0.578333333333333
EIF1	-0.589666666666667
RP5-1077B9.4	-0.777
FPGT	1.1525
GDF10	2.15366666666667
COQ9	0.02175
GCC2	0.00128571428571427
RARRES3	2.856375
PLXNA1	-0.4158
KIAA0100	-0.8069
PMF1	-0.01325
FNDC1	0.67575
HS2ST1	0.304833333333333
CRELD2	-0.12075
C8G	-4.651
CD82	2.012
LIM2	-2.6025
UNQ6490	0.366
MMP16	0.15675
DRD3	-0.0536666666666667
C5orf26	1.76575
C11orf73	-0.2255
PTP4A2	-0.02725
OR4M2	-0.16
HPCA	-1.0905
SEC14L1	-0.539166666666667
CHFR	-0.95325
EMILIN1	0.16375
NDUFS4	0.33575
COL18A1	-0.749375
PDZD3	-0.1108
C9orf16	-0.0731666666666667
ERBB2IP	0.2035
EMX2	3.68075
FUS	-1.2515
TF	-2.0376
CLCN4	-0.6455
CXorf56	0.15125
C11orf72	0.3995
ELAC2	-0.517666666666667
NPR1	1.08225
ASS1	-0.814333333333333
USP42	-0.15575
POLR2J	-0.643
SEC23IP	0.0855
UQCRC1	-0.2475
LOC729603	-1.7345
C1orf71	-0.558625
POLG	-3.7045
ADAM23	-3.5785
TFR2	-1.413
RICTOR	-0.5425
MGC39606	1.86875
C19orf55	-0.712
SNAPC1	-0.858333333333333
GNA11	0.82075
CCDC52	-0.2625
FSIP1	0.9675
UPF3A	-0.672
IGSF11	-1.8612
LAGE3	-0.89425
CHST6	-3.4895
UNC13B	0.075375
TTLL4	-0.933
ZNF687	0.08725
SDC2	-0.6233
COX7A2	-0.64875
LAMB4	0.215666666666667
FAM24A	0.972
LRRTM3	-0.655
GPHB5	0.77425
OR4C13	-0.406
EIF3EIP	1.17928571428571
HABP4	0.285
TMEM125	3.222
CNTN2	0.456875
ASNSD1	0.3545
FUT4	-0.413
ACF	-3.381
LOC158381	0.4225
CDH8	1.899
AGPS	-1.34783333333333
C4orf18	3.641625
PECI	0.596166666666667
