Hybridization REF	TCGA-AR-A1AP-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.793166666666667
CREB3L1	0.601
RPS11	0.47475
PNMA1	-0.69875
MMP2	0.900666666666667
C10orf90	-1.71525
ZHX3	-0.201666666666667
ERCC5	0.356
GPR98	0.381
RXFP3	-0.1055
APBB2	0.0625
PRO0478	-1.327625
KLHL13	-0.56125
PRSSL1	0.582666666666667
PDCL3	0.183666666666667
DECR1	0.31375
SALL1	-2.98233333333333
CADM4	0.1915
RPS18	-1.0875
HNRPD	-0.28825
CFHR5	0.954
SLC10A7	0.606125
OR2K2	-0.495
LMAN1	-1.139625
SUHW1	-3.9945
CHD8	0.1084
SUMO1	0.3706
GP1BA	0.7694
DDB1	-0.347833333333333
MYO9B	-0.4214
MMP7	5.80725
CRNKL1	1.416
C9orf45	-1.78683333333333
XAB2	0.538
RTN1	2.947125
KLHL14	-1.162875
TBX10	0.277
CENPQ	-2.0135
UTY	-1.12858333333333
ZBTB12	0.329
DTNBP1	-0.378625
KBTBD8	-0.895833333333333
ZEB1	-0.421666666666667
ZG16	-2.49425
MIER1	0.4006
ADAM5P	1.6255
CHD9	-0.2198125
STK16	0.05975
KIAA1486	-0.00899999999999999
TOB2	-0.0199166666666667
BANK1	2.2125
OR2V2	0.0395
GRM2	-0.0101666666666667
PROSC	-0.4085
SPIN2B	0.28625
PIR	-1.104
IPO9	-0.6911
EVC	1.12366666666667
CXCL13	3.60166666666667
KIAA1199	-0.0484
SORL1	0.57175
NAT10	-0.2535
CHD1	-0.74825
SYN3	-0.12
SLC22A2	-0.94325
SERPINF1	1.20516666666667
WDR34	-0.82825
OR7A17	-0.197
C9orf11	0.1225
RNF216L	-0.8412
LHB	-0.043
STK25	-0.027
TAOK3	0.564625
LOC152573	-2.55975
C3orf39	0.624375
C14orf108	0.0273
CDC25B	-0.928545454545454
BMP3	0.2075
TMEM180	-1.0135
MAP1LC3C	0.74975
CRYGC	-1.0305
POU3F1	-1.5418
C20orf32	-1.3155
CCDC95	-0.2
HIGD1B	3.43575
USP6NL	0.092375
ABCD4	-1.00966666666667
DIMT1L	-0.931333333333333
TEK	1.042125
SLC25A46	-0.434
LARP7	-1.1786
CD160	0.2505
MT1JP	0.361333333333333
PHF20	0.197625
CPNE4	-1.744
GTPBP1	-0.683785714285714
RAB33B	1.24816666666667
ALDOC	-2.05775
ZNF212	-0.34975
NUDT1	-0.950666666666667
RFPL2	-1.82425
ZNF83	0.464666666666667
GDPD5	-0.654
PDCD4	2.96465
CEP350	-0.3575
OR10A2	0.35825
CST7	0.64875
CIAO1	-0.71425
SELL	1.911625
OR8J3	0.5215
LTBP4	-0.346333333333333
SIRT6	0.5495
CCL19	4.246
PPIL1	-1.637
GBP7	1.13916666666667
STK17A	-0.3407
ABR	1.084
OR9G1	0.035
FOXE1	-0.893625
CNGA3	0.3475
GML	0.5685
CD38	-2.3415
ZDHHC6	0.0988333333333333
NEFH	-3.12325
CTDSP2	0.868583333333333
PGBD5	-1.0995
CCNY	0.192571428571429
RMND5B	1.208
ZNF257	-1.113
FLJ22167	-0.00924999999999999
EXOSC7	-0.0995
ROR2	1.321875
MAOA	1.26825
TNNT3	2.29483333333333
GYPC	-1.13575
C7orf33	0.7625
PLIN	3.51933333333333
LOC90826	0.202
RNF4	0.209
F8A1	0.270333333333333
PLEKHG4	-0.89025
GRB2	-0.2126
HIST1H2AD	-2.04675
DUS3L	-0.380166666666667
EIF1	-0.454
RP5-1077B9.4	-0.965166666666667
FPGT	1.69625
GDF10	2.40916666666667
COQ9	-0.4015
GCC2	0.397071428571429
RARRES3	2.76425
PLXNA1	-0.7867
KIAA0100	-0.6999
PMF1	-0.23625
FNDC1	5.25225
HS2ST1	-0.951416666666667
CRELD2	0.10025
C8G	-1.696
CD82	2.4525
LIM2	-1.756
UNQ6490	-0.469
MMP16	-0.5885
DRD3	0.093
C5orf26	-0.856
C11orf73	0.64425
PTP4A2	0.766125
OR4M2	-0.571
HPCA	-0.139333333333333
SEC14L1	-0.94
CHFR	0.1635
EMILIN1	0.793375
NDUFS4	0.05625
COL18A1	-0.250625
PDZD3	0.00340000000000001
C9orf16	-0.531833333333333
ERBB2IP	0.309166666666667
EMX2	3.59675
FUS	-0.44425
TF	-3.6198
CLCN4	0.502833333333333
CXorf56	0.63675
C11orf72	0.394
ELAC2	-0.122333333333333
NPR1	-0.09
ASS1	-1.13433333333333
USP42	0.179125
POLR2J	-0.3255
SEC23IP	0.9625
UQCRC1	0.08425
LOC729603	-0.55225
C1orf71	0.264375
POLG	-1.8745
ADAM23	-3.65
TFR2	-0.894
RICTOR	-0.4847
MGC39606	1.1545
C19orf55	-0.251125
SNAPC1	-1.04266666666667
GNA11	0.4905
CCDC52	0.900166666666667
FSIP1	5.3115
UPF3A	0.23575
IGSF11	-2.17416666666667
LAGE3	1.20525
CHST6	-1.196
UNC13B	-0.447
TTLL4	-0.745125
ZNF687	0.768625
SDC2	-0.7172
COX7A2	0.326
LAMB4	-0.37825
FAM24A	0.1535
LRRTM3	-1.42333333333333
GPHB5	0.0625
OR4C13	-0.271
EIF3EIP	-0.317142857142857
HABP4	-0.13
TMEM125	3.16025
CNTN2	0.613625
ASNSD1	0.1865
FUT4	-0.575
ACF	-3.8085
LOC158381	2.2815
CDH8	-0.522
AGPS	0.244333333333333
C4orf18	4.3195
PECI	-1.03008333333333
UNG	-1.136125
GSTP1	-1.78175
DCUN1D5	-1.5875
DKFZP564J0863	-0.95925
SLC9A3R1	1.80225
BCDO2	-0.380875
CHMP7	0.099
REM2	1.8725
DNHD1	-0.831625
FKBP4	-0.06325
ZNF350	1.6815
MGC11102	0.6555
BST1	1.7935
KISS1R	0.0315
NCR2	-0.6095
DEFB125	0.146
UBE2W	1.921
KRT15	3.452375
C10orf99	0.3415
SCN11A	0.00812500000000001
GFI1	-1.84275
RDHE2	5.41983333333333
FHL1	0.119666666666667
OSGEP	0.0103333333333333
GATA1	-3.55633333333333
SMC6	-0.94175
TTTY14	-1.62075
LPIN3	0.0405
RPL4	-0.2157
RBPMS	-0.5017
PRPF3	0.0476666666666667
EMR1	-1.6975
SPATA19	0.6365
XCR1	0.042
IRX3	1.0682
RBM6	-0.2495
KLF4	-0.2232
UNC5CL	-0.56525
SEBOX	0.334
BTK	0.01525
KRCC1	0.67975
C6orf27	0.295
SYTL5	-0.7235
PRND	1.22014285714286
LOC653319	-1.5045
PIGL	-0.81875
HUS1	0.329666666666667
SFRS6	1.60566666666667
C17orf77	0.5265
UIMC1	-0.4935
FXYD2	-1.8179
LOC283152	2.15075
ZNF667	0.17225
ZCCHC12	-0.445
TFEC	3.7705
ATP7B	-0.570333333333333
POLD2	-1.0345
RG9MTD1	0.05225
ACOT2	0.220333333333333
HIST1H4I	-1.64371428571429
PPARGC1A	-1.6173
ETFA	-0.7709
POLRMT	-0.32725
ZNF146	0.155625
MIA2	-1.076
KLHL6	-0.576166666666667
HOXB5	0.333125
NENF	0.369166666666667
CUGBP1	-0.50775
PRSS22	1.831
CASC4	0.9162
CUL4B	0.0301
CENPJ	-1.0169
PITX1	0.219
FLJ31033	0.869
CELSR3	-0.746
ZNF568	1.16075
ITSN1	-0.291916666666667
EHBP1L1	-0.325166666666667
C19orf2	-0.673
DCTN1	0.06
LIN28B	-4.4084
TNKS2	1.02375
C1QBP	0.29825
CADPS2	2.009
SRMS	0.52075
GJA9	0.7105
MGC24975	-0.714833333333333
TRIM45	-0.67
TSP50	0.40525
TCP1	-0.43875
TMED7	-0.2877
CMA1	2.0195
CENPL	-0.749666666666667
PTCRA	0.068
FST	-3.5935
VWCE	-3.316
PAWR	-0.21625
ABCC12	0.9415
LDLR	-0.5889
ASTN2	-0.1109
LOC441212	-0.579625
GPATCH8	0.03275
TANC2	-0.23775
KIF4A	-1.68
C18orf18	-2.50625
PGM1	-0.934
KIAA0258	0.771
CPD	-0.175
SNCAIP	-1.3145
DCT	-4.50616666666667
HLA-DOA	2.89922727272727
OR11L1	0.3645
UPK1B	-0.524666666666667
DNAJB4	0.608375
UGT1A8	-0.1415
HIST1H4L	-2.3275
PECR	-0.156666666666667
HSPA2	0.216
WFIKKN1	-2.8215
SERP1	0.886625
SYDE2	0.05475
TACR2	0.29
NUP85	-0.56175
CD177	-0.426166666666667
LGR5	-2.609
PIGG	-0.30375
PTHR1	-1.232
RAB5A	0.6525
FLJ13224	-0.177
USP9Y	-2.3364
C7orf53	0.518
LRP1B	0.00649999999999999
XAF1	2.4584
ABCG8	-0.672
ANKDD1A	-0.4405
DAND5	-2.7495
SPAG6	-0.505
LINCR	0.8315
ZDHHC22	-1.633625
CCDC60	1.2015
THOC7	-0.644666666666667
TCTA	0.7443
OR8K3	0.264
NY-REN-7	-0.73525
B2M	2.50783333333333
C6orf141	-2.413125
LPPR4	1.687
SQLE	-0.927125
SEPHS1	-0.4215
BTBD14B	0.131214285714286
PLRG1	-0.16975
SPG7	-0.7133125
ZNF614	-0.228666666666667
PARD6G	-0.3035
INPP5B	-0.1801
GRPEL2	0.659375
PPID	-0.8063
TRIM56	-0.316
UBE2J1	0.087875
IL20RA	5.9745
LOC387856	0.45875
C1orf107	0.477916666666667
UTS2R	-0.13375
C19orf22	0.717
SAFB2	-0.256875
KIAA0652	0.83975
KLRG1	-0.569833333333333
MS4A8B	2.20666666666667
FRAG1	-0.177
KIAA1546	0.09275
E2F4	-1.016
CLEC4M	-0.218166666666667
BTBD14A	-1.07925
KIAA0999	0.0349
GYPA	-3.475
TAC1	1.6851
TRAIP	-1.2575
KIAA0232	0.9244
ERCC8	-0.830125
GPX4	1.467
KIAA0368	-0.728625
GPR157	-0.438
CTAGE4	1.7375
C9orf30	-1.41166666666667
OR52A1	-0.602
HSP90B3P	-0.47
ALG9	-0.8271
BTBD10	0.91475
SDK2	-0.13075
BAIAP3	0.90425
RABGGTB	0.063375
ANKRD40	0.788166666666667
KRT74	0.27
CALCOCO2	0.877214285714286
SNCA	-2.757
TMSL8	-3.655625
C2orf53	-1.2435
ESRRB	-0.488
ARHGAP26	-0.17475
TDRD9	-2.40075
HRAS	1.06966666666667
KLRC4	-1.5815
JAGN1	-0.575833333333333
BSDC1	0.39575
RNF43	-0.8377
NDUFAF1	0.444
PHF12	0.382
OR1L3	0.56225
FOLR2	1.89541666666667
LYZL6	0.3625
tcag7.1260	-1.553
WSB1	-1.20116666666667
PROS1	-0.9932
OSTN	0.1765
PSMB8	1.0495
SOCS4	-0.42825
DDIT4L	1.18875
MAS1	-0.662
MGC34796	0.9225
CSHL1	0.0981666666666667
TBCCD1	0.00883333333333333
ZBTB7C	0.3365
AP2S1	-0.43
P15RS	-0.2304
VAT1	-0.4253
SHANK3	-0.0441666666666667
TUFM	-0.4795
THEG	-0.46175
KRT34	-2.3445
SGSM3	-0.260375
TOMM22	-1.314
SOCS3	1
CPO	0.5705
POP4	0.34325
BHLHB3	1.03075
MALL	0.92025
OR1B1	0.345
PARK2	2.02083333333333
GPR124	0.121
LCE1E	-0.3855
RUVBL2	-0.25475
CGRRF1	0.2552
ACPL2	0.44725
WNT10B	-1.881375
BAIAP2L2	-2.223125
ISCA1	0.135
C1orf125	0.1385
RPAP1	-1.074
RAI16	-0.9245
RPL27	-1.267375
NLRP9	-0.5245
EPN1	0.6315
LOC388610	-1.65725
SLC35A1	1.6407
