Hybridization REF	TCGA-AR-A1AY-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.458416666666667
CREB3L1	0.75425
RPS11	-1.025875
PNMA1	-0.751
MMP2	1.563
C10orf90	-0.105
ZHX3	-0.132166666666667
ERCC5	0.03525
GPR98	-1.85228571428571
RXFP3	-0.63
APBB2	0.39475
PRO0478	-0.91275
KLHL13	-0.97325
PRSSL1	-1.29783333333333
PDCL3	0.454166666666667
DECR1	2.07525
SALL1	-3.58983333333333
CADM4	1.01233333333333
RPS18	-0.813571428571429
HNRPD	-0.467583333333333
CFHR5	1.2764
SLC10A7	0.135714285714286
OR2K2	-0.426
LMAN1	0.659625
SUHW1	-3.1335
CHD8	-0.8585
SUMO1	0.3432
GP1BA	-0.2214
DDB1	-1.355
MYO9B	-0.3471
MMP7	7.8925
CRNKL1	0.57725
C9orf45	-1.52933333333333
XAB2	-0.25325
RTN1	0.190125
KLHL14	-0.917571428571429
TBX10	-1.9145
CENPQ	-0.2375
UTY	-1.04290909090909
ZBTB12	0.45
DTNBP1	0.229875
KBTBD8	-0.346333333333333
ZEB1	-0.249666666666667
ZG16	-1.9285
MIER1	0.6769
ADAM5P	null
CHD9	-0.852125
STK16	-0.0875
KIAA1486	-1.4495
TOB2	-0.0205833333333334
BANK1	1.05275
OR2V2	0.0616666666666666
GRM2	-0.295
PROSC	0.239125
SPIN2B	-0.0175
PIR	-1.45055555555556
IPO9	0.2917
EVC	-0.0545
CXCL13	2.25783333333333
KIAA1199	-1.43866666666667
SORL1	-2.18025
NAT10	0.8225
CHD1	-1.50925
SYN3	-0.25275
SLC22A2	-0.04325
SERPINF1	-0.357
WDR34	-1.963
OR7A17	-0.608
C9orf11	1.3885
RNF216L	-0.6003
LHB	0.1905
STK25	-0.18525
TAOK3	1.1495
LOC152573	-2.44025
C3orf39	0.467625
C14orf108	0.2009
CDC25B	-1.89945454545455
BMP3	0.688
TMEM180	-0.313
MAP1LC3C	-0.7405
CRYGC	-1.3405
POU3F1	-0.770111111111111
C20orf32	-1.64
CCDC95	0.1895
HIGD1B	2.22675
USP6NL	1.6595
ABCD4	-2.022
DIMT1L	-0.0663333333333333
TEK	0.894375
SLC25A46	-0.5965
LARP7	-1.4832
CD160	-0.2405
MT1JP	-2.24333333333333
PHF20	0.0209375
CPNE4	-2.14533333333333
GTPBP1	-0.495285714285714
RAB33B	0.182666666666667
ALDOC	-1.468625
ZNF212	-0.81325
NUDT1	0.368333333333333
RFPL2	-1.64125
ZNF83	0.412666666666667
GDPD5	-0.788
PDCD4	0.11545
CEP350	-0.061
OR10A2	0.1655
CST7	-0.841
CIAO1	-1.848
SELL	0.313625
OR8J3	-0.1855
LTBP4	-0.418
SIRT6	0.65825
CCL19	3.99875
PPIL1	0.225666666666667
GBP7	-0.0675
STK17A	-0.755
ABR	-0.564
OR9G1	2.13
FOXE1	-0.50275
CNGA3	-0.713
GML	0.216
CD38	-2.32375
ZDHHC6	-0.5145
NEFH	-3.433
CTDSP2	0.617666666666667
PGBD5	2.25
CCNY	1.40364285714286
RMND5B	-0.385916666666667
ZNF257	-0.5525
FLJ22167	0.800875
EXOSC7	0.756
ROR2	1.09675
MAOA	-1.228375
TNNT3	0.118166666666667
GYPC	-0.018
C7orf33	0.0920000000000001
PLIN	1.79366666666667
LOC90826	-0.39825
RNF4	-0.9074
F8A1	0.333333333333333
PLEKHG4	-0.75075
GRB2	-0.90225
HIST1H2AD	-0.32275
DUS3L	-0.5165
EIF1	-1.58016666666667
