Hybridization REF	TCGA-BH-A0C3-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.377833333333333
CREB3L1	0.852
RPS11	0.41825
PNMA1	0.20175
MMP2	1.49
C10orf90	-1.82425
ZHX3	0.167666666666667
ERCC5	0.41925
GPR98	0.166
RXFP3	0.088
APBB2	2.705
PRO0478	-0.927
KLHL13	-1.05975
PRSSL1	-0.730333333333333
PDCL3	0.908833333333333
DECR1	0.492875
SALL1	-3.25333333333333
CADM4	0.708666666666667
RPS18	-0.475428571428571
HNRPD	-0.376166666666667
CFHR5	0.5984
SLC10A7	0.340375
OR2K2	0.663
LMAN1	0.428375
SUHW1	-3.3585
CHD8	-0.3998
SUMO1	-0.0258
GP1BA	1.7545
DDB1	-1.007
MYO9B	-0.0324
MMP7	4.53725
CRNKL1	0.451
C9orf45	-2.72616666666667
XAB2	0.391375
RTN1	2.159875
KLHL14	-0.8395
TBX10	-1.594
CENPQ	-1.7695
UTY	-1.36535714285714
ZBTB12	-0.141
DTNBP1	-0.000874999999999973
KBTBD8	-1.02016666666667
ZEB1	1.52533333333333
ZG16	3.5935
MIER1	0.4618
ADAM5P	5.115
CHD9	-0.479625
STK16	0.44725
KIAA1486	-0.5275
TOB2	0.00716666666666664
BANK1	4.36
OR2V2	-0.3595
GRM2	0.204833333333333
PROSC	0.713
SPIN2B	-0.00225
PIR	-0.883333333333333
IPO9	-0.5527
EVC	1.0125
CXCL13	3.03516666666667
KIAA1199	-3.5725
SORL1	-0.05175
NAT10	-1.0935
CHD1	-1.1245
SYN3	-0.22575
SLC22A2	0.1715
SERPINF1	1.48
WDR34	-1.14875
OR7A17	0.12125
C9orf11	-0.972
RNF216L	-0.688
LHB	-0.0835
STK25	0.0495
TAOK3	0.952
LOC152573	-2.20475
C3orf39	0.962875
C14orf108	0.7746
CDC25B	-1.45363636363636
BMP3	2.052
TMEM180	0.0485
MAP1LC3C	3.63875
CRYGC	-0.785
POU3F1	-1.4085
C20orf32	-0.804
CCDC95	-0.1015
HIGD1B	4.701
USP6NL	-0.131125
ABCD4	-0.180666666666667
DIMT1L	-0.545333333333333
TEK	2.2295
SLC25A46	0.41125
LARP7	-2.1884
CD160	0.0321666666666666
MT1JP	-0.575833333333333
PHF20	-0.6656875
CPNE4	-2.099
GTPBP1	-0.635214285714286
RAB33B	0.930833333333333
ALDOC	-1.891
ZNF212	-0.6205
