Hybridization REF	TCGA-E2-A15K-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.03925
CREB3L1	1.9345
RPS11	0.08975
PNMA1	-0.75
MMP2	0.575
C10orf90	-1.647
ZHX3	-0.299333333333333
ERCC5	0.94575
GPR98	1.022
RXFP3	0.159
APBB2	2.04475
PRO0478	-1.277
KLHL13	-1.395
PRSSL1	-0.369333333333333
PDCL3	0.3925
DECR1	-0.3725
SALL1	-3.9015
CADM4	0.144166666666667
RPS18	-0.347928571428571
HNRPD	-0.681916666666667
CFHR5	0.1914
SLC10A7	0.620625
OR2K2	0.584
LMAN1	-0.478875
SUHW1	-3.56675
CHD8	0.6159
SUMO1	0.4798
GP1BA	2.0889
DDB1	-1.234
MYO9B	-0.4338
MMP7	6.167
CRNKL1	1.108875
C9orf45	-0.98
XAB2	0.556625
RTN1	3.282875
KLHL14	-0.647375
TBX10	-1.629
CENPQ	-0.4255
UTY	-1.47378571428571
ZBTB12	0.0735
DTNBP1	0.25175
KBTBD8	-0.844
ZEB1	-1.16166666666667
ZG16	0.1995
MIER1	0.1652
ADAM5P	0.5735
CHD9	-0.9185625
STK16	0.66
KIAA1486	-0.7605
TOB2	0.662166666666667
BANK1	5.2495
OR2V2	0.02675
GRM2	0.245
PROSC	-0.422375
SPIN2B	-0.013
PIR	-1.80533333333333
IPO9	-0.1913
EVC	-0.315666666666667
CXCL13	6.63733333333333
KIAA1199	-0.9068
SORL1	1.058
NAT10	-0.63625
CHD1	0.3775
SYN3	-1.52175
SLC22A2	0.2145
SERPINF1	0.607
WDR34	0.18875
OR7A17	0.319
C9orf11	-0.982
RNF216L	-0.8532
LHB	0.0985
STK25	-0.629
TAOK3	1.1305
LOC152573	-2.66725
C3orf39	-0.05
C14orf108	1.7044
CDC25B	-1.35372727272727
BMP3	-0.0015
TMEM180	0.1145
MAP1LC3C	0.22975
CRYGC	-1.1555
POU3F1	-1.4427
C20orf32	-1.6205
CCDC95	-0.0585
HIGD1B	4.1955
USP6NL	0.396625
ABCD4	0.367333333333333
DIMT1L	-0.696916666666667
TEK	0.83325
SLC25A46	-0.64
LARP7	-1.0579
CD160	0.784166666666667
MT1JP	-0.933833333333333
PHF20	0.1313125
CPNE4	-1.89775
GTPBP1	-0.262142857142857
RAB33B	1.36116666666667
ALDOC	-3.056375
ZNF212	-0.02325
NUDT1	-0.611666666666667
RFPL2	-0.45325
ZNF83	0.260833333333333
GDPD5	-1.242
PDCD4	2.5374
CEP350	0.4455
OR10A2	0.5725
CST7	2.05825
CIAO1	-0.976
SELL	2.666375
OR8J3	0.839
LTBP4	-0.7415
SIRT6	-0.12675
CCL19	4.14775
PPIL1	-0.636333333333333
GBP7	-0.405
STK17A	-0.8054
ABR	0.2505
OR9G1	-0.2365
FOXE1	-0.660875
CNGA3	2.8095
GML	0.3415
CD38	-0.647
ZDHHC6	0.751166666666667
NEFH	-1.72375
CTDSP2	0.733416666666667
PGBD5	-2.0535
CCNY	-0.250571428571429
RMND5B	0.467666666666667
ZNF257	-0.618
FLJ22167	-1.778125
EXOSC7	-0.433
ROR2	0.02675
MAOA	-0.188
TNNT3	1.43383333333333
GYPC	-1.3685
C7orf33	0.583
PLIN	2.7885
LOC90826	0.35425
RNF4	0.2793
F8A1	-0.0696666666666667
PLEKHG4	-2.24575
GRB2	-0.3819
HIST1H2AD	-0.32
DUS3L	-1.485
EIF1	-0.604666666666667
RP5-1077B9.4	-1.2235
FPGT	1.59825
GDF10	1.43583333333333
COQ9	-0.4665
GCC2	0.3265
RARRES3	2.57275
PLXNA1	-0.7025
KIAA0100	-0.0334
PMF1	0.8445
FNDC1	5.1825
HS2ST1	-0.57
CRELD2	0.5875
C8G	-2.414
CD82	-0.054
LIM2	-0.883
UNQ6490	0.763
MMP16	-0.03
DRD3	0.13225
C5orf26	-1.129
C11orf73	-0.895875
PTP4A2	1.277
OR4M2	1.134
HPCA	-1.49733333333333
SEC14L1	-0.7405
CHFR	-0.27175
EMILIN1	0.592125
NDUFS4	-0.23
COL18A1	-0.468625
PDZD3	-0.4613
C9orf16	0.00783333333333333
ERBB2IP	0.0658333333333333
EMX2	3.99075
FUS	-0.45325
TF	-3.7873
CLCN4	-0.658166666666667
CXorf56	0.40825
C11orf72	0.4745
ELAC2	-0.322166666666667
NPR1	-1.111
ASS1	-3.391
USP42	-0.27275
POLR2J	-0.1735
SEC23IP	1.57366666666667
UQCRC1	-0.1435
LOC729603	-0.82525
C1orf71	0.367
POLG	-0.995
ADAM23	-3.06525
TFR2	-0.82525
RICTOR	-0.9723
MGC39606	-1.048
C19orf55	-0.3325
SNAPC1	-1.09883333333333
GNA11	0.05125
