Hybridization REF	TCGA-A7-A13F-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	2.75916666666667
CREB3L1	1.39375
RPS11	0.458375
PNMA1	-1.7145
MMP2	1.991
C10orf90	-2.599
ZHX3	1.2275
ERCC5	-0.7125
GPR98	-1.41028571428571
RXFP3	0.0845
APBB2	0.93
PRO0478	-0.6465
KLHL13	-1.602
PRSSL1	-0.5995
PDCL3	0.745166666666667
DECR1	0.58625
SALL1	-3.3245
CADM4	0.620166666666667
RPS18	-0.838857142857143
HNRPD	-0.64975
CFHR5	0.4675
SLC10A7	0.401375
OR2K2	0.871
LMAN1	-0.23825
SUHW1	-3.152
CHD8	0.2773
SUMO1	-0.2846
GP1BA	-0.360555555555556
DDB1	0.4015
MYO9B	0.7632
MMP7	5.667
CRNKL1	0.189375
C9orf45	-2.5588
XAB2	1.179
RTN1	0.809857142857143
KLHL14	-0.935714285714286
TBX10	-1.8115
CENPQ	-0.90275
UTY	-0.880769230769231
ZBTB12	0.141
DTNBP1	-0.8005
KBTBD8	-2.651
ZEB1	-0.064
ZG16	-0.82275
MIER1	0.2365
ADAM5P	0.0235
CHD9	-0.4088125
STK16	0.02675
KIAA1486	0.19
TOB2	0.308083333333333
BANK1	0.10275
OR2V2	-0.34825
GRM2	0.249833333333333
PROSC	1.165875
SPIN2B	0.0965
PIR	-2.19566666666667
IPO9	0.5004
EVC	1.07716666666667
CXCL13	0.581333333333333
KIAA1199	-2.65033333333333
SORL1	0.36825
NAT10	0.14325
CHD1	-0.345
SYN3	-0.0125
SLC22A2	0.241
SERPINF1	-0.381333333333333
WDR34	0.77875
OR7A17	0.0556666666666667
C9orf11	3.472
RNF216L	-0.9022
LHB	-0.0725
STK25	0.687125
TAOK3	0.9965
LOC152573	-3.09175
C3orf39	2.20825
C14orf108	-0.6409
CDC25B	0.152909090909091
BMP3	0.131
TMEM180	0.5555
MAP1LC3C	0.5925
CRYGC	-1.385
POU3F1	-0.7665
C20orf32	-2.324
CCDC95	0.356
HIGD1B	3.637
USP6NL	-2.61425
ABCD4	-1.47083333333333
DIMT1L	-1.08016666666667
TEK	1.1055
SLC25A46	-0.7975
LARP7	-2.0361
CD160	0.0816666666666667
MT1JP	-1.06133333333333
PHF20	0.160125
CPNE4	-0.42775
GTPBP1	-0.2185
RAB33B	0.077
ALDOC	-3.437875
ZNF212	-0.5705
NUDT1	0.537833333333333
RFPL2	-0.7495
ZNF83	0.0691666666666667
GDPD5	0.2985
PDCD4	1.9841
CEP350	0.163
OR10A2	0.5555
CST7	-0.672
CIAO1	-0.99175
SELL	-0.212125
OR8J3	-0.001
LTBP4	0.189
SIRT6	1.16875
CCL19	3.48275
PPIL1	-0.820833333333333
GBP7	1.555
STK17A	-2.0914
ABR	0.359
OR9G1	0.3655
FOXE1	-0.417
CNGA3	1.5035
GML	0.558
CD38	-5.01625
ZDHHC6	0.397666666666667
NEFH	-3.0255
CTDSP2	0.76125
PGBD5	1.11483333333333
CCNY	-0.167571428571429
RMND5B	1.196
ZNF257	-1.23875
FLJ22167	-1.2365
EXOSC7	0.361833333333333
ROR2	2.606375
MAOA	3.890625
TNNT3	-0.651
GYPC	-0.58925
C7orf33	0.013
PLIN	2.025
LOC90826	-0.90675
RNF4	-0.7612
F8A1	-0.0466666666666667
PLEKHG4	-2.193
GRB2	1.21595
HIST1H2AD	1.029
DUS3L	-0.142
EIF1	-0.342
RP5-1077B9.4	-0.445666666666667
FPGT	1.7865
GDF10	-0.812666666666667
COQ9	0.6405
GCC2	-0.953214285714286
RARRES3	2.764
PLXNA1	-0.6328
KIAA0100	-0.5455
PMF1	1.455
FNDC1	4.58625
HS2ST1	-0.906333333333333
CRELD2	1.6965
C8G	-2.2315
CD82	0.35675
LIM2	-1.256
UNQ6490	0.031
MMP16	0.4815
DRD3	-0.5655
C5orf26	-2.23
C11orf73	-0.776875
PTP4A2	0.10825
OR4M2	-0.476
HPCA	1.157
SEC14L1	-0.0476666666666667
CHFR	-0.262125
EMILIN1	0.829875
NDUFS4	-0.2835
COL18A1	0.234
PDZD3	0.08
C9orf16	1.05233333333333
ERBB2IP	-0.0761666666666667
EMX2	2.3605
FUS	-0.3045
TF	-4.4549
CLCN4	-0.355666666666667
CXorf56	0.82475
C11orf72	-0.08275
ELAC2	-0.11675
NPR1	0.68
ASS1	0.0783333333333333
USP42	-0.62225
POLR2J	0.4715
SEC23IP	0.571333333333333
UQCRC1	1.7295
LOC729603	0.63175
C1orf71	-0.087625
POLG	-0.6745
ADAM23	-3.69875
TFR2	0.17425
RICTOR	-1.3265
MGC39606	0.1365
C19orf55	-0.22725
SNAPC1	-2.6505
GNA11	1.66625
CCDC52	0.222666666666667
FSIP1	5.715
UPF3A	-0.556625
IGSF11	-3.2245
LAGE3	-0.2035
CHST6	-3.1255
UNC13B	1.846
TTLL4	-1.711625
ZNF687	1.0485
SDC2	-1.6664
COX7A2	-0.62825
LAMB4	-0.286
FAM24A	-0.411
LRRTM3	-0.758166666666667
GPHB5	-0.4295
OR4C13	0.494
EIF3EIP	0.0421428571428572
HABP4	0.0805
TMEM125	2.63575
CNTN2	-0.236625
ASNSD1	-0.3575
FUT4	-0.5545
ACF	-3.423
LOC158381	1.024
CDH8	-0.698
AGPS	-0.978
C4orf18	2.537375
PECI	0.416666666666667
UNG	0.64525
GSTP1	-2.599
DCUN1D5	-1.70683333333333
DKFZP564J0863	-1.17175
SLC9A3R1	2.050375
BCDO2	0.68175
CHMP7	2.087875
REM2	0.547
DNHD1	-1.152
FKBP4	1.519375
ZNF350	-0.47
MGC11102	-0.092125
BST1	0.875
KISS1R	0.858
NCR2	0.5035
DEFB125	-2.356
UBE2W	0.6245
KRT15	3.972125
C10orf99	0.3565
SCN11A	-0.125375
GFI1	-3.78425
RDHE2	5.10466666666667
FHL1	-1.499
OSGEP	-1.69966666666667
GATA1	-2.82133333333333
SMC6	-0.82825
TTTY14	-1.74825
LPIN3	1.196
RPL4	0.3642
RBPMS	1.2544
PRPF3	0.287166666666667
EMR1	-2.9885
SPATA19	0.4245
XCR1	1.6045
IRX3	2.5044
RBM6	-0.417
KLF4	0.9896
UNC5CL	-3.05775
SEBOX	0.1375
BTK	-0.201
KRCC1	0.7995
C6orf27	0.6925
SYTL5	2.0625
PRND	2.417125
LOC653319	-2.4955
PIGL	-0.438625
HUS1	0.566166666666667
SFRS6	0.548166666666667
C17orf77	0.992
UIMC1	-0.9265
FXYD2	-2.3818
LOC283152	2.333
ZNF667	0.85225
ZCCHC12	-1.455
TFEC	1.8435
ATP7B	0.432833333333333
POLD2	0.878333333333333
RG9MTD1	-0.139
ACOT2	0.654666666666667
HIST1H4I	-1.251
PPARGC1A	-2.8932
ETFA	-0.1805
POLRMT	0.57925
ZNF146	0.143375
MIA2	-2.301
KLHL6	-2.24083333333333
HOXB5	-2.09475
NENF	1.59616666666667
CUGBP1	-1.734
PRSS22	1.0095
CASC4	1.3442
CUL4B	-0.1154
CENPJ	-1.4694
PITX1	1.70766666666667
FLJ31033	0.255666666666667
CELSR3	0.557666666666667
ZNF568	1.03125
ITSN1	-0.212
EHBP1L1	-0.150666666666667
C19orf2	-0.71225
DCTN1	1.8615
LIN28B	-4.36316666666667
TNKS2	-0.48725
C1QBP	0.0665
CADPS2	-0.88925
SRMS	0.254666666666667
GJA9	0.559166666666667
MGC24975	-1.31633333333333
TRIM45	0.811333333333333
TSP50	0.046
TCP1	-1.8005
TMED7	0.3551
CMA1	0.1715
CENPL	-0.0158333333333333
PTCRA	0.0925
FST	-4.9225
VWCE	-4.971
PAWR	-4.1485
ABCC12	0.711
LDLR	-0.0419
ASTN2	1.738
LOC441212	-1.095125
GPATCH8	0.1185
TANC2	-0.259
KIF4A	0.786
C18orf18	-2.082
PGM1	-0.635
KIAA0258	-0.83475
CPD	0.258375
SNCAIP	-2.00225
DCT	-4.74183333333333
HLA-DOA	2.80490909090909
OR11L1	0.5995
UPK1B	-0.194833333333333
DNAJB4	-0.68325
UGT1A8	-0.9005
HIST1H4L	-2.5085
PECR	-2.4965
HSPA2	0.3475
WFIKKN1	-2.915
SERP1	0.3265
SYDE2	0.73075
TACR2	0.5925
NUP85	0.09525
CD177	-0.7955
LGR5	-2.17016666666667
PIGG	0.5815
PTHR1	-1.52866666666667
RAB5A	0.178
FLJ13224	0.032
USP9Y	-1.41583333333333
C7orf53	-2.982
LRP1B	1.0905
XAF1	-0.1554
ABCG8	-1.293
ANKDD1A	-1.288
DAND5	-2.276
SPAG6	0.8194
LINCR	-1.40275
ZDHHC22	-1.62325
CCDC60	-0.244
THOC7	-0.989333333333333
TCTA	2.4993
OR8K3	-0.407
NY-REN-7	-2.0605
B2M	0.717666666666667
C6orf141	-0.184625
LPPR4	0.9815
SQLE	-2.12525
SEPHS1	-0.66225
BTBD14B	0.415142857142857
PLRG1	-0.9
SPG7	0.646125
ZNF614	-0.708333333333333
PARD6G	-0.641333333333333
INPP5B	-0.6117
GRPEL2	0.111875
PPID	-1.0711
TRIM56	-0.665
UBE2J1	-0.43925
IL20RA	2.3405
LOC387856	0.517333333333333
C1orf107	0.379916666666667
UTS2R	-0.0525
C19orf22	2.4855
SAFB2	0.155125
KIAA0652	1.489375
KLRG1	-1.49683333333333
MS4A8B	2.66666666666667
FRAG1	1.4455
KIAA1546	-0.46225
E2F4	-0.2756
CLEC4M	0.146166666666667
BTBD14A	-1.917
KIAA0999	-0.4277
GYPA	-3.6018
TAC1	1.7397
TRAIP	0.2005
KIAA0232	0.5394
ERCC8	-0.80925
GPX4	1.961375
KIAA0368	-0.875375
GPR157	-1.28216666666667
CTAGE4	1.2565
C9orf30	-0.626833333333333
OR52A1	-0.2615
HSP90B3P	1.163
ALG9	0.1104
BTBD10	0.3865
SDK2	0.2645
BAIAP3	2.26175
RABGGTB	-1.2875
ANKRD40	1.19066666666667
KRT74	0.964
CALCOCO2	1.00835714285714
SNCA	-3.572
TMSL8	-6.04825
C2orf53	0.183
ESRRB	-0.1335
ARHGAP26	1.468375
TDRD9	-3.90175
HRAS	0.990333333333333
KLRC4	-2.1045
JAGN1	-0.489666666666667
BSDC1	0.80325
RNF43	-0.4762
NDUFAF1	1.77475
PHF12	0.536666666666667
OR1L3	0.72825
FOLR2	1.19758333333333
LYZL6	0.17675
tcag7.1260	-2.0205
WSB1	-2.27
PROS1	-1.2626
OSTN	0
PSMB8	-0.49075
SOCS4	-0.635625
DDIT4L	1.11375
MAS1	0.306
MGC34796	2.57025
CSHL1	0.371666666666667
TBCCD1	0.867
ZBTB7C	0.8235
AP2S1	0.803125
P15RS	0.1203
VAT1	0.7931
SHANK3	0.607333333333333
TUFM	0.453
THEG	-0.65675
KRT34	-2.12125
SGSM3	0.857125
TOMM22	-0.000750000000000001
SOCS3	1.56766666666667
CPO	-0.459
POP4	0.37475
BHLHB3	0.68025
MALL	1.0625
OR1B1	0.26
PARK2	1.448
GPR124	0.6075
LCE1E	0.1075
RUVBL2	0.81825
CGRRF1	-0.2059
ACPL2	-0.7895
WNT10B	-3.26
BAIAP2L2	-2.62025
ISCA1	0.6135
C1orf125	-0.21475
RPAP1	-0.1105
RAI16	1.0565
RPL27	-0.466875
NLRP9	0.3885
EPN1	2.415
LOC388610	-2.412
SLC35A1	0.1051
GAL	-4.6495
SLC14A2	-0.1725
RDH11	-1.40033333333333
FAM138F	-0.9945
AUH	-0.062
FLJ40243	0.283
C14orf129	-0.229
MBD2	-0.034
ABHD14B	2.213125
PIGT	3.16875
ALS2CR4	-0.604625
ALAS1	1.3323
FOXO1	-0.3095
CRLF3	-0.057875
C20orf107	0.9545
FARS2	1.29275
CCDC28A	-0.682
NPHP3	-1.32425
OR13F1	-0.623
TSEN54	0.4865
DEFB106B	0.245888888888889
OR8B4	-0.4665
STH	-0.5645
ZC3H14	-0.046125
CBX2	1.3915
TMEM49	-0.17
C6orf21	0.4875
FLJ20920	2.780375
CRTAP	1.21514285714286
DDX50	-1.12075
STYXL1	0.3355
BLVRB	1.29183333333333
LOC147650	-1.11516666666667
MMP24	0.63625
GRID1	1.7868
BANF1	1.18766666666667
CTAGEP	0.2815
HMBS	-1.57875
SLC25A24	1.02433333333333
C14orf50	-1.70025
MRO	1.80666666666667
SLC25A15	-1.2155
FAM84B	1.5867
TDP1	-1.605
C16orf78	0.382333333333333
C11orf57	-1.043
RFK	-0.331
ZFYVE9	-0.627625
STCH	-1.2916
WIBG	1.1975
LOC283871	0.504333333333333
GBA2	0.1422
NDUFB3	-0.658
HSD17B13	-0.402666666666667
GRIN3A	0.9528
FMNL1	0.883833333333333
SEPT7	-0.911
GNLY	1.6665
GRAMD1C	-0.322666666666667
ZNF165	0.67975
USP38	0.12725
FAM83A	-4.29633333333333
C14orf24	0.0296666666666667
ARMCX3	0.76775
ARHGDIB	1.78033333333333
AK1	0.769875
KIAA1045	-0.00299999999999998
DNAJB13	0.2845
NEU2	0.5755
HIST1H4B	-1.745
FAM20B	0.1629
HES2	0.989071428571429
FAM73B	0.3969
LOC388381	1.154
INTS7	0.759181818181818
AMPH	1.317
ZNF775	-0.867
UCKL1	-0.338166666666667
C10orf97	-0.8115
C1orf161	0.96725
ALDH1L1	-1.25
FLJ39378	0.047125
SLC23A1	-1.526
RBM4B	0.6775
THAP4	0.212166666666667
OGFRL1	-0.4
KIAA0831	-0.726375
PPP1R15A	0.981
C1orf96	0.0869285714285714
C12orf11	-1.10875
BMF	0.433875
MAN1A1	-1.938875
KIAA1600	-0.497166666666667
NLGN4X	-0.19625
ALOX12	-0.306333333333333
RB1CC1	-0.3178
NEIL2	1.8473
EIF4E	0.2415
