Hybridization REF	TCGA-AR-A1AQ-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.240166666666667
CREB3L1	0.1075
RPS11	0.417375
PNMA1	-1.22175
MMP2	0.760166666666667
C10orf90	-2.05333333333333
ZHX3	-0.919833333333333
ERCC5	0.31875
GPR98	-1.979625
RXFP3	0.2665
APBB2	-0.25575
PRO0478	-1.29575
KLHL13	-0.76025
PRSSL1	-0.662
PDCL3	0.869166666666667
DECR1	0.354375
SALL1	-4.0555
CADM4	1.2875
RPS18	-0.327428571428572
HNRPD	-0.465333333333333
CFHR5	0.0461666666666667
SLC10A7	0.041625
OR2K2	-0.1425
LMAN1	1.040125
SUHW1	-3.4695
CHD8	-0.3549
SUMO1	0.4891
GP1BA	1.9467
DDB1	-0.280833333333333
MYO9B	0.4637
MMP7	6.53475
CRNKL1	0.55325
C9orf45	-2.22916666666667
XAB2	1.011625
RTN1	1.83975
KLHL14	-0.957375
TBX10	-1.373
CENPQ	-0.95425
UTY	-1.52171428571429
ZBTB12	-0.2885
DTNBP1	-0.838375
KBTBD8	-0.275833333333333
ZEB1	-0.563833333333333
ZG16	-0.98425
MIER1	0.7005
ADAM5P	0.9335
CHD9	-0.7758125
STK16	0.23525
KIAA1486	-0.383
TOB2	-0.215916666666667
BANK1	4.8125
OR2V2	0.29175
GRM2	0.322166666666667
PROSC	1.012
SPIN2B	0.2195
PIR	-0.483222222222222
IPO9	-0.2726
EVC	0.3465
CXCL13	7.02633333333333
KIAA1199	-0.4548
SORL1	-0.68525
NAT10	0.12175
CHD1	-0.85375
SYN3	0.4895
SLC22A2	-0.13525
SERPINF1	0.795833333333333
WDR34	-0.536
OR7A17	0.3815
C9orf11	0.6355
RNF216L	-0.568
LHB	0.321
STK25	0.734125
TAOK3	0.40625
LOC152573	-3.41975
C3orf39	0.382125
C14orf108	0.2474
CDC25B	-0.570363636363636
BMP3	0.4015
TMEM180	1.122
MAP1LC3C	0.03375
CRYGC	0.3475
POU3F1	-0.7733
C20orf32	-1.1005
CCDC95	-0.3345
HIGD1B	3.95075
USP6NL	2.072125
ABCD4	-1.05716666666667
DIMT1L	-0.22
TEK	0.560875
SLC25A46	-0.4075
LARP7	-1.6993
CD160	1.32383333333333
MT1JP	0.6775
PHF20	-0.611875
CPNE4	-2.21525
GTPBP1	-0.354428571428571
RAB33B	0.131666666666667
ALDOC	-2.09625
ZNF212	-0.0465
NUDT1	-0.842833333333333
RFPL2	-0.79825
ZNF83	-0.826666666666667
GDPD5	-0.731375
PDCD4	0.173
CEP350	-0.376
OR10A2	0.5955
CST7	2.92925
CIAO1	-0.50225
SELL	2.552875
OR8J3	-0.459
LTBP4	-0.823833333333333
SIRT6	0.353
CCL19	4.0675
PPIL1	-0.419166666666667
GBP7	-0.442
STK17A	-0.8074
ABR	-0.32925
OR9G1	0.1665
FOXE1	-0.513125
CNGA3	-0.7485
GML	0.7375
CD38	2.35425
ZDHHC6	0.244166666666667
NEFH	-2.91275
CTDSP2	0.360666666666667
PGBD5	0.0553333333333333
CCNY	1.18385714285714
RMND5B	0.0125833333333334
ZNF257	-0.6535
FLJ22167	-0.143375
EXOSC7	-0.538666666666667
ROR2	1.0695
MAOA	-1.811125
TNNT3	-0.0455
GYPC	0.89375
C7orf33	0.645
PLIN	0.564166666666667
LOC90826	-0.412
RNF4	-0.3416
F8A1	0.370833333333333
PLEKHG4	-1.71475
GRB2	0.26185
HIST1H2AD	-0.49775
DUS3L	0.0678333333333333
EIF1	-1.08533333333333
RP5-1077B9.4	0.239
FPGT	0.7955
GDF10	-0.898
COQ9	-0.0325
GCC2	-0.122785714285714
RARRES3	2.41225
PLXNA1	0.0746
KIAA0100	-0.5059
PMF1	0.79775
FNDC1	5.13425
HS2ST1	-0.21275
CRELD2	1.034
C8G	-0.022
CD82	1.8545
LIM2	-1.7325
UNQ6490	0.1365
MMP16	-0.5425
DRD3	0.3125
C5orf26	-0.75
C11orf73	-0.016125
PTP4A2	-0.282375
OR4M2	1.5825
HPCA	-0.0976666666666667
SEC14L1	0.299
CHFR	0.090625
EMILIN1	0.6125
NDUFS4	-0.88
COL18A1	0.829
PDZD3	-0.0812
C9orf16	0.8075
ERBB2IP	-0.703333333333333
EMX2	0.71125
FUS	-0.5375
TF	-3.5279
CLCN4	2.21933333333333
CXorf56	1.08
C11orf72	0.54875
ELAC2	-1.00058333333333
NPR1	0.777
ASS1	-0.554333333333333
USP42	-0.30475
POLR2J	0.05
SEC23IP	-0.1955
UQCRC1	0.1525
LOC729603	-0.4425
C1orf71	-0.52275
POLG	-1.5425
ADAM23	-3.99975
TFR2	-0.44625
RICTOR	-1.5668
MGC39606	1.10275
C19orf55	-0.18575
SNAPC1	-1.15483333333333
GNA11	0.30475
CCDC52	-0.368833333333333
FSIP1	-0.294
UPF3A	0.326875
IGSF11	-2.46166666666667
LAGE3	0.49025
CHST6	-3.32
UNC13B	-0.2855
TTLL4	1.7455
ZNF687	0.6225
SDC2	0.202
COX7A2	-0.59025
LAMB4	-0.0255
FAM24A	0.4675
LRRTM3	-1.60616666666667
GPHB5	0.31425
OR4C13	-0.2185
