Hybridization REF	TCGA-BH-A0DD-01A-31R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0541666666666667
CREB3L1	-0.0245
RPS11	0.930375
PNMA1	0.8445
MMP2	-0.200666666666667
C10orf90	-2.48775
ZHX3	0.00816666666666666
ERCC5	-1.3815
GPR98	0.493142857142857
RXFP3	0.361
APBB2	1.59525
PRO0478	-0.9185
KLHL13	-3.2655
PRSSL1	-0.947166666666667
PDCL3	1.281
DECR1	0.585875
SALL1	-4.49883333333333
CADM4	-0.261833333333333
RPS18	0.226428571428571
HNRPD	0.88925
CFHR5	0.8738
SLC10A7	0.182625
OR2K2	-0.249
LMAN1	-0.368
SUHW1	-3.845
CHD8	0.1713
SUMO1	0.7184
GP1BA	0.3604
DDB1	-1.36283333333333
MYO9B	-1.1188
MMP7	6.44025
CRNKL1	1.091875
C9orf45	-1.47783333333333
XAB2	0.20425
RTN1	3.13275
KLHL14	2.01675
TBX10	-1.6485
CENPQ	-0.386
UTY	2.16364285714286
ZBTB12	-0.0225
DTNBP1	0.127375
KBTBD8	-1.87533333333333
ZEB1	-0.1255
ZG16	-1.356
MIER1	0.3396
ADAM5P	0.6475
CHD9	0.0686875
STK16	0.66525
KIAA1486	-0.21
TOB2	0.252666666666667
BANK1	2.956
OR2V2	0.298
GRM2	0.257666666666667
PROSC	-0.0655
SPIN2B	0.34725
PIR	-1.604
IPO9	0.4423
EVC	0.6965
CXCL13	5.9845
KIAA1199	-0.8939
SORL1	0.0945
NAT10	-1.0405
CHD1	-0.217
SYN3	0.05025
SLC22A2	-0.666
SERPINF1	-0.00433333333333332
WDR34	-0.8955
OR7A17	0.5505
C9orf11	-0.42
RNF216L	-0.8594
LHB	-0.024
STK25	-1.2855
TAOK3	1.39325
LOC152573	-4.41425
C3orf39	0.25
C14orf108	1.1304
CDC25B	-0.843636363636364
BMP3	0.2375
TMEM180	0.0025
MAP1LC3C	-0.01625
CRYGC	-1.585
POU3F1	-1.1366
C20orf32	-1.2145
CCDC95	-1.335
HIGD1B	4.26275
USP6NL	0.228625
ABCD4	-0.668
DIMT1L	-0.306916666666667
TEK	0.878
SLC25A46	-0.30575
LARP7	-1.0302
CD160	0.947666666666667
MT1JP	-0.0825
PHF20	0.06925
CPNE4	-1.7065
GTPBP1	-0.235357142857143
RAB33B	1.46533333333333
ALDOC	-2.347625
ZNF212	-0.0235
NUDT1	0.440666666666667
RFPL2	-0.5
ZNF83	1.0445
GDPD5	-1.212
PDCD4	1.1951
CEP350	0.41875
OR10A2	-0.0735
CST7	0.26125
CIAO1	-1.5715
SELL	2.219375
OR8J3	1.317
LTBP4	-1.163
SIRT6	-1.4785
CCL19	4.58875
PPIL1	-0.126333333333333
GBP7	0.555166666666667
STK17A	-0.584
ABR	-0.8685
OR9G1	0.034
FOXE1	-0.65325
CNGA3	0.4735
GML	0.1645
CD38	-1.4555
ZDHHC6	0.862666666666667
NEFH	-2.90175
CTDSP2	-0.151666666666667
PGBD5	-2.2625
CCNY	-0.325285714285714
RMND5B	0.576083333333333
ZNF257	-0.37925
FLJ22167	-0.143875
EXOSC7	-0.138833333333333
ROR2	0.432375
MAOA	0.414875
