Hybridization REF	TCGA-E2-A1AZ-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.284166666666667
CREB3L1	0.42825
RPS11	0.781
PNMA1	-0.20925
MMP2	1.54416666666667
C10orf90	-1.4775
ZHX3	-0.342666666666667
ERCC5	-0.05475
GPR98	-2.014875
RXFP3	0.482
APBB2	0.0945
PRO0478	-1.130375
KLHL13	-0.55675
PRSSL1	-0.835666666666667
PDCL3	-0.165666666666667
DECR1	-0.00475
SALL1	-3.86283333333333
CADM4	1.76033333333333
RPS18	0.534214285714286
HNRPD	-0.29875
CFHR5	-0.0125
SLC10A7	0.25425
OR2K2	-0.3805
LMAN1	0.4475
SUHW1	-1.6885
CHD8	0.2615
SUMO1	-0.2331
GP1BA	1.9705
DDB1	0.0236666666666667
MYO9B	0.1561
MMP7	6.8315
CRNKL1	0.400125
C9orf45	-1.14416666666667
XAB2	0.71775
RTN1	1.611125
KLHL14	-1.367
TBX10	-1.7125
CENPQ	-1.68425
UTY	-1.69330769230769
ZBTB12	0.791
DTNBP1	-0.17975
KBTBD8	-0.402333333333333
ZEB1	-0.667
ZG16	-1.9635
MIER1	-0.2583
ADAM5P	0.1325
CHD9	-0.0484375
STK16	-0.2195
KIAA1486	-0.589
TOB2	0.112083333333333
BANK1	3.83575
OR2V2	0.3295
GRM2	0.143666666666667
PROSC	0.27925
SPIN2B	0.49325
PIR	-1.371
IPO9	0.1219
EVC	1.41266666666667
CXCL13	6.80966666666667
KIAA1199	-1.1975
SORL1	1.2075
NAT10	-0.006
CHD1	-0.167
SYN3	-1.25375
SLC22A2	-1.3245
SERPINF1	0.311
WDR34	-0.25775
OR7A17	0.5755
C9orf11	-0.1415
RNF216L	-0.39
LHB	-0.217
STK25	-0.708625
TAOK3	0.21875
LOC152573	-0.90225
C3orf39	0.84275
C14orf108	0.2778
CDC25B	-0.663454545454545
BMP3	0.2935
TMEM180	0.289
MAP1LC3C	0.82325
CRYGC	-1.007
POU3F1	-0.6408
C20orf32	-1.7015
CCDC95	0.223
HIGD1B	4.52175
USP6NL	1.246375
ABCD4	-0.256333333333333
DIMT1L	0.0941666666666667
TEK	1.420625
SLC25A46	-0.5265
LARP7	-1.093
CD160	1.8848
MT1JP	0.640833333333333
PHF20	-0.362875
CPNE4	-1.04075
GTPBP1	-0.742642857142857
RAB33B	0.925666666666667
ALDOC	-2.342875
ZNF212	0.02
NUDT1	-0.611666666666667
RFPL2	-0.21775
ZNF83	0.254666666666667
GDPD5	-0.930625
PDCD4	1.1653
CEP350	-0.0005
OR10A2	0.0455
CST7	2.47225
CIAO1	-0.49875
SELL	3.105875
OR8J3	-0.41
LTBP4	0.0596666666666667
SIRT6	-0.46125
CCL19	4.1975
PPIL1	-0.814
GBP7	0.178833333333333
STK17A	-0.5437
ABR	-0.15675
OR9G1	-0.264
FOXE1	-0.764375
CNGA3	-0.1285
GML	0.434
CD38	0.45375
ZDHHC6	0.219166666666667
NEFH	-2.32125
CTDSP2	0.227833333333333
PGBD5	-0.537166666666667
CCNY	0.986714285714286
RMND5B	-0.28725
ZNF257	-2.92725
FLJ22167	0.765125
EXOSC7	0.0406666666666667
ROR2	1.901
MAOA	-1.257
TNNT3	0.605666666666667
GYPC	0.66675
C7orf33	2.2335
PLIN	2.86683333333333
LOC90826	0.08775
RNF4	1.5713
F8A1	0.684333333333333
PLEKHG4	-0.01425
GRB2	-0.0119
HIST1H2AD	-0.16625
