Hybridization REF	TCGA-A7-A13E-11A-61R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.00258333333333334
CREB3L1	0.41375
RPS11	0.233375
PNMA1	1.03725
MMP2	1.00216666666667
C10orf90	0.72525
ZHX3	0.0856666666666667
ERCC5	0.60725
GPR98	-0.64075
RXFP3	0.0075
APBB2	1.5605
PRO0478	-1.00075
KLHL13	0.924
PRSSL1	-0.136
PDCL3	-0.0456666666666667
DECR1	0.85175
SALL1	-3.711
CADM4	0.1135
RPS18	0.00514285714285715
HNRPD	-0.471166666666667
CFHR5	0.2568
SLC10A7	0.10425
OR2K2	-0.608
LMAN1	-1.259125
SUHW1	-3.4085
CHD8	-0.1644
SUMO1	0.0412
GP1BA	0.7732
DDB1	-0.227833333333333
MYO9B	-0.5724
MMP7	4.541
CRNKL1	0.00362500000000004
C9orf45	-1.1815
XAB2	0.2735
RTN1	3.6155
KLHL14	0.29825
TBX10	-1.5765
CENPQ	-1.77575
UTY	-1.34435714285714
ZBTB12	-0.286
DTNBP1	-0.251875
KBTBD8	-0.964166666666667
ZEB1	1.31283333333333
ZG16	-0.81075
MIER1	0.2231
ADAM5P	-0.0515
CHD9	0.437875
STK16	-0.571
KIAA1486	-1.0315
TOB2	1.40183333333333
BANK1	5.573
OR2V2	-0.13925
GRM2	0.139333333333333
PROSC	0.38175
SPIN2B	0.577
PIR	-0.394333333333333
IPO9	-0.8908
EVC	0.850833333333333
CXCL13	0.962166666666667
KIAA1199	-1.6667
SORL1	0.61025
NAT10	-1.13675
CHD1	-0.66975
SYN3	0.71825
SLC22A2	-0.52075
SERPINF1	3.0095
WDR34	-1.80425
OR7A17	-0.35025
C9orf11	1.261
RNF216L	-0.4929
LHB	-0.255
STK25	-0.342625
TAOK3	0.800125
LOC152573	0.1005
C3orf39	0.346125
C14orf108	0.6504
CDC25B	-2
BMP3	0.4235
TMEM180	-0.1305
MAP1LC3C	3.25925
CRYGC	-0.543
POU3F1	-1.8441
C20orf32	-1.3015
CCDC95	-0.648
HIGD1B	4.597
USP6NL	-0.021625
ABCD4	0.438
DIMT1L	-0.373916666666667
TEK	3.12475
SLC25A46	0.0945
LARP7	-1.3035
CD160	1.96383333333333
MT1JP	1.14016666666667
PHF20	-0.5206875
CPNE4	-1.2805
GTPBP1	-0.647142857142857
RAB33B	1.40533333333333
ALDOC	1.346625
ZNF212	-0.6015
NUDT1	-1.2545
RFPL2	-0.7405
ZNF83	0.0875
GDPD5	1.968
PDCD4	1.67915
CEP350	-0.32125
OR10A2	-0.13575
CST7	0.9795
CIAO1	-0.7585
SELL	1.165875
OR8J3	0.0385
LTBP4	1.11083333333333
SIRT6	-0.62875
CCL19	4.51875
PPIL1	-1.09116666666667
GBP7	-0.0431666666666667
STK17A	-0.6358
ABR	0.2895
OR9G1	-0.176
FOXE1	-0.00362500000000007
CNGA3	0.9955
GML	-0.3765
CD38	-0.9615
ZDHHC6	0.0353333333333333
NEFH	-2.1425
CTDSP2	1.17233333333333
PGBD5	-2.06433333333333
CCNY	0.680857142857143
RMND5B	0.41625
ZNF257	-2.264
FLJ22167	-0.31375
EXOSC7	-0.618666666666667
ROR2	0.433875
MAOA	4.285625
TNNT3	4.01933333333333
GYPC	1.409
C7orf33	2.0005
PLIN	4.76416666666667
LOC90826	0.27325
RNF4	-0.3909
F8A1	0.885666666666667
PLEKHG4	-2.045
GRB2	-0.0737
HIST1H2AD	-1.33425
DUS3L	-1.02033333333333
EIF1	0.4965
RP5-1077B9.4	-1.027
FPGT	1.30675
GDF10	4.43166666666667
COQ9	0.0765
GCC2	0.0106428571428572
RARRES3	1.92225
PLXNA1	-0.235
KIAA0100	0.1397
PMF1	-0.10275
FNDC1	5.16175
HS2ST1	-0.089
CRELD2	0.15025
C8G	-2.494
CD82	0.5965
LIM2	-0.9345
UNQ6490	0.0705
MMP16	0.2935
DRD3	0.53625
C5orf26	-0.5205
C11orf73	-0.018875
PTP4A2	0.500625
OR4M2	1.104
HPCA	-1.18033333333333
SEC14L1	0.194333333333333
CHFR	-0.46325
EMILIN1	1.030625
NDUFS4	0.399
COL18A1	0.30675
PDZD3	0.558
C9orf16	0.389166666666667
ERBB2IP	-0.238833333333333
EMX2	5.07125
FUS	-1.6425
TF	-1.6741
CLCN4	1.62283333333333
CXorf56	0.515
C11orf72	0.2055
ELAC2	-0.303583333333333
NPR1	2.73
ASS1	-0.0531666666666667
USP42	-0.44875
POLR2J	-0.7315
SEC23IP	0.459
UQCRC1	-0.14575
LOC729603	-0.65375
C1orf71	-0.551
POLG	-3.741
ADAM23	-2.85775
TFR2	-0.97225
RICTOR	-0.9756
MGC39606	1.59925
C19orf55	-0.173375
SNAPC1	-1.13566666666667
GNA11	0.781375
CCDC52	-0.758833333333333
FSIP1	1.5985
UPF3A	-0.22325
IGSF11	-2.98116666666667
LAGE3	-1.07575
CHST6	-2.948
UNC13B	0.770625
TTLL4	-1.88725
ZNF687	-0.0545
SDC2	1.0996
COX7A2	-0.36375
LAMB4	-0.2655
FAM24A	1.1215
LRRTM3	-0.615833333333333
GPHB5	0.057
OR4C13	-0.778
EIF3EIP	0.222071428571429
HABP4	0.9475
TMEM125	1.65775
CNTN2	0.81225
ASNSD1	0.16275
FUT4	0.144125
ACF	-4.444
LOC158381	0.877
CDH8	0.1265
AGPS	-0.535166666666667
C4orf18	4.425
PECI	0.542916666666667
UNG	-0.63675
GSTP1	0.116625
DCUN1D5	-1.49833333333333
DKFZP564J0863	-1.33675
SLC9A3R1	-0.4245
BCDO2	0.221875
CHMP7	0.3195
REM2	0.4155
DNHD1	-0.216
FKBP4	-1.49475
ZNF350	1.3575
MGC11102	-0.467
BST1	2.9725
KISS1R	-0.566
NCR2	0.554
DEFB125	-0.7865
UBE2W	0.52875
KRT15	2.9835
C10orf99	0.059
SCN11A	1.10425
GFI1	-2.7095
RDHE2	0.8705
FHL1	4.4305
OSGEP	-0.2815
GATA1	-3.315
SMC6	-1.709
TTTY14	-1.0795
LPIN3	0.518
RPL4	-0.3859
RBPMS	1.2844
PRPF3	-0.527333333333333
EMR1	-1.8875
SPATA19	0.297
XCR1	-0.343
IRX3	0.711
RBM6	-0.48575
KLF4	1.7513
UNC5CL	-1.56275
SEBOX	0.3195
BTK	-0.13525
KRCC1	1.43175
C6orf27	0.153
SYTL5	-1.237
PRND	3.484375
LOC653319	-1.6035
PIGL	-1.344
HUS1	-0.3105
SFRS6	-0.445666666666667
C17orf77	0.197
UIMC1	-0.332333333333333
FXYD2	-0.8806
LOC283152	1.0795
ZNF667	-0.278
ZCCHC12	-0.53825
TFEC	3.1881
ATP7B	-0.481666666666667
POLD2	-1.5895
RG9MTD1	-0.60175
ACOT2	1.50933333333333
HIST1H4I	-1.86475
PPARGC1A	-1.1999
ETFA	-0.354
POLRMT	-0.6085
ZNF146	-0.56675
MIA2	-0.1165
KLHL6	-0.9575
HOXB5	-0.189875
NENF	0.552833333333333
CUGBP1	-1.2405
PRSS22	0.0928333333333333
CASC4	1.4178
CUL4B	0.238
CENPJ	-2.1146
PITX1	-2.41066666666667
FLJ31033	0.674333333333333
CELSR3	-2.75166666666667
ZNF568	1.177
ITSN1	1.50075
EHBP1L1	-0.618
C19orf2	-0.4035
DCTN1	0.1505
LIN28B	-4.3826
TNKS2	0.0555
C1QBP	-1.394625
CADPS2	1.4725
SRMS	-0.32725
GJA9	-0.0516666666666667
MGC24975	-1.73983333333333
TRIM45	-1.437
TSP50	-0.08375
TCP1	-0.96675
TMED7	0.1222
CMA1	2.7185
CENPL	-2.81933333333333
PTCRA	0.2785
FST	-3.12625
VWCE	-1.49
PAWR	-1.31675
ABCC12	0.182333333333333
LDLR	-1.1713
ASTN2	0.5144
LOC441212	-0.645
GPATCH8	0.515
TANC2	-0.877
KIF4A	-4.18175
C18orf18	0.2635
PGM1	1.01
KIAA0258	-0.0515
CPD	0.8565
SNCAIP	0.70375
DCT	-4.7925
HLA-DOA	2.31727272727273
OR11L1	0.2905
UPK1B	-0.3482
DNAJB4	1.854125
UGT1A8	1.09725
HIST1H4L	-1.789
PECR	0.632833333333333
HSPA2	1.47375
WFIKKN1	-3.5075
SERP1	0.70375
SYDE2	-0.019
TACR2	0.0545
NUP85	-0.80925
CD177	-1.10066666666667
LGR5	-1.78716666666667
PIGG	-0.24925
PTHR1	1.9985
RAB5A	0.6743
FLJ13224	0.607
USP9Y	-2.16616666666667
C7orf53	-0.5625
LRP1B	2.85325
XAF1	1.3761
ABCG8	-0.3075
ANKDD1A	1.30666666666667
DAND5	-0.3955
SPAG6	1.52733333333333
LINCR	0.05825
ZDHHC22	-1.07025
CCDC60	-0.2205
THOC7	-1.17533333333333
TCTA	1.4134
