Hybridization REF	TCGA-BH-A0BZ-11A-61R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.127916666666667
CREB3L1	-0.288
RPS11	0.55975
PNMA1	0.80775
MMP2	0.99
C10orf90	0.70325
ZHX3	0.237333333333333
ERCC5	0.40775
GPR98	-0.26125
RXFP3	0.097
APBB2	1.33775
PRO0478	-0.912125
KLHL13	0.71375
PRSSL1	-0.248166666666667
PDCL3	0.0123333333333333
DECR1	0.675375
SALL1	-2.67633333333333
CADM4	0.357333333333333
RPS18	-0.229714285714286
HNRPD	-0.412666666666667
CFHR5	0.5682
SLC10A7	0.063125
OR2K2	1.123
LMAN1	-1.552875
SUHW1	-4.20675
CHD8	-0.1913
SUMO1	0.1003
GP1BA	1.2413
DDB1	-0.515
MYO9B	-0.5226
MMP7	7.079
CRNKL1	0.11425
C9orf45	-1.07833333333333
XAB2	0.043625
RTN1	3.14225
KLHL14	-0.163625
TBX10	-1.532
CENPQ	-1.484
UTY	-1.62616666666667
ZBTB12	-0.5845
DTNBP1	0.15175
KBTBD8	-0.941666666666667
ZEB1	0.85
ZG16	-0.5065
MIER1	0.1803
ADAM5P	-0.4955
CHD9	0.00468750000000002
STK16	0.542
KIAA1486	-0.1475
TOB2	1.01333333333333
BANK1	5.48975
OR2V2	-0.02125
GRM2	0.108833333333333
PROSC	0.280375
SPIN2B	0.52275
PIR	-0.758
IPO9	-1.3885
EVC	0.801166666666667
CXCL13	0.3115
KIAA1199	-3.1957
SORL1	1.17
NAT10	-1.10225
CHD1	-0.83425
SYN3	-0.4565
SLC22A2	-0.85525
SERPINF1	2.58616666666667
WDR34	-1.45125
OR7A17	0.62575
C9orf11	0.015
RNF216L	-0.4912
LHB	-0.089
STK25	-0.442875
TAOK3	0.94175
LOC152573	0.4435
C3orf39	0.656
C14orf108	0.3799
CDC25B	-1.95945454545455
BMP3	1.656
TMEM180	-0.02
MAP1LC3C	3.8385
CRYGC	-1.468
POU3F1	-1.6435
C20orf32	-1.7155
CCDC95	-0.7905
HIGD1B	4.87
USP6NL	-0.286375
ABCD4	0.489666666666667
DIMT1L	-0.5375
TEK	2.794625
SLC25A46	0.01525
LARP7	-1.398
CD160	1.58283333333333
MT1JP	0.431833333333333
PHF20	-0.5300625
CPNE4	-2.17175
GTPBP1	-0.523214285714286
RAB33B	1.27166666666667
ALDOC	0.07075
ZNF212	-0.3945
NUDT1	-1.566
RFPL2	-0.58725
ZNF83	-0.123833333333333
GDPD5	1.63875
PDCD4	1.85895
CEP350	-0.35
OR10A2	-0.1905
CST7	0.38075
CIAO1	-0.81675
SELL	0.511125
OR8J3	2.1565
LTBP4	0.949666666666667
SIRT6	-0.395
CCL19	5.3205
PPIL1	-1.09033333333333
GBP7	0.290333333333333
STK17A	-0.4048
ABR	0.76725
OR9G1	-0.317
FOXE1	-0.642
CNGA3	-0.2095
GML	0.4325
CD38	-2.01525
ZDHHC6	0.2185
NEFH	-2.60725
CTDSP2	1.23891666666667
PGBD5	-1.3535
CCNY	0.556
RMND5B	0.3005
ZNF257	-2.31175
FLJ22167	-0.199375
EXOSC7	-0.320333333333333
ROR2	0.642875
MAOA	4.481125
TNNT3	4.64733333333333
GYPC	1.04675
C7orf33	0.535
PLIN	5.30016666666667
LOC90826	0.1455
RNF4	-0.6738
