Hybridization REF	TCGA-AR-A1AI-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.677333333333333
CREB3L1	0.18775
RPS11	0.543875
PNMA1	-0.7775
MMP2	-0.348666666666667
C10orf90	-2.28525
ZHX3	-0.596666666666667
ERCC5	-0.74475
GPR98	-2.3285
RXFP3	-0.033
APBB2	-0.886
PRO0478	-1.158875
KLHL13	-1.3795
PRSSL1	-1.1065
PDCL3	0.141166666666667
DECR1	-0.0855
SALL1	-5.19666666666667
CADM4	1.58683333333333
RPS18	0.429357142857143
HNRPD	-0.5685
CFHR5	0.1832
SLC10A7	0.126875
OR2K2	-1.259
LMAN1	0.4655
SUHW1	-1.67925
CHD8	-0.39
SUMO1	0.7003
GP1BA	1.8962
DDB1	0.657
MYO9B	0.46
MMP7	6.44775
CRNKL1	1.381
C9orf45	-1.535
XAB2	1.030125
RTN1	2.164125
KLHL14	-2.463375
TBX10	-1.5635
CENPQ	-0.4135
UTY	-1.63615384615385
ZBTB12	-0.2035
DTNBP1	-0.39925
KBTBD8	0.151666666666667
ZEB1	-2.1
ZG16	-1.34675
MIER1	0.771
ADAM5P	0.629
CHD9	0.018875
STK16	0.2885
KIAA1486	-2.063
TOB2	0.96125
BANK1	4.26925
OR2V2	0.07775
GRM2	0.341333333333333
PROSC	0.6175
SPIN2B	0.207
PIR	-0.672
IPO9	0.0887
EVC	-0.739833333333333
CXCL13	7.46766666666667
KIAA1199	-1.86111111111111
SORL1	0.4295
NAT10	1.03875
CHD1	-1.0405
SYN3	-0.98775
SLC22A2	-0.505
SERPINF1	-0.756
WDR34	-0.92
OR7A17	-0.355
C9orf11	-0.1825
RNF216L	-0.602
LHB	0.101
STK25	1.15975
TAOK3	0.72175
LOC152573	-3.41425
C3orf39	0.25075
C14orf108	0.3154
CDC25B	-0.852454545454545
BMP3	-0.6655
TMEM180	0.509
MAP1LC3C	0.33575
CRYGC	-1.497
POU3F1	-1.2291
C20orf32	-2.212
CCDC95	0.0195
HIGD1B	3.44
USP6NL	1.655625
ABCD4	-1.2535
DIMT1L	-1.23491666666667
TEK	0.00612499999999996
SLC25A46	-2.004
LARP7	-1.0941
CD160	1.9645
MT1JP	0.793833333333334
PHF20	-0.1111875
CPNE4	-2.04925
GTPBP1	0.0781428571428571
RAB33B	0.429666666666667
ALDOC	-1.116125
ZNF212	0.035
NUDT1	-0.363666666666667
RFPL2	-2.503
ZNF83	-1.22033333333333
GDPD5	-1.221375
PDCD4	0.68125
CEP350	-0.06025
OR10A2	0.801333333333333
CST7	3.061
CIAO1	-0.13825
SELL	2.655
OR8J3	-0.4045
LTBP4	0.0836666666666667
SIRT6	0.4475
CCL19	4.29925
PPIL1	0.8445
GBP7	0.0753333333333333
STK17A	-0.512
ABR	-0.66925
OR9G1	-0.109
FOXE1	-1.089125
CNGA3	-1.715
GML	0.606
CD38	1.6885
ZDHHC6	0.517833333333333
NEFH	0.56875
CTDSP2	0.088
PGBD5	1.50716666666667
CCNY	1.55071428571429
RMND5B	-0.00908333333333333
ZNF257	-4.44425
FLJ22167	-0.719625
EXOSC7	-0.9585
ROR2	1.1415
MAOA	0.894875
TNNT3	0.225166666666667
GYPC	-1.301
C7orf33	2.4825
PLIN	-0.542166666666667
LOC90826	0.33
RNF4	-1.0423
F8A1	0.238333333333333
PLEKHG4	-2.5455
GRB2	0.2656
HIST1H2AD	-0.1095
DUS3L	-0.0466666666666667
EIF1	-0.692666666666667
RP5-1077B9.4	0.480166666666667
FPGT	1.87275
GDF10	1.9845
COQ9	-0.4245
GCC2	-0.414071428571429
RARRES3	2.563125
PLXNA1	0.1331
KIAA0100	-0.4207
PMF1	0.978
FNDC1	5.32275
HS2ST1	0.32825
CRELD2	1.00525
C8G	0.408
