Hybridization REF	TCGA-AR-A1AS-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.785583333333333
CREB3L1	1.1935
RPS11	0.314375
PNMA1	0.4135
MMP2	1.01033333333333
C10orf90	-1.56675
ZHX3	-0.0328333333333333
ERCC5	0.2005
GPR98	-2.331125
RXFP3	0.357
APBB2	0.6015
PRO0478	-0.882
KLHL13	-4.86875
PRSSL1	-0.343
PDCL3	0.1115
DECR1	0.161125
SALL1	-3.254
CADM4	1.806
RPS18	-0.132785714285714
HNRPD	-0.91
CFHR5	0.0666666666666667
SLC10A7	0.149
OR2K2	0.662
LMAN1	-0.671875
SUHW1	-3.655
CHD8	0.0782
SUMO1	0.3342
GP1BA	-0.8474
DDB1	-0.275833333333333
MYO9B	0.2399
MMP7	3.695
CRNKL1	0.060125
C9orf45	-2.285
XAB2	0.55175
RTN1	0.637625
KLHL14	-2.93642857142857
TBX10	-2.034
CENPQ	-1.26
UTY	-2.12638461538462
ZBTB12	0.4695
DTNBP1	-0.70625
KBTBD8	-2.2985
ZEB1	0.384833333333333
ZG16	-2.5095
MIER1	0.3698
ADAM5P	null
CHD9	-0.213125
STK16	1.093
KIAA1486	-0.7565
TOB2	1.57558333333333
BANK1	1.7315
OR2V2	0.134
GRM2	0.8
PROSC	0.151375
SPIN2B	-0.63425
PIR	-2.987
IPO9	0.0157
EVC	0.558666666666667
CXCL13	1.6195
KIAA1199	-0.2403
SORL1	0.54
NAT10	0.1885
CHD1	-1.24775
SYN3	-0.731
SLC22A2	-1.2015
SERPINF1	0.727166666666667
WDR34	0.007
OR7A17	0.55125
C9orf11	-0.369
RNF216L	-0.8129
LHB	-0.078
STK25	0.600625
TAOK3	0.58775
LOC152573	-3.80525
C3orf39	0.7695
C14orf108	-0.2063
CDC25B	-1.56390909090909
BMP3	0.0165
TMEM180	0.0505
MAP1LC3C	-0.6705
CRYGC	-1.025
POU3F1	-1.159
C20orf32	-1.946
CCDC95	0.4775
HIGD1B	3.8195
USP6NL	-0.804375
ABCD4	-0.8695
DIMT1L	-0.98075
TEK	-0.24375
SLC25A46	-0.72075
LARP7	-1.4149
CD160	-0.8364
MT1JP	-1.17033333333333
PHF20	0.079
CPNE4	-2.97125
GTPBP1	-0.000285714285714262
RAB33B	0.776
ALDOC	-2.71725
ZNF212	-0.64125
NUDT1	-1.23133333333333
RFPL2	-4.03725
ZNF83	-0.5645
GDPD5	-0.768375
PDCD4	1.00445
CEP350	-0.378
OR10A2	0.53625
CST7	-0.78725
CIAO1	-0.94275
SELL	-0.2325
OR8J3	-0.1945
LTBP4	-0.162166666666667
SIRT6	0.658
CCL19	0.215
PPIL1	-1.75133333333333
GBP7	0.2092
STK17A	-1.1995
ABR	-0.964
OR9G1	-0.048
FOXE1	-0.5245
CNGA3	-0.618
GML	0.5935
CD38	-5.2805
ZDHHC6	0.202666666666667
NEFH	-3.4095
CTDSP2	1.23516666666667
PGBD5	-0.044
