Hybridization REF	TCGA-BH-A0AZ-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.694333333333333
CREB3L1	1.7905
RPS11	0.762125
PNMA1	-0.3725
MMP2	2.1515
C10orf90	-1.978
ZHX3	0.0435
ERCC5	0.67575
GPR98	0.636375
RXFP3	0.4565
APBB2	1.626
PRO0478	-1.022875
KLHL13	-1.0515
PRSSL1	-0.0963333333333333
PDCL3	0.411166666666667
DECR1	0.062375
SALL1	-1.6445
CADM4	0.815833333333333
RPS18	0.0590714285714286
HNRPD	-0.756833333333333
CFHR5	-0.128666666666667
SLC10A7	0.171625
OR2K2	-0.201
LMAN1	-1.237625
SUHW1	-2.59225
CHD8	-0.0443
SUMO1	0.3416
GP1BA	0.4482
DDB1	0.112166666666667
MYO9B	0.2361
MMP7	6.4855
CRNKL1	0.2175
C9orf45	-1.80816666666667
XAB2	0.282875
RTN1	1.40075
KLHL14	-1.5085
TBX10	-2.096
CENPQ	-2.0425
UTY	-1.32523076923077
ZBTB12	0.6935
DTNBP1	-0.410625
KBTBD8	-1.698
ZEB1	1.14216666666667
ZG16	-1.4295
MIER1	0.5046
ADAM5P	0.569
CHD9	0.160875
STK16	0.386
KIAA1486	-0.8935
TOB2	0.82925
BANK1	2.611
OR2V2	0.69825
GRM2	0.196166666666667
PROSC	0.259125
SPIN2B	-0.542
PIR	-2.37244444444444
IPO9	0.016
EVC	1.96316666666667
CXCL13	3.12866666666667
KIAA1199	0.3851
SORL1	1.03525
NAT10	-0.125
CHD1	-0.683
SYN3	-0.09075
SLC22A2	-0.37925
SERPINF1	2.792
WDR34	0.0025
OR7A17	0.1685
C9orf11	0.7475
RNF216L	-0.2285
LHB	-0.1855
STK25	0.596125
TAOK3	0.13425
LOC152573	-3.30875
C3orf39	1.301625
C14orf108	0.2943
CDC25B	-1.39709090909091
BMP3	0.147
TMEM180	0.5225
MAP1LC3C	1.30975
CRYGC	-2.209
POU3F1	-1.06833333333333
C20orf32	-1.3495
CCDC95	-0.1505
HIGD1B	4.62375
USP6NL	-0.817
ABCD4	-1.16466666666667
DIMT1L	-0.895833333333333
TEK	1.445125
SLC25A46	-0.48025
LARP7	-1.6102
CD160	0.236833333333333
MT1JP	0.125666666666667
PHF20	-0.1656875
CPNE4	-2.04766666666667
GTPBP1	-0.0960714285714286
RAB33B	0.8855
ALDOC	-1.878625
ZNF212	-0.89075
NUDT1	-0.888
RFPL2	-0.03
ZNF83	-0.824
GDPD5	0.807875
PDCD4	1.1844
CEP350	-0.15175
OR10A2	-0.33425
CST7	1.404
CIAO1	-1.03325
SELL	1.053125
OR8J3	-0.944
LTBP4	0.774166666666667
SIRT6	0.49175
CCL19	3.11425
PPIL1	-0.970166666666667
GBP7	-0.248
STK17A	-0.4503
ABR	-0.1935
OR9G1	0.711
FOXE1	-0.63325
CNGA3	0.415
GML	0.557
CD38	-2.65275
ZDHHC6	0.108
NEFH	-0.4945
CTDSP2	1.16191666666667
PGBD5	-0.062
CCNY	0.563357142857143
RMND5B	1.39991666666667
ZNF257	-2.71975
FLJ22167	-0.3385
EXOSC7	-0.417333333333333
ROR2	2.35475
MAOA	0.36025
TNNT3	1.4525
GYPC	-0.12725
C7orf33	2.132
PLIN	4.06833333333333
LOC90826	-0.63825
RNF4	-1.1666
F8A1	0.168666666666667
PLEKHG4	-0.7515
GRB2	0.44375
HIST1H2AD	1.04075
DUS3L	-0.604166666666667
EIF1	-0.0943333333333333
RP5-1077B9.4	0.05
FPGT	0.90725
GDF10	0.7135
COQ9	0.1135
GCC2	-0.474571428571429
RARRES3	2.493375
PLXNA1	-0.2806
KIAA0100	-1.1288
PMF1	0.6635
FNDC1	5.491
HS2ST1	0.594666666666667
CRELD2	1.6565
C8G	-2.6135
CD82	0.91175
LIM2	-0.694
UNQ6490	-0.034
MMP16	1.08125
DRD3	0.233
C5orf26	-0.2835
C11orf73	-1.08
PTP4A2	1.283375
OR4M2	-0.239
HPCA	-0.123833333333333
SEC14L1	-0.233333333333333
CHFR	-0.4555
EMILIN1	1.690125
NDUFS4	-0.2075
COL18A1	2.0705
PDZD3	-0.506777777777778
C9orf16	0.7615
ERBB2IP	0.730833333333333
EMX2	4.95125
FUS	-0.444
TF	-3.1549
CLCN4	-0.263
CXorf56	0.15
C11orf72	0.27925
ELAC2	-0.0360833333333333
NPR1	0.6425
ASS1	-1.012
USP42	0.29575
POLR2J	-1.2705
SEC23IP	0.599166666666667
UQCRC1	-0.097
LOC729603	0.00225
C1orf71	-0.69125
POLG	-0.4485
ADAM23	-2.8265
TFR2	-0.93075
RICTOR	-0.8809
MGC39606	1.16
C19orf55	-0.515
SNAPC1	-1.69733333333333
GNA11	1.227875
CCDC52	-0.8645
FSIP1	4.346
UPF3A	-0.273125
IGSF11	-1.84833333333333
