Hybridization REF	TCGA-BH-A0DG-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.303416666666667
CREB3L1	1.99125
RPS11	0.5985
PNMA1	0.4825
MMP2	1.14
C10orf90	-1.7285
ZHX3	-0.306333333333333
ERCC5	0.38425
GPR98	-1.628375
RXFP3	0.4145
APBB2	2.2525
PRO0478	-0.793125
KLHL13	1.57025
PRSSL1	-0.7835
PDCL3	0.487333333333333
DECR1	0.1115
SALL1	-1.97016666666667
CADM4	1.04666666666667
RPS18	0.301357142857143
HNRPD	-0.88175
CFHR5	0.9872
SLC10A7	0.274125
OR2K2	-0.864
LMAN1	-0.168
SUHW1	-3.4615
CHD8	0.3678
SUMO1	0.4517
GP1BA	2.0177
DDB1	-0.426166666666667
MYO9B	-0.1447
MMP7	6.497
CRNKL1	0.84925
C9orf45	-1.7335
XAB2	0.22425
RTN1	1.546
KLHL14	-1.131625
TBX10	-1.23
CENPQ	-1.93275
UTY	-1.85438461538462
ZBTB12	-0.163
DTNBP1	0.2165
KBTBD8	-0.426
ZEB1	0.417666666666667
ZG16	0.47925
MIER1	-0.1474
ADAM5P	-1.5505
CHD9	0.106125
STK16	-0.17225
KIAA1486	-0.5935
TOB2	1.60141666666667
BANK1	4.213
OR2V2	0.082
GRM2	-0.182833333333333
PROSC	-0.64575
SPIN2B	0.06775
PIR	-1.43244444444444
IPO9	-0.4679
EVC	1.69166666666667
CXCL13	5.776
KIAA1199	-0.1403
SORL1	0.64875
NAT10	-0.50025
CHD1	-0.53025
SYN3	-0.17225
SLC22A2	-0.2015
SERPINF1	1.87683333333333
WDR34	0.2055
OR7A17	0.23075
C9orf11	0.1745
RNF216L	-0.2851
LHB	-0.193
STK25	-0.429625
TAOK3	0.347875
LOC152573	-3.19425
C3orf39	0.237625
C14orf108	0.4978
CDC25B	-1.13472727272727
BMP3	-0.281
TMEM180	0.0285
MAP1LC3C	1.19625
CRYGC	-0.7625
POU3F1	-1.5474
C20orf32	-2.102
CCDC95	-0.511
HIGD1B	4.59075
USP6NL	-0.486625
ABCD4	-0.131666666666667
DIMT1L	-0.765833333333333
TEK	1.71625
SLC25A46	-0.22325
LARP7	-1.2813
CD160	0.8235
MT1JP	-0.273166666666667
PHF20	-0.4134375
CPNE4	-1.0885
GTPBP1	-0.292571428571429
RAB33B	1.237
ALDOC	-2.743
ZNF212	-0.63025
NUDT1	-0.750166666666667
RFPL2	-0.8335
ZNF83	-0.332333333333333
GDPD5	1.98075
PDCD4	1.08395
CEP350	0.1245
OR10A2	0.27625
CST7	1.5305
CIAO1	-0.4555
SELL	2.234875
OR8J3	0.6805
LTBP4	-0.178833333333333
