Hybridization REF	TCGA-BH-A18K-11A-13R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0358333333333333
CREB3L1	0.11375
RPS11	0.913
PNMA1	-0.15675
MMP2	1.13683333333333
C10orf90	0.212
ZHX3	0.112166666666667
ERCC5	0.44075
GPR98	-0.023375
RXFP3	0.507
APBB2	1.3095
PRO0478	-0.585875
KLHL13	2.44775
PRSSL1	-0.8255
PDCL3	-0.1775
DECR1	0.569625
SALL1	-4.21933333333333
CADM4	-0.0651666666666667
RPS18	0.272142857142857
HNRPD	-0.556583333333333
CFHR5	0.3576
SLC10A7	0.15075
OR2K2	0.1935
LMAN1	-1.45225
SUHW1	-3.66225
CHD8	-0.0054
SUMO1	-0.2508
GP1BA	0.3882
DDB1	-0.140333333333333
MYO9B	-0.6737
MMP7	6.317
CRNKL1	0.394625
C9orf45	-0.346666666666667
XAB2	0.570375
RTN1	2.4755
KLHL14	-0.362375
TBX10	-0.946
CENPQ	-1.383
UTY	-1.45723076923077
ZBTB12	-0.0485
DTNBP1	-0.192125
KBTBD8	-2.25366666666667
ZEB1	-1.969
ZG16	-0.65775
MIER1	-0.6805
ADAM5P	0.7875
CHD9	-0.040625
STK16	0.86725
KIAA1486	0.0975
TOB2	0.2155
BANK1	4.38225
OR2V2	0.1575
GRM2	0.2045
PROSC	0.24925
SPIN2B	0.462
PIR	-1.61988888888889
IPO9	-0.9699
EVC	1.20883333333333
CXCL13	5.19833333333333
KIAA1199	-3.5481
SORL1	0.88725
NAT10	-1.0145
CHD1	-0.8465
SYN3	-0.34925
SLC22A2	-0.0845
SERPINF1	2.00383333333333
WDR34	-1.0715
OR7A17	0.0765
C9orf11	-0.7035
RNF216L	-0.7995
LHB	-0.118
STK25	-0.25175
TAOK3	0.662
LOC152573	-2.05775
C3orf39	0.326375
C14orf108	0.7468
CDC25B	-2.16627272727273
BMP3	0.294
TMEM180	-0.2315
MAP1LC3C	3.04925
CRYGC	-0.5875
POU3F1	-1.4627
C20orf32	-1.7305
CCDC95	-0.1135
HIGD1B	4.52025
USP6NL	0.483625
ABCD4	0.252333333333333
DIMT1L	-0.29325
TEK	1.51025
SLC25A46	-0.53125
LARP7	-1.466
CD160	1.11033333333333
MT1JP	0.993
PHF20	-0.3411875
CPNE4	-1.18775
GTPBP1	-0.2715
RAB33B	1.33033333333333
ALDOC	-0.4795
ZNF212	0.02925
NUDT1	-1.38783333333333
RFPL2	-0.58075
ZNF83	0.971666666666667
GDPD5	0.2745
PDCD4	2.09915
CEP350	0.09375
OR10A2	0.22925
CST7	-0.17375
CIAO1	-0.93425
SELL	0.175625
OR8J3	1.486
LTBP4	0.860166666666667
SIRT6	-0.28825
CCL19	3.4465
PPIL1	-1.68633333333333
GBP7	-0.112
STK17A	-1.1582
ABR	0.5845
OR9G1	0.13
FOXE1	-0.02825
CNGA3	-1.574
GML	0.167
CD38	-1.76125
ZDHHC6	0.238666666666667
NEFH	-1.452
CTDSP2	1.4485
PGBD5	-2.0365
CCNY	-0.107142857142857
RMND5B	0.332083333333333
ZNF257	-2.64425
FLJ22167	-0.076875
EXOSC7	-0.3475
ROR2	0.248375
MAOA	3.57325
TNNT3	2.92233333333333
GYPC	0.91925
C7orf33	0.2645
PLIN	4.3215
LOC90826	0.28075
RNF4	-0.3541
F8A1	0.722166666666667
PLEKHG4	-0.55475
GRB2	-0.8649
HIST1H2AD	-0.2165
DUS3L	-0.491
EIF1	-0.0263333333333333
RP5-1077B9.4	-0.863666666666667
FPGT	0.959
GDF10	3.77333333333333
COQ9	0.61
GCC2	-0.211428571428571
RARRES3	2.257875
PLXNA1	-0.2658
KIAA0100	-0.1508
PMF1	-0.12875
FNDC1	2.68575
HS2ST1	-0.560583333333333
CRELD2	-0.226
C8G	-1.3615
CD82	0.6195
LIM2	-1.126
UNQ6490	0.0805
MMP16	0.06675
DRD3	-0.265
C5orf26	0.667
C11orf73	-0.195875
PTP4A2	-0.583875
OR4M2	-0.0875
HPCA	-1.53766666666667
SEC14L1	-0.397833333333333
CHFR	-0.756625
EMILIN1	0.833625
NDUFS4	0.3425
COL18A1	0.010625
PDZD3	-0.1185
C9orf16	0.406166666666667
ERBB2IP	-0.217833333333333
EMX2	3.79825
FUS	-1.35225
TF	-1.1404
CLCN4	0.594833333333333
CXorf56	0.367
C11orf72	0.65075
ELAC2	-0.503583333333333
NPR1	2.31825
ASS1	-0.0901666666666667
USP42	-0.51575
POLR2J	-0.346
SEC23IP	-0.0628333333333333
UQCRC1	0.373
LOC729603	-0.3115
C1orf71	-1.189625
POLG	-3.088
ADAM23	-4.0035
TFR2	-1.6585
RICTOR	-0.1814
MGC39606	2.03425
C19orf55	-0.306875
SNAPC1	-1.65533333333333
GNA11	0.698
CCDC52	-0.4145
FSIP1	3.011
UPF3A	-0.111
IGSF11	-2.30866666666667
LAGE3	-1.0275
CHST6	-2.7525
UNC13B	0.481125
TTLL4	-0.914125
ZNF687	-0.6515
SDC2	0.5624
COX7A2	-0.66425
LAMB4	-0.7285
FAM24A	0.384
LRRTM3	-1.127
GPHB5	0.25275
OR4C13	-0.6025
EIF3EIP	1.16357142857143
HABP4	-0.0265
TMEM125	2.80425
CNTN2	0.76475
ASNSD1	0.08275
FUT4	-0.4785
ACF	-2.6505
LOC158381	0.719
CDH8	-0.59075
AGPS	-1.7845
C4orf18	3.3155
PECI	0.2745
UNG	-0.56425
GSTP1	0.375375
DCUN1D5	-1.39433333333333
DKFZP564J0863	-1.603
SLC9A3R1	0.0945
BCDO2	0.730625
CHMP7	0.1525
REM2	-0.249
DNHD1	-0.035375
FKBP4	-0.646
ZNF350	1.582
MGC11102	-0.42525
BST1	0.833
KISS1R	0.4845
NCR2	-0.048
DEFB125	0.4585
UBE2W	-0.061625
KRT15	4.346625
C10orf99	0.6225
SCN11A	0.843125
GFI1	-2.17725
RDHE2	1.13133333333333
FHL1	2.358
OSGEP	0.124833333333333
GATA1	-3.48366666666667
SMC6	-1.9765
TTTY14	-1.1395
LPIN3	0.21575
RPL4	0.2856
RBPMS	1.5273
PRPF3	-0.298333333333333
EMR1	-2.693
SPATA19	-0.33525
XCR1	0.748
IRX3	2.5199
RBM6	-0.1875
KLF4	0.1392
UNC5CL	-0.058
SEBOX	0.5875
BTK	-1.35625
KRCC1	1.7335
C6orf27	0.3645
SYTL5	-0.5385
PRND	1.678125
LOC653319	-0.799
PIGL	-1.604
HUS1	-0.502666666666667
SFRS6	0.50925
C17orf77	0.238
UIMC1	0.0321666666666667
FXYD2	-1.496
LOC283152	0.30525
ZNF667	0.05575
ZCCHC12	-0.42775
TFEC	1.3762
ATP7B	-0.473166666666667
POLD2	-0.960833333333333
RG9MTD1	-0.40025
ACOT2	1.99533333333333
HIST1H4I	-1.812375
PPARGC1A	-1.0666
ETFA	-0.3437
POLRMT	-0.47775
ZNF146	-0.520125
MIA2	-2.8915
KLHL6	-1.77366666666667
HOXB5	-0.632
NENF	0.671
CUGBP1	-1.06775
PRSS22	0.856
CASC4	0.1385
CUL4B	-0.1711
CENPJ	-2.0723
PITX1	-1.701
FLJ31033	0.455333333333333
CELSR3	-2.27716666666667
ZNF568	0.84675
ITSN1	-0.420166666666667
EHBP1L1	-0.667
C19orf2	-0.47825
DCTN1	0.4765
LIN28B	-4.64666666666667
TNKS2	0.35875
C1QBP	-0.556875
CADPS2	2.31475
SRMS	-0.0515
GJA9	0.331166666666667
MGC24975	-0.627333333333333
TRIM45	-0.435
TSP50	1.891
TCP1	-1.17825
TMED7	-0.6118
CMA1	1.8535
CENPL	-2.42916666666667
PTCRA	-0.686
FST	-2.902
VWCE	-2.676
PAWR	-0.906
ABCC12	1.29833333333333
LDLR	-2.9989
ASTN2	1.162
LOC441212	-0.56275
GPATCH8	0.066
TANC2	-0.986833333333333
KIF4A	-4.14575
C18orf18	-0.33125
PGM1	0.435
KIAA0258	0.20775
CPD	0.685125
SNCAIP	-0.16625
DCT	-3.404
HLA-DOA	2.26972727272727
OR11L1	0.657
UPK1B	-0.432
DNAJB4	0.90325
UGT1A8	-0.02425
HIST1H4L	-3.6455
PECR	0.757833333333333
HSPA2	1.47925
WFIKKN1	-1.4465
SERP1	0.739875
SYDE2	-0.06425
TACR2	1.5645
NUP85	-0.577
