Hybridization REF	TCGA-BH-A18U-11A-23R-A12D-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.307166666666667
CREB3L1	0.31525
RPS11	1.11425
PNMA1	0.10575
MMP2	0.959666666666667
C10orf90	0.556
ZHX3	0.0511666666666667
ERCC5	0.28975
GPR98	-0.295875
RXFP3	-0.288
APBB2	1.32025
PRO0478	-0.910625
KLHL13	2.31175
PRSSL1	-0.0526666666666667
PDCL3	0.3105
DECR1	0.31325
SALL1	-1.6495
CADM4	-0.0305
RPS18	0.558857142857143
HNRPD	-0.18675
CFHR5	0.338
SLC10A7	0.4185
OR2K2	0.953
LMAN1	-1.159125
SUHW1	-2.9785
CHD8	-0.1259
SUMO1	0.2321
GP1BA	0.4177
DDB1	-0.593166666666667
MYO9B	-1.047
MMP7	6.841
CRNKL1	0.367125
C9orf45	-0.690666666666667
XAB2	0.0455
RTN1	1.81675
KLHL14	0.175375
TBX10	-1.179
CENPQ	-0.8125
UTY	-0.748071428571428
ZBTB12	-0.4275
DTNBP1	0.25625
KBTBD8	-1.01633333333333
ZEB1	-1.25633333333333
ZG16	-1.33575
MIER1	0.1348
ADAM5P	0.088
CHD9	0.264125
STK16	-0.2525
KIAA1486	-0.313
TOB2	0.4195
BANK1	3.612
OR2V2	-0.002
GRM2	0.110833333333333
PROSC	-0.05025
SPIN2B	0.48125
PIR	-1.403
IPO9	-1.2562
EVC	0.903833333333333
CXCL13	0.9775
KIAA1199	-2.8991
SORL1	1.4075
NAT10	-1.26575
CHD1	0.14725
SYN3	0.038
SLC22A2	-0.3565
SERPINF1	1.40416666666667
WDR34	-1.32475
OR7A17	-0.04225
C9orf11	-0.0155
RNF216L	-0.2931
LHB	-0.431
STK25	-1.06775
TAOK3	0.587875
LOC152573	-0.51825
C3orf39	0.346125
C14orf108	0.9851
CDC25B	-2.07072727272727
BMP3	-0.058
TMEM180	-0.0475
MAP1LC3C	2.732
CRYGC	-0.724
POU3F1	-1.4742
C20orf32	-1.411
CCDC95	-0.6975
HIGD1B	3.87075
USP6NL	0.45175
ABCD4	0.212333333333333
DIMT1L	0.0993333333333333
TEK	1.996375
SLC25A46	-0.06625
LARP7	-0.9459
CD160	1.43133333333333
MT1JP	0.864833333333333
PHF20	-0.419875
CPNE4	-1.44925
GTPBP1	-0.199214285714286
RAB33B	1.2625
ALDOC	-0.93125
ZNF212	-0.1925
NUDT1	-1.09083333333333
RFPL2	-0.713
ZNF83	0.725166666666667
GDPD5	-0.172875
PDCD4	2.05575
CEP350	0.0315
OR10A2	0.1135
CST7	0.6445
CIAO1	-1.33025
SELL	0.79775
OR8J3	0.393
LTBP4	0.266833333333333
SIRT6	-0.67425
CCL19	4.42725
PPIL1	-1.0705
GBP7	0.135
STK17A	0.4691
ABR	0.4735
OR9G1	-1.063
FOXE1	-0.2065
CNGA3	1.1515
GML	0.2005
CD38	-1.6095
ZDHHC6	0.163
NEFH	-2.2515
CTDSP2	0.95125
PGBD5	-1.58133333333333
CCNY	-0.258
RMND5B	-0.0379166666666667
ZNF257	-2.45625
FLJ22167	-0.20475
EXOSC7	0.0326666666666667
ROR2	0.7095
MAOA	3.143375
TNNT3	1.6615
GYPC	0.202
C7orf33	0.6685
PLIN	4.57916666666667
LOC90826	0.88375
RNF4	-0.2703
F8A1	0.278
PLEKHG4	-0.774
GRB2	-1.15325
HIST1H2AD	-1.5435
DUS3L	-0.883666666666667
EIF1	-0.186
RP5-1077B9.4	-1.37633333333333
FPGT	1.36725
GDF10	4.53883333333333
COQ9	-0.45625
GCC2	0.203857142857143
RARRES3	2.6705
PLXNA1	-0.2253
KIAA0100	-0.449
PMF1	-0.6115
FNDC1	4.089
HS2ST1	-0.785416666666667
CRELD2	-0.34475
C8G	-1.704
CD82	0.5275
LIM2	-0.7605
UNQ6490	-1.085
MMP16	0.027
DRD3	-0.1705
C5orf26	1.0755
C11orf73	0.102
PTP4A2	-0.257625
OR4M2	0.335
HPCA	-1.639
SEC14L1	-0.452
CHFR	-0.85225
EMILIN1	0.42375
NDUFS4	0.52075
COL18A1	-0.76975
PDZD3	0.0874
C9orf16	-0.392333333333333
ERBB2IP	-0.119166666666667
EMX2	3.872
FUS	-1.41875
TF	-1.766
CLCN4	0.796333333333333
CXorf56	0.33625
C11orf72	0.40425
ELAC2	-1.04758333333333
NPR1	1.138
ASS1	-1.11816666666667
USP42	-0.022125
POLR2J	-0.834
SEC23IP	0.197333333333333
UQCRC1	-0.7985
LOC729603	-1.0205
C1orf71	-0.797875
POLG	-2.7765
ADAM23	-3.57475
TFR2	-1.24375
RICTOR	-0.3224
MGC39606	1.8395
C19orf55	-0.2645
SNAPC1	-0.7715
GNA11	0.186125
CCDC52	-0.0868333333333333
FSIP1	1.9845
UPF3A	-0.423375
IGSF11	-1.95683333333333
LAGE3	-1.26325
CHST6	-2.172
UNC13B	0.168
TTLL4	-0.80375
ZNF687	-0.278625
SDC2	0.3787
COX7A2	-0.44975
LAMB4	0.00766666666666667
FAM24A	0.9465
LRRTM3	-0.745166666666667
GPHB5	0.7715
OR4C13	0.232
EIF3EIP	1.13835714285714
HABP4	-0.034
TMEM125	3.3965
CNTN2	0.02225
ASNSD1	0.2815
FUT4	-0.457875
