Hybridization REF	TCGA-E2-A1BD-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.315
CREB3L1	0.46525
RPS11	0.60075
PNMA1	-0.20225
MMP2	1.505
C10orf90	-1.25525
ZHX3	0.0931666666666667
ERCC5	1.32325
GPR98	1.028375
RXFP3	0.385
APBB2	1.6385
PRO0478	-0.862
KLHL13	-2.75425
PRSSL1	-0.5952
PDCL3	0.336666666666667
DECR1	0.510375
SALL1	-2.738
CADM4	-0.116666666666667
RPS18	-0.133214285714286
HNRPD	-0.761666666666667
CFHR5	1.03233333333333
SLC10A7	-0.273375
OR2K2	-0.084
LMAN1	-1.871875
SUHW1	-1.65525
CHD8	0.9315
SUMO1	0.3508
GP1BA	0.2365
DDB1	-0.359333333333333
MYO9B	-0.307555555555556
MMP7	6.294
CRNKL1	0.88675
C9orf45	-0.773
XAB2	0.024875
RTN1	1.23257142857143
KLHL14	-0.795375
TBX10	-0.393
CENPQ	-1.506
UTY	-0.639923076923077
ZBTB12	0.557
DTNBP1	-0.257
KBTBD8	-2.43216666666667
ZEB1	0.3755
ZG16	-0.27175
MIER1	0.7502
ADAM5P	0.9895
CHD9	-0.6416875
STK16	1.32525
KIAA1486	0.2455
TOB2	0.06275
BANK1	0.691
OR2V2	0.18425
GRM2	-0.055
PROSC	0.547375
SPIN2B	0.496
PIR	-2.62555555555556
IPO9	-0.00133333333333334
EVC	1.1505
CXCL13	2.15983333333333
KIAA1199	-2.1449
SORL1	1.10325
NAT10	0.47625
CHD1	-0.72775
SYN3	-0.35525
SLC22A2	-0.06825
SERPINF1	0.230333333333333
WDR34	-0.483
OR7A17	0.32125
C9orf11	-0.883
RNF216L	-0.4883
LHB	-0.1505
STK25	-0.117375
TAOK3	1.808125
LOC152573	-2.221
C3orf39	0.814625
C14orf108	-0.096
CDC25B	-2.14518181818182
BMP3	0.0515
TMEM180	0.00800000000000001
MAP1LC3C	-0.6765
CRYGC	0.697
POU3F1	-0.806111111111111
C20orf32	-0.349
CCDC95	0.4555
HIGD1B	3.322
USP6NL	-0.398375
ABCD4	-0.0926666666666667
DIMT1L	-0.908916666666667
TEK	1.67957142857143
SLC25A46	-1.4715
LARP7	-1.2315
CD160	0.5785
MT1JP	-2.07466666666667
PHF20	0.2835
CPNE4	-1.726
GTPBP1	-0.806071428571429
RAB33B	1.34283333333333
ALDOC	-3.084375
ZNF212	0.38625
NUDT1	-0.247833333333333
RFPL2	-0.9345
ZNF83	0.3955
GDPD5	-0.916125
PDCD4	3.3045
CEP350	0.52325
OR10A2	-0.03025
CST7	-1.08975
CIAO1	-1.74225
SELL	0.281857142857143
OR8J3	0.622
LTBP4	-0.320333333333333
SIRT6	0.63925
CCL19	2.77175
PPIL1	-1.93783333333333
GBP7	0.57425
STK17A	-0.9327
ABR	1.194
OR9G1	2.4515
FOXE1	-0.011125
CNGA3	0.4055
GML	0.254
CD38	-3.47075
ZDHHC6	0.489333333333333
NEFH	-2.0195
