Hybridization REF	TCGA-AR-A1AJ-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.425583333333333
CREB3L1	0.248
RPS11	0.069375
PNMA1	0.037
MMP2	0.467166666666667
C10orf90	-1.53025
ZHX3	-0.317
ERCC5	-0.09975
GPR98	-1.70325
RXFP3	0.245
APBB2	0.343
PRO0478	-0.54375
KLHL13	-2.7605
PRSSL1	-0.394666666666667
PDCL3	0.853333333333333
DECR1	0.80075
SALL1	-3.94533333333333
CADM4	-0.185666666666667
RPS18	0.0243571428571429
HNRPD	0.0109166666666667
CFHR5	0.2295
SLC10A7	0.0595
OR2K2	0.313
LMAN1	0.086625
SUHW1	-2.0115
CHD8	-0.5229
SUMO1	0.869
GP1BA	1.6525
DDB1	-0.781666666666667
MYO9B	0.2072
MMP7	6.49425
CRNKL1	-0.56825
C9orf45	-1.05116666666667
XAB2	-0.65875
RTN1	1.739375
KLHL14	-0.678125
TBX10	-0.7975
CENPQ	-0.99925
UTY	-1.02746153846154
ZBTB12	0.0645
DTNBP1	0.53375
KBTBD8	0.355666666666667
ZEB1	0.333666666666667
ZG16	-0.90325
MIER1	0.504
ADAM5P	-0.705
CHD9	-0.2383125
STK16	0.28075
KIAA1486	-0.0655
TOB2	0.148083333333333
BANK1	4.8005
OR2V2	0.12525
GRM2	0.316666666666667
PROSC	0.7515
SPIN2B	0.2575
PIR	-0.0954444444444444
IPO9	-0.4886
EVC	0.435333333333333
CXCL13	6.74066666666667
KIAA1199	-1.4287
SORL1	0.7135
NAT10	0.02
CHD1	-0.88875
SYN3	-0.379
SLC22A2	-0.168
SERPINF1	1.26383333333333
WDR34	-0.07075
OR7A17	0.34375
C9orf11	-0.037
RNF216L	-0.2891
LHB	-0.049
STK25	0.2695
TAOK3	0.75675
LOC152573	-2.02225
C3orf39	0.277
C14orf108	-0.000900000000000017
CDC25B	-0.438454545454545
BMP3	0.228
TMEM180	0.3245
