Hybridization REF	TCGA-AR-A1AT-01A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.78425
CREB3L1	2.002
RPS11	0.997625
PNMA1	-0.0675
MMP2	0.725
C10orf90	-1.99575
ZHX3	-0.788833333333333
ERCC5	0.086
GPR98	-1.7855
RXFP3	0.479
APBB2	-0.0425
PRO0478	-1.492125
KLHL13	-1.725
PRSSL1	-0.146666666666667
PDCL3	0.450666666666667
DECR1	0.2805
SALL1	-3.89066666666667
CADM4	0.448166666666667
RPS18	0.547714285714286
HNRPD	-0.376916666666667
CFHR5	0.402
SLC10A7	0.4175
OR2K2	-0.168
LMAN1	-0.06925
SUHW1	-2.36975
CHD8	-0.2437
SUMO1	0.4338
GP1BA	1.3187
DDB1	0.0456666666666667
MYO9B	0.2608
MMP7	4.23775
CRNKL1	0.665875
C9orf45	-1.99783333333333
XAB2	0.392875
RTN1	1.48475
KLHL14	-0.885875
TBX10	-0.504
CENPQ	-1.23525
UTY	-0.707357142857143
ZBTB12	-0.2125
DTNBP1	-0.388625
KBTBD8	-0.699333333333333
ZEB1	-1.442
ZG16	-0.744
MIER1	0.3673
ADAM5P	0.032
CHD9	-1.0445625
STK16	0.766
KIAA1486	-0.186
TOB2	0.7495
BANK1	3.41025
OR2V2	0.51975
GRM2	0.5035
PROSC	-0.318625
SPIN2B	-0.33125
PIR	-1.77322222222222
IPO9	0.3067
EVC	0.888333333333333
CXCL13	6.12883333333333
KIAA1199	-1.297
SORL1	0.77825
NAT10	0.0475
CHD1	-1.0055
SYN3	-0.44425
SLC22A2	-0.11375
SERPINF1	0.918333333333333
WDR34	-0.08775
OR7A17	0.57725
C9orf11	-0.1465
RNF216L	-0.7454
LHB	0.362
STK25	0.32875
TAOK3	0.212
LOC152573	-2.76525
C3orf39	0.03
C14orf108	0.0536
CDC25B	-1.33954545454545
BMP3	0.4765
TMEM180	0.359
MAP1LC3C	-0.092
CRYGC	-0.4985
POU3F1	-0.5121
C20orf32	-0.7845
CCDC95	-0.0305
HIGD1B	2.87525
USP6NL	0.24775
ABCD4	-0.505833333333333
DIMT1L	-0.717
TEK	1.740875
SLC25A46	-0.4415
LARP7	-1.0504
CD160	1.40016666666667
MT1JP	-0.624166666666667
PHF20	-0.300125
CPNE4	0.6735
GTPBP1	0.0337857142857143
RAB33B	0.742166666666667
ALDOC	-2.742
ZNF212	-0.43475
NUDT1	-0.899833333333333
RFPL2	-1.4105
ZNF83	-0.617166666666667
GDPD5	-0.013375
PDCD4	2.02255
CEP350	-0.60875
OR10A2	0.3085
CST7	2.48775
CIAO1	-0.321
SELL	1.845875
OR8J3	0.476
LTBP4	0.0613333333333333
SIRT6	0.39675
CCL19	4.5085
PPIL1	-0.731166666666667
GBP7	0.455833333333333
STK17A	-0.6259
ABR	-0.417
OR9G1	-0.9065
FOXE1	0.391125
CNGA3	-0.6465
GML	0.658
CD38	0.03925
ZDHHC6	0.0631666666666667
NEFH	-3.13
CTDSP2	0.399833333333333
PGBD5	-1.94283333333333
CCNY	0.143642857142857
RMND5B	0.679833333333333
ZNF257	-1.48425
FLJ22167	-0.699625
EXOSC7	-0.139166666666667
ROR2	0.980625
MAOA	-1.59175
TNNT3	-0.157166666666667
GYPC	-0.443
C7orf33	0.277
PLIN	1.84233333333333
LOC90826	-0.487
RNF4	-0.1125
F8A1	0.0766666666666667
PLEKHG4	-2.154
GRB2	0.1822
HIST1H2AD	-1.129
DUS3L	-0.658333333333333
EIF1	-0.0918333333333333
RP5-1077B9.4	-0.461166666666667
FPGT	1.347
GDF10	-0.680833333333334
COQ9	-0.57725
GCC2	-0.4515
RARRES3	3.162
PLXNA1	-0.5389
KIAA0100	1.1878
PMF1	0.9255
FNDC1	4.188
HS2ST1	0.536916666666667
CRELD2	1.816
C8G	-0.877
CD82	1.57175
LIM2	-0.5455
UNQ6490	-0.689
MMP16	-0.324
DRD3	-0.0225
C5orf26	-0.42775
C11orf73	-0.257
PTP4A2	1.250625
OR4M2	0.162
HPCA	-0.618666666666667
SEC14L1	-0.5725
CHFR	0.295125
EMILIN1	0.953
NDUFS4	-0.313
COL18A1	0.413375
PDZD3	-0.025
C9orf16	0.231333333333333
ERBB2IP	0.397833333333333
EMX2	3.034
FUS	-2.0675
TF	-3.1636
CLCN4	-0.228
CXorf56	0.057
C11orf72	0.3955
ELAC2	-0.538666666666667
NPR1	0.235
ASS1	1.0145
USP42	-0.111375
POLR2J	-0.731
SEC23IP	0.951
UQCRC1	-0.055
LOC729603	-0.3445
C1orf71	-1.205125
POLG	-1.5815
ADAM23	-3.163
TFR2	-0.29975
RICTOR	-1.6029
MGC39606	1.4915
C19orf55	-0.02575
SNAPC1	-1.49366666666667
GNA11	1.05575
CCDC52	-0.151666666666667
