Hybridization REF	TCGA-BH-A0DI-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.180916666666667
CREB3L1	1.37125
RPS11	0.541625
PNMA1	-0.04075
MMP2	2.685
C10orf90	-1.61125
ZHX3	0.120333333333333
ERCC5	0.18525
GPR98	-2.28971428571429
RXFP3	0.434
APBB2	0.884
PRO0478	-0.88525
KLHL13	-0.38725
PRSSL1	-0.373
PDCL3	0.143833333333333
DECR1	-0.28625
SALL1	-2.87466666666667
CADM4	0.838166666666667
RPS18	0.125428571428571
HNRPD	-0.606666666666667
CFHR5	-0.07
SLC10A7	0.914375
OR2K2	-0.356
LMAN1	-1.003625
SUHW1	-2.65875
CHD8	-0.1825
SUMO1	0.2558
GP1BA	1.0495
DDB1	-0.0551666666666667
MYO9B	0.2035
MMP7	6.525
CRNKL1	0.12375
C9orf45	-1.619
XAB2	0.246125
RTN1	2.59828571428571
KLHL14	-0.945625
TBX10	-0.2785
CENPQ	-1.8515
UTY	-1.59241666666667
ZBTB12	-0.476
DTNBP1	-0.16275
KBTBD8	-1.243
ZEB1	0.265166666666667
ZG16	-0.79825
MIER1	0.095
ADAM5P	-0.282
CHD9	-0.4353125
STK16	0.24475
KIAA1486	-0.3055
TOB2	0.682166666666667
BANK1	3.535
OR2V2	0.3685
GRM2	0.327
PROSC	2.675625
SPIN2B	-0.046
PIR	-1.76877777777778
IPO9	-0.4722
EVC	1.50333333333333
CXCL13	4.14983333333333
KIAA1199	0.8184
SORL1	0.86
NAT10	-0.645
CHD1	-1.118
SYN3	-0.3135
SLC22A2	0.1405
SERPINF1	2.4265
WDR34	-0.23675
OR7A17	0.241
C9orf11	-0.1355
RNF216L	-0.6608
LHB	0.226
STK25	0.43725
TAOK3	0.751125
LOC152573	-1.983
C3orf39	0.56425
C14orf108	0.0506
CDC25B	-1.26490909090909
BMP3	-0.4975
TMEM180	0.324
MAP1LC3C	2.04575
CRYGC	-0.3305
POU3F1	-0.8373
C20orf32	-0.975
CCDC95	-0.24
HIGD1B	3.79625
USP6NL	-0.523125
ABCD4	-0.0201666666666667
DIMT1L	-0.631333333333333
TEK	1.542375
SLC25A46	-0.51225
LARP7	-1.5515
CD160	0.572333333333333
MT1JP	0.193166666666667
PHF20	-0.1168125
CPNE4	-1.5365
GTPBP1	-0.0544285714285714
RAB33B	2.68466666666667
ALDOC	-2.35675
ZNF212	1.11225
NUDT1	-1.0645
RFPL2	1.14925
ZNF83	-0.311166666666667
GDPD5	0.055
PDCD4	2.1532
CEP350	-0.21575
OR10A2	0.218
CST7	1.98225
CIAO1	-0.80475
SELL	1.1645
OR8J3	0.057
LTBP4	0.208
SIRT6	0.27825
CCL19	4.61975
PPIL1	-0.883
GBP7	0.556666666666667
STK17A	-0.6296
ABR	0.34125
OR9G1	-2.379
FOXE1	-0.599125
CNGA3	-0.0705
GML	0.357
CD38	-0.96575
ZDHHC6	-0.2275
NEFH	-0.47475
CTDSP2	0.773
PGBD5	0.121333333333333
CCNY	0.236357142857143
RMND5B	0.82375
ZNF257	-2.99975
FLJ22167	0.151875
EXOSC7	-0.600333333333333
ROR2	2.166875
MAOA	-0.177875
TNNT3	1.764
GYPC	0.292
C7orf33	1.039
PLIN	3.39683333333333
LOC90826	0.72425
RNF4	-0.8977
F8A1	0.1515
PLEKHG4	-1.982
GRB2	0.184
HIST1H2AD	0.45725
DUS3L	-0.4575
EIF1	0.241833333333333
RP5-1077B9.4	-0.473
FPGT	1.545
GDF10	1.37933333333333
COQ9	0.20175
GCC2	-0.384857142857143
RARRES3	3.033375
PLXNA1	-0.33
KIAA0100	-0.4572
PMF1	0.42175
FNDC1	5.4465
HS2ST1	0.397666666666667
CRELD2	1.1285
C8G	-1.4735
CD82	1.428
LIM2	-0.732
UNQ6490	1.253
MMP16	0.836
DRD3	-0.1245
C5orf26	-0.015
C11orf73	-0.098
PTP4A2	0.52975
OR4M2	0.4155
HPCA	-0.6505
SEC14L1	-0.593333333333333
CHFR	-0.150875
EMILIN1	1.5785
NDUFS4	0.246
COL18A1	1.601125
PDZD3	0.1515
C9orf16	0.524166666666667
ERBB2IP	0.480166666666667
EMX2	4.433
FUS	-0.72175
TF	-2.9419
CLCN4	0.526666666666667
CXorf56	-0.12825
C11orf72	0.41975
ELAC2	-0.28325
NPR1	0.37875
ASS1	-1.74833333333333
USP42	-0.352125
POLR2J	-0.9165
SEC23IP	0.447833333333333
UQCRC1	-0.132
LOC729603	-0.44225
C1orf71	-0.612
POLG	-2.8825
ADAM23	-2.5725
TFR2	-1.04025
RICTOR	-1.1337
MGC39606	0.611
C19orf55	-0.4805
SNAPC1	-1.47383333333333
GNA11	1.0505
CCDC52	-0.203833333333333
FSIP1	3.974
UPF3A	-0.556625
IGSF11	-2.0905
LAGE3	-0.1565
CHST6	-0.0025
UNC13B	-0.028
TTLL4	-0.544125
ZNF687	-0.06125
SDC2	0.5721
COX7A2	-0.91075
LAMB4	0.228
FAM24A	0.4085
LRRTM3	-1.55
GPHB5	-0.0745
OR4C13	-0.5075
EIF3EIP	0.265428571428571
HABP4	0.508
TMEM125	2.90925
CNTN2	0.18925
ASNSD1	-0.223
FUT4	0.2195
ACF	-3.53275
LOC158381	0.418
CDH8	0.02
AGPS	-1.3665
C4orf18	3.09025
PECI	0.0625833333333333
UNG	-0.655
GSTP1	-0.72
DCUN1D5	-1.7425
DKFZP564J0863	-0.9675
SLC9A3R1	1.1465
BCDO2	-0.78175
CHMP7	0.00587500000000001
REM2	0.821
DNHD1	-0.649875
FKBP4	-0.80575
ZNF350	1.27825
MGC11102	0.199125
BST1	1.70175
KISS1R	1.0705
NCR2	0.3315
DEFB125	0.209
