Hybridization REF	TCGA-BH-A0AU-11A-11R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.4965
CREB3L1	-0.224
RPS11	1.3505
PNMA1	-0.20175
MMP2	-0.327333333333333
C10orf90	0.93175
ZHX3	-0.464
ERCC5	0.47375
GPR98	0.26475
RXFP3	0.4695
APBB2	0.4925
PRO0478	-0.1545
KLHL13	1.69325
PRSSL1	-0.461666666666667
PDCL3	0.0925
DECR1	-0.058625
SALL1	-3.656
CADM4	0.0668333333333334
RPS18	0.989071428571428
HNRPD	-0.24375
CFHR5	0.346
SLC10A7	0.024125
OR2K2	-0.037
LMAN1	-1.356125
SUHW1	-2.684
CHD8	-0.483
SUMO1	0.1308
GP1BA	0.729
DDB1	-0.547833333333333
MYO9B	-0.6099
MMP7	6.87425
CRNKL1	-0.032875
C9orf45	-0.000833333333333334
XAB2	0.27975
RTN1	1.724
KLHL14	-0.077625
TBX10	-0.5125
CENPQ	-1.4375
UTY	-0.885142857142857
ZBTB12	0.303
DTNBP1	0.46175
KBTBD8	-1.819
ZEB1	-1.48883333333333
ZG16	-0.91375
MIER1	-0.1232
ADAM5P	-0.236
CHD9	-0.0995625
STK16	0.99075
KIAA1486	-0.2305
TOB2	0.612583333333333
BANK1	2.29325
OR2V2	-0.0065
GRM2	0.160666666666667
PROSC	-0.219625
SPIN2B	0.27275
PIR	-2.39722222222222
IPO9	-1.1791
EVC	0.825833333333333
CXCL13	2.3085
KIAA1199	-3.6031
SORL1	1.62525
NAT10	-0.67775
CHD1	-1.065
SYN3	-0.3015
SLC22A2	-0.4035
SERPINF1	0.74
WDR34	-0.85825
OR7A17	0.1855
C9orf11	-0.273
RNF216L	-0.5469
LHB	0.2325
STK25	-0.02825
TAOK3	0.63475
LOC152573	-2.4535
C3orf39	0.72975
C14orf108	-0.0244
CDC25B	-2.03672727272727
BMP3	0.158
TMEM180	-0.3115
MAP1LC3C	0.822
CRYGC	-0.972
POU3F1	-0.4837
C20orf32	-1.45
CCDC95	-0.4345
HIGD1B	3.51925
USP6NL	-0.300875
ABCD4	0.235
DIMT1L	-0.344666666666667
TEK	1.71175
SLC25A46	-0.69325
LARP7	-1.1385
CD160	0.0343333333333333
MT1JP	0.122
PHF20	-0.4484375
CPNE4	-0.9845
GTPBP1	-0.0830714285714286
RAB33B	1.21983333333333
ALDOC	-1.361
ZNF212	0.35625
NUDT1	-1.153
RFPL2	-0.88375
ZNF83	0.781166666666667
GDPD5	0.22275
PDCD4	2.5214
CEP350	-0.547
OR10A2	0.081
CST7	0.15525
CIAO1	-1.20825
SELL	0.029625
OR8J3	1.099
LTBP4	0.4955
SIRT6	-0.497
CCL19	3.2985
PPIL1	-1.13133333333333
GBP7	0.9965
STK17A	-0.6805
ABR	0.46125
OR9G1	-0.686
FOXE1	-0.42425
CNGA3	-0.013
GML	0.085
CD38	-1.8375
ZDHHC6	-0.152666666666667
NEFH	-2.07925
CTDSP2	1.03491666666667
PGBD5	-1.03183333333333
CCNY	0.0326428571428572
RMND5B	0.256416666666667
ZNF257	-2.3455
FLJ22167	0.00699999999999999
EXOSC7	-0.0676666666666667
ROR2	0.6505
MAOA	2.431375
TNNT3	0.6925
GYPC	-0.0955
C7orf33	0.563
PLIN	4.321
LOC90826	-0.5505
RNF4	-0.6418
F8A1	-0.302833333333333
PLEKHG4	0.4975
GRB2	-0.62035
HIST1H2AD	-0.918
DUS3L	-0.629
EIF1	-0.408333333333333
RP5-1077B9.4	-0.588166666666667
FPGT	1.29175
GDF10	2.6885
COQ9	-0.15725
GCC2	0.453142857142857
RARRES3	2.486375
PLXNA1	-0.4043
KIAA0100	-0.6808
PMF1	-0.0735
FNDC1	3.09275
HS2ST1	0.0715000000000001
CRELD2	-0.0295
C8G	-1.32
CD82	1.38675
LIM2	-0.689
UNQ6490	-0.0195
MMP16	0.0915
DRD3	0.0455
C5orf26	1.7875
C11orf73	-0.45975
PTP4A2	-0.181125
OR4M2	-0.04
HPCA	-1.12383333333333
SEC14L1	-0.870333333333333
CHFR	-1.103875
EMILIN1	0.232375
NDUFS4	0.1995
COL18A1	-0.327
PDZD3	0.0598
C9orf16	-0.260333333333333
ERBB2IP	0.128833333333333
EMX2	3.0885
FUS	-1.07125
TF	-2.296
CLCN4	0.1175
CXorf56	-0.123
C11orf72	0.641
ELAC2	-0.24775
NPR1	0.5355
ASS1	-1.0705
USP42	-0.221875
POLR2J	-0.868
SEC23IP	-0.0285
UQCRC1	-0.36075
LOC729603	-0.14225
C1orf71	-1.33425
POLG	-3.3875
ADAM23	-3.75525
TFR2	-1.32075
RICTOR	-0.4901
MGC39606	1.7805
C19orf55	-0.35575
SNAPC1	-1.036
GNA11	0.70425
CCDC52	-0.440333333333333
FSIP1	2.5105
UPF3A	0.0685
IGSF11	-1.60133333333333
LAGE3	-0.94
CHST6	-3.75
UNC13B	0.204875
TTLL4	-0.509875
ZNF687	-0.605
SDC2	-0.5032
COX7A2	-0.67825
LAMB4	-0.875
FAM24A	0.759
LRRTM3	-1.391
GPHB5	0.27375
OR4C13	0.081
EIF3EIP	1.1535
HABP4	0.043
TMEM125	3.442
CNTN2	0.422875
ASNSD1	0.17975
FUT4	-0.2905
ACF	-2.72175
LOC158381	0.1465
CDH8	0.354
AGPS	-1.72466666666667
C4orf18	3.092
PECI	0.36325
UNG	-1.01975
GSTP1	-0.399625
DCUN1D5	-1.58733333333333
DKFZP564J0863	-1.78
SLC9A3R1	0.05075
BCDO2	0.612375
CHMP7	-0.2505
REM2	-0.0005
DNHD1	0.210125
FKBP4	-0.62575
ZNF350	1.72175
MGC11102	-0.887875
BST1	0.66375
KISS1R	1.264
NCR2	0.3955
DEFB125	0.35
UBE2W	-0.076375
KRT15	4.678125
C10orf99	0.017
SCN11A	-0.329625
GFI1	-1.68725
RDHE2	1.50183333333333
FHL1	0.9325
OSGEP	0.032
GATA1	-3.55983333333333
SMC6	-1.55675
TTTY14	-0.72275
LPIN3	0.36875
RPL4	0.4539
RBPMS	0.6511
PRPF3	-0.407833333333333
EMR1	-1.5905
SPATA19	-0.064
XCR1	0.7955
IRX3	2.5916
RBM6	0.54975
KLF4	0.2417
UNC5CL	0.28825
SEBOX	0.341
BTK	-1.492
KRCC1	1.757
C6orf27	0.5095
SYTL5	-0.2825
PRND	2.00375
LOC653319	-0.9645
PIGL	-0.912375
HUS1	-1.02283333333333
SFRS6	0.21125
C17orf77	0.173
UIMC1	-0.0188333333333333
FXYD2	-1.3327
LOC283152	0.224
ZNF667	0.891
ZCCHC12	-0.39725
TFEC	1.3048
ATP7B	-0.7795
POLD2	-1.0685
RG9MTD1	0.26325
ACOT2	0.0215
HIST1H4I	-1.5645
PPARGC1A	-0.4117
ETFA	-1.3609
POLRMT	-0.082
ZNF146	-0.217375
MIA2	-0.0705
KLHL6	-1.73066666666667
HOXB5	0.000250000000000001
NENF	0.313166666666667
CUGBP1	-0.9425
PRSS22	1.20083333333333
CASC4	0.5304
CUL4B	0.1859
CENPJ	-1.5681
PITX1	-1.0335
FLJ31033	0.140833333333333
CELSR3	-2.22633333333333
ZNF568	1.32825
ITSN1	-0.748666666666667
EHBP1L1	-0.7165
C19orf2	-0.7355
DCTN1	0.38175
LIN28B	-3.921
TNKS2	0.52075
C1QBP	-0.774625
CADPS2	1.143
SRMS	-0.14
GJA9	0.190333333333333
MGC24975	-0.6385
TRIM45	-0.339333333333333
TSP50	1.0505
TCP1	-0.994
TMED7	-0.4139
CMA1	0.4405
CENPL	-2.19916666666667
PTCRA	-0.213
FST	-2.837
VWCE	-2.59975
PAWR	-0.538
ABCC12	0.152
LDLR	-1.3391
ASTN2	0.5754
LOC441212	-0.4245
GPATCH8	-0.07125
TANC2	-0.887666666666667
KIF4A	-3.892
C18orf18	0.60125
PGM1	-0.7945
KIAA0258	-0.2195
CPD	-0.057125
SNCAIP	-0.19225
DCT	-4.055
HLA-DOA	1.93622727272727
OR11L1	0.649
UPK1B	-0.302333333333333
DNAJB4	0.240875
UGT1A8	-0.079
HIST1H4L	-1.388
PECR	-1.82316666666667
HSPA2	1.268
WFIKKN1	-1.9325
SERP1	0.91625
SYDE2	-0.11
TACR2	1.478
NUP85	-0.8165
CD177	-0.310666666666667
LGR5	-2.203
PIGG	-0.324333333333333
PTHR1	-0.48
RAB5A	0.0153
FLJ13224	0.2135
USP9Y	-1.6265
C7orf53	0.2895
LRP1B	1.23475
XAF1	1.017
ABCG8	-0.8805
ANKDD1A	-0.00249999999999999
DAND5	-1.4095
SPAG6	0.735166666666666
LINCR	3.488
ZDHHC22	-0.6975
CCDC60	1.04
THOC7	-0.9135
TCTA	0.3313
OR8K3	0.392
NY-REN-7	0.51975
B2M	1.4645
C6orf141	-1.3765
LPPR4	1.741
SQLE	-2.356
SEPHS1	-0.9215
BTBD14B	0.450285714285714
PLRG1	-0.07825
SPG7	-0.001625
ZNF614	-0.303166666666667
PARD6G	1.609
INPP5B	-0.86
GRPEL2	-0.842625
PPID	0.011
TRIM56	0.58075
UBE2J1	-0.530125
IL20RA	5.97125
LOC387856	-0.22625
C1orf107	0.263083333333333
UTS2R	2.05075
C19orf22	-0.67275
SAFB2	-0.3555
KIAA0652	-0.159875
KLRG1	-0.423333333333333
MS4A8B	0.311
FRAG1	0.39975
KIAA1546	0.89075
E2F4	-1.1964
CLEC4M	0.635833333333333
BTBD14A	-2.184
KIAA0999	0.7262
GYPA	-3.47816666666667
TAC1	1.6817
TRAIP	-1.6665
KIAA0232	0.2631
ERCC8	-1.601125
GPX4	0.252125
KIAA0368	0.234375
GPR157	0.332833333333333
CTAGE4	1.0255
C9orf30	-1.67533333333333
OR52A1	0.161
HSP90B3P	-0.491
ALG9	-0.5317
BTBD10	0.2575
SDK2	0.154
