Hybridization REF	TCGA-AR-A1AK-01A-21R-A12P-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.690916666666667
CREB3L1	-0.273
RPS11	0.72925
PNMA1	0.47125
MMP2	0.328
C10orf90	-1.39675
ZHX3	-0.642166666666667
ERCC5	-0.04175
GPR98	-1.820625
RXFP3	0.607
APBB2	1.262
PRO0478	-0.84575
KLHL13	-0.599
PRSSL1	-0.578833333333333
PDCL3	0.250166666666667
DECR1	0.87225
SALL1	-4.63733333333333
CADM4	0.206166666666667
RPS18	0.126642857142857
HNRPD	-0.510166666666667
CFHR5	2.3972
SLC10A7	0.188125
OR2K2	1.239
LMAN1	-1.393625
SUHW1	-3.399
CHD8	-0.1508
SUMO1	0.6637
GP1BA	0.9542
DDB1	-0.7875
MYO9B	0.0193
MMP7	6.70175
CRNKL1	-0.136125
C9orf45	-1.79883333333333
XAB2	0.45675
RTN1	2.29775
KLHL14	-0.889375
TBX10	-1.254
CENPQ	-0.9015
UTY	-2.10276923076923
ZBTB12	-0.429
DTNBP1	0.244875
KBTBD8	2.31296463463574e-18
ZEB1	-0.418833333333333
ZG16	-1.0715
MIER1	-0.2369
ADAM5P	-0.162
CHD9	-0.368625
STK16	0.53675
KIAA1486	-0.5825
TOB2	0.916
BANK1	1.941
OR2V2	-0.15925
GRM2	-0.134
PROSC	-0.739125
SPIN2B	-0.293
PIR	-1.64788888888889
IPO9	-0.6368
EVC	1.32483333333333
CXCL13	5.67766666666667
KIAA1199	-2.0989
SORL1	0.6185
NAT10	-0.49575
CHD1	0.238
SYN3	-1.06875
SLC22A2	-0.58575
SERPINF1	0.446166666666667
WDR34	-0.0575
OR7A17	-0.1015
C9orf11	-0.0425
RNF216L	-0.6007
LHB	-0.035
STK25	-0.564125
TAOK3	0.313
LOC152573	-2.6645
C3orf39	0.808125
C14orf108	0.206
CDC25B	-1.589
BMP3	0.8285
TMEM180	-0.304
MAP1LC3C	2.04975
CRYGC	-0.304
POU3F1	-1.4668
C20orf32	-1.8795
CCDC95	0.163
HIGD1B	4.50275
USP6NL	0.099125
ABCD4	-0.2885
DIMT1L	-0.463333333333333
TEK	1.8445
SLC25A46	-0.10575
LARP7	-1.1716
CD160	1.58783333333333
MT1JP	0.857333333333333
PHF20	-0.160375
CPNE4	-2.221
GTPBP1	0.0205714285714286
RAB33B	0.498
ALDOC	-2.474875
ZNF212	-0.285
NUDT1	-0.856666666666667
RFPL2	-0.729
ZNF83	-0.342166666666667
GDPD5	-0.715625
PDCD4	2.05735
CEP350	-0.09175
OR10A2	-0.11475
CST7	2.281
